x,y,z
41.737,533.07,1654.29
39.3481,548.267,1637.72
38.879,555.415,1627.54
37.8565,558.788,1623.01
36.0234,559.72,1623.75
33.8895,560.682,1629.65
30.2472,558.634,1634.59
26.017,559.455,1644.55
22.2482,560.075,1654.53
22.2733,558.61,1662.02
22.7476,559.118,1671.75
26.5861,558.823,1682.63
36.0645,556.661,1695.07
49.0295,553.355,1705.78
62.9326,553.468,1717.63
75.6487,553.905,1726.53
87.1745,553.543,1731.02
95.0458,553.339,1733.25
98.6909,555.166,1744.38
99.2938,556.03,1757.44
95.8719,558.737,1767.96
90.4233,560,1775.22
85.5508,561.926,1778.81
78.8929,564.326,1780.65
73.3989,563.762,1779.57
68.3149,563.834,1778.04
65.5536,564.309,1781.26
63.2583,564.965,1777.38
60.2129,565.196,1776.94
61.0233,563.301,1767.22
61.5614,563.862,1764.85
61.913,563.231,1762.67
64.2988,564.086,1762.09
66.5957,566.331,1765.79
68.7351,564.9,1760.64
72.9981,560.618,1756.58
78.0757,560.716,1752.06
85.0297,559.37,1743.8
93.5695,558.306,1738.16
101.251,558.922,1731.82
106.726,558.222,1728.67
111.453,559.644,1725.58
113.962,558.281,1721.04
113.382,558.935,1724.27
109.956,557.226,1720.9
106.23,558.982,1722.7
99.0771,560.77,1728.12
90.8122,560.712,1726.81
86.2292,560.943,1724.15
88.0103,561.965,1720.81
91.8873,561.213,1711.16
98.9297,558.484,1694.33
105.366,559.605,1685.41
111.091,558.239,1675.96
116.487,557.064,1665.73
120.008,555.389,1659.12
121.201,554.795,1652.31
120.335,555.803,1652.91
118.844,553.306,1645.71
116.876,554.887,1647.61
115.612,553.728,1646.56
114.203,553.084,1646.04
111.51,553.66,1646.26
110.483,551.752,1641.38
109.881,554.24,1646.94
108.916,556.883,1650.72
109.301,555.304,1652.62
107.403,555.655,1650.55
106.513,555.942,1650.02
105.541,555.497,1651.26
105.322,556.254,1650.87
105.026,558.222,1654.18
105.495,555.992,1651.35
104.077,556.498,1654.43
104.579,553.529,1651.96
104.624,552.891,1649.73
104.554,554.189,1657.12
104.178,553.54,1659.31
103.955,552.633,1659.91
104.187,553.914,1662.22
104.404,556.3,1669.86
104.778,557.192,1671.17
104.451,558.464,1672.32
103.959,557.731,1670.41
102.582,555.12,1668.96
103.84,556.648,1675.73
103.126,558.621,1677.12
102.326,556.803,1672.81
102.575,558.235,1674.66
103.276,557.898,1673.07
102.971,558.907,1674.78
102.605,559.783,1680.13
101.994,559.363,1678.82
103.213,557.92,1677.15
104.213,556.123,1677.32
103.423,556.301,1678.41
103.319,556.155,1672.95
102.1,558.165,1677.73
103.441,557.083,1677.11
103.058,556.315,1676.3
102.258,557.277,1677.41
103.103,557.825,1673.96
102.987,556.703,1673.72
102.769,556.729,1674.6
102.308,557.779,1677.55
102.449,556.516,1677.52
102.451,557.02,1678.51
102.18,556.745,1676.51
102.216,555.263,1673.5
101.882,553.802,1671.5
101.928,553.398,1674.5
101.54,553.184,1674
99.3358,551.245,1672.75
96.9797,548.671,1673.62
93.1876,548.621,1674.06
88.8683,547.423,1674.25
85.3156,547.583,1677.37
83.0737,547.486,1680.93
79.3084,547.247,1684.71
75.2718,544.825,1680.11
70.5799,547.176,1688.3
68.9826,545.246,1683.9
67.5651,542.736,1682.2
65.5701,543.22,1684.85
65.1391,542.999,1685.17
64.6975,544.386,1681.83
63.1918,545.041,1688.16
62.6306,545.206,1687.32
63.1047,543.995,1686.91
63.6335,542.882,1681.2
62.7077,544.8,1682.84
62.2826,545.119,1678.18
62.7624,544.322,1680.34
64.1357,544.036,1684.93
64.7393,545.403,1685.22
65.4482,545.729,1684.36
66.85,545.515,1679.93
69.735,547.926,1679.21
72.7783,549.296,1676.86
