x,y,z
-230.616,296.819,1665.35
-232.423,286.652,1666.5
-231.191,280.574,1666.54
-231.277,280.437,1668.5
-232.958,282.734,1666.43
-234.468,284.14,1663.99
-235.188,284.544,1659.2
-236.374,285.404,1658.53
-237.566,285.663,1656.24
-238.718,286.497,1657.22
-236.75,288.968,1660.8
-231.571,293.884,1667.01
-218.358,293.148,1675.57
-206.553,296.598,1689.54
-193.392,298.042,1705
-176.96,299.711,1716.73
-163.604,302.294,1723.35
-155.88,306.892,1728.89
-154.815,316.437,1737.55
-157.68,318.916,1747.8
-159.553,320.294,1752.6
-165.048,324.477,1752.34
-168.46,326.686,1746.13
-172.602,328.321,1744.47
-184.976,325.711,1740.49
-193.771,319.523,1730.13
-200.679,320.323,1728.29
-201.429,321.652,1727.08
-198.604,324.877,1726.77
-191.342,334.124,1723.48
-187.239,349.03,1732.38
-184.853,357.584,1735.68
-181.052,355.839,1740.33
-182.613,350.312,1739.41
-182.242,338.463,1737.94
-181.424,331.637,1736.21
-179.38,328.715,1736.88
-169.594,325.654,1735.52
-161.08,327.599,1736.57
-155.308,328.345,1737.34
-150.771,327.648,1735
-148.404,327.817,1734.64
-141.712,324.827,1732.56
-143.938,326.109,1734.22
-146.321,327.057,1737.4
-151.515,324.231,1739.97
-164.315,325.743,1747.76
-171.927,322.864,1745.39
-178.038,321.735,1743.21
-179.676,321.07,1739.12
-179.314,322.464,1735.01
-174.769,323.355,1728.08
-170.918,323.748,1724.8
-162.191,321.629,1715.6
-156.998,320.588,1711.27
-153.707,318.97,1705.14
-151.844,317.372,1698.9
-151.605,317.146,1696.74
-150.664,315.408,1694.34
-151.189,313.602,1696.65
-159.711,314.176,1696.7
-165.722,314.947,1696.4
-169.14,315.479,1695.95
-170.507,315.063,1692.92
-171.954,315.624,1693.69
-172.514,315.91,1693.6
-172.609,315.715,1691.9
-172.399,315.522,1690.63
-172.406,315.537,1689.81
-172.086,315.137,1688.12
-168.852,316.445,1689.3
-167.154,317.662,1692.2
-165.213,317.138,1690.32
-165.097,317.736,1691.54
-164.539,317.552,1692.15
-163.577,316.697,1689.03
-164.103,317.416,1692
-163.876,317.347,1692.46
-163.888,317.596,1693.61
-163.849,317.754,1694.68
-167.1,317.681,1698.43
-166.182,318.544,1699.16
-168.036,318.104,1700.58
-165.523,317.815,1698.87
-164.251,317.262,1695.28
-164.609,318.201,1697.09
-164.257,318.245,1697.56
-163.124,316.972,1692.64
-163.94,317.849,1694.56
-163.659,317.504,1692.57
-163.929,317.501,1692.16
-164.743,318.447,1694.45
-164.095,317.642,1693.05
-164.038,317.47,1693.08
-164.088,317.581,1693.96
-163.838,317.195,1692.36
-163.999,317.268,1692.59
-165.646,317.993,1693.44
-168.508,316.693,1691.95
-170.525,316.237,1690.64
-171.652,316.175,1690.5
-172.026,316.376,1691.93
-172.127,316,1690.93
-172.463,316.29,1691.58
-173.116,317.086,1694.66
-172.867,316.672,1693.4
-172.61,316.34,1692.05
-172.299,316.066,1690.7
-171.659,315.242,1686.96
-171.033,314.479,1682.82
-171.319,314.788,1683.02
-171.43,314.601,1681.85
-171.843,311.639,1676.34
-172.288,309.261,1675.39
-173.884,307.937,1673
-181.286,307.763,1666.84
-186.918,308.994,1663.76
-190.036,309.315,1660.52
-191.328,307.491,1656.29
-191.856,304.731,1649.53
-193.624,304.438,1647.54
-193.84,303.466,1644.79
-195.396,303.261,1644.74
-197.081,303.582,1646.75
-198.189,304.039,1651.42
-198.509,304.066,1653.94
-199.356,305.374,1657.17
-203.401,307.751,1655.97
-207.838,309.183,1656.25
-210.126,309.296,1654.51
-205.349,308.041,1651.99
-206.624,307.591,1637.48
-208.289,309.946,1641.42
-209.047,310.62,1641.89
-204.695,308.832,1642.78
-201.239,307.016,1642.41
-198.976,306.363,1645.5
-196.316,308.412,1649.61
-193.492,309.196,1650.13
-188.617,310.166,1649.42
-180.995,308.767,1650.11
-173.866,308.39,1647.33
-115.39,304.382,1647.61
-118.211,305.313,1643.66
-119.932,303.885,1633.45
-128.323,306.654,1638.15
-136.361,306.435,1638.62
-145,306.527,1636.15
-150.978,308.467,1636.24
-159.666,313.886,1638.87
-165.672,317.458,1641.62
-172.303,319.074,1644.16
-173.021,316.057,1642.22
-173.465,314.76,1642.27
-172.379,310.959,1643.24
-171.42,310.492,1647.24
-169.378,309.206,1644.1
-168.536,309.677,1645.92
-166.326,308.425,1642.06
-163.187,308.697,1638.97
-162.921,310.55,1643.16
-160.833,311.677,1647.53
-159.673,311.611,1647.17
-155.84,309.35,1647.76
-152.418,308.285,1648.18
-152.395,312.346,1654.38
-154.384,311.69,1653.72
-156.952,313.165,1659.19
-158.381,314.862,1664.92
-160.75,315.357,1669.16
-162.27,316.539,1675.22
-161.591,315.091,1671.52
-160.847,313.631,1665.51
-160.091,312.038,1658.13
-160.653,313.274,1654.36
-160.417,314.322,1659.96
-160.086,314.36,1660.88
-156.063,313.733,1665.55
-152.649,312.229,1666.17
-151.082,311.7,1667.28
-150.212,311.469,1667.17
-149.764,311.14,1663.87
-149.764,310.699,1663.31
-150.215,311.239,1667.09
-150.636,312.62,1673.24
-153.703,312.812,1670.42
-151.837,311.144,1666.11
-154.667,311.962,1663.88
-157.8,314.86,1669.23
-159.045,313.183,1662.38
-160.726,313.321,1660.96
-161.201,313.187,1659.64
-161.612,314.314,1665.58
-160.789,313.474,1665.15
-156.339,310.774,1662.73
-159.053,313.136,1668.26
-155.273,310.676,1665.97
-153.079,308.917,1663.27
-151.853,307.967,1660.81
-156.079,310.964,1665.74
-153.925,312.497,1669.26
-152.428,310.237,1667.14
-152.009,309.336,1664.68
-152.272,309.438,1665.74
-151.861,310.581,1668.31
-151.061,310.951,1669.78
-150.925,311.588,1673.29
-150.65,312.199,1676.36
-150.951,310.945,1676.53
-150.51,312.075,1676.02
-149.888,311.304,1672.64
-151.587,315.966,1671.62
-152.112,315.83,1674.16
-151.924,315.505,1676.99
-150.423,313.474,1671.32
-151.034,313.639,1674.78
-148.836,314.113,1676.86
-150.722,317.309,1676.22
-152.393,319.917,1672.66
-152.619,317.874,1678.18
-151.714,315.791,1679.85
-150.994,314.903,1678.21
-150.44,313.947,1674.67
-150.465,313.392,1671.95
-150.958,313.055,1673.43
-150.803,312.77,1675.19
-150.615,312.438,1676.22
-150.86,313.155,1679.76
-150.45,312.962,1681.37
-151.484,316.568,1682.44
-151.701,315.469,1683.82
-150.911,314.613,1680.04
-150.104,312.048,1675.18
-150.25,312.626,1677.21
-150.725,310.922,1676.95
-149.236,309.549,1671.96
-150.437,311.964,1676.19
-155.49,314.539,1678.61
-153.44,314.171,1679.85
-152.221,313.997,1682.14
-150.892,312.876,1680.93
-151.667,312.083,1681.21
-150.809,312.191,1681.17
-154.411,312.964,1675.57
-156.432,314.475,1676.53
-153.959,311.496,1673.13
-152.384,312.199,1674.86
-152.211,311.012,1675.32
-151.987,312.239,1677.92
-151.163,312.44,1677.63
-151.022,313.186,1679.95
-154.632,315.264,1682.44
-155.399,315.706,1680.69
-155.886,316.156,1677.44
-159.589,317.39,1684.01
-160.547,316.39,1682.24
-161.118,315.986,1679.39
-161.326,315.307,1676.16
-162.529,316.549,1679.82
-161.968,315.563,1676.63
-162.191,315.674,1676.38
-161.856,315.154,1674.82
-157.584,312.768,1673.4
-159.472,313.453,1671.94
-160.991,314.388,1672.76
-161.402,314.511,1672.26
-160.778,313.452,1667.31
-161.634,313.849,1666.04
-162.472,314.971,1668.93
-161.786,314.385,1668.35
-161.551,314.187,1667.38
-161.552,313.99,1665.47
-161.665,314.057,1665.59
-161.573,314.055,1666.1
-161.571,313.945,1665.65
-161.941,314.091,1666.04
-163.258,315.736,1670.62
-159.591,312.528,1665.89
-161.052,309.047,1667.1
-156.884,285.759,1643.85
-152.555,235.529,1633.6
-134.243,202.327,1644.87
-114.552,160.436,1683.96
-92.3739,130.771,1716.59
-60.0476,104.275,1739.95
-43.9121,96.1014,1764.55
-34.7309,94.6648,1776.07
-23.5076,94.3342,1776.83
-19.6594,94.9736,1773.73
-18.6827,97.6779,1773.55
-23.4039,97.5301,1774.45
-36.0133,98.5477,1778.04
-38.2151,94.3206,1774.98
-39.4389,90.1995,1771.12
-37.9,87.9216,1767.42
-34.9045,85.2404,1762.09
-23.5297,79.5709,1759.87
-27.591,80.0472,1752.2
-32.1323,78.8402,1742.98
-34.2792,78.7984,1738.65
-23.0884,73.4383,1740.77
-18.484,62.6555,1758.93
-25.6455,85.2603,1746.84
-40.191,91.753,1729.4
-61.0877,108.439,1710.85
-118.411,158.014,1693.99
-142.429,191.567,1682.26
-172.382,242.991,1697.11
-187.219,281.801,1707.51
-194.848,309.633,1716.75
-195.994,330.296,1727.78
-199.308,346.106,1733.14
-198.502,352.326,1748.09
-197.429,352.346,1748.85
-196.797,352.11,1748.67
-196.11,351.65,1747.7
-195.74,351.209,1745.92
-195.66,351.137,1745.75
-195.268,350.797,1744.92
-195.019,350.564,1744.02
-194.552,349.878,1741.09
-194.87,350.14,1741.45
-195.353,350.716,1742.94
-195.381,350.715,1742.23
-195.317,350.602,1742
-197.688,354.618,1736.17
-201.798,359.786,1729.79
-202.495,360.457,1726.17
-203.045,361.005,1724.75
-202.941,360.688,1722.01
-202.299,359.551,1716.97
-202.497,359.637,1714.4
-202.335,359.282,1711.74
-200.638,357.505,1704.44
-197.465,357.983,1699.41
-194.548,365.476,1684.99
-187.9,366.636,1667.72
-178.464,372.226,1649.35
-176.89,375.924,1637.13
-175.687,386.322,1622.38
-177.262,399.807,1605.04
-182.634,411.395,1585.08
