x,y,z
-15.1281,322.634,1726.95
-28.7457,361.434,1703.04
-34.7856,379.52,1689.43
-37.9084,388.06,1683.29
-40.7076,391.214,1682.44
-42.0427,391.921,1685.71
-43.9761,389.031,1691.74
-48.4317,388.615,1697.66
-51.9562,390.303,1708.61
-53.3328,388.992,1715.26
-52.5309,389.535,1727.22
-49.2128,389.575,1738.83
-38.0315,388.072,1754.07
-22.9631,385.692,1768.51
-5.12867,387.011,1784.93
12.4534,388.042,1799.56
24.0665,387.133,1802.76
31.9687,387.636,1807.51
34.417,386.536,1812.41
34.4252,385.957,1822.35
27.7868,387.985,1829.81
19.7796,389.607,1834.14
10.5077,391.884,1831.71
2.62974,395.154,1833.66
-4.22001,394.648,1831.49
-9.31786,394.934,1828.11
-11.0847,394.88,1833.25
-14.2003,395.411,1829.7
-16.8015,395.311,1828.62
-17.7318,393.691,1816.01
-17.092,394.013,1813.86
-16.4196,393.884,1812.57
-13.5885,395.591,1815.62
-10.2343,397.186,1817.99
-8.49868,396.274,1813.92
-4.94212,392.258,1809.74
-0.188335,393.737,1808.38
9.48183,394.501,1807.78
18.9337,394.77,1808.07
29.6523,396.527,1806.46
37.0251,395.692,1804.52
44.0167,397.236,1805.09
46.1724,395.093,1800.01
48.8407,393.106,1799.21
46.2606,390.903,1795.32
41.4238,391.272,1794.72
34.8829,390.08,1795.64
24.4885,390.259,1791.14
18.124,391.155,1787.57
16.7688,392.7,1781.67
19.8816,392.96,1773.25
28.6085,392.001,1761.68
37.4426,393.368,1756.16
43.1272,392.86,1746.75
50.143,391.928,1737.71
53.6956,389.762,1729.85
54.6375,388.582,1722.12
54.1755,388.798,1720.07
51.5136,385.423,1710.9
50.5327,385.182,1710.27
47.9789,383.541,1707.04
45.7268,382.486,1704.41
44.2101,382.634,1706.34
42.7121,381.097,1702.47
43.3631,383.138,1708.34
42.0394,385.853,1713.57
41.6731,384.937,1715.5
40.0185,386.07,1714.45
39.0696,386.404,1714.25
37.983,385.558,1714.52
37.4174,386.614,1715.4
37.8308,387.807,1719.54
36.0384,384.922,1711.12
36.5893,384.233,1713.31
36.6061,382.422,1711.18
35.9779,381.489,1707.3
37.1702,380.606,1712.58
36.1357,380.931,1714.42
35.3635,380.482,1714.79
33.9314,381.913,1715.87
37.1323,383.542,1726.76
39.0793,385.681,1733.29
38.3529,387.617,1733.91
34.9528,385.772,1725.53
