x,y,z
143.222,85.4882,1548.95
147.321,105.104,1585.88
147.799,114.479,1604.2
148.918,119.373,1616.12
147.707,120.771,1622.8
151.517,123.436,1631.28
154.415,122.86,1642.14
152.967,124.71,1647.12
152.202,126.983,1666.46
152.529,126.041,1679.23
153.383,126.456,1692.09
154.141,124.925,1700.53
162.276,122.226,1708.8
175.451,119.627,1716.92
191.132,120.167,1729.43
208.721,121.767,1741.71
221.654,122.305,1742.53
232.425,122.662,1746.7
238.013,124.027,1750.38
242.365,125.157,1759.13
237.861,126.442,1765.33
230.929,127.901,1775.2
221.138,128.521,1777.52
212.903,130.617,1785.2
205.511,129.9,1788.16
199.489,129.982,1785.93
197.762,130.247,1792.3
194.679,131.087,1789.31
192.662,131.357,1788.39
190.74,129.47,1779.48
191.532,129.602,1778.41
191.995,129.396,1776.6
193.156,129.888,1778.27
194.868,132.285,1775.75
197.872,131.613,1772.72
198.786,126.437,1763.21
199.589,125.311,1758.04
202.583,122.727,1755.9
207.771,121.064,1753.13
214.02,121.637,1747.49
218.799,120.331,1737.34
222.442,121.265,1736.02
222.304,118.921,1725.74
228.296,120.432,1720.15
232.177,120.924,1716.05
228.758,122.26,1713.99
225.284,123.658,1717.09
218.882,124.969,1714.88
213.285,125.414,1716.26
207.514,125.126,1710.69
205.426,122.998,1702.78
211.725,120.51,1688.95
219.27,121.666,1680.1
220.154,120.974,1665.14
227.207,119.449,1655.45
230.163,117.448,1646.78
232.592,116.759,1638.58
233.807,118.959,1633.84
233.918,116.727,1625.9
236.648,118.999,1626.02
235.458,118.823,1620.49
236.233,118.86,1620.76
236.104,119.59,1621.97
235.411,118.098,1621.76
235.095,119.154,1624.58
232.683,121.233,1628.43
230.168,119.832,1629.25
227.764,120.387,1629.39
227,120.562,1630.67
224.049,119.49,1627.47
223.708,120.131,1629.65
225.067,121.263,1635.3
226.112,120.342,1628.17
228.615,120.841,1629.79
230.166,119.333,1631.47
229.456,118.8,1627.05
231.595,118.73,1629.49
230.349,119.205,1629.33
228.618,118.501,1628.66
223.698,119.184,1623.32
225.068,120.248,1631.11
227.574,121.91,1640.8
226.3,123.709,1642.46
222.175,123.189,1632.53
224.93,121.632,1632.99
228.35,123.243,1640.35
226.123,125.608,1639.4
224.747,123.75,1637.79
229.134,125.173,1644.47
231.389,125.257,1646.73
232.418,125.783,1649.69
235.248,127.417,1657.57
231.351,127.134,1649.98
230.231,124.964,1646.71
229.6,123.043,1646.91
226.02,121.848,1644.24
224.213,121.036,1646.26
223.379,121.296,1652.03
221.237,120.165,1650.15
221.509,120.047,1649.78
220.911,120.896,1649.46
220.778,121.018,1645.95
221.333,120.7,1647.05
221.831,120.832,1648.93
224.823,121.742,1658.12
226.627,120.97,1665.66
223.303,121.328,1660.49
220.737,120.351,1655.63
220.23,118.548,1654.38
219.674,116.952,1652.34
220.857,116.272,1657.77
222.333,116.213,1666.08
218.253,114.23,1665.49
215.233,111.537,1668.56
212.14,111.294,1676.9
200.132,108.762,1666.55
196.973,107.814,1676.02
194.602,107.976,1689.13
192.096,108.594,1700.63
187.849,106.738,1693.44
185.85,108.27,1699.69
185.481,107.987,1703.6
183.894,106.059,1702.88
181.325,106.584,1704.22
180.768,106.279,1705.57
180.955,108.001,1708.35
182.36,108.866,1706.98
185.02,110.126,1713.23
182.927,108.036,1707.63
182.289,107.493,1703.53
184.584,109.705,1710.81
184.196,110.036,1702.73
183.921,108.763,1701.39
177.901,106.872,1690.69
179.614,107.746,1707.38
179.989,108.031,1704.2
182.411,108.776,1703.33
184.946,111.216,1702.11
187.84,112.525,1697.83
191.647,112.308,1693.78
195.908,114.63,1691.14
202.475,112.323,1684.47
271.598,106.789,1608.44
270.615,106.49,1607.94
269.65,105.919,1607.54
270.573,112.359,1618.29
264.999,116.475,1626.7
260.068,118.147,1635.59
254.092,119.373,1649.14
242.44,121.8,1661.48
231.934,121.621,1671.29
224.64,121.665,1676.84
219.327,120.734,1683.53
215.922,118.723,1684.94
214.121,118.791,1689.25
213.497,120.789,1685.49
215.563,118.478,1686.18
218.277,119.011,1690.54
