x,y,z
76.8095,208.299,1625.75
73.9743,235.848,1634.62
72.4948,248.91,1638.33
72.0669,255.33,1642.05
70.2926,257.474,1645.39
71.6789,259.347,1651.7
72.2355,257.805,1660.38
69.3008,258.737,1665.94
67.3009,260.742,1681.53
66.904,259.634,1691.61
67.698,260.081,1703.87
69.6616,259.205,1713.66
79.0716,256.997,1724.79
92.8941,254.469,1735.37
109.385,255.295,1749.2
126.615,256.578,1761.97
138.899,256.543,1763.93
146.653,256.735,1769.16
150.668,257.096,1774.03
151.701,257.336,1784.21
144.502,258.718,1792.12
137.371,260.283,1799.51
127.839,261.631,1800.09
120.073,264.261,1805.01
113.828,263.735,1805.41
108.83,263.978,1802.55
107.413,264.137,1808.15
104.595,264.881,1804.85
102.262,264.991,1803.92
101.65,263.322,1793.29
102.275,263.517,1791.72
102.84,263.342,1790.09
104.68,264.328,1792.21
108.073,266.52,1791.66
110.045,265.685,1788.21
112.185,261.013,1781.12
114.568,260.95,1777.51
121.391,259.804,1775.17
128.757,258.938,1773.17
137.609,260.021,1768.51
142.98,258.898,1762.15
148.812,260.108,1760.86
149.635,257.871,1752.92
153.943,257.988,1749.76
153.607,257.256,1746.64
149.286,258.181,1745.6
145.145,258.599,1747.59
136.259,259.356,1745.04
130.691,260.02,1744.1
128.21,260.648,1738.08
129.621,259.61,1729.26
136.445,257.666,1716.16
144.236,258.878,1708.63
148.246,258.386,1695.56
154.707,257.039,1686.4
158.219,255.01,1678.06
159.574,254.09,1670.47
160,255.504,1667.17
158.668,252.789,1659.04
159.765,254.052,1658.95
157.802,253.269,1654.79
157.153,252.846,1654.03
155.829,253.26,1655.66
155.187,251.801,1653.5
154.424,253.138,1658.04
152.32,255.456,1662.56
151.303,254.332,1663.61
149.492,255.154,1663
148.797,255.409,1663.56
146.667,254.437,1661.95
146.132,255.23,1663.54
146.881,256.357,1668.56
146.908,254.668,1661.11
148.211,254.639,1663.21
149.312,253.032,1663.01
148.898,252.377,1658.86
150.06,251.897,1663
148.707,252.282,1663.97
147.525,251.702,1663.75
143.919,252.659,1661.48
145.782,253.92,1670.6
148.061,255.783,1678.45
147.496,257.706,1679.36
144.628,256.787,1669.88
144.923,254.751,1668.85
146.57,256.041,1676.04
145.096,258.42,1675.72
144.234,256.752,1672.75
148.133,258.023,1677.38
149.24,257.937,1678.78
149.447,258.346,1681.7
151.987,259.8,1689.69
148.891,259.271,1683.37
147.988,257.375,1680.22
147.481,255.741,1680.13
145.123,254.886,1678.23
143.275,254.943,1678.35
143.082,255.596,1684.11
142.96,254.66,1681.63
142.535,254.429,1681.35
141.474,255.188,1681.5
141.29,255.304,1677.7
141.828,255.027,1678.48
141.973,255.148,1680.37
144.31,256.251,1688.32
146.035,255.614,1693.67
143.499,256.035,1690.02
141.621,255.211,1685.69
141.146,253.558,1683.52
140.56,251.979,1681.07
141.038,251.673,1686.33
142.267,251.785,1692.13
138.614,249.96,1690.8
135.172,247.226,1692.08
131.44,247.075,1696.95
120.915,245.104,1688.15
117.804,244.507,1695.51
114.973,244.886,1704.95
112.262,245.619,1714.2
107.477,243.557,1706.1
105.345,244.882,1713.67
104.066,244.332,1714.47
102.149,242.298,1712.75
99.9713,242.977,1715.23
99.3862,242.713,1715.91
99.1511,244.309,1716.76
100.036,244.612,1718.63
102.445,245.757,1724.27
100.793,243.86,1719.54
100.019,243.359,1714.15
102.092,245.475,1720.86
100.913,245.355,1712.41
100.765,244.087,1712.04
96.9517,243.03,1706
