x,y,z
-0.702952,-0.233437,0.671838
-0.822162,-0.144406,0.550633
-0.878394,-0.10496,0.46627
-0.904096,-0.0880906,0.418151
-0.915459,-0.0807236,0.394232
-0.924413,-0.0910421,0.370366
-0.928158,-0.101416,0.358104
-0.929161,-0.113178,0.351924
-0.937834,-0.114603,0.327619
-0.944453,-0.115591,0.307647
-0.942108,-0.113736,0.315432
-0.938375,-0.106696,0.328738
-0.926312,-0.10102,0.362962
-0.910314,-0.0989134,0.401925
-0.895069,-0.0932111,0.436078
-0.876033,-0.0914769,0.473495
-0.874389,-0.0994523,0.474924
-0.872358,-0.0957237,0.479405
-0.885236,-0.111153,0.451666
-0.891211,-0.11915,0.43766
-0.900031,-0.115934,0.420124
-0.912685,-0.116156,0.391809
-0.93001,-0.110581,0.350504
-0.936033,-0.104643,0.335995
-0.94306,-0.104522,0.315775
-0.945776,-0.104561,0.307531
-0.944638,-0.105622,0.310649
-0.945565,-0.107482,0.307171
-0.94675,-0.109452,0.302796
-0.953615,-0.10969,0.280335
-0.953995,-0.108306,0.279577
-0.952596,-0.107752,0.284516
-0.94816,-0.101075,0.301291
-0.943978,-0.106947,0.3122
-0.943522,-0.106996,0.313558
-0.938546,-0.102407,0.329611
-0.930026,-0.0892232,0.356498
-0.914913,-0.070885,0.397378
-0.899101,-0.0595964,0.433665
-0.880025,-0.0523928,0.472028
-0.862859,-0.0507693,0.502889
-0.84809,-0.0466712,0.527793
-0.838799,-0.0470654,0.542403
-0.838405,-0.0664776,0.540978
-0.844109,-0.0787577,0.530356
-0.848034,-0.0845293,0.523156
-0.859879,-0.0987874,0.500849
-0.872545,-0.104283,0.477274
-0.882008,-0.102129,0.460035
-0.888929,-0.0960064,0.44787
-0.885539,-0.0851235,0.456699
-0.869121,-0.0753099,0.488832
-0.855969,-0.0733957,0.51179
-0.845647,-0.0747955,0.528476
-0.841974,-0.0709559,0.534832
-0.843973,-0.0727978,0.531422
-0.847812,-0.0754332,0.524904
-0.850089,-0.0863502,0.519512
-0.858778,-0.0922648,0.503973
-0.864535,-0.104829,0.491518
-0.867649,-0.112579,0.484263
-0.877756,-0.117967,0.464358
-0.87295,-0.119655,0.472907
-0.875752,-0.119643,0.467701
-0.868841,-0.113904,0.481811
-0.865524,-0.110726,0.488476
-0.863682,-0.109328,0.492037
-0.863311,-0.106518,0.493303
-0.865723,-0.10576,0.489222
-0.861011,-0.105223,0.497582
-0.861611,-0.102771,0.497055
-0.862692,-0.10184,0.495369
-0.874823,-0.112495,0.471201
-0.875842,-0.117959,0.46796
-0.880107,-0.119073,0.459601
-0.882871,-0.121819,0.453541
-0.883038,-0.125582,0.452187
-0.883114,-0.126447,0.451798
-0.882576,-0.125593,0.453085
-0.874369,-0.122143,0.469637
-0.8634,-0.119081,0.490266
-0.857958,-0.115716,0.500518
-0.85854,-0.115623,0.499541
-0.862339,-0.123787,0.490967
-0.878935,-0.12811,0.459415
-0.887612,-0.130133,0.441827
-0.886663,-0.130987,0.443476
-0.890198,-0.130133,0.436593
-0.893282,-0.132339,0.429574
-0.893743,-0.132775,0.42848
-0.893622,-0.132847,0.428709
-0.88721,-0.133977,0.441484
-0.891311,-0.139094,0.431529
-0.895053,-0.136027,0.424709
-0.896017,-0.132484,0.423794
-0.898483,-0.129733,0.419401
-0.900999,-0.118056,0.41745
-0.89705,-0.11341,0.427129
-0.901136,-0.114615,0.418111
-0.901777,-0.115136,0.416583
-0.901182,-0.115514,0.417765
-0.904068,-0.115814,0.411398
-0.903767,-0.115293,0.412204
-0.902222,-0.114724,0.415733
-0.899268,-0.110536,0.423201
-0.899256,-0.108232,0.423822
-0.900581,-0.108962,0.42081
-0.901963,-0.108184,0.418041
-0.904621,-0.106534,0.412689
-0.907745,-0.106652,0.40574
-0.904192,-0.09966,0.415337
-0.904048,-0.0960476,0.4165
-0.907777,-0.0950586,0.408541
-0.917845,-0.0961692,0.385114
-0.925811,-0.0935667,0.366224
-0.935601,-0.0894483,0.341539
-0.93885,-0.0846544,0.333758
-0.947107,-0.0807989,0.31058
-0.948077,-0.0775213,0.308447
-0.956046,-0.0814188,0.281685
-0.950507,-0.083845,0.299177
-0.954688,-0.084872,0.285252
-0.958954,-0.0865704,0.270024
-0.955721,-0.0849736,0.281737
-0.958617,-0.0846937,0.271811
-0.959731,-0.084304,0.267972
-0.953839,-0.0926299,0.285676
-0.946967,-0.0909167,0.308201
-0.950361,-0.0908924,0.297576
-0.954902,-0.0905195,0.282788
-0.949815,-0.0891337,0.299844
-0.954336,-0.0957411,0.282977
-0.955429,-0.0972221,0.278752
-0.951943,-0.0901133,0.29272
-0.948119,-0.0788338,0.307988
-0.949157,-0.0810258,0.304198
-0.95005,-0.0807645,0.301465
-0.945598,-0.0777074,0.31592
-0.93959,-0.074723,0.334048
-0.932706,-0.0742806,0.352906
-0.917442,-0.0643015,0.392639
-0.898681,-0.0497529,0.435773
-0.863297,-0.0938414,0.495895
-0.875847,-0.102573,0.471563
-0.894866,-0.111687,0.432135
-0.892383,-0.125824,0.433382
-0.895187,-0.140834,0.422855
-0.919839,-0.149632,0.362637
-0.923472,-0.146923,0.354419
-0.927152,-0.136234,0.349041
-0.931226,-0.13106,0.340062
-0.933238,-0.127269,0.335961
-0.940077,-0.12521,0.317141
-0.946362,-0.116879,0.301229
-0.944134,-0.110481,0.310492
-0.938291,-0.108564,0.328365
-0.936772,-0.10605,0.333483
-0.921529,-0.096942,0.376015
-0.9353,-0.0992113,0.339663
-0.938397,-0.0971176,0.331631
-0.924217,-0.0963183,0.36952
-0.918649,-0.0953618,0.383392
-0.919349,-0.0987472,0.380848
-0.920613,-0.101152,0.377147
-0.92537,-0.10581,0.363999
-0.922622,-0.107324,0.370472
-0.927162,-0.111231,0.357769
-0.929031,-0.112961,0.352338
-0.929225,-0.1131,0.35178
-0.91652,-0.109312,0.384763
-0.909252,-0.108628,0.401823
-0.909775,-0.111926,0.399727
-0.921185,-0.119576,0.370297
-0.935326,-0.125751,0.330685
-0.934463,-0.118133,0.335892
-0.933607,-0.11468,0.339451
-0.935108,-0.114195,0.335458
-0.930471,-0.11219,0.348764
-0.928946,-0.111416,0.353052
-0.925608,-0.112863,0.361265
-0.917615,-0.111553,0.381495
-0.916075,-0.114408,0.38434
-0.923363,-0.11665,0.365779
-0.924978,-0.121577,0.360049
-0.912023,-0.118352,0.392691
-0.92088,-0.116838,0.371926
-0.925017,-0.114191,0.362358
-0.927445,-0.112073,0.35677
-0.918342,-0.109097,0.380454
-0.929773,-0.114513,0.34987
-0.926672,-0.115274,0.357758
-0.923998,-0.113646,0.36512
-0.91681,-0.114434,0.382577
-0.918448,-0.113914,0.378784
-0.914293,-0.105237,0.391145
-0.910397,-0.102354,0.400875
-0.907418,-0.102819,0.407455
-0.910343,-0.10527,0.400242
-0.92438,-0.110194,0.36521
-0.925684,-0.115744,0.360156
-0.920626,-0.116581,0.372636
-0.922998,-0.11868,0.366045
-0.928713,-0.127764,0.348093
-0.934131,-0.131651,0.331765
-0.928556,-0.12533,0.349393
-0.934021,-0.126612,0.334027
-0.932368,-0.124736,0.339309
-0.929821,-0.122276,0.347106
-0.930133,-0.122124,0.346321
-0.932159,-0.121866,0.340924
-0.934573,-0.119217,0.335204
-0.936494,-0.123039,0.328391
-0.932328,-0.122578,0.340204
-0.928999,-0.122951,0.349062
-0.937705,-0.130587,0.321959
-0.932875,-0.126828,0.337133
-0.932819,-0.125434,0.337809
-0.933787,-0.122268,0.336291
-0.933095,-0.122163,0.338245
-0.929429,-0.120808,0.348666
-0.927906,-0.119058,0.353292
-0.92627,-0.116225,0.358492
-0.932068,-0.118622,0.342314
-0.932461,-0.119824,0.340822
-0.926063,-0.118299,0.358346
-0.929316,-0.119836,0.349301
-0.925978,-0.119762,0.358081
-0.921481,-0.116439,0.37056
-0.918666,-0.11406,0.378211
-0.920997,-0.109885,0.37375
-0.919414,-0.109345,0.377785
-0.918748,-0.108526,0.379637
-0.923245,-0.110724,0.367913
-0.923068,-0.110626,0.368384
-0.919925,-0.109082,0.376615
-0.931404,-0.113907,0.345704
-0.923032,-0.113964,0.367457
-0.918087,-0.111367,0.380411
-0.916548,-0.109032,0.384774
-0.914007,-0.109356,0.390683
-0.915414,-0.10811,0.387723
-0.910952,-0.105758,0.398724
-0.911311,-0.104887,0.398135
-0.910477,-0.106962,0.399488
-0.91513,-0.109854,0.387903
-0.927939,-0.113916,0.354898
-0.929189,-0.115328,0.351153
-0.927273,-0.116045,0.355947
-0.922142,-0.118941,0.368112
-0.926627,-0.123296,0.355191
-0.927199,-0.124986,0.3531
-0.923928,-0.123423,0.362111
-0.923714,-0.121236,0.363392
-0.92674,-0.121403,0.355547
-0.92586,-0.119475,0.358481
-0.926567,-0.114685,0.358218
-0.923436,-0.109296,0.367859
-0.924563,-0.104956,0.36629
-0.922475,-0.103409,0.371951
-0.926689,-0.105084,0.360839
-0.926305,-0.105766,0.361625
-0.92186,-0.0999752,0.374406
-0.917825,-0.0957447,0.385267
-0.916427,-0.0915511,0.38959
-0.915429,-0.0907374,0.392117
-0.917838,-0.0907225,0.386449
-0.914359,-0.0881008,0.395203
-0.913158,-0.0906176,0.397405
-0.910487,-0.0911371,0.403371
-0.908035,-0.090593,0.40898
-0.909132,-0.0917388,0.40628
-0.907789,-0.092006,0.409211
-0.912722,-0.0958589,0.397177
-0.917078,-0.0929414,0.387724
-0.917975,-0.0913805,0.385969
-0.917789,-0.0917973,0.386312
-0.913045,-0.0936397,0.396964
-0.913836,-0.0937742,0.395108
-0.917922,-0.0952431,0.38516
-0.91588,-0.0962911,0.389733
-0.904661,-0.0965778,0.415043
-0.893529,-0.0935842,0.439145
-0.89185,-0.0933992,0.442584
-0.896414,-0.0922915,0.433502
-0.898858,-0.0878923,0.429335
-0.901989,-0.0854453,0.423221
-0.901978,-0.083761,0.42358
-0.900242,-0.0803188,0.427917
-0.900226,-0.0782616,0.428333
