x,y,z
-0.74266,0.377039,0.553441
-0.686535,0.475153,0.550363
-0.640227,0.5367,0.549603
-0.615381,0.55523,0.559488
-0.588264,0.56045,0.582959
-0.559833,0.566445,0.604753
-0.567353,0.537759,0.62364
-0.553828,0.545892,0.628711
-0.540515,0.538023,0.646819
-0.526134,0.530003,0.665042
-0.527998,0.523066,0.669044
-0.532101,0.519273,0.668748
-0.532553,0.494316,0.68705
-0.533571,0.501418,0.681089
-0.504388,0.487841,0.712463
-0.523458,0.446956,0.725412
-0.496159,0.493745,0.714172
-0.496256,0.502323,0.708098
-0.507521,0.490687,0.708271
-0.510194,0.469722,0.720461
-0.528265,0.497053,0.688386
-0.547778,0.49075,0.677572
-0.522652,0.531054,0.666946
-0.530288,0.548961,0.646093
-0.534201,0.557431,0.635532
-0.549395,0.550571,0.628519
-0.5415,0.562905,0.624433
-0.538722,0.571951,0.618587
-0.546035,0.565945,0.617699
-0.536064,0.56174,0.630145
-0.523381,0.546043,0.654148
-0.520357,0.545662,0.656872
-0.521442,0.5406,0.66019
-0.522869,0.543005,0.65708
-0.525906,0.541718,0.655717
-0.53713,0.530023,0.656176
-0.546852,0.522058,0.654529
-0.539084,0.52586,0.65792
-0.55748,0.496969,0.665009
-0.554998,0.512998,0.654836
-0.540502,0.51684,0.663878
-0.553541,0.515086,0.65443
-0.569477,0.515276,0.640457
-0.555835,0.517469,0.650595
-0.558177,0.51405,0.6513
-0.533936,0.533472,0.655988
-0.543789,0.490226,0.681156
-0.534896,0.490331,0.688086
-0.50934,0.514054,0.69016
-0.499412,0.530174,0.685203
-0.522074,0.514124,0.680526
-0.52255,0.531458,0.666703
-0.51592,0.531264,0.672001
-0.52849,0.571586,0.627684
-0.51487,0.605233,0.607126
-0.513157,0.605088,0.608718
-0.490404,0.613655,0.618814
-0.487919,0.59542,0.638287
-0.467265,0.612613,0.63747
-0.459676,0.605658,0.64952
-0.46823,0.566177,0.678383
-0.462748,0.545501,0.69878
-0.456411,0.552181,0.697699
-0.459959,0.556014,0.692305
-0.477248,0.536367,0.696092
-0.500305,0.522084,0.690741
-0.482527,0.54376,0.686653
-0.481791,0.550058,0.682139
-0.494318,0.542644,0.679108
-0.510553,0.533259,0.674515
-0.511712,0.54059,0.667767
-0.505141,0.534723,0.677425
-0.472556,0.565676,0.675797
-0.457964,0.574573,0.678332
-0.470544,0.56359,0.678937
-0.457384,0.57458,0.678717
-0.484914,0.533475,0.69301
-0.465843,0.546685,0.695791
-0.453636,0.564569,0.689548
-0.455016,0.588351,0.668434
-0.485006,0.558413,0.673011
-0.493794,0.543191,0.679052
-0.504399,0.536042,0.676935
-0.498311,0.564837,0.657758
-0.4892,0.557522,0.670711
-0.466986,0.558463,0.685596
-0.465068,0.570252,0.677144
-0.46415,0.568681,0.679093
-0.457547,0.574856,0.678374
-0.468379,0.56303,0.680895
-0.464197,0.563185,0.683626
-0.461096,0.549008,0.697123
-0.467547,0.550837,0.69136
-0.47647,0.553102,0.683414
-0.495509,0.529929,0.68822
-0.499277,0.524796,0.689429
-0.493986,0.53766,0.683301
-0.487975,0.533991,0.690459
-0.462431,0.555159,0.691344
-0.46068,0.555457,0.692273
-0.485648,0.535023,0.6913
-0.487866,0.536043,0.688944
-0.479754,0.538212,0.692939
-0.487003,0.531523,0.693045
