x,y,z
-0.416779,0.770714,0.48197
-0.465285,0.829394,0.309219
-0.477154,0.851801,0.21624
-0.485439,0.858795,0.163768
-0.487756,0.861301,0.142318
-0.502302,0.855088,0.128519
-0.516701,0.848459,0.114621
-0.525824,0.842332,0.118266
-0.533484,0.84049,0.0947227
-0.537979,0.839362,0.0777814
-0.538313,0.839486,0.0740403
-0.530693,0.843543,0.0824673
-0.522667,0.846596,0.100471
-0.51864,0.847107,0.115855
-0.513605,0.848991,0.124191
-0.515934,0.847115,0.127311
-0.520009,0.843507,0.134486
-0.53361,0.834106,0.139742
-0.542782,0.826924,0.146914
-0.558845,0.814738,0.154579
-0.568899,0.806041,0.163252
-0.57076,0.807613,0.148309
-0.568513,0.8111,0.137515
-0.566303,0.81529,0.120847
-0.561986,0.82036,0.105741
-0.557441,0.823903,0.10219
-0.556684,0.824967,0.0976333
-0.555934,0.825682,0.0958489
-0.557731,0.824471,0.0958326
-0.552041,0.829412,0.0855991
-0.552732,0.829274,0.0824149
-0.552147,0.829552,0.0835334
-0.547687,0.832221,0.0862938
-0.540302,0.835623,0.0990293
-0.545423,0.832618,0.0962347
-0.537793,0.835711,0.111201
-0.527219,0.841106,0.120749
-0.505939,0.854174,0.120048
-0.493317,0.860806,0.125103
-0.479155,0.867772,0.131843
-0.474192,0.86664,0.155167
-0.462766,0.872627,0.156112
-0.456626,0.873112,0.170786
-0.467208,0.86435,0.186051
-0.49015,0.850486,0.190859
-0.494874,0.846384,0.196811
-0.501242,0.844014,0.190777
-0.514427,0.836723,0.187775
-0.515052,0.839395,0.1736
-0.497542,0.850244,0.171867
-0.478375,0.862106,0.167124
-0.474041,0.863676,0.171317
-0.471998,0.863133,0.179497
-0.454982,0.869438,0.192532
-0.457207,0.867689,0.195136
-0.454313,0.868672,0.197505
-0.459894,0.864959,0.200856
-0.464913,0.860101,0.209958
-0.473342,0.855863,0.208438
-0.483983,0.850169,0.2073
-0.488391,0.845548,0.21569
-0.497043,0.842153,0.209108
-0.503225,0.837945,0.211217
-0.504164,0.840254,0.199478
-0.504407,0.83775,0.209164
-0.501884,0.838262,0.213144
-0.493962,0.842424,0.215228
-0.490944,0.845296,0.210828
-0.490878,0.846422,0.206416
-0.485656,0.846939,0.216409
-0.48658,0.847378,0.212581
-0.489915,0.846496,0.208394
-0.49695,0.842796,0.206726
-0.503669,0.838148,0.209346
-0.507245,0.838775,0.197886
-0.506016,0.839056,0.199833
-0.510543,0.833846,0.209874
-0.510516,0.832149,0.216566
-0.507326,0.83332,0.219542
-0.498257,0.833622,0.238356
-0.49444,0.833599,0.246255
-0.496357,0.835703,0.235012
-0.493234,0.838682,0.230937
-0.487946,0.840633,0.235042
-0.50193,0.83514,0.224963
-0.511154,0.830035,0.223077
-0.507179,0.831318,0.227332
-0.50524,0.834628,0.219383
-0.509318,0.835325,0.206947
-0.515656,0.832842,0.201179
-0.519771,0.830432,0.20055
-0.521519,0.829191,0.20115
-0.517662,0.829516,0.209593
-0.515835,0.830495,0.210218
-0.514695,0.83171,0.2082
-0.507606,0.834781,0.213251
-0.506737,0.838364,0.200904
-0.502704,0.840803,0.200846
-0.493032,0.84712,0.198262
-0.496582,0.844986,0.198509
-0.498716,0.843101,0.201154
-0.499158,0.843271,0.199337
-0.499326,0.843629,0.197395
-0.501007,0.842663,0.197256
-0.504317,0.842539,0.189191
-0.505592,0.844688,0.175723
-0.500863,0.845449,0.185342
-0.496904,0.847023,0.188785
-0.496892,0.848274,0.18311
-0.497218,0.848627,0.180573
-0.499653,0.847578,0.17877
-0.501695,0.849501,0.16325
-0.499647,0.851561,0.158734
-0.502605,0.851821,0.147611
-0.506847,0.85279,0.125921
-0.497727,0.856649,0.135719
-0.497412,0.858826,0.122472
-0.50027,0.860142,0.0994221
-0.501582,0.860896,0.0852896
-0.504905,0.8595,0.0795668
-0.505735,0.858207,0.0878194
-0.511484,0.856577,0.0682659
-0.513515,0.855837,0.0620074
-0.511034,0.856773,0.0691632
-0.511198,0.857008,0.0649178
-0.513866,0.856242,0.0528323
-0.517159,0.852756,0.0731716
-0.518777,0.852095,0.0693201
-0.516001,0.853313,0.0748291
-0.516807,0.853497,0.0667356
-0.518221,0.852911,0.0631678
-0.523169,0.850056,0.0608202
-0.522377,0.850087,0.0668883
-0.508661,0.855574,0.0962166
-0.506757,0.858955,0.0734459
-0.507298,0.858373,0.0764516
-0.509094,0.857935,0.0690758
-0.506333,0.859215,0.0733291
-0.502253,0.860779,0.0824663
-0.499023,0.861332,0.095307
-0.489877,0.865425,0.105165
-0.478102,0.871221,0.111319
-0.497832,0.847197,0.185528
-0.505434,0.843863,0.18009
-0.522396,0.837708,0.159212
-0.538188,0.825618,0.169437
-0.544591,0.821983,0.166627
-0.55955,0.818892,0.127746
-0.560065,0.821004,0.110813
-0.554311,0.826528,0.0979388
-0.550248,0.829792,0.0931232
-0.546367,0.832358,0.0930764
-0.540825,0.837519,0.0779135
-0.544308,0.835574,0.074463
-0.538141,0.839812,0.0715463
-0.530136,0.842838,0.092627
-0.528834,0.844012,0.0893229
-0.521424,0.847972,0.0951869
-0.526375,0.846717,0.0774556
-0.526414,0.847483,0.0682789
-0.522445,0.847837,0.0906892
-0.522686,0.846881,0.097934
-0.522382,0.847204,0.0967572
-0.524738,0.845618,0.0978822
-0.527097,0.843914,0.0998906
-0.534477,0.838767,0.103946
-0.535405,0.837973,0.105562
-0.542322,0.834077,0.101007
-0.539787,0.835996,0.0986999
-0.534263,0.838787,0.104874
-0.531434,0.839766,0.111223
-0.53163,0.839067,0.115482
-0.536866,0.836368,0.110741
-0.542935,0.834101,0.0974557
-0.537255,0.838088,0.0946901
-0.534228,0.839882,0.0959058
-0.532333,0.840693,0.0992763
-0.530534,0.841398,0.102876
-0.529306,0.841857,0.105414
-0.532207,0.839431,0.110053
-0.529039,0.840469,0.117174
-0.527455,0.840089,0.126657
-0.530693,0.839242,0.118481
-0.533685,0.837063,0.120441
-0.532284,0.834762,0.140876
-0.531285,0.837646,0.12683
-0.528599,0.839094,0.128469
-0.526434,0.841436,0.121871
-0.527288,0.840434,0.125051
-0.531106,0.839607,0.113959
-0.52911,0.840273,0.118247
-0.525699,0.841552,0.12422
-0.524675,0.840994,0.132077
-0.525192,0.841228,0.128487
-0.52186,0.844537,0.120082
-0.519529,0.845754,0.121613
-0.516406,0.846191,0.131472
-0.518327,0.845151,0.130604
-0.523989,0.843271,0.119707
-0.529302,0.8403,0.117199
-0.530064,0.839353,0.120495
-0.531908,0.838374,0.119174
-0.53629,0.834629,0.125645
-0.54044,0.832751,0.120213
-0.543888,0.83327,0.0992267
-0.541587,0.83411,0.104615
-0.540953,0.834742,0.102839
-0.536247,0.836609,0.11191
-0.534536,0.837135,0.116093
-0.532247,0.837937,0.120723
-0.530788,0.83881,0.121087
-0.527992,0.84021,0.123574
-0.537177,0.837046,0.103896
-0.541101,0.833595,0.111038
-0.540497,0.835041,0.102806
-0.538911,0.835633,0.106265
-0.53365,0.837133,0.120109
-0.531913,0.838398,0.118985
-0.530514,0.838494,0.124433
-0.529969,0.838715,0.125262
-0.528797,0.839441,0.125349
-0.526499,0.840803,0.125892
-0.524833,0.842074,0.124343
