x,y,z
-677.038,280.06,1438.73
-676.185,275.662,1417.69
-677.582,269.372,1396.27
-675.908,266.812,1388.37
-673.45,263.66,1377.27
-673.492,261.773,1361.3
-679.917,263.345,1353.13
-683.945,264.738,1361.31
-685.591,264.468,1355.15
-689.885,263.925,1338.46
-693.842,266.118,1340.82
-700.09,263.884,1345.7
-706.164,262.418,1367.45
-704.643,260.159,1377.93
-708.449,261.422,1395.63
-713.663,262.016,1424.38
-717.827,269.509,1452.68
-724.413,273.255,1477.84
-731.699,278.618,1493.43
-732.301,272.284,1509.71
-740.199,269.207,1517.88
-743.101,268.929,1519.26
-746.58,266.943,1522.26
-748,269.984,1527.13
-744.671,276.939,1523.76
-744.057,277.785,1506.98
-745.686,277.474,1483.16
-742.377,278.193,1472.81
-739.392,278.769,1460.12
-738.302,282.916,1456.99
-738.654,283.262,1460.05
-740.334,279.436,1469.47
-743.501,278.038,1478.49
-741.447,273.884,1482.11
-738.26,271.591,1477.22
-736.037,271.91,1476.67
-728.849,274.335,1474.5
-723.812,275.477,1465.28
-729.905,282.739,1476.14
-730.936,291.362,1491.56
-728.464,293.68,1501.28
-727.226,294.835,1505.14
-727.611,293.418,1511.07
-728.301,294.207,1513.54
-722.247,287.704,1508.57
-721.759,283.915,1508.9
-725.468,281.345,1505.32
-725.965,282.08,1498.75
-730.155,282.873,1489.75
-727.449,283.515,1485.48
-722.521,282.83,1475
-715.81,282.768,1474.27
-711.101,282.771,1477.73
-701.936,281.452,1483.45
-693.067,275.76,1490.56
-688.326,272.895,1496.27
-686.023,271.687,1499.8
-684.978,270.723,1503.01
-682.946,269.88,1502.23
-686.442,271.346,1500.92
-687.912,269.805,1502.3
-687.605,267.814,1502.74
-688.463,267.27,1505.08
-685.972,268.935,1496.64
-684.278,268.273,1487.63
-681.67,269.109,1473.01
-679.761,272.315,1461.48
-680.81,276.183,1452.87
-682.698,275.536,1452.89
-681.699,276.554,1451.61
-678.796,274.359,1447.57
-680.771,276.479,1441.8
-680.94,276.092,1446.57
-682.416,274.987,1452.76
-683.743,277.41,1451.06
-683.586,276.054,1452.75
-682.912,275.072,1452.85
-684.921,274.148,1454.86
-686.502,275.845,1458.1
-687.774,274.987,1461.92
-685.191,273.591,1464.51
-684.319,274.503,1457.57
-684.599,275.139,1456.11
-687.221,276.517,1457.41
-690.327,277.784,1459.49
-685.794,275.11,1465.63
-685.909,274.536,1460.9
-686.227,274.955,1458.2
-686.249,274.513,1457.77
-683.772,273.145,1455.66
-685.097,270.174,1459.92
-685.594,272.05,1458.61
-683.9,272.46,1458.2
-683.987,273.613,1452.02
-683.46,273.715,1452.32
-683.97,274.4,1453.28
-682.843,273.432,1454.57
-682.69,275.2,1449.46
-686.846,277.632,1451.1
-687.335,277.86,1456.79
-685.475,275.147,1454.44
-684.988,275.897,1452.13
-685.625,276.447,1454.27
-687.149,277.685,1457.53
-687.033,278.555,1455.08
-687.289,278.674,1458.43
-687.762,275.633,1462.61
-686.116,273.825,1461.31
-684.346,273.385,1456.91
-684.632,274.203,1453.76
-685.86,275.159,1458.91
-684.905,270.987,1464
-685.749,267.012,1458.29
-688.371,265.576,1455.11
-694.536,266.596,1454.5
-696.739,266.428,1457.41
-696.951,263.399,1456.66
-694.961,265.344,1445.71
-691.073,266.853,1433.01
-692.875,265.892,1420.85
-693.221,261.448,1420.09
-693.968,258.859,1416.78
-697.05,257.636,1413.43
-700.582,256.63,1418.31
-702.349,257.359,1423.06
-703.38,257.733,1421.8
-702.304,256.48,1422.06
-701.134,255.837,1420.27
-701.823,256.434,1416.17
-699.708,256.072,1415.95
-700.164,256.519,1410.34
-697.215,260.805,1404.41
-695.411,262.572,1395.6
-693.89,263.427,1396.14
-694.095,260.243,1398.78
