x,y,z
-651.593,109.416,1503.85
-647.856,107.666,1504.2
-646.589,108.012,1503.99
-649.053,108.436,1506.45
-657.939,104.192,1512.56
-655.986,99.351,1512.73
-658.269,103.299,1514.72
-662.206,101.317,1513.41
-668.583,96.5513,1515.29
-681.83,103.049,1521.39
-689.342,101.51,1526.65
-705.459,104.362,1545.99
-713.246,104.892,1562.27
-719.047,101.082,1582.89
-716.151,98.8161,1615.31
-714.597,97.3684,1647.29
-712.105,98.1372,1666.62
-719.856,101.251,1688.99
-724.048,103.403,1701.46
-719.152,102.681,1696.76
-719.24,101.245,1695.43
-718.606,102.08,1680.08
-717.54,101.231,1667.32
-717.163,100.371,1658.57
-717.937,97.5375,1649.03
-720.465,97.6741,1642.24
-725.771,101.504,1637.31
-726.478,102.143,1628.93
-730.19,105.577,1621.99
-733.462,106.713,1619.94
-733.239,107.876,1618.71
-729.764,107.463,1615.7
-730.66,108.804,1618.83
-729.922,109.183,1618.57
-727.072,108.567,1620.47
-723.045,109.695,1624.61
-721.592,108.541,1629.04
-718.388,107.453,1637.71
-716.593,109.683,1646.49
-713.557,110.47,1665.15
-708.581,109.81,1674.29
-705.598,108.584,1679.77
-703.609,108.532,1683.48
-703.764,109.166,1686.88
-702.046,110.383,1686.78
-701.927,107.857,1672.13
-701.595,107.301,1662.64
-700.29,108.128,1647.12
-705.424,110.137,1642.78
-699.57,111.047,1632.63
-696.122,112.759,1633.04
-686.714,111.246,1638.56
-681.468,113.466,1643.46
-674.842,113.461,1646.39
-665.24,110.432,1643.8
-655.184,108.57,1643.31
-650.944,106.352,1643.41
-649.629,105.894,1643.47
-647.033,102.903,1640.18
-647.827,104.579,1640.18
-647.714,104.918,1637.44
-647.077,104.961,1632.84
-647.946,102.898,1629.5
-644.138,101.182,1623.9
-642.039,101.207,1620.87
-639.428,99.6666,1618.56
-637.88,99.0999,1616.42
-638.537,100.272,1616.02
-639.162,101.617,1616.95
-640.018,101.388,1617.51
-640.724,96.5403,1612.69
-643.609,100.087,1613.93
-645.458,102.938,1614.66
-647.826,103.644,1614.4
-650.784,104.92,1617.48
-651.12,105.622,1617.48
-649.05,105.094,1614.99
-654.643,104.43,1620.74
-652.271,104.39,1619.17
-652.436,105.471,1618.04
-651.948,103.378,1614.12
-651.056,103.654,1613.72
-651.795,103.106,1614.03
-654.264,103.773,1616.95
-663.371,105.002,1630.5
-655.699,104.544,1619.19
-653.228,101.628,1615.22
-653.815,101.656,1616.11
-652.492,102.819,1616.21
-657.427,101.598,1619.71
-653.618,100.945,1615.08
-653.202,103.525,1614.23
-654.28,101.185,1613.13
-653.781,101.72,1612.86
-651.329,102.067,1610.46
-650.24,102.834,1610.27
-647.92,102.526,1607.08
-649.829,103.144,1609.03
-653.982,104.792,1615.66
-657.366,102.761,1618.45
-652.244,100.572,1613.91
-650.524,102.312,1613.7
-652.706,103.682,1615.37
-654.535,104.692,1614.43
-654.215,107.127,1613.15
-653.109,106.047,1611.86
-654.564,105.364,1612.27
-655.919,105.021,1613.08
-653.793,105.067,1609.41
-660.364,105.807,1616.4
-662.996,103.289,1617.45
-661.072,97.9772,1612.19
-661.279,97.325,1608.1
-661.397,95.4604,1602.41
-667.224,95.9903,1602.75
-670.147,95.594,1598.82
-672.615,93.5736,1591.02
-682.919,95.2144,1591.58
-681.654,95.0136,1584.18
-688.712,95.4404,1583.38
-689.924,92.5858,1577.76
-688.084,91.8106,1570.29
-690.443,91.5176,1568.54
-689.211,92.0043,1567
-689.116,90.5803,1565.32
-690.598,91.1617,1564.82
-690.708,91.5694,1562.08
-689.981,89.8508,1560.73
-688.751,90.304,1561.07
-687.714,88.4857,1558.47
-696.372,91.8777,1564.91
-691.112,90.9989,1562.79
-692.294,91.3282,1564.31
-689.006,90.9323,1560.16
-688.233,91.6973,1558.91
-686.013,91.1486,1557.11
-683.163,92.2681,1557.81
-683.002,96.6592,1564.82
-684.747,99.842,1574.38
-684.038,99.8445,1582.1
-678.685,96.3155,1587.47
-676.67,102.367,1600.81
-627.72,90.6034,1668.31
-629.271,93.4643,1664.01
-634.459,97.6443,1665.28
-633.31,93.4979,1647.64
-637.924,94.5102,1640.29
-643.177,96.895,1635.26
-649.058,98.6856,1630.65
-654.437,101.317,1618.01
-658.85,100.469,1608.73
-668.164,101.793,1609.05
-668.137,100.354,1606.69
-668.37,99.7581,1605.49
-668.546,99.9769,1603.18
-682.96,103.832,1617.36
-680.318,105.387,1619.35
-676.352,104.775,1621.88
-676.025,104.381,1627.8
-679.611,104.651,1635.86
-674.784,103.998,1634.63
-670.367,102.331,1635.06
-665.276,99.1365,1634.16
-662.724,99.0027,1631.95
-663.228,99.8056,1634.01
-663.175,99.2169,1631.36
-665.174,99.6135,1633.01
-663.791,99.4256,1629.66
-665.096,98.5611,1628.98
-665.823,99.7754,1628.65
-667.661,98.7148,1629.19
-668.781,98.9589,1631.41
-667.951,98.933,1635.97
-669.558,105.27,1643.99
-668.527,104.268,1639.69
-669.229,101.769,1637.2
-674.174,104.091,1646.37
-670.589,102.598,1638.8
-668.925,101.186,1636.58
-668.665,100.107,1634.47
-671.744,102.028,1638.53
-672.455,103.892,1637.01
-672.123,102.229,1633.71
-670.397,100.823,1633.82
-667.12,99.7068,1626.3
-670.297,101.934,1630.91
-675.069,101.263,1635.16
-667.68,100.051,1626.76
-666.242,97.616,1623.32
-668.014,99.2874,1626.21
-666.02,98.7049,1622.24
-671.187,99.9185,1630.1
-671.455,100.743,1630.23
-672.393,101.581,1633.4
-673.323,101.629,1634.11
-670.805,99.2207,1629.6
-670.985,99.2675,1630.28
-671.352,100.815,1630.08
-671.229,99.0841,1630.6
-670.436,99.1012,1629.17
-670.488,98.4728,1630.37
-670.383,98.498,1630.7
-659.602,99.5703,1628.7
-659.789,98.6842,1632.99
-663.583,99.4113,1640.43
-666.01,100.231,1646.18
-665.086,99.7433,1646.19
-661.885,99.5046,1640.59
-664.224,96.959,1640.48
-658.819,95.1314,1637.03
-662.841,97.0263,1643.36
-662.205,96.9704,1643.02
-665.338,98.4619,1645.52
-665.17,99.3343,1641.87
-669.363,98.7138,1642.62
-671.475,98.4386,1640.94
-664.945,100.37,1636.28
-664.866,99.2915,1637.57
-663.802,99.4257,1637.08
-668.879,101.12,1643.24
-669.017,102.145,1644.62
-668.622,100.713,1641.09
-666.815,99.5819,1638.36
-667.12,98.1015,1638.49
-666.611,97.2254,1635.93
-667.732,98.2599,1637.64
-669.397,100.424,1640.13
-668.886,101.995,1641.34
-667.863,102.283,1637.73
-667.579,100.229,1636.33
-670.166,101.428,1639.87
-669.586,103.778,1639.28
-666.637,101.667,1638.11
-666.187,101.276,1638.96
-665.684,99.7339,1635.39
-666.872,100.629,1637.69
-666.798,99.9103,1637.79
-668.835,100.843,1640.82
-663.626,101.137,1634.75
-662.494,99.4234,1634.04
-662.35,100.726,1634.26
-666.191,100.961,1637.84
-664.511,101.069,1634.44
-668.789,100.513,1638.33
-664.127,99.5291,1637.53
-663.47,98.6362,1639.12
-667.059,100.37,1644.38
-661.675,99.2127,1644.66
-659.997,98.395,1644.73
-657.365,98.9777,1642.46
-656.803,97.5584,1640.75
-656.461,96.2749,1638.46
