x,y,z
-549.528,382.02,1561.82
-549.043,381.413,1562.36
-551.376,381.914,1566.99
-551.514,382.853,1563.47
-555.689,378.584,1559.58
-557.086,375.111,1559.53
-564.763,379.772,1567.89
-570.082,378.408,1566.13
-573.721,374.081,1559.31
-585.008,379.639,1567.5
-591.474,377.621,1573.8
-602.353,378.764,1592.08
-605.394,377.97,1605.37
-607.487,372.77,1625.33
-610.215,373.168,1656.75
-610.237,372.887,1683.62
-609.094,374.354,1701.17
-615.809,377.281,1721.74
-622.673,380.081,1736.91
-621.318,380.412,1733.78
-626.206,380.2,1735.48
-629.373,380.99,1727.91
-630.103,380.632,1715.69
-634.059,380.37,1710.94
-635.994,377.978,1701.01
-638.687,377.961,1695.41
-642.973,380.43,1695.62
-641.032,380.401,1686.73
-641.754,381.793,1684.62
-640.001,381.559,1681.82
-638.467,382.258,1680.54
-637.088,381.872,1680.28
-635.202,382.68,1681.65
-632.884,382.805,1679.19
-630.749,382.267,1682.37
-627.428,383.458,1687.56
-622.085,381.465,1689.63
-617.674,380.387,1696.33
-613.196,382.017,1707.39
-610.138,383.391,1721.16
-605.62,383.149,1727.96
-601.172,381.836,1730.41
-599.135,381.824,1733.59
-598.025,382.503,1734.34
-598.851,384.497,1735.01
-600.09,381.588,1724.7
-602.718,381.698,1717.36
-604.868,382.738,1706.63
-609.869,384.283,1704.29
-603.891,384.862,1695.47
-596.308,385.691,1693.14
-585.847,384.395,1695.9
-580.007,385.786,1703.62
-570.651,385.431,1703.38
-560.887,382.642,1701.58
-553.587,381.455,1701.67
-550.37,379.648,1701.02
-549.039,379.581,1699
-546.246,377.337,1690.48
-547.818,379.09,1692.01
-549.439,379.744,1689.09
-548.707,379.808,1685.31
-549.381,377.663,1682.58
-549.437,376.471,1681.42
-549.014,377.226,1677.69
-548.207,376.218,1676.52
-548.43,375.985,1675.21
-549.367,377.43,1673.78
-549.683,378.738,1675.11
-549.963,378.501,1674.37
-548.4,373.202,1667.89
-551.007,375.877,1672.64
-553.455,378.369,1675.93
-554.228,379.15,1672.8
-555.68,380.093,1675.09
-556.19,380.751,1675.59
-556.003,380.46,1674.98
-559.728,379.487,1679.17
-559.8,379.625,1680.51
-562.114,380.205,1684.46
-560.698,378.166,1679.19
-559.83,378.512,1678.61
-560.881,378.164,1678.55
-561.752,378.746,1680.18
-566.042,379.61,1687.19
-562.825,379.648,1680.47
-562.206,376.883,1679.45
-563.449,377.252,1679.46
-563.586,378.685,1680.28
-565.032,377.395,1678.66
-562.916,376.936,1675.75
-563.928,378.982,1679.07
-563.712,376.603,1676.44
-564.08,377.17,1677.34
-563.842,377.472,1677.68
-563.811,378.221,1679.16
-563.049,377.907,1678.01
-564.123,378.599,1678.7
-567.623,380.407,1683.93
-567.874,378.326,1682.66
-565.384,376.385,1680.56
-565.055,378.48,1680.76
-567.524,379.484,1683.78
-568.968,380.039,1684.47
-569.24,382.251,1684.79
-568.12,380.941,1684.51
-567.597,380.265,1682.18
-566.365,380.111,1678.92
-566.823,379.746,1678.89
-570.205,380.039,1684.37
-571.462,377.367,1684.67
-569.85,372.185,1677.68
-570.857,371.722,1674.43
-572.897,369.884,1671.93
-576.792,370.251,1670.68
-580.967,370.037,1664.43
-582.838,367.785,1658.67
-587.834,368.79,1655
-587.354,368.928,1644.81
-592.259,369.017,1644.06
-594.329,366.237,1640.41
-592.173,365.497,1632.87
-594.256,364.391,1634.38
-595.226,364.861,1636.11
-595.039,363.617,1632.82
-596.169,364.211,1632.51
-596.757,364.721,1630.15
-597.157,363.291,1629.27
-596.442,363.87,1630.97
-593.828,362.185,1625.08
-598.399,364.325,1632.73
-596.079,363.767,1632.07
-596.877,364.055,1632.69
-594.329,363.457,1630.06
-591.411,364.132,1626.01
-588.904,363.676,1623.38
-586.942,364.97,1624.65
-586.972,369.214,1632.52
-585.101,371.941,1638.48
-582.567,371.929,1643.35
-575.219,368.377,1645.42
-571.726,373.407,1660.7
-526.457,364.887,1711.02
-529.67,368.722,1708.55
-534.654,372.622,1713.12
-534.385,369.083,1694.86
-540.675,371.007,1686.19
-548.138,373.878,1683.21
-557.829,375.525,1681.01
-565.357,377.848,1675.94
-566.677,376.806,1663.82
-573.704,377.724,1663.12
-576.238,376.939,1662.24
-576.19,376.351,1660.81
-575.916,376.532,1658.07
-581.75,378.191,1667.86
-579.597,379.715,1670.77
-577.535,379.453,1675.29
-574.419,378.888,1676.38
-576.223,378.998,1681.66
-572.591,378.732,1680.08
-570.547,377.764,1682.02
-568.62,375.401,1682.98
-568.108,375.75,1682.19
-568.942,376.685,1684.26
-567.343,375.586,1681.56
-569.675,375.754,1687.1
-569.622,375.746,1684.16
-571.054,374.91,1683.1
-573.618,375.822,1686.85
-573.531,374.942,1683.19
-573.933,375.465,1684.69
-575.399,376.183,1688.45
-579.177,382.349,1700.46
-578.856,380.913,1698.99
-578.58,378.192,1696.04
-581.806,380.45,1702.68
-577.42,378.62,1695.49
-577.418,377.326,1695.31
-575.259,376.086,1690.94
-577.679,377.47,1696.54
-577.716,378.954,1695.75
-576.585,376.847,1693.24
-575.777,376.071,1691.88
-573.989,375.03,1686.33
-577.097,377.03,1691.9
-578.411,376.259,1690.66
-575.447,375.526,1687.09
-573.381,373.337,1681.76
-576.71,375.252,1686.01
-575.115,374.463,1683.63
-578.297,375.503,1689.26
-578.718,376.313,1689.76
-579.371,377.221,1692.18
-580.17,377.184,1693.1
-578.157,375.007,1688.32
-579.393,374.902,1691.27
-579.009,376.355,1690.39
-578.742,374.643,1690.62
-578.238,374.786,1689.06
-578.399,374.19,1690.28
-579.172,374.474,1690.76
-575.639,376.842,1692.79
-575.488,376.986,1691.89
-579.049,377.926,1698.18
-581.656,379.113,1702.47
-581.111,378.724,1702.65
-579.514,378.296,1700.25
-580.114,375.556,1699.72
-577.031,374.241,1696.6
-581.305,375.59,1705.49
-580.313,375.57,1704.45
-582.674,376.582,1708.04
-580.987,377.06,1704.09
-583.737,375.935,1705.13
-582.565,374.866,1702.32
-581.725,376.765,1704.85
-580.556,376.179,1702.89
-581.018,376.696,1702.91
-583.426,378.568,1704.65
-585.368,379.269,1709.92
-582.146,377.497,1704.23
-581.002,376.438,1702.01
-581.618,375.107,1702
-580.776,374.175,1699.29
-581.534,375.162,1700.74
-583.793,377.126,1705.67
-583.919,378.822,1706.82
-580.847,378.811,1701.56
-580.326,377.179,1697.82
-582.504,378.012,1702.38
-583.263,380.429,1703.33
-583.521,378.773,1705.35
-581.678,378.746,1702.17
-580.023,377.174,1696.99
-581.489,377.873,1700.41
-579.955,377.28,1697.85
-581.812,378.231,1700.57
-578.028,378.423,1696.93
-579.017,377.031,1697.67
-581.403,378.041,1702.2
-582.758,378.25,1702.69
-582.066,378.249,1701.11
-582.313,377.776,1699.01
-581.55,377.849,1698.69
-580.869,377.413,1698.35
-583.674,379.061,1703.09
-582.804,378.604,1706.17
-580.961,378.177,1704.29
-581.132,378.533,1706.47
-579.566,377.15,1703.49
-577.893,375.95,1699.18
-579.313,377.451,1701.87
-578.703,377.675,1699.17
-579.181,376.365,1698.98
-581.865,378.229,1705.66
-580.28,377.834,1703.19
-578.213,376.311,1697.1
-578.9,375.912,1695.17
-580.257,376.616,1695.01
-580.714,377.376,1695.13
-579.773,377.54,1695.72
-580.028,376.944,1695.13
-579.815,376.542,1696.98
-578.839,377.391,1696.12
-578.268,376.488,1694.91
-580.056,377.153,1699
-577.788,376.406,1695.81
-579.439,375.972,1697.05
-579.059,374.718,1697.48
-580.171,375.632,1700.35
-579.172,375.501,1698.87
-576.429,374.951,1693.29
-575.685,374.924,1688.33
-578.349,375.7,1693.67
-579.069,376.22,1694.59
-577.564,375.984,1691.32
-577.687,376.977,1693.97
-578.107,377.026,1694.64
-576.672,377.183,1693
-575.267,377.733,1690.99
-573.543,376.81,1687.19
-571.824,377.366,1686.85
-570.283,378.555,1685.8
-566.819,378.808,1680.56
-567.828,379.837,1681.57
-567.394,379.205,1679.25
-563.225,378.913,1672.91
-564.39,379.626,1672.61
-565.536,381.844,1673.05
-564.416,379.765,1669.35
-564.711,381.12,1669.84
-564.316,380.527,1669
-562.659,379.759,1666.16
-562.002,379.192,1666.15
-561.146,379.647,1663.52
-558.477,378.65,1658.18
-560.47,381.885,1662.98
-560.26,381.321,1661.43
-561.806,381.69,1664.41
-560.163,378.577,1661.71
-559.392,380.281,1660.7
-556.889,378.383,1652.79
-556.102,378.691,1653.27
-557.436,379.251,1654.86
-558.852,380.709,1659.44
-557.938,381.602,1658.09
-555.089,379.641,1651.91
-556.554,380.321,1654.63
-558.053,381.592,1656
-559.509,384.627,1660.02
-559.911,386.189,1659.88
-557.523,382.39,1654.05
-555.715,379.77,1651.65
-553.176,377.926,1646.52
-556.629,382.341,1653.39
-555.937,384.062,1655.86
-553.463,382.363,1651.53
-555.319,383.771,1653.88
-553.577,381.639,1648.24
-553.849,381.242,1650.71
-549.783,380.361,1640.88
-551.045,380.006,1643.51
-551.293,380.872,1644.15
-550.54,379.761,1642.74
-550.027,379.996,1642.49
-550.306,381.498,1645.19
-551.346,382.053,1647.27
-550.758,383.539,1647.57
-551.6,384.744,1650.38
-547.245,384.426,1650.46
-542.411,381.977,1643.01
-540.475,380.905,1642.3
-538.278,381.642,1645.4
-529.179,380.555,1643.3
-515.092,377.999,1642.88
-502.658,376.669,1647.19
-493.415,376.619,1650.13
-480.348,377.666,1649.75
-459.177,378.781,1639.01
-438.282,378,1621.44
-419.797,378.434,1598.52
