x,y,z
-518.214,269.261,1768.42
-523.662,271.12,1770.91
-526.915,275.547,1773.66
-525.622,277.351,1771.73
-521.413,277.483,1771.42
-522.196,274.833,1767.11
-520.488,275.332,1771.86
-521.746,269.666,1770.43
-521.965,267.31,1769.71
-528.975,271.632,1776.82
-533.988,271.319,1780.9
-542.987,277.677,1798.98
-543.976,278.858,1809.51
-541.993,277.939,1824.27
-538.021,287.989,1850.68
-529.507,288.993,1872.84
-516.251,287.993,1889.92
-514.127,287.997,1912.46
-523.553,288.005,1934.24
-534.769,277.509,1936.63
-552.865,271.275,1940.84
-562.357,267.658,1939.93
-577.682,265.322,1932.96
-589.315,260.678,1924.5
-592.658,270.839,1911.75
-598.832,268.92,1901.37
-602.42,271.962,1899.69
-601.71,269.986,1894.35
-600.945,269.987,1887.19
-598.975,269.51,1880.62
-596.998,260.754,1872.81
-593.003,263.877,1872.9
-591.002,268.441,1877.96
-584.998,276.724,1881.98
-580.003,278.86,1881.99
-579.508,280.926,1883.49
-571.745,270.972,1891.76
-561.867,268.987,1899.88
-554.435,265.994,1902.44
-543.702,263.998,1913.71
-534.349,263.998,1920.86
-530.671,263.002,1925.43
-531.837,262.001,1929.22
-533.918,262.502,1930.11
-535.454,263.253,1932.06
-536.28,262.105,1924.52
-537.132,262.058,1915.76
-536.045,271.042,1901.4
-535.516,280.521,1901.69
-532.755,270.261,1889.84
-526.87,271.638,1887.93
-518.93,270.821,1883.47
-513.474,278.411,1889.24
-500.728,271.713,1891.13
-490.87,267.846,1895.05
-484.943,268.415,1896.01
-481.476,269.201,1896
-478.235,272.101,1894
-476.123,266.05,1888.01
-477.558,264.026,1883
-477.276,262.014,1878.5
-477.141,260.004,1872.75
-475.565,260.504,1872.36
-475.268,263.262,1871.19
-474.138,263.631,1870.1
-474.068,264.318,1867.55
-475.031,272.661,1862.78
-476.018,275.329,1856.39
-477.505,276.663,1854.19
-478.257,278.829,1854.09
-475.629,279.417,1851.05
-477.819,281.71,1853.53
-479.408,282.857,1858.26
-480.206,281.929,1854.63
-483.605,282.465,1856.32
-485.304,282.733,1857.66
-486.148,282.868,1857.33
-489.577,287.932,1869.16
-489.294,288.463,1867.58
-493.155,293.731,1873.79
-491.076,289.367,1867.4
-494.036,285.682,1862.7
