x,y,z
-321.304,302.969,1742.5
-325.869,288.995,1735.95
-329.154,281.519,1732.3
-328.975,277.162,1723.03
-326.071,278.573,1716.43
-326.571,286.1,1714.25
-326.939,290.924,1712.44
-336.444,293.066,1708.85
-340.627,297.191,1701.78
-344.827,307.037,1707.37
-349.724,314.543,1717.11
-357.696,318.295,1731.5
-362.63,318.586,1740.45
-361.915,318.745,1746.04
-360.593,314.28,1757.84
-358.431,310.944,1763.66
-355.371,309.231,1766.07
-354.825,311.511,1782.91
-358.715,315.544,1807.12
-363.923,317.692,1823.7
-379.369,320.129,1842.18
-390.309,321.239,1846.11
-400.487,326.909,1852.66
-413.45,331.646,1860.46
-419.963,323.306,1855
-416.151,321.502,1860.75
-412.461,310.02,1862.86
-410.538,303.773,1850.98
-408.364,311.564,1852.48
-409.234,316.743,1847.34
-417.011,327.111,1846.35
-415.673,340.518,1846.29
-415.376,349.663,1849.41
-410.755,346.848,1837.85
-402.726,343.882,1828.94
-400.496,340.427,1835.44
-392.23,329.651,1834.11
-382.924,323.32,1831.95
-372.933,318.444,1843.11
-363.252,319.218,1848.53
-355.911,316.402,1849.54
-352.479,314.659,1852.26
-352.156,313.857,1858.7
-353.33,313.817,1865.43
-353.711,314.832,1869.62
-353.309,313.552,1863.87
-350.859,314.726,1856.13
-350.133,315.909,1846.3
-348.76,316.742,1839.58
-346.614,314.213,1832.94
-337.325,315.204,1836.32
-330.185,312.174,1836.8
-326.974,312.219,1843.79
-314.979,312.615,1839.18
-305.043,311.42,1834.87
-299.736,310.77,1833.06
-296.632,309.934,1828.86
-294.511,309.16,1823.23
-292.772,308.671,1813.64
-292.114,310.793,1812.98
-291.863,311.135,1807.88
-291.325,310.874,1803.12
-290.977,311.016,1800.24
-290.412,310.681,1797.1
-289.779,310.165,1793.79
-289.173,309.805,1790.78
-289.216,310.134,1792.25
-289.42,309.91,1791.98
-290.121,310.403,1794.24
-290.681,310.753,1795.85
-289.782,309.391,1789.04
-290.016,310.427,1793.05
-291.207,310.81,1795.97
-292.408,311.062,1798.56
-294.136,312.228,1805.51
-295.618,312.731,1809.27
-298.396,313.059,1805.44
-301.209,314.508,1810.98
-303.395,314.16,1811.79
-310.372,312.297,1813.69
-314.453,307.752,1808.25
-316.569,307.716,1807.56
-316.883,308.951,1804.27
-316.586,310.633,1805.15
-316.353,312.953,1808.48
-316.396,310.807,1802.31
-315.898,310.743,1800.21
-316.034,311.448,1801.89
-316.415,312.21,1804.34
-316.532,312.217,1804.03
-316.297,311.489,1802.05
-316.839,312.544,1805.96
-317.005,312.163,1804.62
-317.322,312.529,1806.72
-317.626,312.221,1806.19
-317.898,312.873,1809.06
-317.824,312.014,1806.49
-317.659,312.267,1807.08
-318.135,313.397,1811.37
-318.154,313.4,1811.17
-317.848,312.583,1808.43
-317.966,312.72,1808.7
-317.668,312.626,1808.04
-317.361,312.765,1807.99
-317.743,313.121,1809.08
-317.954,313.152,1809.38
-317.913,312.785,1808.59
-317.717,312.392,1807.22
-317.463,312.227,1805.78
-316.973,313.226,1808.32
-317.44,314.305,1813.27
-317.259,313.401,1809.92
-317.966,314.311,1814.29
-329.788,311.663,1818.89
-337.259,308.368,1818.08
-341.387,305.371,1815.38
-344.881,297.442,1805.61
-354.677,297.465,1810.24
-360.783,296.319,1807.89
-363.923,296.898,1809.45
