x,y,z
-484.219,367.73,1647.38
-484.777,368.04,1648.85
-487.94,368.014,1654
-487.16,370.193,1649.99
-491.138,367.827,1646.2
-493.343,365.404,1646.87
-503.285,369.771,1656.78
-509.6,369.057,1655.78
-515.007,367.34,1650.32
-529.53,372.558,1660.46
-536.208,370.019,1666.9
-544.731,369.813,1683.6
-543.89,367.855,1694.1
-543.239,361.168,1711.93
-548.834,364.529,1745.7
-547.886,365.757,1772.11
-545.841,367.76,1789.11
-552.341,370.906,1809.59
-560.556,373.83,1825.72
-560.209,374.714,1823.33
-568.559,375.419,1827.26
-576.925,375.548,1822.59
-581.317,376.122,1812.39
-588.352,375.883,1809.18
-591.561,374.095,1799.93
-593.834,373.621,1794.15
-598.406,374.173,1794.4
-594.849,373.553,1784.73
-591.444,371.891,1780.15
-585.967,370.306,1775.13
-582.071,370.19,1772.39
-580.534,369.233,1772.03
-578.286,369.973,1773.21
-574.484,369.862,1769.78
-571.564,369.069,1772.43
-567.083,369.938,1776.8
-560.33,367.573,1777.83
-554.217,366.507,1783.31
-548.676,367.875,1793.54
-542.883,369.544,1805.19
-537.542,369.623,1811.42
-532.287,368.52,1813.26
-529.549,368.428,1815.84
-527.932,369.552,1816.24
-529.32,372.028,1817.47
-528.526,367.723,1805.11
-532.146,368.144,1798.72
-536.068,368.955,1789.45
-542.481,370.083,1788.19
-537.194,370.33,1779.89
-528.707,370.794,1776.78
-517.201,369.872,1778.76
-510.952,370.181,1785.94
-500.242,369.795,1784.53
-488.384,367.033,1780.83
-479.904,365.891,1779.85
-474.997,364.11,1777.57
-472.777,364.414,1774.75
-469.776,363.286,1766.25
-472.349,365.091,1768.79
-474.665,365.851,1766.58
-475.371,366.222,1764.19
-476.184,364.027,1761.6
-477.258,362.923,1761.38
-477.828,364.475,1758.67
-478.535,364.067,1758.88
-479.951,364.097,1758.61
-481.514,365.963,1757.75
-482.036,367.318,1759.27
-483.091,367.321,1759.18
-478.648,361.425,1750.18
-481.34,362.944,1754.86
-484.095,364.862,1758.35
-484.741,366.064,1755.2
