x,y,z
0.780382,-0.0364067,0.624242
0.789313,-0.00656837,0.613956
0.822372,-0.00359304,0.568939
0.839606,-0.0210423,0.542788
0.839134,-0.044823,0.542076
0.82106,-0.0469759,0.568905
0.793886,-0.0463434,0.606298
0.763498,-0.0492514,0.643929
0.721526,-0.0446643,0.690945
0.689513,-0.0486526,0.722637
0.66741,-0.0682261,0.741558
0.655865,-0.089222,0.749587
0.633052,-0.0869547,0.76921
0.633286,-0.108922,0.766215
0.633894,-0.107681,0.765887
0.628107,-0.135405,0.766255
0.630198,-0.12695,0.765985
0.632077,-0.121369,0.765342
0.639755,-0.155891,0.752603
0.653389,-0.153032,0.741394
0.63954,-0.140154,0.755874
0.609531,-0.167719,0.774818
0.571417,-0.193361,0.797555
0.555837,-0.199765,0.806932
0.574593,-0.198736,0.793944
0.571798,-0.174774,0.801562
0.576447,-0.195238,0.793468
0.565446,-0.204537,0.799021
0.547224,-0.224648,0.806275
0.514453,-0.280393,0.810381
0.527459,-0.338252,0.779341
0.534509,-0.368056,0.760812
0.539091,-0.357346,0.762683
0.554192,-0.323958,0.766761
0.573922,-0.283884,0.768129
0.597754,-0.255847,0.759758
0.612177,-0.231554,0.756057
0.613179,-0.218259,0.759193
0.623176,-0.2366,0.745434
0.64147,-0.244701,0.727075
0.655557,-0.244906,0.714329
0.659653,-0.248822,0.709187
0.658293,-0.230903,0.716474
0.677964,-0.228171,0.698787
0.688818,-0.228339,0.688035
0.705072,-0.21581,0.6755
0.733663,-0.221752,0.642312
0.729451,-0.208883,0.651359
0.71158,-0.195793,0.674774
0.694599,-0.201422,0.690624
0.706042,-0.218256,0.673698
0.724248,-0.238426,0.647006
0.748883,-0.237295,0.618761
0.753105,-0.244025,0.610971
0.764137,-0.243259,0.597428
0.773342,-0.231826,0.590084
0.777288,-0.22473,0.587638
0.779308,-0.220542,0.58655
0.788304,-0.219786,0.574693
0.798987,-0.206189,0.564895
0.815101,-0.208132,0.54064
0.820265,-0.207953,0.532842
0.821994,-0.212427,0.528394
0.817479,-0.217904,0.533148
0.815358,-0.206312,0.540949
0.807301,-0.20286,0.554177
0.801951,-0.203807,0.561549
0.803264,-0.20775,0.558217
0.800949,-0.204224,0.562826
0.793401,-0.208806,0.571765
0.784864,-0.222303,0.57842
0.779869,-0.220841,0.58569
0.777117,-0.226118,0.587333
0.779411,-0.224523,0.5849
0.784307,-0.230032,0.576149
0.781116,-0.23083,0.580151
0.780796,-0.233124,0.579665
0.771747,-0.239498,0.589107
0.773446,-0.247702,0.58346
0.774733,-0.254816,0.578669
0.780764,-0.237298,0.578012
0.770514,-0.229933,0.594507
0.777409,-0.227709,0.58633
0.769609,-0.2516,0.586855
0.766935,-0.244626,0.59327
0.760363,-0.230297,0.607298
0.751948,-0.235542,0.615707
0.746013,-0.238625,0.621709
0.749203,-0.234737,0.619349
0.75296,-0.240094,0.612704
0.747756,-0.234609,0.621144
0.744911,-0.220953,0.629513
0.746138,-0.216563,0.629586
0.751992,-0.216973,0.622439
0.762967,-0.218848,0.608265
0.756716,-0.214934,0.617402
0.755703,-0.220603,0.616642
0.751626,-0.219443,0.622016
0.757486,-0.223945,0.61324
0.758559,-0.21771,0.614158
0.761271,-0.222141,0.609196
0.769516,-0.224501,0.597866
0.770795,-0.218064,0.598601
0.772687,-0.211344,0.598573
0.768782,-0.206307,0.60532
0.756429,-0.20415,0.6214
0.755289,-0.218056,0.618053
0.757529,-0.217037,0.615667
0.754153,-0.21647,0.619995
0.747332,-0.20818,0.630996
0.742517,-0.208935,0.636407
0.733659,-0.200251,0.649341
0.718066,-0.185629,0.670763
0.702265,-0.171481,0.690954
0.684852,-0.153785,0.712269
0.688181,-0.167645,0.705905
0.66803,-0.157382,0.727301
0.635164,-0.157371,0.756175
0.599566,-0.155653,0.785043
0.59153,-0.160332,0.790181
0.578619,-0.156716,0.8004
0.552993,-0.147471,0.820031
0.566448,-0.145732,0.81111
0.568951,-0.141612,0.810087
0.579381,-0.144332,0.802176
0.588091,-0.139385,0.796694
0.587583,-0.142151,0.79658
0.58446,-0.15853,0.795786
0.605694,-0.184152,0.774095
0.621823,-0.197314,0.757894
0.59571,-0.193447,0.779556
0.561296,-0.210177,0.800483
0.58224,-0.227111,0.780652
0.583086,-0.225573,0.780466
0.563751,-0.212711,0.798084
0.552532,-0.193049,0.810827
0.56227,-0.18268,0.806524
0.57563,-0.186653,0.796122
0.587161,-0.189016,0.787092
0.596604,-0.202161,0.776656
0.603711,-0.199177,0.771921
0.632189,-0.213498,0.744819
0.768634,-0.185871,0.61209
0.755269,-0.194736,0.625816
0.72369,-0.177416,0.666931
0.71254,-0.170003,0.680725
0.694371,-0.154471,0.702843
0.673019,-0.152482,0.723736
0.651518,-0.166411,0.740156
0.639765,-0.189503,0.744841
0.62163,-0.192408,0.759312
0.6176,-0.215439,0.75641
0.589877,-0.214659,0.778438
0.577209,-0.213161,0.788285
0.575179,-0.197942,0.793718
0.581077,-0.197295,0.789572
0.578886,-0.190816,0.792768
0.583575,-0.195005,0.788298
0.587126,-0.192814,0.786197
0.592378,-0.189812,0.782981
0.596137,-0.197977,0.778091
0.607961,-0.20894,0.765981
0.611374,-0.210546,0.762819
0.596974,-0.193915,0.778472
0.598723,-0.181897,0.780028
0.616973,-0.19408,0.762678
0.621366,-0.188087,0.76061
0.629253,-0.202335,0.750401
0.632037,-0.21124,0.745592
0.634557,-0.208755,0.74415
0.641182,-0.212671,0.737331
0.628225,-0.207162,0.749944
0.625995,-0.211387,0.750631
0.621851,-0.200827,0.756948
0.608142,-0.198917,0.768502
0.618363,-0.204138,0.758917
0.624264,-0.207477,0.753158
0.619343,-0.204656,0.757978
0.62018,-0.19538,0.759739
0.616852,-0.184309,0.765195
0.607521,-0.178348,0.774022
0.60388,-0.182368,0.775932
0.603669,-0.186484,0.775118
0.611627,-0.188464,0.768371
0.60758,-0.17818,0.774015
0.610778,-0.184518,0.770002
0.597971,-0.180533,0.780922
0.614188,-0.189913,0.765968
0.623905,-0.202701,0.754755
0.612683,-0.197421,0.765274
0.61777,-0.204245,0.759371
0.61929,-0.204262,0.758127
0.634471,-0.209805,0.743928
0.631263,-0.208651,0.746975
0.610079,-0.190588,0.769077
0.625211,-0.207869,0.752264
0.61205,-0.191658,0.767243
0.602226,-0.177603,0.778319
0.598797,-0.173458,0.781892
0.625553,-0.195217,0.755363
0.606687,-0.193294,0.771082
0.591871,-0.170942,0.787698
0.58958,-0.170082,0.7896
0.596758,-0.167475,0.78475
0.586814,-0.169596,0.791762
0.599228,-0.182898,0.779406
0.61017,-0.178327,0.771941
0.620649,-0.183028,0.762427
0.621971,-0.176198,0.762959
0.621028,-0.179773,0.762893
0.613343,-0.177979,0.769502
0.619924,-0.204407,0.757569
0.610711,-0.195186,0.767421
0.613381,-0.194054,0.765576
0.606946,-0.19307,0.770935
0.611824,-0.18619,0.768769
0.610463,-0.189417,0.769061
0.609734,-0.200454,0.766839
0.607796,-0.218112,0.763552
0.61393,-0.210372,0.760811
0.612653,-0.193434,0.766316
0.615815,-0.193566,0.763743
0.61374,-0.190965,0.766065
0.610636,-0.191546,0.768397
0.60949,-0.188296,0.770109
0.612158,-0.179817,0.770019
0.618933,-0.183704,0.763659
0.614976,-0.182847,0.767054
0.618057,-0.180269,0.765185
0.622248,-0.203265,0.75597
0.620931,-0.194724,0.759294
0.617488,-0.196317,0.761688
0.609802,-0.179072,0.772059
0.616645,-0.18749,0.764589
0.621208,-0.175675,0.7637
0.610593,-0.173486,0.772709
0.620758,-0.180404,0.762964
0.637446,-0.192097,0.746164
0.630428,-0.192918,0.751893
0.626052,-0.188197,0.75673
0.619412,-0.185447,0.762848
0.62314,-0.175973,0.762056
0.620172,-0.181089,0.763278
0.62385,-0.187383,0.758748
0.640088,-0.199125,0.742049
0.624964,-0.182039,0.759132
0.6257,-0.185671,0.757645
0.617281,-0.169163,0.768341
0.610528,-0.173384,0.772783
0.607181,-0.174395,0.775189
0.619608,-0.183818,0.763083
0.63569,-0.195934,0.746665
0.637256,-0.206416,0.742494
0.632273,-0.20904,0.746011
0.651814,-0.216914,0.726696
0.647063,-0.214337,0.731689
0.650344,-0.215273,0.728498
0.649482,-0.216041,0.72904
0.652102,-0.213367,0.727487
0.645161,-0.207249,0.735401
0.642704,-0.211137,0.736446
0.640231,-0.213043,0.738049
0.625976,-0.198585,0.754134
0.626554,-0.196832,0.754114
0.631129,-0.207409,0.747434
0.627746,-0.206074,0.750646
0.627091,-0.20746,0.750811
0.621667,-0.205798,0.755763
0.622509,-0.207633,0.754566
0.624767,-0.209462,0.752191
0.626601,-0.213576,0.749505
0.616498,-0.206824,0.759707
0.612307,-0.203542,0.76397
0.614713,-0.196443,0.763896
0.618783,-0.200222,0.759618
0.615714,-0.206085,0.760543
0.608074,-0.205357,0.766861
0.5706,-0.183754,0.800406
0.570057,-0.162074,0.805461
0.469877,-0.070132,0.879941
0.393598,0.10611,0.913138
0.332193,0.252526,0.908778
0.296225,0.519176,0.80169
0.239836,0.698881,0.673828
0.11183,0.804726,0.583018
0.0879552,0.881483,0.463952
0.0754665,0.913763,0.399176
0.0443295,0.921599,0.385603
0.0336275,0.923164,0.382933
0.0314574,0.925447,0.377569
0.0562253,0.92715,0.370448
0.121951,0.931542,0.342575
0.130803,0.928689,0.347027
0.127496,0.924868,0.35828
0.108732,0.92076,0.374671
0.0874589,0.917108,0.388927
0.0221364,0.922076,0.386375
0.0420322,0.907525,0.417891
0.0649336,0.895475,0.440349
0.0759534,0.89108,0.447446
0.014158,0.908246,0.418196
-0.0112901,0.941207,0.337641
0.0210448,0.891702,0.452134
0.0975293,0.836622,0.539028
0.185559,0.749265,0.635743
0.440819,0.535905,0.720059
0.526306,0.385185,0.758047
0.689865,0.172481,0.703091
0.771011,0.0313933,0.636048
0.812911,-0.0842575,0.576261
0.832297,-0.19769,0.51788
0.830798,-0.275612,0.483542
0.84996,-0.299734,0.433274
0.851822,-0.296322,0.431964
0.857178,-0.294926,0.422214
0.864815,-0.292105,0.408374
0.862535,-0.268362,0.428969
0.862957,-0.26628,0.429418
0.866015,-0.273186,0.418792
0.864284,-0.275242,0.421016
0.864,-0.274868,0.421844
0.865699,-0.272237,0.420062
0.861981,-0.2615,0.43429
0.846478,-0.236681,0.476925
0.845624,-0.230339,0.481522
0.836182,-0.273942,0.475137
0.827556,-0.324235,0.458283
0.821805,-0.323388,0.469103
0.821022,-0.327083,0.46791
0.819441,-0.324107,0.472728
0.820183,-0.331339,0.466385
0.815274,-0.317854,0.484043
0.812298,-0.311965,0.492798
0.808136,-0.318718,0.495314
0.814312,-0.334013,0.474691
0.801553,-0.374333,0.466248
0.812137,-0.358193,0.460576
0.787988,-0.392307,0.474521
0.793702,-0.397245,0.460688
0.804985,-0.411911,0.427
0.807274,-0.432039,0.402059
0.813982,-0.443891,0.374692
