x,y,z
0.818672,0.326761,-0.472232
0.533431,0.61815,-0.577358
0.342521,0.730096,-0.591303
0.253541,0.765012,-0.592008
0.226137,0.783548,-0.578718
0.234731,0.778788,-0.581714
0.257002,0.774272,-0.578319
0.263714,0.765229,-0.587265
0.30021,0.769636,-0.563501
0.338506,0.754283,-0.562558
0.351037,0.766009,-0.53852
0.359724,0.773744,-0.521458
0.390278,0.774217,-0.498268
0.426335,0.766441,-0.480423
0.455221,0.75736,-0.468166
0.443078,0.772215,-0.455375
0.44623,0.754437,-0.481357
0.458012,0.737187,-0.496771
0.46523,0.721018,-0.513512
0.475222,0.712817,-0.515807
0.470399,0.710675,-0.523131
0.489359,0.714815,-0.499567
0.489555,0.7267,-0.481916
0.478061,0.742372,-0.469405
0.491165,0.753675,-0.436728
0.513222,0.760298,-0.398185
0.533116,0.774675,-0.340095
0.531399,0.770815,-0.351368
0.519065,0.773336,-0.364038
0.49957,0.757079,-0.421024
0.463807,0.750693,-0.470471
0.444157,0.747375,-0.494121
0.431092,0.750421,-0.501026
0.441939,0.754353,-0.485429
0.424668,0.761483,-0.489694
0.420964,0.755831,-0.501507
0.421136,0.751707,-0.507524
0.426073,0.756478,-0.496188
0.419442,0.768586,-0.483058
0.424058,0.775158,-0.4683
0.426306,0.781615,-0.455348
0.447548,0.78254,-0.432818
0.432472,0.774593,-0.461492
0.439473,0.764295,-0.471929
0.421131,0.74761,-0.513544
0.396403,0.75418,-0.523524
0.398342,0.746954,-0.532338
0.379265,0.741844,-0.553015
0.387068,0.717594,-0.578996
0.390953,0.708437,-0.5876
0.387686,0.711621,-0.585914
0.400382,0.717556,-0.569919
0.397303,0.728267,-0.55837
0.374807,0.746772,-0.549409
0.375018,0.741392,-0.556507
0.372791,0.735178,-0.566163
0.365244,0.732465,-0.574536
0.356047,0.734383,-0.577851
0.330299,0.724695,-0.604748
0.317565,0.722195,-0.614481
0.331225,0.716368,-0.61409
0.339573,0.704358,-0.623354
0.35415,0.712495,-0.605746
0.35202,0.706472,-0.613986
0.369026,0.710154,-0.599584
0.371186,0.722305,-0.583521
0.388214,0.724415,-0.569661
0.38521,0.736,-0.556702
0.383677,0.735031,-0.559037
0.373806,0.737819,-0.562042
0.354934,0.744318,-0.565697
0.349294,0.743755,-0.569932
0.329301,0.725322,-0.60454
0.331812,0.724594,-0.60404
0.32699,0.721969,-0.609785
0.318286,0.719278,-0.617521
0.338808,0.719536,-0.606199
0.339305,0.72262,-0.602239
0.336578,0.727701,-0.597634
0.326901,0.740903,-0.586684
0.362627,0.748045,-0.555815
0.376241,0.749957,-0.544066
0.372544,0.758068,-0.535298
0.342204,0.755301,-0.558942
0.329752,0.74486,-0.58004
0.341755,0.737145,-0.582942
0.338748,0.742343,-0.578081
0.329411,0.744209,-0.581069
0.346717,0.74087,-0.575238
0.349781,0.754761,-0.554969
0.356293,0.754515,-0.551146
0.385531,0.753269,-0.532872
0.376619,0.746561,-0.548456
0.368954,0.740167,-0.562162
0.364142,0.744854,-0.559101
0.362847,0.739701,-0.566732
0.356106,0.74201,-0.567988
0.357616,0.750435,-0.55584
0.358153,0.753388,-0.551483
0.368792,0.749798,-0.549359
0.360507,0.759909,-0.5409
0.350749,0.75369,-0.555812
0.359421,0.753594,-0.550374
0.362039,0.75274,-0.549827
0.38705,0.751371,-0.534447
0.405711,0.747802,-0.525539
0.386092,0.761578,-0.520511
0.3728,0.758795,-0.534089
0.375177,0.756693,-0.535404
0.374994,0.747011,-0.548958
0.385847,0.753557,-0.532235
0.404062,0.750957,-0.5223
0.398997,0.744766,-0.534906
