x,y,z
0.0943198,-0.99551,0.00800685
0.100662,-0.993827,0.0466297
0.108129,-0.990953,0.0795001
0.117173,-0.988042,0.100219
0.122027,-0.986889,0.10564
0.134553,-0.985346,0.104831
0.148072,-0.981783,0.119068
0.148108,-0.984081,0.0982221
0.155977,-0.980369,0.120611
0.151905,-0.979976,0.128732
0.152225,-0.978794,0.137076
0.146407,-0.980284,0.132699
0.148815,-0.980577,0.127762
0.151711,-0.980357,0.126028
0.166233,-0.977207,0.132038
0.183521,-0.972575,0.14289
0.18399,-0.973739,0.134089
0.183123,-0.972074,0.146762
0.182985,-0.975048,0.125687
0.182924,-0.976363,0.115125
0.168333,-0.979865,0.107368
0.161217,-0.980968,0.108213
0.145195,-0.984506,0.0983195
0.142041,-0.983893,0.108526
0.13836,-0.983678,0.115043
0.14049,-0.984049,0.109129
0.1454,-0.982256,0.118459
0.141048,-0.98235,0.122856
0.144448,-0.98201,0.121617
0.138436,-0.983212,0.11887
0.139041,-0.982944,0.120369
0.140472,-0.982423,0.122931
0.140159,-0.980967,0.134388
0.144171,-0.982363,0.119069
0.141828,-0.981935,0.125252
0.134206,-0.984367,0.114064
0.126391,-0.985153,0.116185
0.132539,-0.98169,0.136814
0.127657,-0.980431,0.149865
0.134029,-0.978903,0.154225
0.13467,-0.980753,0.141375
0.138753,-0.97933,0.147176
0.130477,-0.982383,0.13379
0.149973,-0.982636,0.109249
0.159508,-0.98067,0.113327
0.15483,-0.982582,0.102766
0.164652,-0.982344,0.0888216
0.160743,-0.983318,0.0851276
0.156466,-0.983483,0.090994
0.141984,-0.986364,0.0832283
0.135063,-0.987183,0.0850177
0.134878,-0.986098,0.0970479
0.141003,-0.984644,0.102933
0.135179,-0.986456,0.0929035
0.142688,-0.985117,0.0958337
0.144076,-0.985457,0.090097
0.144805,-0.985496,0.0884875
0.149214,-0.9859,0.0757454
0.147419,-0.986326,0.0736797
0.156723,-0.985445,0.0658443
0.151341,-0.986822,0.0572474
0.152784,-0.986593,0.057374
0.15664,-0.985699,0.062134
0.155892,-0.985147,0.0719932
0.15807,-0.985339,0.0641885
0.153519,-0.985753,0.0687241
0.148316,-0.986677,0.0668627
0.149968,-0.986031,0.072468
0.151083,-0.985502,0.0772027
0.147036,-0.986958,0.0655277
0.145285,-0.986639,0.0737238
0.149428,-0.98557,0.079518
0.143895,-0.987696,0.0612442
0.15604,-0.986077,0.0574731
0.157022,-0.985421,0.0654991
0.154806,-0.986167,0.0592513
0.160937,-0.985871,0.0464498
0.158088,-0.986405,0.0448779
0.154799,-0.987021,0.0427391
0.139183,-0.989968,0.0243185
0.149156,-0.988336,0.0307359
0.155894,-0.986164,0.0563661
0.154567,-0.986511,0.0539058
0.139254,-0.990068,0.0193485
0.147598,-0.988777,0.0231185
0.149831,-0.988296,0.0286662
0.146944,-0.988885,0.0226875
0.146317,-0.988837,0.0281637
0.162723,-0.985956,0.0375786
0.161893,-0.985558,0.0496632
0.163219,-0.985071,0.0547229
0.176946,-0.982007,0.0659653
0.164348,-0.985165,0.0493975
0.155758,-0.986856,0.0430742
0.149318,-0.988001,0.0394754
0.145295,-0.98898,0.0284277
0.140257,-0.988849,0.050065
0.147472,-0.987727,0.0514541
0.140688,-0.988985,0.0459972
0.14026,-0.9889,0.0490366
0.138553,-0.989377,0.0440079
0.132367,-0.99027,0.0429389
0.136527,-0.989507,0.0472841
0.138128,-0.989095,0.0510967
0.153041,-0.985777,0.069438
0.159417,-0.983066,0.090373
0.14878,-0.986171,0.0730145
0.141893,-0.987833,0.0636602
0.139117,-0.988087,0.0658067
0.138023,-0.988376,0.0637409
0.143002,-0.987333,0.0687266
0.149373,-0.984445,0.0924938
0.142237,-0.985533,0.0921635
0.135852,-0.986233,0.0942765
0.134549,-0.984953,0.108465
0.109592,-0.991263,0.0734017
0.113094,-0.989546,0.0894869
0.110265,-0.987452,0.113046
0.116051,-0.984146,0.134119
0.112163,-0.986545,0.118951
0.123805,-0.985634,0.114884
0.122591,-0.983323,0.134343
