x,y,z
-0.127006,-0.105663,0.986258
-0.139919,-0.0549124,0.988639
-0.139158,-0.0404656,0.989443
-0.131403,-0.0281242,0.99093
-0.137003,-0.0403397,0.989749
-0.130081,-0.0784023,0.988399
-0.0971876,-0.0811913,0.991949
-0.110718,-0.0957665,0.989227
-0.101041,-0.1156,0.988143
-0.0965351,-0.136006,0.985994
-0.0849909,-0.151348,0.98482
-0.0635905,-0.152051,0.986325
-0.0444301,-0.141215,0.988981
-0.0256092,-0.153594,0.987802
0.0084144,-0.139136,0.990238
0.047465,-0.0982149,0.994033
0.0328717,-0.131551,0.990764
0.0254508,-0.13014,0.991169
0.015095,-0.100559,0.994817
-0.00177397,-0.0842893,0.99644
-0.00993437,-0.142905,0.989686
-0.0302683,-0.12898,0.991185
-0.0446931,-0.211871,0.976275
-0.0657126,-0.22188,0.972857
-0.0840373,-0.221941,0.971432
-0.0928777,-0.166299,0.981692
-0.126891,-0.148844,0.980686
-0.133684,-0.127885,0.982738
-0.133813,-0.146804,0.980073
-0.129508,-0.166664,0.977472
-0.132411,-0.219338,0.966622
-0.129674,-0.27233,0.953426
-0.0922505,-0.294889,0.951068
-0.0971945,-0.266937,0.9588
-0.094136,-0.246669,0.964517
-0.0852566,-0.235134,0.968217
-0.0891671,-0.210888,0.973435
-0.0807771,-0.222212,0.971646
-0.0797857,-0.180325,0.980366
-0.0787976,-0.185287,0.97952
-0.0814939,-0.178213,0.980611
-0.0644838,-0.153763,0.986001
-0.0657123,-0.162072,0.984589
-0.0747306,-0.158978,0.98445
-0.0807751,-0.159786,0.983841
-0.0984646,-0.193468,0.976153
-0.0843123,-0.164647,0.982742
-0.108619,-0.144233,0.983564
-0.140154,-0.178029,0.973993
-0.143269,-0.191501,0.97098
-0.119551,-0.164353,0.97913
-0.1227,-0.190617,0.973966
-0.132864,-0.167331,0.976907
-0.152202,-0.136173,0.978924
-0.164671,-0.145599,0.975543
-0.157587,-0.149138,0.976178
-0.173637,-0.164899,0.970906
-0.161158,-0.155138,0.974659
-0.168133,-0.159895,0.97271
-0.155976,-0.178842,0.971436
-0.128313,-0.17818,0.975596
-0.115892,-0.189263,0.975063
-0.122302,-0.215659,0.968779
-0.117666,-0.224805,0.967273
-0.10283,-0.206391,0.973051
-0.0849956,-0.191223,0.977859
-0.104819,-0.225635,0.968557
-0.106617,-0.23121,0.967044
-0.0972337,-0.219431,0.970771
-0.087097,-0.188454,0.978212
-0.0848506,-0.185312,0.97901
-0.0832488,-0.189296,0.978385
-0.105774,-0.2238,0.968878
-0.118283,-0.237601,0.964134
-0.11271,-0.215101,0.970066
-0.120997,-0.223636,0.967133
-0.0939727,-0.182603,0.978685
-0.107869,-0.207415,0.972288
-0.116279,-0.237904,0.964303
-0.129512,-0.26689,0.954985
-0.100706,-0.233537,0.967119
-0.0913022,-0.211868,0.973024
-0.0942104,-0.191239,0.977012
-0.119281,-0.204559,0.971559
-0.113626,-0.214129,0.970174
-0.115045,-0.229404,0.966508
-0.11639,-0.243847,0.962804
-0.114954,-0.244263,0.962871
-0.117076,-0.256649,0.959388
-0.110113,-0.234828,0.96578
-0.118365,-0.236114,0.964489
-0.106725,-0.22837,0.967707
-0.110731,-0.218874,0.96945
-0.112946,-0.208826,0.971409
-0.111192,-0.166305,0.979785
-0.105724,-0.16066,0.981331
-0.111201,-0.177727,0.977777
-0.109729,-0.194689,0.974708
-0.126634,-0.231544,0.964547
-0.135415,-0.212979,0.967627
-0.117591,-0.181172,0.976396
-0.123317,-0.164297,0.978672
-0.130431,-0.168958,0.976955
-0.120886,-0.172173,0.977621
-0.11158,-0.175703,0.978099
-0.121898,-0.221118,0.967599
-0.126885,-0.211728,0.969057
-0.118889,-0.167672,0.978648
-0.118659,-0.141486,0.982803
-0.133876,-0.151389,0.979366
-0.11171,-0.165309,0.979895
-0.109442,-0.182337,0.977126
-0.109964,-0.210175,0.97146
-0.105511,-0.209571,0.972084
-0.129914,-0.203251,0.97047
-0.146046,-0.201309,0.968579
-0.129406,-0.180407,0.975042
-0.145009,-0.205359,0.967884
-0.150985,-0.22161,0.963376
-0.182009,-0.211038,0.960383
-0.124809,-0.163853,0.978558
-0.148865,-0.198773,0.968674
-0.140345,-0.180182,0.97357
-0.143015,-0.180439,0.973133
-0.141133,-0.175703,0.974274
-0.14902,-0.182109,0.97192
-0.129351,-0.165733,0.977651
-0.12868,-0.164572,0.977935
-0.136311,-0.173255,0.975398
-0.139395,-0.165587,0.976294
-0.127995,-0.167354,0.977553
-0.142846,-0.172984,0.974511
-0.13024,-0.164452,0.977749
-0.164589,-0.188297,0.968222
-0.137695,-0.178302,0.974294
-0.1301,-0.165247,0.977633
-0.124586,-0.164055,0.978552
-0.110838,-0.149545,0.982523
-0.110077,-0.171319,0.979047
-0.0985071,-0.183648,0.978044
-0.111842,-0.197741,0.973853
-0.102765,-0.180416,0.978207
-0.0793092,-0.16448,0.983187
-0.0308179,-0.143034,0.989238
-0.00771219,-0.129357,0.991568
-0.00035022,-0.13401,0.99098
0.00136379,-0.125403,0.992105
-0.0352565,-0.159784,0.986522
-0.0675003,-0.204143,0.976611
-0.0666535,-0.193523,0.978829
-0.0706204,-0.187355,0.97975
-0.0736077,-0.174978,0.981817
-0.0594959,-0.154298,0.986231
-0.0577632,-0.164525,0.98468
-0.0745722,-0.159515,0.984375
-0.100234,-0.196803,0.975306
-0.0776311,-0.177072,0.981131
-0.0720629,-0.149467,0.986137
-0.0703683,-0.136226,0.988176
-0.0745435,-0.148667,0.986074
-0.0719031,-0.193899,0.978383
-0.0556404,-0.190264,0.980155
-0.0722973,-0.2111,0.974787
-0.0828969,-0.221146,0.971711
-0.0761844,-0.195523,0.977735
-0.068974,-0.195981,0.978179
-0.0618687,-0.173671,0.982858
-0.0709838,-0.169663,0.982942
-0.0697673,-0.153501,0.985682
-0.0612938,-0.169662,0.983594
-0.0515825,-0.161716,0.985488
-0.0647012,-0.162941,0.984512
-0.0734215,-0.162043,0.984048
-0.0789466,-0.13644,0.987498
-0.0630115,-0.136804,0.988592
-0.0624151,-0.148019,0.987013
-0.061454,-0.146536,0.987295
-0.0571339,-0.141508,0.988287
-0.0697426,-0.176795,0.981774
-0.0609905,-0.167062,0.984058
-0.051277,-0.158612,0.986009
-0.0638929,-0.175334,0.982434
-0.0643074,-0.160297,0.984972
-0.0648568,-0.183496,0.980879
-0.0529671,-0.133989,0.989566
-0.0442012,-0.118915,0.99192
-0.0374576,-0.117571,0.992358
-0.0467564,-0.13821,0.989299
-0.0330958,-0.13467,0.990338
-0.0565609,-0.162788,0.985039
-0.0686547,-0.190489,0.979286
-0.0794069,-0.195093,0.977565
-0.0817424,-0.194158,0.977559
-0.0613191,-0.162447,0.98481
-0.0569807,-0.142618,0.988136
-0.0702553,-0.158409,0.984871
-0.0758387,-0.163658,0.983598
-0.0760691,-0.159794,0.984215
-0.0823781,-0.168968,0.982173
-0.062448,-0.147205,0.987133
-0.0585495,-0.136628,0.988891
-0.0733542,-0.170173,0.98268
-0.0806489,-0.180592,0.980246
-0.0830369,-0.175049,0.981052
-0.0627952,-0.146096,0.987275
-0.082359,-0.136156,0.987258
-0.072197,-0.134012,0.988346
-0.0721499,-0.151522,0.985817
-0.0665049,-0.169145,0.983345
-0.0779077,-0.17897,0.980765
-0.0726447,-0.191604,0.97878
-0.0784758,-0.214169,0.973639
-0.0618632,-0.207885,0.976195
-0.0698093,-0.239735,0.968325
-0.074441,-0.228073,0.970794
-0.0651931,-0.219723,0.973382
-0.0617462,-0.211282,0.975473
-0.0767954,-0.196668,0.977458
-0.087598,-0.219668,0.971634
-0.0833043,-0.229288,0.969787
-0.0716038,-0.20972,0.975136
-0.073711,-0.221612,0.972345
-0.0763717,-0.216229,0.973351
-0.0909498,-0.239068,0.966734
-0.0845173,-0.228311,0.969913
-0.0855936,-0.233391,0.968608
-0.0777966,-0.207215,0.975197
-0.0666216,-0.208117,0.975832
-0.0778951,-0.234992,0.968871
-0.0814517,-0.224173,0.97114
-0.0704232,-0.226207,0.97153
