x,y,z
0.197415,0.974676,-0.105038
0.246767,0.95446,-0.167668
0.279233,0.942181,-0.185265
0.295178,0.934855,-0.197274
0.305214,0.931224,-0.199166
0.300246,0.934128,-0.193021
0.290014,0.936605,-0.196628
0.28229,0.940765,-0.187811
0.282487,0.940201,-0.190325
0.283702,0.939926,-0.189874
0.281365,0.938442,-0.200401
0.285874,0.936389,-0.203599
0.283404,0.934503,-0.215377
0.273152,0.933142,-0.23374
0.264628,0.930035,-0.254965
0.245804,0.926657,-0.284407
0.240137,0.929965,-0.278386
0.256132,0.920764,-0.294261
0.262663,0.928058,-0.264039
0.276444,0.926411,-0.255618
0.308029,0.918999,-0.246089
0.314954,0.920335,-0.231921
0.337744,0.918857,-0.204037
0.342338,0.91687,-0.205315
0.338883,0.920206,-0.195907
0.336306,0.922711,-0.188421
0.3295,0.924053,-0.193792
0.32603,0.925934,-0.190662
0.326173,0.926657,-0.186865
0.324241,0.930206,-0.172003
0.325954,0.92903,-0.175091
0.324917,0.928759,-0.178423
0.326854,0.925448,-0.191604
0.312266,0.932214,-0.182938
0.314516,0.930135,-0.189547
0.317812,0.929068,-0.189282
0.325295,0.922893,-0.206039
0.317569,0.917977,-0.237629
0.309569,0.914025,-0.262155
0.292518,0.913714,-0.282066
0.290635,0.911642,-0.290587
0.273606,0.91315,-0.302155
0.27239,0.914017,-0.300626
0.262036,0.922172,-0.284492
0.26614,0.921049,-0.284319
0.270203,0.922644,-0.275169
0.260921,0.931575,-0.253156
0.273003,0.930833,-0.24294
0.275961,0.930987,-0.238974
0.280493,0.934273,-0.220132
0.277095,0.934727,-0.222495
0.274623,0.928548,-0.249763
0.268468,0.926625,-0.263233
0.257852,0.932487,-0.252944
0.263109,0.928392,-0.262417
0.263316,0.930572,-0.254363
0.269372,0.929845,-0.250653
0.266203,0.934366,-0.236847
0.269632,0.935686,-0.227575
0.261575,0.940571,-0.216575
0.263014,0.943044,-0.203694
0.264915,0.944557,-0.193989
0.263072,0.942981,-0.203912
0.256494,0.944173,-0.206757
0.266436,0.938806,-0.218303
0.269628,0.936961,-0.222274
0.266814,0.938726,-0.218184
0.264972,0.938563,-0.221109
0.264779,0.938736,-0.220605
0.266385,0.938844,-0.218199
0.267884,0.937368,-0.222663
0.268687,0.936048,-0.227206
0.268244,0.941193,-0.205426
0.26748,0.942007,-0.202677
0.262855,0.942965,-0.204267
0.262376,0.945078,-0.194898
0.268324,0.944612,-0.18897
0.272745,0.944299,-0.184148
0.27387,0.944486,-0.181497
0.281297,0.94252,-0.180353
0.279794,0.940382,-0.19338
0.270275,0.939101,-0.212227
0.265463,0.940859,-0.210511
0.257311,0.947613,-0.189264
0.267181,0.947242,-0.177048
0.277495,0.945659,-0.169488
0.27596,0.947012,-0.164364
0.272672,0.948346,-0.162141
0.264831,0.950015,-0.165338
0.264554,0.94875,-0.17287
0.266859,0.947374,-0.176831
0.259953,0.9472,-0.187716
0.260386,0.950935,-0.167099
0.268252,0.949658,-0.161836
0.272405,0.948089,-0.16408
0.278055,0.948223,-0.153486
0.288779,0.942599,-0.167674
0.289181,0.940917,-0.176208
0.282112,0.945709,-0.161391
0.284742,0.944742,-0.16243
0.287257,0.943847,-0.163204
0.288498,0.944172,-0.159087
0.287632,0.944021,-0.161534
0.28817,0.943013,-0.166388
0.287851,0.93991,-0.183607
0.281633,0.939437,-0.195299
0.286137,0.940669,-0.182395
0.28866,0.941245,-0.175308
0.289578,0.940894,-0.175678
0.290895,0.941223,-0.171695
0.298862,0.93559,-0.188025
0.29379,0.934014,-0.203234
0.294601,0.934731,-0.198714
0.298199,0.935727,-0.188394
0.299658,0.934299,-0.193109
0.316998,0.934541,-0.161694
0.319703,0.932504,-0.168011
0.324072,0.930468,-0.1709
0.32345,0.928356,-0.183126
0.327134,0.930358,-0.165581
0.321247,0.931156,-0.172478
0.31925,0.930429,-0.17995
0.320949,0.931169,-0.172963
0.320614,0.930715,-0.175999
0.323001,0.930709,-0.171615
0.321381,0.929611,-0.180381
0.313062,0.93338,-0.175481
0.305387,0.931221,-0.198912
0.310994,0.932407,-0.184119
0.314175,0.932269,-0.179355
0.308369,0.93048,-0.197775
0.307303,0.933371,-0.18543
0.309023,0.934688,-0.175679
0.320066,0.934023,-0.158615
0.31881,0.927598,-0.194733
0.31887,0.928899,-0.18833
0.317827,0.928232,-0.193317
0.31669,0.926849,-0.201639
0.315452,0.925809,-0.208248
0.31261,0.92597,-0.211788
0.30844,0.921377,-0.236493
0.303436,0.914489,-0.267651
0.265801,0.930205,-0.253118
0.267148,0.934342,-0.235874
0.269944,0.936599,-0.223413
0.264633,0.938814,-0.220449
0.247124,0.946539,-0.207351
0.247129,0.950116,-0.190279
0.244934,0.949078,-0.198137
0.253265,0.945191,-0.206086
0.260515,0.943898,-0.202948
0.265975,0.943139,-0.199363
0.264371,0.944764,-0.193725
0.288267,0.9384,-0.190548
0.287992,0.936485,-0.20014
0.288684,0.937579,-0.193927
0.287428,0.936419,-0.201259
0.278638,0.932136,-0.231266
0.286632,0.932956,-0.217795
0.288722,0.931843,-0.219791
0.281074,0.931576,-0.230573
0.280126,0.930219,-0.237114
0.274589,0.932806,-0.233395
0.275203,0.933511,-0.229829
0.277652,0.935931,-0.216662
0.280401,0.933558,-0.223261
0.282288,0.93607,-0.209965
0.284896,0.934658,-0.212719
0.28119,0.93592,-0.212099
0.269204,0.934615,-0.23243
0.262665,0.934637,-0.239711
0.261533,0.936647,-0.23301
0.265578,0.940531,-0.211825
0.271096,0.943544,-0.190345
0.275439,0.940826,-0.197431
0.278005,0.939653,-0.199414
0.281378,0.940063,-0.192632
0.279218,0.939032,-0.20064
0.279094,0.938815,-0.201824
0.277945,0.938216,-0.20615
0.271855,0.937831,-0.215794
0.270913,0.939796,-0.2083
0.273486,0.940836,-0.200084
0.271496,0.942894,-0.192977
0.27391,0.93938,-0.206249
0.276422,0.940125,-0.199388
0.284858,0.939513,-0.190187
0.284926,0.939481,-0.190244
0.281072,0.936465,-0.20984
0.282508,0.939813,-0.1922
0.278493,0.940735,-0.193542
0.279031,0.940529,-0.193772
0.273533,0.940625,-0.201009
0.27423,0.940379,-0.201209
0.273986,0.936141,-0.220391
0.272813,0.934836,-0.227279
0.27334,0.935677,-0.223145
0.273963,0.936769,-0.217735
0.280517,0.939175,-0.198142
0.275889,0.940978,-0.196077
0.270951,0.940787,-0.203727
0.27124,0.941644,-0.19934
0.271989,0.945825,-0.177308
0.272425,0.947311,-0.168483
0.26445,0.942374,-0.204931
0.271366,0.94431,-0.186116
0.270467,0.943297,-0.192455
0.272997,0.943029,-0.190183
0.274978,0.943422,-0.185318
0.279067,0.944004,-0.176004
0.285372,0.942921,-0.171646
0.28051,0.946433,-0.159935
0.271279,0.943338,-0.191106
0.274467,0.941534,-0.195403
0.267581,0.947576,-0.174645
0.268177,0.94536,-0.185409
0.274858,0.945851,-0.172683
0.278984,0.944575,-0.173049
0.280674,0.944696,-0.169621
0.278485,0.943798,-0.178022
0.278512,0.943026,-0.182026
0.279521,0.941939,-0.18606
0.280204,0.94453,-0.171318
0.283021,0.944729,-0.165486
0.275781,0.942721,-0.187676
0.275369,0.942728,-0.188242
0.275873,0.943149,-0.185377
0.271275,0.940683,-0.203776
0.276374,0.94098,-0.195382
0.281172,0.939606,-0.195148
0.280192,0.939286,-0.198078
0.283706,0.939679,-0.191085
0.287236,0.941017,-0.178839
0.284604,0.940581,-0.185222
0.286991,0.938538,-0.191788
0.286204,0.943817,-0.165221
0.280048,0.942345,-0.183191
0.281145,0.941382,-0.186434
0.283754,0.940562,-0.186618
0.282348,0.940494,-0.18908
0.283675,0.939904,-0.190022
0.281103,0.938609,-0.199988
0.27699,0.939197,-0.202944
0.278289,0.939639,-0.199084
0.276351,0.941814,-0.191356
0.281435,0.943858,-0.172993
0.283284,0.943411,-0.172411
0.283322,0.942731,-0.176032
0.276471,0.94318,-0.184325
0.274438,0.944398,-0.1811
0.274339,0.943908,-0.183782
0.27194,0.943559,-0.189065
0.273306,0.942716,-0.191284
0.274709,0.943127,-0.187208
0.27785,0.943092,-0.182695
0.280626,0.941234,-0.187957
0.285406,0.939893,-0.18747
0.287949,0.938103,-0.192479
0.288327,0.937625,-0.194234
0.286952,0.937675,-0.196021
0.284991,0.937625,-0.199098
0.290548,0.936376,-0.19693
0.294424,0.935439,-0.195623
0.298015,0.934139,-0.196396
0.300657,0.934273,-0.191674
0.300048,0.933947,-0.194199
0.299987,0.932938,-0.199086
0.297821,0.933924,-0.197707
0.297728,0.934379,-0.195687
0.29562,0.933964,-0.200798
0.297526,0.934739,-0.194271
0.294898,0.93455,-0.199129
0.298465,0.937269,-0.180124
0.302981,0.935231,-0.183154
0.302927,0.934577,-0.186549
0.301309,0.934617,-0.188957
0.295957,0.93505,-0.195167
0.294591,0.935067,-0.197143
0.298233,0.936011,-0.186925
0.292708,0.937289,-0.189237
0.289729,0.936985,-0.195232
0.286539,0.935371,-0.207307
0.287361,0.935422,-0.205935
0.286902,0.936272,-0.202687
0.290837,0.93258,-0.213794
0.295649,0.931982,-0.209764
0.297569,0.930881,-0.211925
0.297326,0.929529,-0.218111
0.295986,0.928347,-0.224864
0.292912,0.926751,-0.235236
0.294918,0.926464,-0.233855
0.29438,0.921666,-0.25273
0.293508,0.921179,-0.255503
0.293045,0.919899,-0.260598
0.292863,0.919262,-0.263039
0.290752,0.919701,-0.263844
0.292939,0.917376,-0.26946
0.291055,0.917174,-0.272174
0.288898,0.914916,-0.2819
0.294903,0.918349,-0.263947
0.296338,0.916405,-0.269044
0.298135,0.912477,-0.28018
0.296333,0.91397,-0.277209
0.29473,0.917271,-0.267856
0.296907,0.915449,-0.27166
0.308413,0.912216,-0.26971
0.302594,0.911716,-0.277867
0.301996,0.911961,-0.277715
0.2931,0.911182,-0.28955
0.295322,0.912211,-0.284001
0.293516,0.91395,-0.280256
0.291103,0.913765,-0.283361
0.292091,0.917635,-0.269497
0.28781,0.916184,-0.278877
0.290169,0.917131,-0.273262
0.283377,0.921104,-0.266954
0.282446,0.92445,-0.256158
0.28709,0.927063,-0.24111
0.288472,0.930697,-0.224915
0.293858,0.930913,-0.216908
0.300247,0.93091,-0.207987
0.297862,0.932026,-0.206412
0.297837,0.928526,-0.221657
0.29457,0.923896,-0.244222
0.290793,0.921666,-0.256849
0.290495,0.928501,-0.231299
0.297849,0.927319,-0.22664
0.297753,0.926472,-0.230202
0.290223,0.931373,-0.219809
0.292725,0.929111,-0.225977
0.289227,0.930894,-0.223122
0.295495,0.926322,-0.233687
0.298157,0.923847,-0.240021
0.295038,0.9244,-0.241738
0.302897,0.918657,-0.253619
0.307565,0.915005,-0.261092
0.290217,0.91833,-0.269156
0.307633,0.903053,-0.299763
0.316464,0.892844,-0.320437
0.320714,0.88953,-0.325391
0.306736,0.889961,-0.337465
0.279133,0.881269,-0.381379
