x,y,z
0.121933,-0.970173,-0.209517
0.121213,-0.989516,-0.0785196
0.109644,-0.993823,-0.0171593
0.105465,-0.99425,0.0185731
0.101261,-0.99436,0.0315351
0.112144,-0.993047,0.0357998
0.125848,-0.991004,0.0455273
0.135222,-0.990063,0.0386149
0.139378,-0.988815,0.0530879
0.141198,-0.988023,0.0622442
0.142682,-0.987278,0.0701676
0.135952,-0.988429,0.0672665
0.132867,-0.989078,0.0638097
0.13631,-0.988501,0.0654571
0.138235,-0.987734,0.0726072
0.149981,-0.984834,0.0872231
0.155383,-0.984618,0.079892
0.155591,-0.984014,0.0866437
0.157277,-0.985363,0.0657617
0.159838,-0.985485,0.0571879
0.149357,-0.987645,0.047427
0.146277,-0.988088,0.0478119
0.132128,-0.990501,0.0380877
0.128081,-0.990587,0.0483054
0.126971,-0.990578,0.051315
0.125455,-0.990892,0.0489207
0.128619,-0.990199,0.05444
0.12995,-0.990071,0.0535915
0.130919,-0.990056,0.0514679
0.128236,-0.99055,0.0486397
0.127741,-0.990433,0.0522037
0.127983,-0.990335,0.053445
0.12444,-0.990451,0.0593427
0.12779,-0.990686,0.0470221
0.129704,-0.990166,0.052415
0.123574,-0.991366,0.043862
0.113596,-0.992368,0.0479814
0.10547,-0.992241,0.0658343
0.102677,-0.991762,0.0765837
0.10383,-0.991078,0.0835719
0.102382,-0.991873,0.0755335
0.10499,-0.991164,0.0810587
0.10228,-0.992141,0.0720822
0.113924,-0.991985,0.0546603
0.125279,-0.990744,0.0522686
0.125869,-0.991075,0.043899
0.134043,-0.990364,0.0347927
0.135265,-0.990327,0.0309078
0.133746,-0.990341,0.0365697
0.120696,-0.992327,0.0268391
0.111271,-0.993319,0.0306105
0.110482,-0.992927,0.043461
0.112869,-0.992524,0.0464363
0.10869,-0.993517,0.0333088
0.107368,-0.993522,0.0372177
0.105509,-0.993922,0.0314087
0.105519,-0.994035,0.02758
0.11005,-0.993814,0.0148918
0.112971,-0.993542,0.0106125
0.123251,-0.992362,0.00513992
0.125016,-0.992132,-0.00665435
0.128832,-0.991631,-0.00839053
0.133637,-0.991022,-0.0040649
0.137476,-0.990497,0.00404026
0.132763,-0.991135,0.00509875
0.129725,-0.991537,0.00509951
0.126504,-0.991965,0.00164618
0.125669,-0.992056,0.00571775
0.125647,-0.992044,0.00788505
0.121872,-0.992545,0.000994704
0.121624,-0.99256,0.00560709
0.123157,-0.992332,0.0104724
0.127158,-0.991882,-0.000722216
0.131525,-0.991306,-0.00371403
0.135891,-0.990718,0.00354798
0.135303,-0.9908,-0.00274059
0.134941,-0.990785,-0.0116455
0.132642,-0.990999,-0.0180847
0.130169,-0.991265,-0.0212132
0.121188,-0.992101,-0.0323987
0.120068,-0.992325,-0.0295771
0.126353,-0.991904,-0.0127339
0.126951,-0.991844,-0.0113844
0.127872,-0.991466,-0.0253805
0.130531,-0.991086,-0.0266426
0.130405,-0.99101,-0.0299078
0.128856,-0.991042,-0.0350914
0.129277,-0.991098,-0.031819
0.135639,-0.990489,-0.0230842
0.139546,-0.990091,-0.0157318
0.14083,-0.989946,-0.0132079
0.145671,-0.989305,-0.00748165
0.142975,-0.989444,-0.0236151
0.137704,-0.990108,-0.0269097
0.134849,-0.990562,-0.0245555
0.12762,-0.991266,-0.0332264
0.121455,-0.992424,-0.018517
0.118978,-0.992802,-0.0137283
0.116817,-0.992944,-0.0204203
0.11752,-0.992869,-0.020015
0.117489,-0.99285,-0.0210851
0.117016,-0.992878,-0.0223581
0.117575,-0.992864,-0.0199173
0.118336,-0.992825,-0.0171624
0.120557,-0.992701,-0.00310951
0.124544,-0.992154,0.010886
0.11936,-0.99285,-0.0016379
0.115665,-0.99326,-0.00748552
0.1151,-0.993345,-0.00412624
0.114514,-0.993409,-0.0049275
0.111895,-0.993707,0.00515764
0.115757,-0.993028,0.0222624
