NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.0943198,-0.99551,0.00800685,0.121933,-0.970173,-0.209517,-0.702952,-0.233437,0.671838,-0.74266,0.377039,0.553441,-0.127006,-0.105663,0.986258,0.702952,0.233437,-0.671838,0.818672,0.326761,-0.472232,0.780382,-0.0364067,0.624242,-0.416779,0.770714,0.48197,0.197415,0.974676,-0.105038,muscle
0.100662,-0.993827,0.0466297,0.121213,-0.989516,-0.0785196,-0.822162,-0.144406,0.550633,-0.686535,0.475153,0.550363,-0.139919,-0.0549124,0.988639,0.822162,0.144406,-0.550633,0.533431,0.61815,-0.577358,0.789313,-0.00656837,0.613956,-0.465285,0.829394,0.309219,0.246767,0.95446,-0.167668,muscle
0.108129,-0.990953,0.0795001,0.109644,-0.993823,-0.0171593,-0.878394,-0.10496,0.46627,-0.640227,0.5367,0.549603,-0.139158,-0.0404656,0.989443,0.878394,0.10496,-0.46627,0.342521,0.730096,-0.591303,0.822372,-0.00359304,0.568939,-0.477154,0.851801,0.21624,0.279233,0.942181,-0.185265,muscle
0.117173,-0.988042,0.100219,0.105465,-0.99425,0.0185731,-0.904096,-0.0880906,0.418151,-0.615381,0.55523,0.559488,-0.131403,-0.0281242,0.99093,0.904096,0.0880906,-0.418151,0.253541,0.765012,-0.592008,0.839606,-0.0210423,0.542788,-0.485439,0.858795,0.163768,0.295178,0.934855,-0.197274,muscle
0.122027,-0.986889,0.10564,0.101261,-0.99436,0.0315351,-0.915459,-0.0807236,0.394232,-0.588264,0.56045,0.582959,-0.137003,-0.0403397,0.989749,0.915459,0.0807236,-0.394232,0.226137,0.783548,-0.578718,0.839134,-0.044823,0.542076,-0.487756,0.861301,0.142318,0.305214,0.931224,-0.199166,muscle
0.134553,-0.985346,0.104831,0.112144,-0.993047,0.0357998,-0.924413,-0.0910421,0.370366,-0.559833,0.566445,0.604753,-0.130081,-0.0784023,0.988399,0.924413,0.0910421,-0.370366,0.234731,0.778788,-0.581714,0.82106,-0.0469759,0.568905,-0.502302,0.855088,0.128519,0.300246,0.934128,-0.193021,muscle
0.148072,-0.981783,0.119068,0.125848,-0.991004,0.0455273,-0.928158,-0.101416,0.358104,-0.567353,0.537759,0.62364,-0.0971876,-0.0811913,0.991949,0.928158,0.101416,-0.358104,0.257002,0.774272,-0.578319,0.793886,-0.0463434,0.606298,-0.516701,0.848459,0.114621,0.290014,0.936605,-0.196628,muscle
0.148108,-0.984081,0.0982221,0.135222,-0.990063,0.0386149,-0.929161,-0.113178,0.351924,-0.553828,0.545892,0.628711,-0.110718,-0.0957665,0.989227,0.929161,0.113178,-0.351924,0.263714,0.765229,-0.587265,0.763498,-0.0492514,0.643929,-0.525824,0.842332,0.118266,0.28229,0.940765,-0.187811,muscle
0.155977,-0.980369,0.120611,0.139378,-0.988815,0.0530879,-0.937834,-0.114603,0.327619,-0.540515,0.538023,0.646819,-0.101041,-0.1156,0.988143,0.937834,0.114603,-0.327619,0.30021,0.769636,-0.563501,0.721526,-0.0446643,0.690945,-0.533484,0.84049,0.0947227,0.282487,0.940201,-0.190325,muscle
0.151905,-0.979976,0.128732,0.141198,-0.988023,0.0622442,-0.944453,-0.115591,0.307647,-0.526134,0.530003,0.665042,-0.0965351,-0.136006,0.985994,0.944453,0.115591,-0.307647,0.338506,0.754283,-0.562558,0.689513,-0.0486526,0.722637,-0.537979,0.839362,0.0777814,0.283702,0.939926,-0.189874,muscle
