x,y,z
-180.944,406.455,1621.95
-185.184,406.732,1620.33
-186.125,407.74,1615.53
-180.034,408.51,1607.14
-166.759,408.609,1592.9
-147.649,409.508,1574.31
-125.147,410.84,1553.45
-110.427,411.437,1539.61
-89.7572,413.599,1527.24
-75.8284,413.661,1522.52
-67.4816,414.526,1523.16
-62.7248,414.498,1523.98
-59.6019,413.408,1528.39
-58.779,412.869,1537.59
-62.063,411.34,1555.21
-64.6119,410.707,1570.5
-69.7615,410.469,1587.14
-73.7258,408.973,1600.46
-79.0388,407.3,1617.11
-85.5789,406.524,1639.44
-89.5656,404.634,1650.62
-91.424,403.129,1662.69
-89.7048,404.091,1668.74
-85.8978,405.313,1668.28
-77.1196,405.408,1660.03
-70.7265,406.831,1652.92
-63.8077,406.945,1640.84
-58.5221,407.597,1633.31
-53.1834,408.168,1621.54
-48.1184,408.204,1611.65
-44.3754,408.717,1598.16
-42.1436,409.221,1590.9
-42.0842,409.956,1588.31
-43.5495,410.172,1589.53
-45.1724,410.238,1591.14
-49.4899,409.571,1596.94
-59.2026,408.667,1607.88
-70.6743,408.67,1620.34
-83.4182,407.667,1633.03
-92.9828,407.21,1641.4
-103.168,404.901,1646.59
-113.451,404.311,1650.2
-121.705,403.164,1651
-128.438,404.009,1646.89
-130.615,406.024,1643.82
-126.28,408.164,1635.27
-122.321,408.396,1629.02
-117.882,410.508,1625.4
-110.802,410.619,1616.08
-102.48,410.79,1606.43
-90.7806,410.489,1594.13
-81.3881,410.576,1587.52
-76.5094,411.055,1582.66
-72.9051,412.027,1583.72
-71.6209,411.716,1584.23
-71.9529,411.482,1589.01
-75.2395,410.637,1598.89
-81.3276,410.067,1606.83
-86.6383,408.98,1614.81
-94.3542,408.077,1627.28
-109.192,406.022,1647.52
-120.307,403.966,1664.13
-129.558,401.971,1679.51
-134.588,400.398,1687.65
-135.624,400.754,1696.72
-134.7,400.973,1699.75
-132.678,400.67,1701.29
-113.353,402.899,1698.39
-102.943,403.011,1690.59
-78.7473,402.913,1673.43
-69.2595,403.782,1667.05
-61.3307,404.09,1661.37
-56.4451,404.395,1658.52
-52.8888,404.479,1657.07
-50.1784,403.191,1661.31
-49.4298,403.391,1668.51
-49.1669,402.778,1675.13
-50.9604,402.272,1684.45
-55.08,400.728,1695.1
-59.5815,401.116,1709.43
-64.3189,398.699,1718.62
-69.7947,396.733,1728.2
-73.4982,394.813,1737.49
-77.6339,395.19,1740.63
-80.2549,395.739,1740.21
-81.4144,396.356,1739
-71.4193,400.81,1682.27
-118.126,398.172,1690.83
-119.883,397.66,1691.78
-119.939,397.601,1693.27
-117.234,399.57,1693.02
-114.808,400.404,1691.89
-107.515,401.344,1685.84
-99.2495,402.705,1681.32
-88.642,402.683,1673.55
-81.519,403.224,1668.66
-74.2151,402.908,1663.7
-69.7859,401.791,1660.73
-66.554,401.126,1658.22
-65.3804,400.524,1654.97
-64.7519,401.013,1654.77
-65.0959,402.266,1654.65
-67.6442,401.448,1656.16
-72.9114,401.1,1660.49
-83.9076,400.956,1668.12
-96.0402,399.193,1677.93
-109.391,397.857,1692.34
-119.556,398.51,1703.05
-132.271,396.43,1715.31
-142.322,394.097,1723.47
-150.461,394.528,1732.49
-158.974,394.226,1737.07
-164.336,393.806,1741.37
-170.175,393.774,1743.06
-174.065,394.541,1742.93
-176.817,395.052,1740.37
-175.72,394.622,1739.59
-171.035,396.533,1731.68
-165.655,397.288,1723.23
-161.051,399.294,1716.5
-152.642,401.422,1708.63
-141.638,402.653,1695.64
-134.502,404.117,1687.19
-123.956,403.528,1676.46
-116.009,402.923,1669.06
-107.731,402.45,1662.8
-101.802,401.796,1657.26
-97.5559,401.465,1657.52
-94.9787,401.609,1658.66
-93.6921,401.923,1661.72
-94.3309,401.167,1669.77
-95.3562,400.907,1676.77
-96.1687,400.245,1682.27
-99.441,399.263,1692.52
-104.655,398.888,1706.58
-108.115,397.09,1714.63
-112.637,396.748,1724.2
-119.024,395.373,1736.47
