x,y,z
-192.061,73.6763,1778.95
-176.729,74.1169,1769.28
-163.283,72.7716,1759.54
-147.887,72.6543,1740.05
-134.698,74.0078,1725.45
-64.5905,68.1167,1687.58
-56.4041,67.2032,1708.72
-53.9336,51.1628,1801.29
-26.3183,48.3025,1791.76
-17.0893,51.9283,1783.05
-10.3693,52.4042,1771.04
-1.31545,62.2398,1754.94
5.84652,66.3937,1734.94
10.7244,68.1783,1715.55
13.9022,68.1588,1699.62
20.6765,70.9087,1681.6
28.0144,69.543,1668.41
31.8965,68.1209,1662.78
33.7263,67.2639,1663.02
21.2733,29.0816,1654.84
23.6036,39.1862,1664.3
17.6308,51.2432,1673.19
5.08978,59.7238,1689.17
-3.68647,63.6896,1694.89
-19.6533,65.7541,1709.16
-41.1215,45.4999,1715.7
-51.5025,52.0253,1731.87
-67.0324,59.0663,1758.03
-77.448,63.7894,1771.82
-86.8896,61.7558,1791.16
-97.2505,59.1107,1809.1
-105.026,64.6156,1817.72
-106.516,61.5558,1820.25
-106.501,58.906,1820.96
-98.8087,54.2835,1809.66
-92.9356,59.791,1795.4
-86.2813,57.7665,1787.44
-74.3314,61.7304,1772.78
-67.6414,63.9283,1760.2
-62.5525,66.3787,1757.96
-49.9144,66.7251,1748.87
-42.6829,66.322,1744.28
-30.1627,68.8314,1745.17
-18.8015,67.428,1747.78
-4.64006,61.9095,1752.28
7.87602,56.1635,1755.28
21.27,50.1403,1761.08
32.2664,49.8941,1768.95
43.1706,50.707,1777.36
49.1412,51.8738,1789.26
53.8337,61.867,1801.94
58.7529,66.9473,1811.5
59.6098,73.1214,1822.56
49.6308,38.2068,1831.99
43.4244,47.5903,1833.54
38.5136,61.719,1834.27
26.3342,67.649,1829.99
15.4207,74.0012,1820.63
-1.16917,78.7583,1809.69
-16.6463,77.4484,1793.23
-29.7962,79.2709,1777.92
-44.3133,76.2708,1764.48
-53.2329,73.8254,1747.86
-60.5656,75.0171,1734.18
-64.2461,75.0241,1722.97
-62.3668,71.0707,1714.98
-61.3207,67.9127,1714.59
-60.9654,65.7451,1718.55
-60.7576,64.3863,1728.14
-58.5685,59.0747,1741.57
-52.0821,55.27,1753.24
-44.557,50.5569,1768.73
-32.955,50.6357,1778.22
-20.0147,51.2435,1785.61
-5.04284,48.1581,1790.76
12.0266,49.543,1793.48
30.0539,50.6697,1793.11
47.0397,47.8419,1793.33
66.2916,45.652,1795.25
78.0555,44.9215,1802.41
91.7305,47.8465,1809.73
99.5239,50.7179,1822.21
101.057,22.4223,1835.97
98.2565,4.82234,1848.93
98.7696,21.4142,1862.89
94.5192,32.6427,1872.9
82.2693,19.7195,1883.34
68.5905,30.7571,1893.06
58.0903,48.0113,1899.22
57.1592,75.8582,1916.43
58.7229,107.295,1922.48
44.8816,115.496,1942.49
23.4617,96.8424,1954.44
2.75475,80.3217,1965.93
-9.88893,70.5539,1968.03
-16.3371,64.9056,1961.06
-19.5169,61.8232,1950.6
-25.482,58.7761,1937.26
-28.5103,56.9872,1919.39
-30.6569,62.0701,1895.23
-30.4038,66.8208,1876.92
-25.4018,73.753,1849.03
-18.5713,74.2675,1816.59
-14.4201,73.3125,1787.59
-8.56502,75.9066,1758.59
1.64957,74.1222,1728.53
5.92113,75.2378,1703.9
10.4117,81.2662,1690.88
14.5447,79.7233,1684.92
11.6228,39.6493,1669.14
11.9976,46.8542,1683.42
10.5223,55.1978,1697.57
1.39199,62.5092,1720.04
-1.52528,67.1604,1726.55
-29.5488,30.481,1731.61
-33.8455,41.6203,1726.23
-46.5651,53.5651,1723.57
-57.32,64.7139,1718.87
-69.2789,68.5442,1709.25
-101.511,36.2538,1689.37
-106.255,38.9228,1682.59
-109.71,44.1465,1674.23
-112.19,47.2351,1669.85
-112.779,48.0598,1667.3
-109.076,44.4778,1667.72
-105.587,36.7372,1676.12
-96.9001,28.1318,1684.05
-91.6163,28.0378,1694.08
-85.5094,27.7162,1703.59
-82.0814,27.6799,1713.77
-71.2902,34.1014,1713.3
