x,y,z
219.013,232.499,1703.57
228.029,232.733,1693.34
245.038,235.875,1675.68
264.069,237.175,1650.67
281.568,239.064,1635.41
345.272,244.956,1547.74
353.633,243.979,1529.37
274.828,274.192,1463.67
296.984,271.526,1428.59
309.025,268.246,1412.34
319.029,266.626,1396.18
332.017,265.314,1385.59
342.51,262.159,1377.79
350.753,259.58,1372.39
361.376,260.289,1366.19
368.189,258.144,1365.1
370.095,255.574,1365.55
372.047,254.781,1366.78
372.027,252.894,1369.89
369.523,252.457,1376.44
365.896,248.272,1380.81
362.445,248.126,1390.41
356.705,241.051,1403.7
350.36,241.031,1421.35
342.689,243.015,1437.69
331.85,244.515,1458.84
322.15,247.28,1469.77
313.193,246.835,1484.14
304.591,243.917,1508.56
297.302,248.455,1522.79
290.654,250.727,1541.9
284.337,249.365,1558.96
282.171,249.683,1569.98
283.086,254.335,1573
280.543,252.166,1579.5
281.77,252.613,1581.2
284.362,254.296,1577.59
290.213,254.154,1570.82
297.632,256.077,1568.93
306.376,255.071,1561.97
317.188,258.54,1551.48
326.082,256.769,1544.73
337.051,255.887,1534.37
347.023,255.944,1521.68
356.511,253.473,1510.34
362.732,251.743,1495.15
369.866,251.374,1482.57
378.493,253.686,1465.33
383.785,253.354,1448.68
385.899,252.677,1433.84
385.949,249.844,1420.41
382.969,246.422,1411.7
378.974,244.71,1407.34
372.983,242.859,1407.16
367.984,243.433,1404.07
360.994,241.219,1410.03
354.001,241.113,1413.51
348.009,243.563,1419.26
339.513,244.296,1427.12
332.268,245.66,1433.05
323.963,238.948,1439.92
316.995,242.461,1452.49
308.509,248.721,1463.27
303.254,252.346,1471.65
294.652,253.136,1483.4
289.333,255.063,1490.21
286.171,256.035,1494.11
284.588,259.022,1493.05
283.3,261.02,1489.02
281.656,264.516,1485.01
280.328,266.758,1478.51
280.665,267.385,1471.25
284.328,271.711,1458.6
286.673,272.355,1445.31
289.332,270.206,1436.62
296.632,273.137,1416.24
300.814,271.075,1404.61
307.449,272.591,1387.29
311.707,270.788,1372.64
315.343,270.907,1362.3
320.16,269.95,1354.14
