x,y,z
122.485,-34.6776,1159.48
115.638,-35.4267,1159.27
109.275,-33.9558,1150.93
104.059,-31.5571,1129.55
100.386,-29.5748,1101.34
98.875,-28.4904,1069.69
102.234,-26.6057,1039.69
105.208,-26.24,1019.79
119.616,-24.764,998.501
131.308,-26.4578,987.96
137.792,-28.6536,984.621
140.408,-32.9362,987.155
139.856,-38.701,997.375
138.758,-44.315,1012.83
133.261,-54.0563,1043.39
129.813,-59.5612,1066.04
124.121,-62.0212,1086.14
121.524,-61.889,1100.51
120.419,-60.4347,1114.24
120.597,-57.4243,1128.32
121.178,-54.4795,1137.76
124.969,-48.9525,1145.2
128.94,-45.1814,1148.37
133.854,-42.7703,1147.87
140.328,-40.2592,1140.09
144.234,-38.6978,1133.44
148.175,-35.4547,1124.03
151.595,-33.1306,1115.18
155.09,-31.4014,1100.41
156.209,-29.1423,1082.96
153.537,-24.2337,1060.24
145.323,-20.3845,1041.07
138.08,-21.2586,1031.16
128.497,-22.2793,1025.2
121.218,-23.9227,1023.15
107.674,-25.6239,1024.45
92.097,-28.3001,1031.07
79.4311,-32.0718,1043.85
71.9514,-35.9074,1058.35
68.3364,-37.918,1070.28
67.0223,-42.8502,1080.84
66.6493,-47.9724,1101.04
67.9774,-52.7836,1121.86
76.4512,-57.3327,1146.54
87.2394,-58.6243,1162.5
101.292,-57.7016,1165.09
110.528,-56.6287,1163.76
119.474,-56.6915,1160.81
127.319,-54.3131,1152.27
134.554,-52.5623,1138.44
141.407,-48.031,1115.37
144.217,-44.2295,1093.93
144.892,-42.4968,1080.12
142.543,-39.5811,1068.95
139.865,-37.4876,1062.41
135.902,-36.4165,1062.79
128.956,-37.8271,1069.73
124.335,-40.3529,1084.63
120.699,-43.3933,1099.9
115.845,-48.5162,1117.81
111.737,-58.3581,1154.17
109.019,-63.3591,1185.44
106.785,-72.6736,1220.66
106.011,-77.015,1244.47
111.589,-82.0574,1270.09
116.946,-84.0533,1286.42
124.008,-85.5631,1296.42
147.686,-82.6645,1286.83
156.18,-79.7071,1274.43
162.755,-73.8368,1235.18
159.634,-72.5715,1216.71
154.671,-72.2226,1203.09
148.891,-71.2502,1193.87
142.338,-69.8323,1185.24
128.792,-64.6397,1177.11
119.435,-60.0107,1168.95
113.593,-54.207,1165.39
107.112,-49.6745,1161.71
97.6361,-46.4033,1161.03
86.7524,-43.1376,1164.64
75.324,-41.2782,1169.12
65.4963,-38.7719,1172.79
54.992,-34.4493,1174.79
41.271,-30.2834,1178.43
29.2736,-27.054,1180.51
21.6839,-25.9019,1178.18
-0.633816,-34.4908,1154.54
75.0303,-50.5475,1271.89
79.3259,-51.3042,1301.4
83.9419,-49.3087,1320.85
91.4209,-43.5584,1332.65
97.8456,-39.5807,1340.78
106.277,-36.5153,1340.4
116.044,-35.1724,1335.28
124.721,-31.1814,1321.84
130.81,-29.1606,1308.97
136.121,-26.5816,1289.51
138.651,-25.0448,1273.51
133.581,-20.5525,1252.47
128.02,-17.6465,1236.23
119.219,-13.1928,1220.89
111.479,-12.4873,1211.79
96.6808,-10.3292,1201.89
78.0639,-9.47734,1194.33
60.392,-12.7376,1197.7
48.134,-17.744,1207.42
41.2068,-22.4443,1220.04
37.9317,-24.7375,1230.16
34.1769,-28.7749,1247.85
31.0057,-30.7186,1263.83
29.7089,-31.4946,1275.16
30.0336,-34.4081,1291.75
30.9119,-35.521,1303.2
32.3981,-37.2989,1313.65
33.2989,-41.0828,1322.89
40.7209,-44.5002,1335.09
47.9797,-46.8181,1340.11
58.7753,-44.5924,1335.75
64.8499,-38.817,1320.34
68.8841,-35.0201,1304.66
75.6835,-24.1057,1274.42
78.729,-14.6442,1235.53
79.7229,-8.08673,1206.8
79.1683,1.36299,1169.97
77.9251,11.3667,1136.73
77.9102,17.6699,1107.48
78.2646,20.1275,1088.86
79.7242,17.9276,1081.52
80.5825,13.7076,1080.32
83.468,8.37283,1085.46
87.7268,-1.8175,1102.88
91.1717,-7.78532,1117.33
94.0203,-14.4925,1131.64
97.4819,-23.5833,1155.03
101.434,-35.5466,1186.14
103.44,-41.8629,1209.12
103.366,-46.8556,1231.32
103.783,-51.6562,1256.72
103.973,-53.8822,1273.63
103.72,-57.5507,1289.13
103.994,-57.9728,1299.24
103.893,-58.3412,1307.41
103.402,-57.309,1311.88
103.185,-54.7175,1308.26
101.701,-51.0061,1302
100.526,-41.3679,1281.05
98.9732,-27.3145,1248.55
97.8181,-17.033,1217.23
131.336,-41.9702,1224.19
105.903,-13.9637,1196.96
106.526,-8.11386,1176.79
104.896,-2.83876,1157.42
102.888,0.138252,1144.35
95.0764,3.15486,1130.89
81.6218,6.02757,1122.18
62.7787,8.648,1120.02
46.8592,10.0667,1120.19
33.7672,9.9944,1124.72
22.1623,9.65182,1129.78
14.8824,8.86976,1134.96
6.29705,5.73509,1144.35
2.24699,3.29856,1153.81
1.55877,-0.719467,1164.49
28.1718,-20.3094,1178.62
34.4506,-21.4007,1171.95
41.2862,-17.5075,1155.14
47.4075,-12.6996,1133.06
50.8125,-9.95341,1115.73
51.2085,-0.458405,1084.21
45.6076,14.1167,1039.76
42.466,18.4633,1023.49
39.0462,25.3482,1010.71
37.5685,29.3505,1004.14
37.7649,31.3797,1002.11
40.85,32.0474,1009.05
45.1488,31.3898,1017.43
49.6276,30.7384,1027.89
55.3378,30.2574,1039.03
59.8815,26.2043,1051.8
66.2157,22.7653,1067.84
71.0175,20.8022,1079.5
80.5496,17.231,1098.53
88.8635,13.0575,1115.39
95.8939,9.75112,1129.45
101.105,6.94193,1137.35
103.601,4.87955,1140.42
104.83,3.43987,1140.92
105.42,3.55505,1131.59
105.493,3.35448,1122.25
107.525,4.31419,1106.44
109.073,6.21285,1089.43
110.285,8.06496,1078.01
112.473,14.05,1061.4
114.855,17.4864,1050.09
121.975,17.5499,1047.4
127.761,15.5774,1048.12
134.449,8.33997,1057.72
138.835,1.91031,1068.14
142.671,-3.6223,1076.88
146.772,-16.8501,1098.16
149.766,-28.0374,1118.95
153.504,-37.4563,1142.18
155.6,-41.7402,1157.22
155.314,-42.5322,1168.72
151.44,-37.5284,1171.29
143.171,-29.7957,1168.11
132.047,-18.9713,1162.99
122.293,-9.41792,1158.85
113.604,-1.60223,1155.7
108.249,2.59724,1155.19
101.815,5.11919,1157.53
97.4716,-1.0676,1167.54
95.7821,-6.93407,1177.91
95.4366,-11.3312,1185.75
95.448,-19.2959,1197.42
99.0465,-27.2254,1208.57
101.566,-33.2756,1215.97
104.698,-39.2144,1221.94
107.703,-43.6737,1225.69
110.735,-46.5873,1226.43
116.857,-45.9926,1219.32
120.752,-44.6137,1208.44
124.124,-42.3424,1198.4
130.846,-34.8224,1177.02
134.844,-30.3987,1161.3
140.134,-19.9229,1134.94
