x,y,z
112.165,384.294,1737.19
120.274,382.979,1722.45
132.713,381.266,1706.86
148.254,380.234,1690.77
168.239,382.314,1677.77
219.943,375.994,1623.82
227.843,376.279,1617.8
189.449,412.613,1627.9
226.247,410.951,1586.19
235.831,408.141,1571.95
246.148,402.668,1556.37
257.983,399.39,1543.86
268.047,397.313,1532.21
276.975,396.033,1522.19
283.761,393.316,1515.21
288.596,390.745,1509.75
293.904,389.978,1508
296.627,389.929,1508.45
296.556,391.796,1512.03
296.134,393.186,1518.63
292.877,394.114,1526.71
288.486,394.539,1536.54
282.334,394.52,1548.82
272.909,396.818,1564.74
262.747,401.283,1583.15
251.657,401.907,1602.15
241.118,404.381,1620.18
231.309,404.122,1637.42
221.106,402.856,1652.79
209.042,401.955,1666.53
200.438,399.917,1677.7
193.139,397.647,1685.11
188.895,397.832,1692.49
186.732,396.217,1696.69
186.323,394.984,1698.82
185.463,396.603,1695.14
186.122,398.087,1691.37
186.777,398.134,1684.97
190.911,397.377,1676.91
196.023,396.98,1667.94
201.996,394.313,1658.89
211.423,394.12,1649.84
226.664,394.636,1641.28
239.202,392.698,1631.85
250.978,390.458,1621.45
260.493,390.893,1612.42
269.023,390.141,1603.33
281.889,392.171,1599.03
292.779,394.321,1595.27
300.368,395.293,1590.49
306.002,394.909,1586.65
310.399,393.791,1581.43
312.801,392.768,1576.12
310.948,391.375,1574.59
308.659,389.698,1574.5
303.801,388.372,1574.32
295.842,388.212,1576.93
285.676,387.435,1579.78
278.78,388.621,1584.15
268.947,390.718,1589.7
260.732,394.472,1597.03
254.193,398.648,1604.56
246.446,401.741,1611.86
240.295,403.571,1619.22
233.465,408.055,1626.68
228.51,409.076,1631.05
224.301,408.812,1633.01
220.281,408.361,1634.41
216.379,411.216,1633.8
213.615,411.193,1630.82
210.948,411.806,1626.22
214.327,410.37,1619.26
219.802,412.879,1611.67
226.21,411.24,1602.41
233.365,413.076,1591.44
241.096,415.813,1579.73
247.054,414.77,1570.41
255.559,410.44,1559.45
262.316,410.188,1553.24
270.343,410.883,1545.73
275.364,411.492,1542.4
279.966,411.73,1542.05
283.345,412.448,1541.76
283.631,417.261,1547.18
284.177,419.105,1551.84
282.904,420.825,1560.55
280.615,421.471,1572.01
275.753,424.062,1586.73
271.85,423.23,1601.59
266.783,423.907,1619.93
261.282,425.247,1639.76
255.754,424.237,1658.51
248.722,422.518,1677.03
244.533,422.63,1693.76
240.045,421.747,1705.37
237.117,414.699,1712.9
238.796,415.59,1717.74
240.183,413.705,1719.14
240.676,411.867,1716.64
242.997,407.971,1709.53
246.146,406.558,1700.35
250.73,404.298,1688.6
257.347,401.716,1673.48
264.26,398.398,1657.05
267.865,397.287,1638.78
271.866,396.39,1622.88
275.641,392.653,1608.78
279.828,389.969,1596.46
283.46,388.099,1586.11
284.951,388.927,1580.16
284.583,389.453,1574.96
282.86,389.041,1570.58
282.392,389.052,1571.09
279.434,387.903,1571.41
270.648,388.301,1575.73
259.949,388.643,1580.89
247.242,393.23,1588.76
233.167,398.767,1596.84
217.506,404.117,1605.82
198.397,409.316,1616.79
180.911,410.913,1624.72
166.698,413.046,1632.85
154.825,412.881,1640.06
147.792,412.549,1646.88
142.845,413.227,1653.45
139.943,408.167,1656.61
140.249,404.77,1658.23
140.534,402.774,1659.37
143.879,397.114,1660.19
152.639,393.275,1661.48
162.665,392.887,1663.55
173.748,385.7,1662.78
186.003,382.669,1664.08
198.466,378.071,1665.19
212.663,375.419,1665.88
224.306,371.954,1665.94
233.849,368.824,1667.32
242.72,367.426,1668.45
246.432,367.776,1669.92
250.258,367.096,1670.8
254.174,367.019,1671.63
254.729,368.952,1672.59
255.193,369.042,1675.5
252.602,374.552,1681.2
252.024,381.44,1689.81
189.733,412.018,1692.29
201.513,411.126,1678.44
213.448,411.995,1664.27
227.967,411.31,1648.24
242.628,409.517,1632.09
259.355,409.934,1618.15
273.02,410.953,1606.28
282.822,411.556,1598.08
291.592,412.453,1590.42
300.571,410.279,1583.74
305.571,410.783,1583.77
309.735,409.29,1584.22
311.51,410.342,1588.07
312.356,411.568,1594.64
311.126,411.044,1604.12
308.528,412.595,1616.05
306.254,414.984,1628.21
301.568,416.309,1645.23
297.975,418.095,1662.89
291.081,413.551,1679.68
287.62,415.541,1695.3
284.984,414.69,1708.37
283.465,415.055,1718.18
282.58,416.861,1724.97
283.125,417.276,1727.91
280.341,415.838,1728.19
277.429,410.96,1725.3
275.339,407.82,1719.28
274.918,407.327,1710.06
273.16,406.821,1697.68
272.615,403.038,1680.52
271.242,399.786,1664.47
270.207,396.314,1646.81
270.089,393.449,1631.87
272.71,391.179,1617.33
275.589,391.613,1606.14
276.297,391.248,1594.84
277.665,389.128,1583.9
272.066,388.493,1576.55
267.078,388.258,1569.1
262.028,388.412,1562.04
252.964,386.113,1557.77
246.279,385.892,1553.91
234.426,386.673,1552.12
220.925,388.539,1549.62
208.815,389.621,1548.18
194.187,389.833,1547.23
181.609,392.473,1545.89
169.14,393.672,1545.29
158.306,394.022,1544.84
145.877,393.117,1539.29
139.322,393.208,1533.32
135.205,392.855,1527.69
136.6,390.259,1519.38
142.958,389.279,1509.31
153.597,388.394,1499.23
167.443,387.045,1487.86
184.109,387.144,1475.27
203.138,387.015,1465.77
219.34,386.582,1457.14
234.613,386.266,1450.52
249.64,391.2,1445.91
257.223,390.691,1439.65
261.961,390.142,1436.04
262.59,389.627,1432.59
262.01,391.328,1432.49
260.118,393.356,1432.89
256.932,397.387,1435.74
249.99,397.528,1443.19
245.052,401.121,1452.41
240.222,404.412,1463.32
232.681,407.492,1476.61
224.393,411.924,1490.73
215.718,413.677,1503.1
206.633,414.266,1517.11
198.781,412.583,1528.83
190.429,412.878,1537.88
184.88,412.031,1544.99
177.763,413.992,1551.6
171.098,413.602,1553.13
164.13,413.47,1556.78
158.097,414.686,1557.77
151.706,413.858,1557.67
146.066,414.933,1553.3
138.278,412.973,1548.67
132.365,411.165,1540.28
126.062,412.087,1532.71
122.371,408.373,1521.63
120.196,405.957,1512.82
117.783,403.248,1506.46
115.395,403.542,1503.34
113.619,403.377,1501.74
111.715,402.264,1502.52
109.486,401.394,1506.65
108.878,399.602,1514.51
105.849,398.363,1525
102.606,398.956,1535.37
101.108,398.677,1541.5
100.683,398.117,1546.89
101.551,397.601,1550.15
102.787,391.916,1549.99
104.116,389.505,1547.51
109.809,386.892,1542.06
115.35,385.898,1537.83
127.654,382.161,1527.96
142.991,379.789,1516.12
161.225,377.564,1501.51
182.803,377.65,1487.38
206.398,377.034,1473.49
223.342,373.586,1460.92
235.492,370.297,1449.54
244.938,369.136,1441.13
252.518,368.422,1434.12
258.185,368.234,1430.34
262.564,367.926,1427.29
267.522,367.539,1426.55
266.188,367.037,1426.23
263.976,370.031,1428.59
260.037,370.255,1434.54
254.745,371.672,1436.19
242.415,377.769,1440.45
238.543,390.331,1387.96
246.895,395.043,1371.99
259.967,402.014,1354.68
273.196,399.254,1335.88
286.298,401.94,1319.81
296.194,400.068,1306.05
311.058,396.437,1285.58
314.326,402.144,1281.46
319.456,399.075,1276.53
325.74,403.445,1295.78
326.592,409.08,1309.89
324.809,411.468,1330.26
321.634,411.175,1351.03
320.7,409.725,1422.97
301.53,405.771,1494.54
261.747,392.298,1481.21
255.92,390.851,1472.08
245.071,388.683,1457.99
214.017,392.352,1481.54
197.329,399.016,1520.78
186.575,402.076,1542.99
177.291,403.604,1564.68
168.05,405.146,1585.69
161.767,405.057,1603.19
158.202,404.795,1616.32
154.178,407.18,1624.77
151.218,408.949,1630.51
221.493,382.519,1589.72
227.595,381.987,1588.99
232.462,379.581,1587.56
236.808,377.671,1587.72
242.685,376.529,1588.13
244.689,376.959,1592
246.347,376.798,1593.26
247.202,376.934,1596.62
246.807,376.791,1601.1
243.444,376.802,1608.48
235.002,375.974,1617.08
226.449,379.173,1533.02
227.231,378.945,1526.02
229.255,379.533,1521.36
227.803,379.156,1518.71
224.344,381.073,1517.53
220.137,382.046,1519.68
218.612,387.682,1528.6
218.876,391.497,1539.11
214.76,395.286,1549.71
204.673,397.596,1562.47
194.682,398.592,1575.05
183.381,399.77,1587.56
176.163,401.313,1597.83
167.269,401.541,1608.84
159.03,401.687,1616.53
152.934,404.634,1624.71
147.885,405.465,1631.52
145.92,405.637,1634.85
149.04,415.371,1643.15
151.525,415.239,1642.95
155.98,414.705,1642.24
162.875,413.1,1640.98
174.594,408.273,1640.14
188.094,406.623,1640.86
198.174,403.14,1639.82
208.522,401.42,1638.93
221.735,402.643,1642.73
231.343,401.823,1648.94
239.4,402.934,1654.22
243.768,403.326,1658.63
249.451,402.587,1665.4
253.413,403.539,1673.31
257.656,401.435,1683
261.499,399.558,1689.9
