x,y,z
-161.408,96.9563,1510.84
-162.819,98.3676,1509.71
-160.892,100.037,1504.64
-152.3,102.137,1492.84
-134.731,102.902,1476.25
-111.297,104.579,1454.1
-83.9716,106.623,1433.97
-68.2826,107.294,1422.3
-50.719,108.746,1409.67
-36.8458,108.714,1403.66
-25.9409,110.801,1399.39
-20.263,111.665,1397.9
-16.9891,111.033,1399.96
-15.2488,110.804,1405.59
-21.6731,106.952,1424.03
-25.7175,106.085,1439.83
-30.8965,103.95,1458.12
-34.5067,101.755,1473.32
-44.5276,98.5161,1493.26
-52.2319,96.2252,1515.8
-56.3535,94.7864,1531.03
-59.4137,93.2807,1545.39
-58.1983,94.5308,1552.29
-55.2951,96.9631,1551.81
-46.0894,98.9613,1540.52
-41.0748,100.943,1532.27
-31.6331,101.376,1520.27
-24.7194,102.399,1511.61
-18.1413,102.665,1503.72
-12.5636,102.255,1495.33
-2.05743,102.78,1483.45
4.19996,103.74,1477.73
7.65514,104.946,1474.25
7.15293,105.7,1472.45
8.13645,107.798,1469.7
5.96589,109.393,1468.81
-5.0324,109.698,1473.43
-15.5627,111.663,1480.26
-32.5718,109.65,1492.51
-43.655,109.457,1500.97
-54.3315,106.176,1510.23
-64.2511,103.635,1518.74
-73.3725,100.618,1525.83
-80.4397,99.826,1528.18
-83.9459,100.591,1528.87
-83.9107,102.002,1525.23
-82.7106,102.327,1518.91
-79.2319,104.031,1513.72
-76.1122,103.673,1504.13
-68.9265,103.195,1494.99
-60.3784,101.708,1485.59
-54.6991,101.033,1481.09
-51.9435,101.016,1476.91
-50.3073,101.701,1474.82
-52.5602,101.196,1475.2
-52.1847,101.527,1475.51
-56.9541,100.621,1481.96
-63.9549,98.0668,1493.52
-70.2966,96.5473,1501.96
-80.5797,94.9172,1514.29
-96.6838,90.7008,1535.4
-109.594,88.5255,1554.08
-115.654,86.1911,1568.96
-121.372,85.5512,1578.98
-122.582,86.4182,1587.73
-122.152,87.7705,1592.55
-118.378,89.0529,1592.71
-94.2246,93.7853,1583.07
-84.0722,94.2311,1575.52
-55.1941,94.5742,1558.27
-40.9412,95.7496,1551.11
-27.791,97.2295,1544.23
-18.4141,99.0904,1540.98
-9.43374,99.8606,1538.67
-1.20334,102.11,1537.83
2.98089,104.182,1537.85
5.19089,105.804,1538.4
4.84622,107.723,1541.72
1.81731,107.354,1549.1
-0.282538,110.769,1555.99
-1.96079,111.383,1561.34
-4.87037,111.691,1568.3
-8.09698,112.911,1573.68
-11.3889,116.024,1576.21
-13.1083,118.753,1573.86
-14.6898,119.757,1572.08
-15.9562,121.711,1517.61
-80.0492,91.1651,1577.85
-83.581,89.1544,1584.2
-84.5288,88.523,1588.55
-82.8299,89.8421,1589.88
-81.1317,89.8382,1590.54
-74.4952,90.3232,1585.52
-65.6135,92.1936,1578.31
-54.0804,93.4508,1569.38
-46.3392,94.4151,1563.1
-37.4593,95.0528,1554.3
-31.6026,95.5973,1548.75
-25.8792,96.2005,1541.49
-20.9841,96.8334,1536.85
-13.9989,100.492,1531.63
-8.18309,103.206,1529.67
-7.3049,104.923,1527.49
-13.4212,105.976,1528.63
-22.6973,106.854,1534.72
-37.3948,104.658,1542.33
-52.5341,104.83,1553.48
-65.0108,105.236,1563.65
-86.2458,100.572,1577.17
-101.256,96.6901,1588.51
-116.633,96.0647,1596.67
-130.249,92.8913,1605.73
-140.52,91.6488,1611.89
-147.639,89.974,1617.63
-150.848,88.5037,1620.75
-151.865,87.8409,1622.62
-149.408,89.1151,1620.22
-143.406,90.0078,1614.02
-136.642,91.2621,1605.47
-131.206,93.2084,1599.88
-121.482,95.8891,1589.84
-106.621,98.2054,1574.93
-97.0032,100.006,1565.87
-83.9779,99.7388,1553.67
-70.5704,102.211,1543.6
-55.3219,104.975,1534.11
-45.8108,105.347,1527.54
-38.9526,106.129,1525.11
-36.9829,107.101,1524.59
-36.0742,107.6,1526.44
-40.4198,104.532,1536.47
-44.576,103.892,1543.26
-49.0508,102.913,1549.77
-54.1307,101.378,1561.15
-64.1259,99.0825,1577.58
-70.6025,95.5962,1588.65
-77.2798,93.5674,1600.26
-87.3935,89.7432,1617.79
-92.0933,86.355,1627.93
-95.5281,84.3719,1635.32
-97.5002,83.3699,1641.29
-99.4856,83.3786,1646.53
-101.747,83.7006,1647.99
-102.182,81.973,1645.59
-102.76,81.0648,1643.9
-100.643,83.8921,1634.78
-96.7784,87.821,1621.23
-91.4547,90.5455,1608.2
-101.493,94.8394,1545.84
-90.8012,87.6182,1606.27
-79.8014,87.032,1601.87
-64.3188,87.6202,1599.31
-55.3924,89.8433,1598.47
-48.2306,93.0182,1598.23
-39.4342,95.5723,1595.1
-36.8357,96.5033,1597.82
-37.2582,96.5596,1600.13
-39.9888,98.0611,1604.41
-44.038,99.8799,1608.71
-47.3411,103.629,1611.75
-53.8298,102.823,1619.64
-54.9369,103.247,1621.76
-56.6919,104.385,1623.69
-57.8568,104.619,1606.29
-56.6357,104.652,1597.49
-48.8833,106.475,1575.03
-39.5876,110.541,1553.61
-32.0816,112.251,1538.1
-21.2599,112.452,1515.1
-16.6795,110.722,1493.03
-14.4032,111.856,1485.66
-18.7383,111.089,1484.09
-22.8821,111.092,1482.85
-28.5378,107.806,1485.87
-40.8471,103.902,1493.58
-54.9617,101.345,1504.97
-67.3123,99.5632,1515.31
-77.8951,98.3033,1524.55
-88.0025,96.516,1533.52
-100.474,93.2065,1542.05
-107.614,93.1638,1549.88
-117.648,90.8088,1558.04
-124.165,90.7594,1562.71
-127.345,90.5144,1564.39
-128.097,91.4992,1564.51
-125.827,93.5968,1561.97
-122.819,94.6887,1559.5
-111.684,96.6831,1549.22
-102.22,98.8257,1542.03
-90.317,98.7386,1532.64
-78.9765,99.1225,1523.96
-70.4644,99.0168,1518.07
-61.6243,98.8057,1511.76
-55.3581,98.2276,1507.38
-51.8949,98.5129,1503.32
-50.6959,98.4942,1500.1
-50.6679,98.0411,1499.78
-50.6503,98.2435,1499.61
-50.515,98.3685,1499.42
-55.1659,97.3317,1503.23
-63.7373,97.5154,1508.43
-68.9597,97.1716,1514.51
-75.8667,98.6811,1518.73
-86.1583,96.8205,1527.49
-95.8829,95.9691,1535.25
-106.957,93.5249,1545.83
-118.907,91.624,1557.35
-126.356,93.626,1568.32
-132.011,92.591,1577.06
-138.505,91.903,1583.82
-143.672,89.4877,1589.23
-145.915,86.5109,1594.68
-146.755,86.0984,1597.7
-147.305,86.7631,1599.67
-147.037,87.2596,1598.8
-141.444,87.6239,1593.38
-138.445,88.7223,1587.96
-134.247,91.1642,1582.33
-130.479,93.019,1577.13
-122.622,95.547,1568.42
-112.329,97.4817,1558.96
-103.238,99.8251,1550.3
-96.5794,101.456,1544.36
-87.4257,100.078,1535.55
-78.9381,98.661,1529.73
-69.4237,98.5086,1526.1
-61.6112,98.5492,1522.34
-56.5165,98.5041,1520.64
-53.8199,97.6319,1519.65
-53.0087,96.5558,1519.49
-53.2072,96.6711,1522.58
-54.4677,95.8122,1524.54
-56.0281,96.7402,1528.18
-58.4691,96.2764,1533.44
-68.1531,94.3544,1544.11
-75.7417,93.7566,1554.62
-80.5122,93.7308,1562.12
-88.137,92.7863,1573.7
-97.6825,90.1895,1585.18
-105.366,89.4151,1597.04
-112.457,86.4014,1610.33
-122.462,83.2633,1622.36
-127.259,82.1991,1629.2
-130.861,81.8604,1636.54
-132.742,80.9105,1641.63
-133.642,81.3291,1642.36
-133.611,81.5726,1642.41
-131.366,81.5932,1638.54
-126.884,84.0726,1632.13
-118.275,86.0861,1618.05
-108.837,90.9729,1604.34
-96.5496,92.9803,1585.22
-88.359,95.6298,1573.04
-77.7635,96.9665,1556.87
-68.7738,98.5318,1545.53
-61.1126,98.5106,1534.7
-51.8468,99.1529,1523.88
-43.4277,98.9356,1513.9
-37.443,99.0003,1505.03
-32.9656,98.6401,1499.73
-31.0015,98.3488,1496.95
-31.5287,97.6609,1493.05
-32.006,97.9891,1492.35
-33.608,99.4443,1491.16
-35.9364,98.2939,1491.35
-43.2288,97.9779,1494.66
-48.34,99.6437,1500.13
-56.4714,98.2732,1508.58
-67.6954,97.5063,1516.07
-77.3831,97.317,1522.12
-83.6033,96.4625,1528.11
-97.3254,94.3111,1540.16
-106.764,92.7293,1550.45
-118.491,91.3835,1560.86
-127.737,91.5789,1571.6
-133.994,91.9599,1578.81
-137.49,88.2326,1587.1
-141.444,85.765,1594.4
-145.014,84.3389,1601.35
-147.898,83.5692,1606.65
-150.181,83.2007,1610.11
-148.963,83.8165,1612
-146.755,85.9391,1611.18
-141.992,85.3351,1609.19
-134.232,89.3389,1602.57
-123.348,91.7121,1594.72
-105.576,93.6475,1585.74
-92.909,97.0167,1577.62
-85.2018,98.4652,1570.82
-73.1638,99.5386,1562.57
-59.6812,100.525,1551.88
-45.2721,99.7431,1544.81
-36.4836,99.0322,1540.59
-30.3421,100.003,1538.97
-27.6727,101.11,1535.91
-23.6787,101.245,1537.35
-21.8209,99.758,1539.92
-23.8025,98.7213,1543.43
-27.0321,98.5644,1549.2
-31.6811,98.328,1552.59
-37.2772,97.7968,1558.87
-48.3248,94.6758,1572.19
-58.5426,92.5421,1584.19
-68.0852,89.9745,1597.64
-76.0678,87.8078,1611.66
-83.5143,86.763,1623.27
-84.754,86.5105,1633.1
-85.9378,86.3333,1640.74
-87.2218,90.2259,1639.22
-95.4994,88.0625,1647.98
-98.5593,88.2965,1652.26
-100.073,89.9886,1646.68
-98.1662,91.7727,1640.96
-95.7127,96.059,1629.27
-88.6202,104.225,1606.02
-83.3748,107.833,1593.3
-76.181,112.843,1574.94
-75.0863,110.302,1557.37
-72.9849,109.438,1545.74
-68.5044,109.597,1531.68
-63.121,108.799,1520.19
-58.1887,107.815,1508.13
-57.7667,107.113,1496.2
-57.0797,107.394,1488.45
-59.2416,107.794,1484.27
-60.329,109.173,1482.52
-62.1562,108.617,1482.67
-69.5195,107.172,1485.69
-90.2717,99.3625,1494.81
-99.7816,98.2362,1500.26
-117.504,95.5873,1511.39
-130.254,96.5036,1519.85
-144.869,94.7857,1529.66
-159.602,92.3584,1542
-170.199,90.297,1553.28
-178.408,89.6841,1562.17
-184.143,88.5899,1568.65
-190.225,86.2068,1577.98
-192.621,85.1444,1583.72
-193.034,84.8409,1584.52
-189.838,85.4124,1585.63
-179.834,87.0969,1581.41
-169.141,90.0945,1576.74
-159.827,92.4837,1572.32
-149.01,93.3336,1570.74
-138.957,94.298,1565.9
-125.612,95.0745,1561.29
-113.876,94.1322,1558.17
-102.383,93.4501,1554.72
-94.8282,94.5561,1553.89
-90.6995,95.3998,1555.16
-88.0696,94.9249,1556.4
-88.88,94.2097,1561.47
-87.4296,93.2893,1567.7
-89.1239,94.7086,1572.65
-93.354,92.0904,1582.86
-94.2069,91.7408,1600.9
-97.5792,89.9031,1609.2
-101.043,88.4372,1620.98
-107.311,87.6031,1633.83
-112.669,86.6022,1644.98
-117.238,84.1618,1653.75
-120.936,83.066,1661.26
-124.507,81.6926,1669.44
-126.662,82.4146,1674.05
-128.368,81.51,1676.02
-128.403,81.7421,1675.42
-127.221,81.1512,1667.47
-124.025,82.1994,1655.3
-120.251,84.0977,1644.54
-116.347,86.6964,1626.29
-113.518,88.3089,1614.29
-106.145,90.6776,1594.23
-99.8333,91.8827,1573.45
-94.437,93.2529,1555.64
-91.2798,94.3276,1543.25
-89.8502,95.3795,1535.62
-90.1646,95.3378,1528.09
-94.5934,95.6184,1525.46
-99.9006,95.1066,1522.48
-110.201,94.5424,1525.07
-118.683,95.4385,1526.58
-129.956,93.7732,1530.6
-145.273,91.9575,1533.61
-156.929,92.7295,1541.03
-169.632,91.0663,1551.33
-182.473,89.4964,1561.7
-192.173,88.9682,1569.15
-198.519,88.7556,1573.85
-200.262,89.4288,1577.01
-200.282,89.6108,1577.85
-197.222,90.4636,1578.07
-194.506,91.0453,1577.12
