x,y,z
0.220783,0.894818,0.388015
0.219438,0.898434,0.380347
0.196844,0.911619,0.360836
0.199099,0.895504,0.398037
0.218566,0.879731,0.422258
0.213829,0.842108,0.495108
0.236212,0.879109,0.41397
0.177219,0.919207,0.351643
0.221455,0.947806,0.229395
0.242457,0.950617,0.193756
0.246879,0.951497,0.183585
0.246268,0.946415,0.208927
0.252977,0.938032,0.236853
0.26783,0.923839,0.273475
0.268875,0.911155,0.312254
0.247258,0.892363,0.377561
0.216707,0.880932,0.42071
0.214354,0.877825,0.428341
0.21145,0.884946,0.41492
0.220433,0.897365,0.382289
0.178746,0.90406,0.388234
0.19154,0.895567,0.401586
0.184076,0.898178,0.399239
0.186906,0.88955,0.416855
0.190984,0.886725,0.421003
0.205112,0.891023,0.404979
0.185609,0.888923,0.418767
0.218616,0.900264,0.376473
0.200017,0.899619,0.388173
0.222934,0.912672,0.342536
0.252331,0.925016,0.284033
0.267285,0.919619,0.287854
0.243062,0.922969,0.298412
0.245485,0.925015,0.289972
0.218082,0.915342,0.338511
0.216976,0.893164,0.393929
0.195102,0.890511,0.411005
0.176138,0.858217,0.482119
0.186016,0.833016,0.52104
0.193639,0.836292,0.512952
0.180031,0.828647,0.530031
0.18733,0.827536,0.529237
0.181708,0.829245,0.528522
0.212429,0.845758,0.489457
0.203256,0.871163,0.446946
0.22887,0.884742,0.406016
0.225748,0.901633,0.368911
0.239481,0.913976,0.327561
0.238797,0.921742,0.305561
0.263384,0.929266,0.259023
0.299387,0.934285,0.193596
0.294986,0.943054,0.15373
0.284581,0.952651,0.107094
0.275703,0.95785,0.0806941
0.283073,0.955433,0.0837752
0.272142,0.959611,0.0713178
0.268864,0.957791,0.101731
0.269241,0.954222,0.130267
0.289631,0.940722,0.17651
0.278791,0.927457,0.249196
0.287603,0.910838,0.296072
0.296819,0.897468,0.326267
0.285602,0.88271,0.373168
0.286842,0.859013,0.42405
0.264694,0.835796,0.481022
0.226391,0.828574,0.512066
0.192157,0.83087,0.522237
0.178373,0.832669,0.524256
0.168382,0.844478,0.508434
0.168501,0.866438,0.469992
0.188892,0.884278,0.427052
0.201019,0.908284,0.366894
0.202067,0.921633,0.331303
0.236749,0.926666,0.291958
0.211593,0.936878,0.278367
0.200187,0.943329,0.264682
0.215424,0.944374,0.248497
0.198916,0.945935,0.256201
0.187215,0.955194,0.229248
0.205342,0.959646,0.192133
0.181332,0.967594,0.175729
0.167345,0.974551,0.149149
0.18795,0.977999,0.09051
0.200651,0.97733,0.0675612
0.19611,0.980051,0.0322498
0.211069,0.977241,0.0212206
0.22458,0.97417,0.0235835
0.288331,0.956872,0.0355253
0.324491,0.943783,0.0630814
0.270122,0.962357,0.0300376
0.191233,0.968879,0.157173
0.208189,0.975641,0.0691533
0.258724,0.963397,0.0702047
0.285717,0.956643,0.05657
0.297909,0.953145,0.0525801
0.261397,0.958379,0.114806
0.242645,0.958121,0.152077
