x,y,z
0.0549218,-0.943165,-0.327755
0.0626717,-0.942488,-0.328311
0.0716971,-0.941544,-0.329173
0.0802516,-0.936847,-0.340408
0.0941408,-0.933305,-0.346525
0.109627,-0.927544,-0.357274
0.123467,-0.925939,-0.356922
0.125848,-0.928485,-0.349396
0.119105,-0.928378,-0.352034
0.119715,-0.926885,-0.355743
0.128119,-0.919243,-0.37226
0.130087,-0.91639,-0.378557
0.129652,-0.913581,-0.385434
0.132268,-0.908782,-0.395752
0.125888,-0.911207,-0.392243
0.122449,-0.911153,-0.393455
0.122707,-0.914238,-0.38615
0.121814,-0.916943,-0.37997
0.109501,-0.922146,-0.371021
0.106518,-0.922803,-0.370254
0.104258,-0.927767,-0.358299
0.100488,-0.93038,-0.352556
0.094964,-0.93225,-0.34913
0.0905255,-0.93362,-0.346638
0.0937465,-0.929376,-0.357033
0.0899052,-0.928719,-0.359721
0.0950357,-0.92873,-0.358371
0.098055,-0.926746,-0.362665
0.104221,-0.929718,-0.353218
0.106833,-0.931041,-0.348926
0.126229,-0.929646,-0.346155
0.140333,-0.927864,-0.345508
0.153973,-0.924156,-0.349612
0.156056,-0.920329,-0.358665
0.163894,-0.913452,-0.372484
0.17045,-0.902549,-0.395414
0.168069,-0.894483,-0.414311
0.172973,-0.885458,-0.431328
0.157594,-0.888801,-0.430345
0.152221,-0.890107,-0.429579
0.149794,-0.897326,-0.415173
0.147107,-0.905138,-0.398855
0.14022,-0.914,-0.380714
0.13713,-0.922968,-0.359617
0.132649,-0.928216,-0.347591
0.120039,-0.935498,-0.332316
0.112176,-0.937537,-0.329303
0.112169,-0.935695,-0.334503
0.10034,-0.937106,-0.334312
0.0988568,-0.937634,-0.33327
0.0901696,-0.941625,-0.324362
0.0796109,-0.944659,-0.318248
0.0730372,-0.946599,-0.314032
0.0674222,-0.943572,-0.324232
0.0551083,-0.944031,-0.32522
0.0603579,-0.938957,-0.338699
0.0567977,-0.93494,-0.350232
0.0569028,-0.939656,-0.337355
0.0497981,-0.940812,-0.335252
0.043263,-0.940839,-0.33608
0.0396042,-0.94221,-0.332675
0.0340844,-0.944989,-0.325321
0.0458067,-0.944665,-0.324822
0.0397611,-0.947129,-0.318379
0.0370004,-0.947317,-0.318152
0.0365025,-0.948907,-0.313437
0.0397514,-0.947184,-0.318217
0.0505491,-0.939701,-0.338241
0.0510192,-0.939403,-0.338998
0.0686389,-0.938511,-0.338356
0.0828916,-0.936204,-0.341543
0.0986008,-0.932808,-0.346623
0.112351,-0.930128,-0.349627
0.131069,-0.926546,-0.35261
0.151068,-0.916121,-0.371349
0.163204,-0.904211,-0.394674
0.167757,-0.894501,-0.414398
0.174027,-0.884135,-0.433612
0.17591,-0.87885,-0.443484
0.182395,-0.86423,-0.468869
0.190154,-0.855774,-0.481137
0.197687,-0.849258,-0.489572
0.198256,-0.841922,-0.501859
0.201386,-0.839285,-0.505018
0.204032,-0.83494,-0.511122
0.202101,-0.834158,-0.513163
0.17166,-0.842442,-0.51071
0.108778,-0.935523,-0.336101
0.102868,-0.942868,-0.316889
0.101404,-0.94636,-0.30679
0.0984138,-0.94845,-0.301261
0.0984001,-0.950394,-0.295074
0.0968217,-0.951665,-0.291477
0.0985309,-0.94894,-0.299675
0.101955,-0.94698,-0.304688
0.103738,-0.944893,-0.31051
0.108725,-0.939708,-0.324235
0.115327,-0.935386,-0.334293
0.122567,-0.928821,-0.349671
0.138433,-0.924663,-0.354731
0.159169,-0.913186,-0.375174
0.179346,-0.907229,-0.380488
0.189484,-0.898746,-0.395412
0.188189,-0.893384,-0.407983
0.192396,-0.890271,-0.412798
0.184292,-0.889467,-0.418193
0.178453,-0.886979,-0.425938
0.169861,-0.889131,-0.424962
0.141974,-0.897331,-0.417901
0.126676,-0.904306,-0.407658
0.10552,-0.906028,-0.409853
0.0890961,-0.915688,-0.39189
0.0737206,-0.919949,-0.385045
0.0689093,-0.925894,-0.371446
0.0699349,-0.930639,-0.359193
0.0757624,-0.935598,-0.344842
0.0782118,-0.932745,-0.351953
0.0807322,-0.934515,-0.346647
0.0844928,-0.933984,-0.34718
0.0875495,-0.934825,-0.344146
0.0928847,-0.931238,-0.352374
0.103316,-0.927318,-0.359732
0.112149,-0.9256,-0.361506
0.12288,-0.92275,-0.365284
0.140327,-0.915545,-0.376942
0.163541,-0.906749,-0.388665
0.175151,-0.902693,-0.393023
0.18655,-0.895955,-0.403068
0.185391,-0.893836,-0.408274
0.184217,-0.892649,-0.411391
0.172714,-0.897686,-0.405377
0.164707,-0.899076,-0.405629
0.152785,-0.901971,-0.403863
0.145133,-0.905328,-0.399147
0.128359,-0.911462,-0.390847
0.119771,-0.917045,-0.380371
0.109029,-0.922355,-0.37064
0.0973796,-0.93087,-0.352133
0.0947408,-0.936029,-0.338932
0.0983304,-0.936281,-0.337207
0.100009,-0.936789,-0.335298
0.102077,-0.938338,-0.330305
0.104177,-0.93942,-0.326553
0.107276,-0.943246,-0.314291
0.10259,-0.94557,-0.308823
0.107285,-0.942501,-0.316516
0.108427,-0.940624,-0.321668
0.113427,-0.938915,-0.32492
0.0480057,-0.947985,-0.314675
0.107288,-0.938749,-0.327474
0.113264,-0.936704,-0.331297
0.137112,-0.931026,-0.338217
0.150352,-0.925257,-0.348273
0.159898,-0.91579,-0.368459
0.177861,-0.904226,-0.388252
0.183156,-0.892919,-0.411279
0.184301,-0.886882,-0.423643
0.186626,-0.880365,-0.436036
0.181821,-0.869576,-0.459106
0.182721,-0.864214,-0.468771
0.179812,-0.865315,-0.467865
0.18568,-0.858671,-0.477709
0.190174,-0.856101,-0.480546
0.18803,-0.87261,-0.450773
0.187073,-0.876165,-0.444228
0.188234,-0.877862,-0.440371
0.196097,-0.874514,-0.44359
0.201518,-0.872691,-0.444747
0.207335,-0.87202,-0.443389
0.187467,-0.884549,-0.427116
0.183139,-0.886301,-0.42536
0.168836,-0.894324,-0.414341
0.163455,-0.898145,-0.408189
0.160534,-0.905747,-0.392239
0.147597,-0.91297,-0.380395
0.134264,-0.919056,-0.370553
0.125956,-0.92304,-0.363501
0.111935,-0.924566,-0.36421
0.104925,-0.929965,-0.352357
0.0904528,-0.932218,-0.350412
0.0879445,-0.932454,-0.350422
0.0819657,-0.935103,-0.344767
0.076266,-0.935224,-0.345745
0.0708537,-0.936397,-0.343715
0.0704159,-0.938836,-0.337089
0.0700416,-0.936304,-0.344134
0.0717985,-0.936298,-0.34379
0.0689398,-0.935795,-0.345739
0.0758058,-0.933327,-0.350933
0.0800505,-0.932749,-0.351527
0.0883218,-0.928938,-0.359547
0.0949569,-0.928181,-0.359809
0.0982879,-0.926442,-0.363379
0.0992679,-0.925514,-0.365471
0.090525,-0.926082,-0.366303
0.0838897,-0.926672,-0.366389
0.0793605,-0.927439,-0.365456
0.0742422,-0.929873,-0.36031
0.0761169,-0.930459,-0.358402
0.0711212,-0.931272,-0.357316
0.0621911,-0.93148,-0.358438
0.0644882,-0.929988,-0.361889
0.0582801,-0.928104,-0.36773
0.05347,-0.931792,-0.359034
0.0485226,-0.931987,-0.359229
0.0476291,-0.931067,-0.361726
0.0492024,-0.930308,-0.363465
0.0533485,-0.92895,-0.366341
0.0584263,-0.933239,-0.354473
0.0540736,-0.935307,-0.349682
0.0525584,-0.938248,-0.341948
0.0617539,-0.939358,-0.337332
0.0703593,-0.940281,-0.333048
0.0717254,-0.939849,-0.333975
0.0684878,-0.939086,-0.336789
0.0682334,-0.94043,-0.33307
0.0687883,-0.940159,-0.333721
0.0686208,-0.935766,-0.345879
0.0667498,-0.937196,-0.342356
0.0688477,-0.934007,-0.350558
0.0695742,-0.932654,-0.354
0.0699548,-0.931278,-0.357529
0.0716234,-0.931369,-0.356963
0.0732637,-0.93424,-0.349038
0.0816354,-0.934807,-0.345646
0.0877632,-0.936486,-0.339547
0.0942345,-0.934717,-0.342672
0.0982312,-0.934757,-0.341439
0.100514,-0.935021,-0.340048
0.0972421,-0.933066,-0.346312
0.0969752,-0.932288,-0.348476
0.0911473,-0.93459,-0.343852
0.0947277,-0.930933,-0.352691
0.0937444,-0.930136,-0.355047
0.0828467,-0.931643,-0.353804
0.0791327,-0.932438,-0.352559
0.0769619,-0.928908,-0.362226
0.0702393,-0.934393,-0.34925
0.0626694,-0.934269,-0.351019
0.0610777,-0.933247,-0.354005
0.0579367,-0.93804,-0.341648
0.042773,-0.943507,-0.32858
0.039961,-0.943438,-0.329133
0.0438651,-0.942566,-0.331127
0.0513098,-0.944868,-0.323406
0.0570294,-0.94375,-0.325704
0.0593283,-0.945285,-0.320806
0.0607724,-0.946222,-0.317759
0.0678458,-0.942518,-0.327197
0.0735006,-0.939683,-0.334056
0.0764097,-0.937006,-0.340853
0.0786159,-0.935958,-0.343222
0.0799694,-0.935442,-0.344316
0.0802718,-0.933812,-0.348643
0.0859085,-0.929311,-0.359166
0.0880768,-0.929772,-0.357446
0.0908164,-0.928351,-0.360441
0.0969319,-0.928851,-0.357548
0.0978496,-0.929029,-0.356833
0.100141,-0.929297,-0.355497
0.100738,-0.930646,-0.35178
0.0964142,-0.931802,-0.349927
0.0976369,-0.930045,-0.354236
0.0956879,-0.928623,-0.358474
0.0956287,-0.929699,-0.355689
0.0895105,-0.930243,-0.355858
0.0929016,-0.926708,-0.364117
0.0920163,-0.92751,-0.362297
0.0814064,-0.927466,-0.364938
0.0676835,-0.928284,-0.365662
0.0610718,-0.929846,-0.362846
0.0553419,-0.926694,-0.37172
0.0564115,-0.928164,-0.367871
0.0462158,-0.926167,-0.374271
0.0432682,-0.925097,-0.377258
0.0383055,-0.92688,-0.373398
0.0421675,-0.930134,-0.364792
0.0464178,-0.930765,-0.36266
0.0510274,-0.929047,-0.366426
0.0517418,-0.925594,-0.374965
0.0426716,-0.928951,-0.367736
0.0402623,-0.929112,-0.367601
