x,y,z
0.784829,0.0078649,-0.619662
0.757583,-0.00222922,-0.652735
0.740725,-0.00959405,-0.67174
0.730066,-0.00387254,-0.683366
0.744218,0.0267086,-0.667402
0.651305,0.0505746,-0.757129
0.648788,0.0558406,-0.758918
0.691873,0.249496,-0.677542
0.70644,0.24859,-0.66268
0.684136,0.232415,-0.691333
0.675668,0.215244,-0.705084
0.67877,0.211303,-0.703294
0.683878,0.204713,-0.700288
0.689826,0.196644,-0.696758
0.68988,0.19403,-0.697436
0.69123,0.192116,-0.696629
0.713418,0.190201,-0.674432
0.728974,0.191648,-0.657167
0.736368,0.193668,-0.648271
0.74941,0.19531,-0.632644
0.761793,0.196474,-0.617308
0.773903,0.198558,-0.601373
0.786256,0.191961,-0.587327
0.793446,0.196591,-0.576017
0.802816,0.204873,-0.559922
0.811951,0.202815,-0.547359
0.820623,0.205684,-0.533171
0.829707,0.191369,-0.52437
0.835033,0.175861,-0.521338
0.830628,0.161811,-0.532799
0.828372,0.153281,-0.538799
0.823703,0.134531,-0.550831
0.821278,0.126914,-0.556233
0.818947,0.121051,-0.560957
0.817908,0.11691,-0.563346
0.784851,0.131668,-0.605534
0.754784,0.141311,-0.640572
0.714153,0.140092,-0.685827
0.680305,0.136714,-0.720066
0.647897,0.12632,-0.751181
0.612536,0.131019,-0.779508
0.592075,0.140794,-0.793488
0.604407,0.149746,-0.782476
0.60382,0.151587,-0.782575
0.602386,0.151633,-0.78367
0.579307,0.168564,-0.797489
0.57277,0.172907,-0.801273
0.604636,0.193309,-0.772688
0.62569,0.211288,-0.750912
0.636076,0.217866,-0.740231
0.655286,0.214536,-0.724275
0.665349,0.207947,-0.716986
0.678185,0.199438,-0.707312
0.68724,0.186702,-0.702029
0.700691,0.17662,-0.691258
0.706374,0.174522,-0.685987
0.710888,0.170345,-0.682364
0.715717,0.160832,-0.679619
0.733615,0.155255,-0.661592
0.741846,0.161106,-0.65093
0.754561,0.181431,-0.630651
0.77889,0.185494,-0.599101
0.791383,0.195358,-0.579265
0.808437,0.197482,-0.554465
0.816629,0.224316,-0.531789
0.816243,0.237191,-0.526771
0.81448,0.239732,-0.528347
0.81011,0.244144,-0.533025
0.793474,0.246999,-0.556229
0.781102,0.247159,-0.573404
0.758414,0.249531,-0.602115
0.739269,0.254036,-0.623656
0.717599,0.266636,-0.643395
0.697545,0.263098,-0.666491
0.670362,0.276491,-0.688598
0.63269,0.298806,-0.714436
0.593421,0.300422,-0.746725
0.560951,0.291475,-0.774839
0.538784,0.299335,-0.787471
0.516311,0.31207,-0.797518
0.49931,0.319344,-0.805425
0.488556,0.321889,-0.810987
0.481902,0.324649,-0.813863
0.465906,0.345734,-0.814493
0.467328,0.355041,-0.809661
0.479968,0.346445,-0.805982
0.492769,0.35193,-0.795817
0.494222,0.357226,-0.792549
0.508901,0.350456,-0.786257
0.525745,0.343663,-0.778131
0.546477,0.343592,-0.763745
0.564933,0.334916,-0.75411
0.586873,0.326601,-0.740886
0.61604,0.324234,-0.717891
0.63659,0.320276,-0.701553
0.655644,0.290835,-0.696812
0.684055,0.293828,-0.667633
0.701747,0.283749,-0.653481
0.715588,0.262898,-0.647162
0.732718,0.235673,-0.638422
0.730028,0.220915,-0.646727
0.725747,0.212031,-0.654472
0.7322,0.200036,-0.651052
0.72591,0.18449,-0.662584
0.682598,0.177203,-0.708984
0.649592,0.169431,-0.741164
0.631133,0.160583,-0.75887
0.626222,0.154743,-0.764134
0.635239,0.147369,-0.758125
0.646917,0.146777,-0.748301
0.656329,0.145132,-0.740385
0.665533,0.148953,-0.731354
0.711879,0.150139,-0.686066
0.747627,0.153814,-0.646061
0.761976,0.161448,-0.627159
0.778328,0.165841,-0.60556
0.79191,0.183717,-0.582346
0.797109,0.200347,-0.56963
0.794432,0.21006,-0.56987
0.778779,0.231138,-0.583162
0.759512,0.244232,-0.602903
0.748785,0.254072,-0.612183
0.74571,0.250197,-0.61751
0.755704,0.247059,-0.606526
0.765261,0.245746,-0.594966
0.764369,0.238475,-0.599057
0.762132,0.220886,-0.608576
0.750639,0.198487,-0.630193
0.737047,0.176146,-0.652484
0.741156,0.145024,-0.655481
0.73452,0.131245,-0.665774
0.725262,0.0948387,-0.68191
0.716345,0.0760815,-0.693585
0.706466,0.0531489,-0.705749
0.704317,0.0307807,-0.709218
0.697686,0.00442219,-0.71639
0.691612,-0.0186822,-0.722028
0.691365,-0.0312549,-0.72183
0.678921,-0.0353399,-0.73336
0.676755,-0.0386115,-0.735196
0.687527,-0.0283986,-0.725603
0.69598,-0.0196762,-0.717792
0.717277,-0.00990433,-0.696718
0.732491,0.0276104,-0.680216
0.779046,0.0520742,-0.6248
0.657965,0.234196,-0.715706
0.640986,0.238394,-0.729593
0.619862,0.253895,-0.742502
0.594621,0.261927,-0.760145
0.571676,0.261299,-0.777759
0.574346,0.279372,-0.769466
0.568929,0.284428,-0.771635
0.55298,0.295923,-0.778872
0.541714,0.299154,-0.785527
0.543601,0.291016,-0.787279
0.540587,0.285901,-0.791218
0.543194,0.27764,-0.792374
0.544805,0.282851,-0.789419
0.545933,0.292388,-0.785154
0.549028,0.285502,-0.78553
