x,y,z
-0.566386,0.804648,0.178181
-0.57571,0.802726,0.15553
-0.602752,0.780188,0.167323
-0.614797,0.759419,0.212857
-0.604404,0.763977,0.225908
-0.637361,0.666398,0.386891
-0.620125,0.652217,0.435956
-0.369393,0.59888,0.710557
-0.318638,0.628045,0.70995
-0.326022,0.623122,0.710935
-0.327646,0.611589,0.720144
-0.336152,0.608768,0.718612
-0.341099,0.619118,0.70735
-0.342129,0.632775,0.694653
-0.362172,0.620733,0.695358
-0.375858,0.626183,0.6831
-0.362557,0.639561,0.677875
-0.359459,0.644127,0.675197
-0.355012,0.653385,0.668622
-0.344403,0.660415,0.667262
-0.333676,0.666455,0.666707
-0.336661,0.666471,0.665188
-0.332124,0.685352,0.648063
-0.343532,0.690995,0.636012
-0.34857,0.690093,0.634248
-0.352548,0.691929,0.630036
-0.349127,0.67687,0.648042
-0.349344,0.671037,0.653964
-0.362521,0.690175,0.626288
-0.387008,0.673071,0.630238
-0.408233,0.675097,0.614483
-0.424213,0.689738,0.586775
-0.436528,0.693334,0.573351
-0.455673,0.670981,0.584934
-0.451695,0.684673,0.572009
-0.464493,0.694467,0.54951
-0.472261,0.691239,0.546954
-0.490549,0.682835,0.541386
-0.51456,0.681285,0.520653
-0.528822,0.680042,0.507829
-0.553946,0.652925,0.516558
-0.552552,0.661905,0.506525
-0.533161,0.670147,0.516374
-0.523229,0.663629,0.534629
-0.513438,0.66646,0.540567
-0.489807,0.666638,0.561857
-0.480707,0.661484,0.575638
-0.448548,0.643002,0.620768
-0.408452,0.632689,0.65793
-0.374379,0.624243,0.685683
-0.340676,0.618161,0.70839
-0.307236,0.623907,0.718572
-0.282716,0.632555,0.721073
-0.267119,0.639496,0.720897
-0.255396,0.629673,0.733679
-0.251012,0.645834,0.721035
-0.255724,0.64679,0.718518
-0.277781,0.641156,0.715372
-0.27387,0.650815,0.70812
-0.284342,0.651385,0.703454
-0.275,0.676394,0.683276
-0.276834,0.688482,0.67034
-0.279387,0.688847,0.668904
-0.285556,0.685899,0.669328
-0.27849,0.70511,0.652122
-0.279801,0.708493,0.647881
-0.287028,0.708776,0.6444
-0.298478,0.693145,0.656096
-0.305454,0.685556,0.660841
-0.312509,0.673676,0.6697
-0.317759,0.664317,0.676544
-0.306801,0.661283,0.684528
-0.295996,0.647573,0.702165
-0.277059,0.636413,0.719873
-0.256757,0.655432,0.710271
-0.247947,0.636995,0.729904
-0.237985,0.636111,0.73398
-0.229024,0.608416,0.759854
-0.211584,0.597174,0.773703
-0.191417,0.595416,0.780282
-0.186842,0.590361,0.785216
-0.177816,0.586915,0.789881
-0.173531,0.591211,0.787627
-0.168663,0.600667,0.781506
-0.167507,0.592916,0.78765
-0.171387,0.604634,0.777846
-0.157275,0.616209,0.771719
-0.157098,0.630462,0.760156
-0.154448,0.631219,0.760071
-0.153416,0.647112,0.746799
-0.150379,0.650001,0.744906
-0.165113,0.644194,0.746828
-0.188149,0.643468,0.74199
-0.195356,0.658479,0.726802
-0.215698,0.675033,0.705553
-0.247132,0.664937,0.704829
-0.26311,0.655502,0.707878
-0.277314,0.656821,0.701202
-0.295949,0.661716,0.688873
-0.314403,0.684315,0.657924
-0.342735,0.677554,0.650732
-0.360832,0.685205,0.632688
-0.378447,0.687553,0.619716
-0.388704,0.700479,0.59853
-0.411525,0.707246,0.574847
-0.424473,0.706549,0.566226
-0.433588,0.704388,0.561996
-0.436072,0.698516,0.567376
-0.433427,0.696781,0.571522
-0.419362,0.701387,0.576361
-0.409028,0.702478,0.582426
-0.419405,0.696274,0.582496
-0.40947,0.68844,0.598652
-0.397003,0.697487,0.596574
-0.401747,0.686529,0.606035
-0.387421,0.685522,0.616413
-0.386388,0.696644,0.604476
-0.387777,0.702108,0.597222
-0.388806,0.6913,0.609044
-0.401662,0.689965,0.602176
-0.423426,0.688698,0.588562
-0.447686,0.674288,0.587293
-0.452439,0.679029,0.578117
-0.477756,0.688397,0.545765
-0.501641,0.689013,0.523084
-0.530345,0.680361,0.505809
-0.546641,0.681469,0.486605
-0.56477,0.695279,0.444547
-0.597162,0.671619,0.438549
-0.606108,0.664587,0.436987
-0.610238,0.681761,0.403498
-0.616746,0.66751,0.417199
-0.610365,0.665384,0.429789
-0.612278,0.672758,0.415347
-0.638167,0.674076,0.371975
-0.648096,0.684195,0.334439
-0.656282,0.688937,0.30767
-0.65661,0.700819,0.278777
-0.660419,0.688151,0.300491
-0.661925,0.680058,0.315241
-0.651236,0.679781,0.337328
-0.634567,0.698667,0.330437
-0.611341,0.717583,0.333672
-0.533628,0.75753,0.376017
-0.501833,0.75374,0.424309
-0.321613,0.630078,0.706801
-0.305852,0.60927,0.731604
-0.301093,0.595979,0.744414
-0.286137,0.610211,0.738761
-0.266814,0.595303,0.757908
-0.239069,0.582982,0.776517
-0.217968,0.594022,0.774356
-0.19863,0.596804,0.777413
-0.195663,0.592777,0.781237
-0.179618,0.600151,0.779459
-0.175293,0.616188,0.767845
-0.171093,0.627186,0.759845
-0.166745,0.637469,0.752216
-0.151429,0.639641,0.753611
-0.146109,0.649454,0.746232
-0.150762,0.658873,0.736992
-0.143752,0.6656,0.732333
-0.149256,0.666088,0.730787
-0.143294,0.674517,0.72422
-0.16357,0.660619,0.732685
-0.173104,0.669493,0.722367
-0.191732,0.664968,0.721843
-0.202793,0.672282,0.711978
-0.219173,0.676833,0.702752
-0.228111,0.694231,0.682648
-0.246454,0.70132,0.668888
-0.27453,0.696989,0.66245
-0.298481,0.692487,0.656788
-0.305161,0.700477,0.645143
-0.317322,0.702594,0.636921
-0.340411,0.686977,0.642015
-0.35064,0.677139,0.646942
-0.363817,0.694503,0.620728
-0.374203,0.692811,0.61643
-0.370991,0.68018,0.632235
-0.351512,0.686441,0.636584
-0.356994,0.682333,0.637947
-0.361149,0.678614,0.639573
-0.378787,0.672649,0.63566
-0.389975,0.668613,0.633147
-0.398171,0.665,0.63185
