x,y,z
0.349336,0.906247,0.238078
0.335289,0.916154,0.219643
0.321328,0.924592,0.204641
0.310061,0.92918,0.201214
0.287696,0.939922,0.183789
0.269423,0.946439,0.177948
0.238404,0.959708,0.148743
0.22509,0.96531,0.132328
0.224867,0.968064,0.110847
0.222554,0.968807,0.109005
0.220109,0.967465,0.124753
0.216184,0.967408,0.131859
0.216838,0.966073,0.140298
0.218621,0.963613,0.153802
0.22746,0.963526,0.140994
0.226573,0.96549,0.128429
0.225863,0.966654,0.120691
0.225985,0.966743,0.119745
0.243766,0.963512,0.110557
0.253159,0.960826,0.112798
0.257646,0.95939,0.114841
0.263264,0.958125,0.11264
0.262246,0.95804,0.115704
0.263105,0.956988,0.122272
0.266109,0.954357,0.135604
0.270014,0.952678,0.13963
0.256135,0.956993,0.13623
0.248664,0.958727,0.137869
0.241542,0.963197,0.117932
0.240211,0.964231,0.112059
0.211754,0.972596,0.0960052
0.175882,0.98266,0.0586904
0.148455,0.988081,0.0406999
0.132155,0.990532,0.0371709
0.114007,0.99262,0.041326
0.0958882,0.994236,0.0479631
0.0894366,0.994455,0.0553154
0.0895517,0.993417,0.0714296
0.114028,0.989955,0.0835839
0.124475,0.988037,0.0910436
0.137736,0.986015,0.093824
0.151975,0.983482,0.0983213
0.175147,0.97868,0.107281
0.198653,0.972063,0.12502
0.215652,0.966799,0.13709
0.235163,0.962467,0.135485
0.246609,0.958541,0.14277
0.256498,0.954862,0.149824
0.27137,0.949886,0.155163
0.275741,0.949585,0.149182
0.279097,0.951813,0.12711
0.274174,0.957091,0.0938314
0.275252,0.957368,0.087653
0.284554,0.953778,0.0966262
0.298464,0.948854,0.102934
0.302686,0.945717,0.118324
0.311382,0.941483,0.129041
0.319282,0.939802,0.121781
0.323472,0.937273,0.129941
0.337227,0.931401,0.137006
0.344331,0.928769,0.1372
0.355084,0.923478,0.145275
0.362902,0.913649,0.183158
0.363939,0.91027,0.197376
0.366197,0.905944,0.212523
0.370642,0.903046,0.2171
0.3669,0.899651,0.23667
0.346405,0.905438,0.245328
