x,y,z
-0.0504239,-0.995794,-0.0765013
-0.0645443,-0.995349,-0.0715101
-0.0675849,-0.99589,-0.0603002
-0.0589913,-0.996608,-0.0573731
-0.0250693,-0.997379,-0.067867
0.0213517,-0.998603,-0.048336
0.0242634,-0.998315,-0.0527115
0.161227,-0.968091,-0.191849
0.155038,-0.967902,-0.19781
0.138615,-0.972026,-0.189607
0.127807,-0.976145,-0.175516
0.121446,-0.976821,-0.176271
0.113463,-0.977993,-0.175089
0.107612,-0.979565,-0.169917
0.107262,-0.980175,-0.166589
0.107103,-0.980603,-0.164156
0.105891,-0.980668,-0.164552
0.109966,-0.980327,-0.163908
0.10931,-0.979623,-0.168493
0.107014,-0.978669,-0.175369
0.106555,-0.977924,-0.179754
0.113351,-0.977674,-0.17693
0.114582,-0.979329,-0.166691
0.115714,-0.977862,-0.174346
0.122941,-0.975811,-0.180771
0.118644,-0.975466,-0.185444
0.123659,-0.97479,-0.185721
0.117185,-0.978179,-0.171564
0.105564,-0.981148,-0.161881
0.0913218,-0.983477,-0.15631
0.0837056,-0.984907,-0.151499
0.0693596,-0.988057,-0.137594
0.0634088,-0.989209,-0.132079
0.0493657,-0.988736,-0.141292
0.0406558,-0.988434,-0.146099
0.0528012,-0.987822,-0.146354
0.0550002,-0.986716,-0.152863
0.0520752,-0.987686,-0.147525
0.0477278,-0.988628,-0.14261
0.0472207,-0.990918,-0.125906
0.0499825,-0.990614,-0.127224
0.0554436,-0.989404,-0.134186
0.0586019,-0.987872,-0.143787
0.0617589,-0.987697,-0.143666
0.064055,-0.987807,-0.141893
0.0763238,-0.985303,-0.152818
0.0827483,-0.984703,-0.153339
0.0951359,-0.980685,-0.1709
0.102314,-0.976532,-0.18952
0.105879,-0.974882,-0.195947
0.10267,-0.975219,-0.195977
0.0989102,-0.97651,-0.191429
0.0950349,-0.97819,-0.184694
0.0837955,-0.980332,-0.178684
0.0762578,-0.981864,-0.173572
0.0718491,-0.981802,-0.175794
0.0626568,-0.981706,-0.179796
0.0451024,-0.981735,-0.184829
0.0376174,-0.981338,-0.188575
0.0338867,-0.978477,-0.203554
0.0479711,-0.9737,-0.222725
0.0573563,-0.972325,-0.226482
0.0697612,-0.970234,-0.231905
0.0784554,-0.969783,-0.231011
0.11329,-0.965759,-0.233398
0.133669,-0.964626,-0.22722
0.145373,-0.965918,-0.214172
