x,y,z
-235.975,170.865,1103.63
-249.026,172.466,1107.32
-261.905,168.803,1118.11
-269.807,163.585,1134.9
-275.169,154.46,1160.28
-277.936,145.755,1193.59
-278.446,135.904,1232.77
-280.256,129.95,1270.89
-284.117,123.98,1304.44
-286.054,124.003,1327.2
-290.536,126.005,1345.6
-294.274,126.515,1359.79
-298.142,125.262,1372.39
-306.564,130.63,1378.2
-311.283,133.312,1382.6
-315.135,134.151,1382.8
-321.095,138.08,1371.91
-328.535,139.031,1363.96
-335.318,137.025,1350.48
-338.662,139.516,1339.24
-345.337,139.768,1328.61
-350.168,142.88,1321.31
-351.081,143.441,1319.66
-347.553,142.227,1322.83
-346.793,137.61,1332.92
-345.413,138.309,1342.96
-341.21,137.152,1355.99
-339.084,135.574,1375.49
-339.534,133.283,1393.74
-340.247,130.62,1412.88
-342.402,134.846,1430.7
-343.669,133.917,1441.84
-349.812,129.931,1452.43
-353.906,125.469,1461.21
-355.441,123.738,1468.1
-361.726,125.373,1470.05
-367.361,126.185,1469.02
-368.154,127.582,1446.01
-366.059,126.284,1422.5
-368.551,130.653,1382.25
-367.284,134.306,1349.65
-364.123,134.632,1317.83
-355.077,135.836,1294.41
-347.62,142.443,1268.72
-335.338,144.742,1253.85
-323.677,143.924,1244.38
-313.796,145.975,1244.16
-305.93,145.993,1250.58
-299.52,148.983,1260.82
-296.342,149.492,1277.94
-295.224,147.264,1295.98
-293.123,147.632,1311.49
-294.077,151.347,1323.73
-298.544,149.674,1332.37
-300.775,150.335,1337.69
-305.439,151.642,1338.38
-311.229,155.27,1329.73
-314.125,157.126,1318.38
-313.063,156.54,1305.2
-314.988,159.741,1285.61
-315.008,163.904,1265.79
-312.013,165.999,1245.86
-307.974,169.003,1220.92
-304.508,173.997,1207.47
-301.738,175.507,1198.22
-296.835,177.273,1193.59
-294.551,180.679,1201.81
-292.384,186.437,1227.19
-294.171,183.707,1247.1
-307.565,174.311,1316.97
-316.181,166.144,1356.56
-329.171,159.004,1392.07
-345.386,155.934,1418.97
-356.676,151.992,1441.98
-364.979,148.504,1460.85
-372.882,143.118,1475.47
-383.951,141.551,1481.25
-389.978,137.777,1487.63
-400.017,142.138,1490.93
-414.525,142.573,1489.47
-423.768,144.787,1486.74
-434.888,141.896,1486.87
-442.929,139.943,1482.93
-452.434,140.451,1480.47
-458.721,141.728,1485.73
-462.347,141.856,1490.87
-429.169,128.179,1550.34
-369.573,196.571,1296.4
-364.824,204.318,1283.18
-363.4,211.181,1274.56
-359.689,213.597,1272.77
-356.876,214.296,1279.89
-358.973,210.138,1295.96
-361.998,208.069,1311.48
