x,y,z
-224.87,20.7187,1238.7
-224.698,10.4941,1246.94
-215.404,2.50925,1264.03
-213.122,-0.00590515,1278.4
-201.669,-8.05521,1310.02
-193.223,-16.0427,1349.19
-186.57,-18.2424,1383
-184.559,-18.5653,1412.13
-181.253,-20.2127,1438.15
-180.017,-20.0075,1454.2
-181.244,-19.5404,1461.56
-180.737,-20.0741,1465.93
-184.021,-19.6275,1467.97
-192.391,-16.0031,1465.26
-200.025,-15.1148,1463.4
-204.589,-13.4197,1459.97
-213.777,-13.379,1457.28
-219.851,-11.9385,1451.06
-229.793,-14.0285,1449.69
-238.402,-14.0321,1446.99
-249.788,-14.0375,1445.91
-261.258,-12.9566,1445.76
-265.147,-11.6412,1446.16
-266.57,-9.84007,1448.28
-266.364,-8.08018,1454.79
-264.045,-5.94679,1460.2
-260.73,-6.02556,1468.5
-251.385,-12.2163,1484.52
-247.04,-13.7917,1496.22
-245.216,-16.939,1505.21
-243.743,-18.6557,1512.61
-242.58,-21.8005,1518.44
-245.322,-21.2691,1521.91
-246.853,-20.962,1521.74
-247.253,-22.9125,1521.12
-243.616,-21.7696,1511.04
-241.121,-16.9291,1493.97
-244.273,-10.018,1464.83
-248.929,-7.20111,1441.5
-252.055,-6.77095,1420.52
-261.44,-5.44563,1405.41
-268.787,-6.34944,1394.38
-272.353,-7.73032,1387.02
-265.751,-8.45567,1383.32
-263.087,-8.10654,1381.85
-258.703,-6.86023,1382.39
-258.628,-1.17473,1381.76
-257.643,5.05064,1380.4
-259.655,10.1938,1383.02
-260.954,12.9116,1388.93
-260.422,13.5272,1395.76
-261.755,14.5735,1402.9
-259.918,13.1486,1410.08
-253.972,13.779,1413.44
-250.866,12.8962,1415.8
-246.049,11.1172,1412.25
-242.983,12.1233,1405.37
-242.856,11.3849,1398.49
-243.809,13.4068,1388.08
-246.457,17.7603,1373.67
-254.759,18.6361,1360.2
-267.952,21.3159,1347.31
-282.524,32.5196,1319.97
-292.008,36.9931,1305.29
-301.516,44.2763,1292.25
-300.303,56.4633,1278.33
-306.451,72.846,1271.29
-309.125,73.853,1289.22
-311.388,69.3497,1309.92
-320.939,45.6186,1374.86
-321.965,29.2595,1417.17
-320.196,17.4698,1450.36
-323.655,6.24072,1474.54
-306.85,-5.33974,1494.05
-297.263,-12.783,1507.56
-292.531,-15.3109,1516.24
-288.652,-18.0516,1519.2
-287.515,-18.5825,1519.48
-288.623,-18.4992,1517.01
-292.948,-18.403,1513.54
-296.229,-17.731,1511.22
-298.802,-19.4693,1505.16
-304.86,-21.7358,1502.43
-311.351,-24.2898,1501.08
-313.898,-23.7318,1499.63
-315.756,-25.6622,1498.9
-293.875,-25.925,1519.55
-280.032,-18.248,1421.45
-283.054,-18.0795,1416.67
-291.424,-11.9777,1409.76
-295.439,-7.23947,1406.79
-298.49,-2.0305,1408.04
-302.505,0.565674,1413.24
-302.646,1.63031,1417.71
-299.829,0.121567,1428.46
-295.932,-0.576584,1440.3
-293.446,-2.5358,1453.01
-285.307,-8.77238,1467.31
-280.15,-14.5762,1480.89
-275.176,-20.3381,1490.02
-272.408,-23.3571,1497.43
-274.488,-25.653,1502.27
-277.869,-26.552,1500.93
-278.242,-26.0286,1491.46
-277.845,-22.7924,1471.8
-282.005,-19.5754,1456.59
-284.991,-15.5499,1439.62
-288.555,-7.67917,1409.7
-288.613,-7.08701,1390.88
-295.313,-2.27818,1361.25
-298.399,2.41386,1339.32
-306.177,8.49033,1319.68
-309.605,10.3197,1305.45
-317.163,15.6557,1293.53
-314.856,18.008,1286.65
-318.97,22.1427,1278.29
-318.413,26.3448,1275.51
-317.965,26.8643,1277.26
-315.485,25.1216,1283.62
-308.775,20.9572,1302.3
-298.058,11.7392,1330.63
-282.736,2.65289,1360.87
-272.358,-4.42491,1380.64
-266.212,-10.4105,1402.16
-264.25,-15.4336,1421.96
-261.456,-19.0939,1436.33
-261.183,-19.9846,1445.5
-263.629,-20.0109,1451.79
-262.019,-19.2547,1454.23
-261.453,-20.5823,1453.57
-261.417,-19.912,1452.42
-265.198,-17.2909,1448.22
-267.104,-14.8371,1442.89
-275.305,-12.3665,1433.42
-282.603,-10.2034,1424.11
-290.509,-7.76437,1417.68
-299.492,-3.98854,1411.76
-305.857,-4.81433,1408.67
-313.049,-6.75389,1403.05
-318.421,-7.75217,1399.24
-321.782,-7.62048,1394.55
-325.001,-10.0057,1394.14
-327.329,-8.45154,1391.06
-328.859,-7.60597,1389.78
-329.044,-7.6577,1390.03
-327.532,-6.26749,1388.33
-321.298,-6.04126,1389.88
-314.063,-4.37283,1390.54
-277.192,40.7469,1315.13
-344.88,3.06686,1380.81
-343.075,-5.35213,1416.08
-344.091,-11.1855,1440.68
-345.222,-13.9309,1456.38
-351.385,-15.4741,1467.96
-354.535,-15.257,1475.39
-356.841,-15.4824,1477.75
-356.483,-15.7784,1475.38
-356.269,-14.2327,1467.46
-354.903,-13.0892,1460.61
-354.454,-13.5005,1451.07
-357.241,-13.35,1442.54
-372.338,-11.7842,1438.99
-375.479,-11.3563,1435.15
-357.849,-8.49333,1430.56
-343.843,-8.3932,1437.55
-332.197,-9.87529,1443.9
-321.209,-11.2521,1451.22
-310.521,-14.3083,1460.03
-301.009,-15.8354,1468.32
-282.58,-15.7456,1477.08
-272.442,-13.6641,1476.98
-266.152,-13.5994,1477.13
-265.691,-13.5399,1471.86
-263.573,-14.4434,1463.47
-259.696,-12.5674,1449.61
-262.452,-8.10403,1426.78
-266.224,-7.27138,1410.21
-266.972,-5.35851,1393.85
-265.942,-4.05127,1381.01
-266.853,-2.76468,1369.9
-269.311,-3.8387,1357.02
-270.278,-4.54692,1347.42
-268.36,-7.88376,1344.07
-274.514,-1.97803,1336.38
-274.647,-1.43991,1336.34
-281.061,2.47415,1336.11
-281.244,3.88321,1343.74
-277.262,6.06549,1357.44
-273.978,5.29912,1368.12
-269.55,1.51079,1381.97
-265.276,-0.91069,1392.87
-259.46,-5.60651,1404.75
-253.428,-10.1122,1418.63
-248.251,-10.0185,1428.49
-243.787,-11.1857,1434.65
-241.302,-11.9147,1438.6
-239.911,-10.1196,1438.64
-239.902,-6.73628,1434.9
-241.267,-4.79114,1431.1
-242.313,-2.62132,1425.1
-247.764,3.89172,1412.7
-251.454,8.93156,1402.48
-252.114,8.80313,1393.13
-259.14,14.4739,1373.8
-262.631,12.878,1360.21
-269.011,15.0857,1342.8
-275.678,12.6372,1330.67
-278.841,13.2965,1320.19
-283.171,13.7491,1314.67
-288.283,12.6907,1309
-293.898,9.06064,1306.27
-297.346,6.75179,1303.83
-300.859,4.46846,1302
-301.574,5.82491,1301.6
-300.385,4.81142,1302.64
-299.662,8.08784,1303.97
-296.953,11.794,1307.1
-292.068,14.4092,1312.55
-286.416,15.0642,1319.68
-279.047,16.9869,1333.18
-274.006,15.9158,1342.72
-272.1,13.1754,1354.77
-265.56,13.1998,1362.21
-255.153,3.90965,1384.59
-249.366,-2.90327,1402.63
-245.506,-9.47954,1420.47
-245.181,-13.0227,1431.66
-244.657,-15.1601,1439.31
-243.551,-17.7948,1445.77
-242.755,-18.2365,1448.76
-241.354,-17.5911,1448.74
-240.931,-15.1634,1445.05
-243.1,-15.1264,1441.35
-246.568,-12.9146,1432.69
-253.103,-7.62273,1421
-258.66,-7.0876,1411.39
-270.096,-6.36324,1401.65
-273.119,-2.50307,1390.2
-273.249,-1.21657,1384.4
-283.004,3.98422,1371.57
-295.246,6.82324,1358.61
-307.154,7.10388,1348.58
-317.617,9.36586,1339.63
