x,y,z
-684.816,381.642,1496.12
-679.221,386.351,1512.43
-673.46,393.668,1528.13
-665.833,393.107,1542.94
-658.286,394.671,1558.61
-630.546,390.863,1630
-629.093,391.645,1640.85
-664.21,374.137,1583.32
-646.427,382.629,1621.54
-637.502,384.803,1634.76
-625.691,385.993,1644.97
-616.888,383.831,1654.51
-608.89,388.064,1664.86
-603.179,389.105,1674.57
-597.736,387.975,1679.61
-594.24,387.723,1683.66
-590.155,390.075,1686.98
-587.674,390.232,1686.23
-585.877,390.782,1682.31
-586.179,390.719,1678.45
-585.025,391.384,1670.67
-587.412,387.651,1659.63
-589.132,389.653,1651.6
-593.328,388.399,1640.61
-600.45,385.156,1629.63
-607.773,384.613,1618.82
-617.148,379.803,1607.45
-625.987,377.106,1597.86
-637.972,372.917,1587.59
-646.05,373.659,1580.56
-651.531,374.514,1575.39
-656.177,374.484,1572.39
-657.77,374.986,1571.42
-662.676,373.749,1570.17
-666.103,374.609,1571.31
-668.759,376.016,1576.62
-667.804,380.157,1584.22
-667.818,383.752,1596.11
-668.189,386.899,1608.72
-668.53,388.263,1622.95
-668.618,388.013,1638.26
-667.607,393.039,1658.11
-662.603,394.578,1674.54
-656.112,393.398,1688.21
-648.117,387.967,1700.81
-644.299,387.659,1716.95
-642.379,386.065,1730.65
-641.551,386.725,1745.61
-640.998,384.779,1756.98
-640.609,386.642,1766.96
-638.141,388.521,1772.1
-632.405,392.186,1771.2
-626.997,395.931,1767.75
-621.04,395.135,1757.42
-618.019,395.251,1746.84
-614.945,396.706,1735.87
-613.496,398.16,1722.87
-610.886,399.734,1707.88
-611.923,401.538,1694.32
-614.076,400.008,1679.21
-616.439,403.405,1665.71
-619.271,402.767,1651.3
-624.358,402.374,1637.37
-630.713,399.916,1625.84
-632.166,395.547,1611.8
-635.908,389.902,1601.14
-639.647,384.352,1592.58
-642.319,382.544,1589.06
-646.816,381.955,1589.47
-651.139,380.595,1591.79
-656.415,381.699,1598.92
-658.891,384.028,1609.07
-658.225,380.615,1620.11
-659.722,380.102,1637.13
-661.948,380.17,1657.78
-663.374,378.065,1683.3
-660.427,376.574,1702.99
-659.099,376.157,1727.01
-656.167,374.112,1745.51
-655.092,373.73,1766.09
-654.216,373.413,1778.42
-653.927,373.676,1790.81
-654.755,376.498,1798.94
-657.145,379.701,1802.15
-660.961,379.786,1806.04
-665.416,383.033,1807.47
-671.13,382.648,1801.28
-677.972,383.769,1795
-687.139,385.286,1788.55
-694.466,387.621,1780.39
-702.599,388.644,1772.35
-709.35,385.968,1760.42
-714.927,385.759,1751.18
-719.995,383.927,1742.76
-721.114,383.574,1733.46
-721.056,383.038,1726.68
-716.839,381.59,1718.57
-713.319,380.074,1713.26
-707.578,380.232,1709.44
-700.893,380.343,1706.64
-692.219,382.722,1705.86
-679.08,389.405,1706.25
-666.249,393.934,1706.9
-654.43,395.868,1709.13
-643.239,396.472,1712.04
-634.733,396.267,1714.64
-629.415,395.55,1717.95
-622.952,394.835,1717.81
-615.443,396.262,1717.04
-611.482,393.655,1712.12
-606.621,393.349,1705.99
-600.521,392.652,1695.63
-596.939,392.195,1684.13
-593.376,391.532,1669.88
-590.098,388.253,1651.48
-589.326,383.602,1632.57
-591.517,384.146,1614.3
-596.703,382.592,1593.49
-603.153,378.883,1572.31
-608.934,373.249,1551.79
-616.927,367.281,1528.95
-626.647,362.981,1511.04
-633.47,353.069,1496.1
-639.6,348.722,1487.07
-646.76,343.1,1482.71
-650.287,344.019,1481.61
-653.5,343.576,1485.46
-652.661,344.933,1492.4
-651.762,349.735,1504.61
-655.321,352.701,1518.26
-655.407,357.702,1535.07
-655.558,362.207,1553.59
-652.141,365.283,1575.24
-648.661,371.914,1599.92
-643.031,375.175,1622
-643.432,376.311,1639.71
-642.154,380.629,1658.23
-645.032,383.337,1670.19
-645.527,385.249,1680.96
-644.268,386.787,1688.42
-641.443,385.578,1690.15
-640.696,385.997,1690.13
-640.903,384.433,1684.39
-642.79,382.955,1675.97
-644.126,382.66,1664.32
-710.228,379.639,1640.9
-708.263,378.995,1661.74
-705.25,381.672,1687.02
-701.969,383.671,1714.46
-695.23,384.107,1739.07
-691.05,379.772,1767
-686.064,381.289,1791.13
-681.133,382.699,1808.93
-676.495,383.986,1820.73
-672.328,385.757,1829.16
-670.588,388.099,1835.39
-670.017,389.184,1838.21
-671.399,391.713,1840.62
-674.534,391.687,1841.44
-679.431,392.049,1840.58
-684.863,391.972,1837.79
-690.108,392.682,1833.19
-698.812,392.345,1830.86
-706.107,393.012,1825.63
-712.15,393.781,1818.55
-716.153,392.312,1809.27
-718.05,391.139,1799.31
-718.973,391.375,1790.48
-717.043,392.098,1781.21
-715.54,392.49,1774.18
-708.061,389.126,1763.26
-698.89,385.586,1751.58
-689.663,385.702,1742.05
-682.505,385.378,1732.61
-670.82,385.593,1722.63
-659.706,383.95,1712.1
-649.346,383.59,1703.01
-640.653,381.52,1693.35
-630.037,384.161,1687.67
-622.88,382.174,1679.55
-613.15,385.491,1674.27
-605.191,384.622,1665.52
-600.913,383.543,1657.69
-597.646,381.235,1647.39
-592.663,383.384,1637.6
-587.807,381.689,1624.16
-583.275,379.191,1607.51
-577.858,379.539,1592.47
-575.847,375.9,1570.18
-575.791,376.581,1547.88
-576.48,373.713,1523.05
-574.904,372.083,1498.54
-574.52,369.521,1474.13
-575.556,365.789,1451.56
-577.211,362.753,1433.34
-577.241,360.957,1419.53
-576.306,361.072,1412.69
-580.55,359.731,1411.49
-584.26,363.36,1418.52
-587.146,366.444,1430.05
-586.965,368.648,1446.27
-588.693,374.477,1477.5
-587.203,377.025,1504.89
-583.932,380.789,1530.88
-580.609,383.364,1553.89
-575.129,383.322,1571.15
-570.509,385.192,1584.52
-566.669,385.215,1592.57
-562.586,388.207,1599.33
-558.938,386.983,1601.65
-557.745,386.954,1604.7
-557.591,388.277,1606.8
-560.368,389.614,1609.29
-566.355,388.537,1608.65
-574.371,385.649,1606.07
-584.825,380.757,1601.34
-591.822,380.753,1592.98
-601.435,377.202,1585.52
-610.876,376.709,1577.88
-620.613,375.864,1572.83
-629.67,374.446,1569.32
-638.608,374.237,1565.84
-643.505,373.839,1559.84
-647.114,374.27,1552.54
-650.609,375.516,1545.97
-653.373,373.548,1536.76
-654.465,372.926,1527.84
-654.279,374.666,1518.73
-654.473,372.094,1505.67
-651.368,370.127,1491.92
-645.362,371.937,1478.81
-637.646,371.821,1463.05
-629.967,371.587,1451.46
-623.538,369.487,1439.79
-618.901,372.775,1432.1
-614.53,374.972,1424.57
-608.894,374.662,1413
-610.301,372.513,1406.95
-610.065,370.76,1400.88
-607.077,368.41,1390.94
-608.339,368.863,1384.71
-609.734,365.449,1376.94
-613.07,365.344,1374.33
-611.956,364.553,1373.42
-612.118,364.349,1376.18
-610.067,366.96,1382.45
-606.685,370.43,1392.73
-603.867,370.939,1402.6
-599.153,372.129,1415.57
-596.125,375.162,1435.48
-590.176,378.075,1456.69
-581.781,380.338,1479.97
-571.362,385.962,1505.43
