x,y,z
-204.367,303.574,1436.13
-202.403,301.549,1432.62
-195.842,299.476,1441.16
-188.856,298.924,1452.39
-177.149,295.552,1475.81
-166.044,291.403,1507.52
-156.001,289.654,1540.21
-148.427,288.093,1570.72
-143.589,287.007,1595.42
-142.031,287.776,1610.39
-142.325,286.544,1620.85
-144.333,285.772,1626.28
-147.452,285.805,1629.12
-156.322,287.567,1629.99
-165.902,288.445,1628.61
-172.67,289.404,1626.96
-185.011,290.548,1622.82
-193.852,290.655,1619.46
-207.085,290.81,1614.41
-216.023,291.159,1611.14
-226.538,291.603,1609.12
-233.059,292.85,1607.84
-236.484,293.066,1610.26
-237.521,292.726,1616.2
-234.231,292.393,1625.86
-230.208,292.693,1634.13
-224.712,292.17,1642.79
-215.175,288.588,1654.2
-208.983,287.87,1664
-202.673,285.873,1669.81
-197.626,284.909,1674.85
-194.583,283.739,1676.34
-191.738,285.293,1676
-190.805,285.972,1674.17
-190.76,285.153,1671.1
-191.253,286.701,1661.66
-193.487,290.171,1648.82
-199.596,294.042,1626.36
-205.725,295.097,1606.78
-211.486,295.754,1586.11
-215.466,296.55,1570.52
-218.256,297.028,1555.57
-219.975,296.712,1545.58
-218.887,297.103,1541.47
-218.588,297.579,1540.39
-216.201,297.625,1543.77
-213.156,298.88,1550.22
-209.354,300.138,1556.59
-205.205,301.567,1563.6
-200.433,300.381,1573.79
-196.301,298.326,1583.58
-194.462,298.797,1590.6
-192.63,297.245,1598.02
-191.806,298.015,1602.91
-190.628,297.931,1604.77
-193.011,297.056,1602.02
-197.434,297.771,1597.44
-200.846,297.136,1591.24
-206.68,298.68,1582.56
-214.909,300.634,1572.59
-223.438,301.28,1559.44
-233.225,303.203,1547.01
-244.189,306.345,1529.63
-250.244,306.513,1519.93
-256.091,307.952,1513.3
-260,311.194,1510.27
-263.084,316.102,1514.45
-263.003,316.26,1534.36
-261.867,315.82,1549.86
-255.239,306.647,1595.9
-249.692,301.667,1620.4
-245.553,298.006,1640.72
-245.079,293.607,1652.49
-240.037,290.131,1662.76
-238.41,288.112,1669.69
-238.628,288.34,1675.28
-239.778,287.059,1677.33
-242.608,287.453,1677.15
-246.934,288.301,1674.18
-253.63,289.964,1668.27
-258.585,291.401,1664.89
-264.789,290.13,1658.73
-269.775,289.447,1652.53
-272.764,288.683,1646.54
-273.41,289.657,1643.66
-272.901,288.857,1639.75
-234.626,292.015,1645.97
-248.675,291.084,1575.76
-253.438,291.061,1571.64
-257.147,293.574,1570.73
-257.964,294.708,1573.8
-257.756,296.722,1580.06
-256.856,295.621,1590.33
-255.246,294.949,1597.33
-252.271,294.429,1606.51
-248.524,293.938,1618.1
-244.508,293.06,1628.56
-239.679,290.381,1637.4
-236.737,287.558,1646.24
-233.186,284.666,1650.44
-231.018,283.466,1654.6
