x,y,z
-625.881,-6.66374,1607.94
-612.609,-4.5697,1610.24
-603.383,0.810654,1615.7
-588.32,1.0732,1628.42
-580.03,2.17831,1641.61
-531.354,1.63748,1714.69
-523.077,3.04362,1717.8
-514.404,2.39333,1670.71
-481.77,9.47542,1671.23
-476.404,9.47701,1675.81
-466.734,8.61729,1684.93
-458.869,5.8578,1690.97
-454.386,9.42961,1693.74
-448.483,10.0969,1695.03
-443.71,8.43291,1699.2
-440.981,8.18153,1701.56
-437.953,10.1936,1704.87
-438.068,9.95531,1706.58
-439.336,10.0481,1708.04
-441.345,9.86797,1710.26
-444.392,10.3241,1713
-450.531,7.20769,1711.37
-457.29,9.17804,1713.99
-465.604,9.01901,1715.1
-475.326,7.26752,1713.15
-486.509,7.25243,1713.84
-502.539,3.23953,1708.94
-516.641,0.924393,1705.92
-532.807,-2.73274,1698.6
-543.932,-2.22264,1696.22
-549.949,-1.42175,1693.81
-555.011,-1.60342,1692.27
-556.523,-1.29793,1693.4
-564.708,-3.70122,1686.41
-565.827,-3.75679,1686.48
-563.978,-3.15074,1686.17
-559.622,0.19017,1692.87
-552.855,2.76212,1692.88
-545.719,5.4761,1695.93
-539.617,7.39282,1698.83
-530.863,7.69798,1707.63
-523.804,12.715,1711.04
-514.251,13.8302,1721.27
-504.595,12.8758,1730.94
-491.237,8.53865,1751.09
-486.333,10.2252,1757.25
-481.281,10.0642,1764.34
-476.798,12.3994,1765.27
-473.783,11.6069,1766.96
-472.124,14.4074,1767.89
-471.013,16.0439,1765.25
-470.705,17.4075,1767.77
-469.908,19.3278,1764.38
-470.381,15.9621,1761.84
-470.56,14.8374,1753.6
-470.043,15.4138,1742.72
-472.559,15.3984,1732.83
-474.383,16.2636,1721.15
-476.436,18.4261,1709.88
-479.143,17.0991,1700.5
-482.324,20.8463,1693.42
-487.958,20.1101,1684.36
-494.293,19.5394,1676.64
-498.711,17.9736,1668.9
-503.419,13.5362,1670.48
-509.336,8.88383,1671.15
-513.269,4.83577,1672.96
-513.898,4.2211,1673.71
-514.166,4.76097,1672.12
-514.395,4.06857,1670.69
-510.959,6.29454,1667.99
-505.784,9.85135,1667.32
-502.249,7.40399,1676.52
-499.118,7.61526,1682.08
-497.299,8.13574,1688.65
-495.852,6.62129,1697.47
-493.494,4.38452,1706.24
-492.863,3.81154,1714.68
-491.726,1.17557,1725.18
-492.357,1.22653,1730.14
-493.558,0.714447,1733.89
-494.892,1.11017,1735.96
-496.95,5.16183,1732.64
-499.299,9.04657,1730.7
-502.284,10.7719,1728.04
-504.46,16.7481,1722.9
-506.104,16.766,1723.83
-507.997,18.9626,1721.59
-511.408,21.6127,1721.1
-515.424,24.2741,1720.85
-520.447,25.5025,1721.48
-526.294,21.2841,1728.99
-532.928,20.0771,1734.56
-543.877,15.701,1741.23
-549.343,12.9332,1746.15
-552.336,10.9182,1750.86
-553.157,7.68091,1757.24
-554.041,5.1917,1760.24
-552.242,4.12798,1762.27
-548.33,3.21173,1761.39
-540.354,4.66649,1759.25
-533.63,8.71626,1758.19
-524.152,11.4141,1760.27
-514.101,12.2032,1758.91
-505.384,11.5322,1759.69
-496.559,11.6943,1756.25
-490.87,10.8788,1754.74
-485.483,9.95724,1752.99
-480.248,10.9381,1754.35
-474.863,9.15933,1751.81
-473.003,8.5088,1750.57
-473.836,6.57324,1748.61
-473.319,5.93024,1742.9
-471.766,5.74402,1735.42
-474.612,3.14859,1730.07
-475.845,0.626846,1719.06
-480.303,2.64903,1701.74
-481.731,2.88521,1689.72
-485.583,2.7516,1676.9
-492.135,0.276688,1666.79
-500.126,0.87175,1664.41
-511.533,0.866821,1661.01
-521.087,-1.63858,1667.13
-530.013,-1.53467,1667.81
-534.969,-4.73978,1666.53
-539.27,-4.18321,1665.27
-539.263,-5.02908,1668.8
-540.448,-5.33337,1675.25
-545.26,-4.78975,1681.43
-551.37,-6.93353,1684.39
-556.553,-7.77571,1692.94
-565.386,-8.28279,1706.49
-567.964,-7.81316,1732.36
-571.597,-4.82811,1751.18
-573.254,-4.2625,1770.9
-574.637,-4.1472,1784.66
-573.865,-2.86128,1791.87
-579.332,-2.61729,1791.21
-580.028,-3.19801,1795.89
-580.588,-2.81923,1801.76
-580.665,-4.07397,1804.1
-580.369,-3.24718,1801.47
-579.915,-2.75101,1801.76
-578.788,-2.0444,1795.44
-583.997,-0.872375,1785.55
-542.543,10.5826,1689.74
-536.191,10.3851,1693.59
-528.468,14.1828,1698.43
-522.528,16.7776,1705.21
-515.813,16.3826,1719.1
-515.412,12.4008,1731.25
-516.357,13.6835,1740.3
-514.674,14.8941,1748.16
-513.003,15.5216,1756.51
-510.905,16.3494,1764.59
-509.49,17.6007,1773.56
-509.505,18.1588,1777.52
-510.325,20.1067,1782.33
-512.886,19.8063,1784.44
-515.736,20.7627,1786.46
