x,y,z
0.49576,0.744259,0.44755
0.329416,0.760834,0.559121
0.27589,0.773444,0.570675
0.268228,0.762109,0.589273
0.263425,0.763526,0.589607
0.279522,0.804316,0.52435
0.299326,0.813563,0.498517
0.441504,0.896347,0.0404433
0.394501,0.914097,0.0937851
0.388757,0.911362,0.135232
0.386385,0.910065,0.149961
0.388097,0.902785,0.185363
0.367074,0.907426,0.204534
0.344022,0.90456,0.251832
0.352045,0.898589,0.261921
0.329346,0.905832,0.266456
0.313461,0.910289,0.2704
0.310685,0.914041,0.260776
0.312789,0.919831,0.236799
0.312988,0.924179,0.218931
0.348501,0.917072,0.193715
0.375398,0.913693,0.155694
0.406193,0.901019,0.152221
0.422828,0.895201,0.140823
0.456817,0.879187,0.135453
0.458649,0.88084,0.117316
0.464383,0.88151,0.0853754
0.470019,0.879508,0.0744871
0.449452,0.893045,0.0215417
0.42573,0.890915,0.158191
0.431864,0.858264,0.277267
0.434317,0.83713,0.332539
0.430021,0.82486,0.366999
0.443413,0.815463,0.372029
0.442913,0.822649,0.35648
0.431429,0.833928,0.34414
0.411651,0.844625,0.342274
0.376533,0.857755,0.34997
0.356477,0.855734,0.375026
0.324711,0.868938,0.37351
0.313235,0.873053,0.373713
0.292217,0.876311,0.383
0.291164,0.867793,0.40269
0.284668,0.876686,0.387796
0.272106,0.878449,0.392793
0.25679,0.886404,0.385158
0.257986,0.89651,0.360158
0.263045,0.910147,0.320063
0.286805,0.912746,0.290928
0.3076,0.921023,0.238953
0.332138,0.920461,0.206
0.32648,0.926919,0.18502
0.347135,0.926372,0.146056
0.372886,0.923199,0.0930607
0.391999,0.919804,0.0172611
0.392432,0.91881,0.0422585
0.411502,0.911157,0.0214126
0.421953,0.906557,0.0105204
0.416951,0.908017,0.0407066
0.403161,0.912497,0.0693529
0.386777,0.914673,0.117377
0.370888,0.916967,0.147018
0.337249,0.924991,0.175086
0.338234,0.913978,0.224147
0.357679,0.901589,0.243316
0.363258,0.8932,0.265025
0.37061,0.890163,0.265062
0.372426,0.893058,0.25248
0.368575,0.897365,0.24267
0.368215,0.9029,0.221787
0.366889,0.905449,0.213436
0.368987,0.907233,0.201932
0.375941,0.913826,0.153594
0.369693,0.919131,0.136107
0.353002,0.928198,0.117634
0.274492,0.942174,0.192257
0.244852,0.945586,0.214276
0.210154,0.951927,0.22287
0.206246,0.95717,0.203193
0.196697,0.95996,0.199465
0.209862,0.962875,0.169792
0.189577,0.9661,0.175244
0.322192,0.936079,-0.141242
0.380187,0.908656,-0.172631
0.373813,0.922849,-0.0928134
0.299683,0.954016,-0.00667492
0.290174,0.955922,-0.0448505
0.246106,0.964983,-0.0907717
0.245656,0.969139,-0.0205487
0.284354,0.958363,-0.0261331
0.335971,0.941687,-0.0186616
0.353586,0.934015,-0.0509248
0.350985,0.933205,-0.0770552
0.329843,0.939492,-0.0925101
0.357393,0.931183,-0.0719006
0.378507,0.924497,-0.0451554
