x,y,z
-0.439731,0.211553,-0.872858
-0.477299,0.233113,-0.847257
-0.507175,0.249797,-0.824848
-0.539926,0.242936,-0.805892
-0.561034,0.246023,-0.790388
-0.644019,0.214274,-0.734388
-0.664831,0.21396,-0.715696
-0.805646,0.100047,-0.583888
-0.865201,0.117051,-0.487571
-0.876965,0.131503,-0.462212
-0.880523,0.141367,-0.452432
-0.888005,0.145083,-0.436346
-0.891328,0.154378,-0.426264
-0.897512,0.161164,-0.410486
-0.898219,0.164201,-0.407725
-0.897289,0.166196,-0.408963
-0.887262,0.171321,-0.428269
-0.878129,0.174552,-0.445445
-0.864008,0.176774,-0.471424
-0.849348,0.176078,-0.497598
-0.81258,0.177199,-0.555261
-0.791441,0.171109,-0.586808
-0.74816,0.170501,-0.641237
-0.70812,0.161596,-0.687352
-0.680766,0.150911,-0.716787
-0.644259,0.143862,-0.751155
-0.623077,0.138153,-0.769863
-0.602157,0.134062,-0.787041
-0.602044,0.130352,-0.787751
-0.590587,0.129691,-0.796484
-0.575449,0.12899,-0.807601
-0.561462,0.129568,-0.817296
-0.542594,0.130233,-0.829838
-0.558826,0.139451,-0.817476
-0.572289,0.143262,-0.807441
-0.591397,0.148878,-0.792518
-0.600919,0.151825,-0.784758
-0.624447,0.162794,-0.763914
-0.653304,0.168257,-0.738162
-0.697049,0.16857,-0.696926
-0.739592,0.163324,-0.652939
-0.768315,0.17253,-0.61638
-0.785285,0.175621,-0.593705
-0.800578,0.174072,-0.573389
-0.806008,0.159624,-0.569975
-0.823806,0.155416,-0.545151
-0.8487,0.147727,-0.507824
-0.875145,0.144707,-0.461716
-0.901599,0.138716,-0.409728
-0.917764,0.136268,-0.373014
-0.920624,0.144529,-0.362717
-0.90726,0.15896,-0.389371
-0.890824,0.175856,-0.418936
-0.868896,0.189105,-0.457449
-0.853291,0.198636,-0.482119
-0.830499,0.211616,-0.515258
-0.811263,0.221734,-0.541005
-0.782918,0.230947,-0.577671
-0.765821,0.231779,-0.599831
-0.75078,0.227565,-0.620116
-0.726359,0.22431,-0.649683
-0.706915,0.222978,-0.671231
-0.699361,0.217595,-0.680842
-0.698161,0.208639,-0.684866
-0.679455,0.195092,-0.707305
-0.679885,0.178904,-0.711161
-0.682859,0.161712,-0.712428
-0.689642,0.150746,-0.708286
-0.708618,0.143495,-0.690847
-0.737728,0.138488,-0.660741
-0.777144,0.13313,-0.61508
-0.811374,0.128295,-0.570275
-0.840615,0.119346,-0.528321
-0.883277,0.114315,-0.454701
-0.922314,0.111188,-0.3701
-0.96092,0.106531,-0.255506
-0.976243,0.110029,-0.186664
-0.988797,0.111156,-0.0996189
-0.992725,0.113591,-0.0399142
-0.992861,0.111889,0.0413235
-0.990655,0.114466,0.0741645
-0.987144,0.115602,0.110379
-0.985683,0.115184,0.123131
-0.985921,0.115146,0.12125
-0.9861,0.110872,0.123749
-0.988529,0.104756,0.108795
-0.99226,0.100811,0.0725139
-0.994815,0.0986973,0.024552
-0.995181,0.0948124,-0.0250098
-0.991088,0.0976541,-0.0905968
-0.982892,0.10022,-0.15453
-0.967813,0.102135,-0.230015
-0.946508,0.106755,-0.304508
-0.927373,0.114604,-0.356153
-0.902309,0.12341,-0.413049
-0.877934,0.128549,-0.461201
-0.847687,0.1334,-0.51345
-0.825201,0.136926,-0.547991
-0.811712,0.141205,-0.566732
-0.802248,0.146784,-0.578665
-0.791831,0.154695,-0.590824
-0.771543,0.173869,-0.611957
-0.757026,0.184348,-0.626839
-0.753104,0.194417,-0.628519
-0.746667,0.204324,-0.633041
-0.762912,0.20558,-0.612946
-0.783311,0.206462,-0.586342
-0.788897,0.208118,-0.578212
-0.785497,0.20934,-0.582384
-0.788171,0.202029,-0.581352
-0.778432,0.201635,-0.594464
-0.751084,0.206312,-0.627142
-0.731779,0.205635,-0.64978
-0.706456,0.201333,-0.678517
-0.663889,0.19323,-0.722435
-0.629592,0.180754,-0.755607
-0.602378,0.176554,-0.778441
