x,y,z
-0.504483,0.81497,-0.285168
-0.521599,0.832146,-0.188329
-0.490302,0.859022,-0.147262
-0.508948,0.85797,-0.0697111
-0.508315,0.859415,0.0549694
-0.49682,0.849142,0.179244
-0.501216,0.822114,0.270019
-0.519196,0.781911,0.345038
-0.538371,0.764819,0.353848
-0.546213,0.758656,0.355095
-0.540607,0.765966,0.347908
-0.524283,0.791696,0.3136
-0.526171,0.79662,0.297557
-0.447936,0.83885,0.309327
-0.429362,0.838122,0.336452
-0.404155,0.841914,0.357548
-0.413419,0.834003,0.365409
-0.431341,0.781261,0.451194
-0.479244,0.781261,0.399946
-0.501615,0.790967,0.350362
-0.526917,0.784232,0.327627
-0.53547,0.785303,0.31076
-0.524154,0.786605,0.326366
-0.530155,0.789215,0.309959
-0.503401,0.810492,0.299483
-0.497085,0.814454,0.299286
-0.503816,0.794641,0.338696
-0.492671,0.76808,0.409057
-0.516198,0.745418,0.421772
-0.52627,0.729087,0.437575
-0.529099,0.720183,0.448766
-0.548841,0.686475,0.476996
-0.534981,0.67065,0.513832
-0.4951,0.674957,0.547091
-0.478038,0.679364,0.556726
-0.467627,0.673787,0.572133
-0.469427,0.670528,0.574483
-0.473405,0.673117,0.568155
-0.469378,0.707524,0.528295
-0.489593,0.71298,0.501954
-0.498578,0.741856,0.448408
-0.543781,0.64794,0.533363
-0.53528,0.707441,0.461521
-0.497499,0.778782,0.38209
-0.476456,0.833973,0.278349
-0.441497,0.859019,0.259165
-0.309208,0.88379,0.351148
-0.337359,0.914801,0.2221
-0.38486,0.908895,0.1606
-0.435944,0.88781,0.147468
-0.445463,0.884236,0.14032
-0.346416,0.852003,0.39254
-0.457622,0.845641,0.274723
-0.49476,0.827704,0.264801
-0.527885,0.805816,0.268322
-0.559888,0.785559,0.263481
-0.524954,0.802325,0.284073
-0.589663,0.702229,0.398964
-0.560654,0.754346,0.34151
-0.550118,0.806688,0.215928
-0.553014,0.782387,0.286437
-0.525291,0.832727,0.175028
-0.498247,0.862918,0.0843992
-0.459205,0.887485,0.0387493
-0.449555,0.892123,0.0449021
-0.407543,0.913169,-0.00554181
-0.384968,0.920909,-0.0610445
-0.26579,0.960837,-0.078409
-0.220257,0.975394,-0.00965383
-0.266954,0.960077,0.0835939
-0.196476,0.922399,0.332531
-0.219988,0.921918,0.318862
-0.263507,0.904885,0.334285
-0.303023,0.865158,0.399598
-0.332566,0.822367,0.46164
-0.354865,0.798336,0.48655
-0.369135,0.789291,0.490672
-0.386122,0.768611,0.510046
-0.418184,0.759204,0.49873
-0.407981,0.722678,0.557932
-0.36848,0.61207,0.699709
-0.344036,0.635856,0.690888
-0.345536,0.643627,0.682898
-0.347656,0.636955,0.688058
-0.335464,0.60157,0.724967
-0.332256,0.609953,0.719419
-0.222382,0.621702,0.751021
-0.255637,0.720999,0.644058
-0.237191,0.73659,0.633384
-0.175644,0.758519,0.627533
-0.15712,0.768826,0.619855
-0.143192,0.796425,0.58754
-0.144591,0.77699,0.612682
-0.151638,0.760771,0.631057
-0.116671,0.748082,0.653269
-0.133823,0.784519,0.605492
-0.15192,0.788822,0.595551
-0.188788,0.805343,0.561945
-0.181567,0.789066,0.586864
-0.19269,0.763047,0.616952
-0.165882,0.741366,0.650277
-0.166421,0.704394,0.690024
-0.145559,0.734776,0.662508
-0.142465,0.67117,0.727485
-0.143461,0.617087,0.773707
-0.150975,0.600069,0.785572
-0.144114,0.597964,0.788461
-0.164876,0.597662,0.784612
-0.194339,0.637382,0.745638
-0.216771,0.667428,0.712426
-0.250109,0.72191,0.645206
-0.272035,0.753996,0.597902
-0.294768,0.776409,0.557046
-0.292548,0.789331,0.539789
-0.300193,0.795528,0.526327
-0.309472,0.806766,0.503344
-0.303206,0.820887,0.483953
-0.305435,0.824927,0.47561
-0.31688,0.816967,0.481822
-0.350534,0.818472,0.455224
-0.380483,0.802327,0.459895
-0.388781,0.759804,0.521101
-0.428075,0.720488,0.545571
-0.457445,0.674139,0.579896
-0.533046,0.609457,0.586877
-0.552626,0.578208,0.600234
-0.556112,0.553595,0.619896
-0.55245,0.544749,0.63091
-0.556407,0.581388,0.593632
-0.538428,0.615253,0.575811
-0.536633,0.656246,0.53044
-0.547789,0.643112,0.535102
-0.534136,0.678448,0.504387
-0.596305,0.506371,0.622903
-0.575853,0.663816,0.477222
-0.504528,0.737987,0.448137
-0.474261,0.795325,0.377538
-0.467866,0.830903,0.301167
-0.46867,0.798377,0.378078
-0.438567,0.868369,0.231507
-0.397621,0.900315,0.177005
-0.424993,0.85752,0.289896
-0.423825,0.876985,0.226429
-0.45031,0.841994,0.297097
-0.451233,0.832031,0.322666
-0.448094,0.830584,0.33067
-0.499071,0.797416,0.339198
-0.543089,0.779519,0.312097
-0.480508,0.862673,0.15782
-0.53541,0.771398,0.343921
-0.542867,0.741796,0.393744
-0.562874,0.701835,0.436578
-0.566223,0.682713,0.461838
-0.544992,0.677749,0.493599
-0.556545,0.644654,0.524098
-0.551688,0.588888,0.590637
-0.539168,0.567001,0.622742
-0.50424,0.509012,0.697603
-0.453767,0.470856,0.756564
-0.462389,0.476647,0.747666
-0.467577,0.472003,0.747386
-0.466759,0.477169,0.744611
-0.470793,0.497635,0.728501
-0.452229,0.635109,0.626199
-0.456147,0.660871,0.595969
-0.408665,0.654508,0.636091
-0.441102,0.640801,0.628334
-0.439984,0.623355,0.646407
-0.435125,0.608782,0.663364
-0.471706,0.530742,0.704135
-0.458076,0.483691,0.745795
-0.476373,0.462689,0.747655
-0.50045,0.458868,0.734159
-0.516064,0.441238,0.734157
-0.522573,0.420757,0.74154
-0.575813,0.431443,0.694476
-0.536167,0.448577,0.715055
-0.614941,0.467369,0.635149
-0.64503,0.510486,0.568631
-0.672474,0.540163,0.505967
-0.696591,0.61296,0.372883
-0.691549,0.645024,0.325121
-0.677975,0.665006,0.313236
-0.651395,0.67511,0.346282
-0.66623,0.669176,0.329152
-0.660629,0.718041,0.219057
-0.648155,0.709696,0.276094
-0.602634,0.705425,0.373107
-0.609521,0.709442,0.353803
-0.610945,0.695487,0.378212
-0.63609,0.702889,0.318334
-0.636635,0.66776,0.385737
-0.669768,0.641137,0.374639
-0.689665,0.61609,0.38052
-0.685144,0.598035,0.41585
-0.687242,0.611997,0.391356
-0.649202,0.657808,0.381871
-0.629593,0.685372,0.365894
-0.626621,0.704242,0.33375
-0.571894,0.769957,0.283025
