x,y,z
-0.103567,0.975856,-0.192298
-0.119108,0.980087,-0.158879
-0.124609,0.983011,-0.134766
-0.140035,0.981399,-0.131324
-0.13951,0.982109,-0.126487
-0.188177,0.971808,-0.142052
-0.202547,0.971521,-0.12297
-0.300211,0.939765,-0.163447
-0.334709,0.939017,-0.0788445
-0.323223,0.944516,-0.0584548
-0.319871,0.945664,-0.0583329
-0.316153,0.947358,-0.0505971
-0.302678,0.952633,-0.0296081
-0.302272,0.953174,-0.00953793
-0.300933,0.953612,-0.0079204
-0.297795,0.954626,-0.00265651
-0.29604,0.955175,-0.000480403
-0.288797,0.957382,-0.00390878
-0.281341,0.959504,-0.014072
-0.278412,0.960091,-0.0266747
-0.271664,0.961233,-0.0472086
-0.261863,0.962869,-0.0656573
-0.254048,0.963272,-0.0869841
-0.24738,0.962411,-0.112112
-0.242402,0.961399,-0.130205
-0.238765,0.958035,-0.158622
-0.221168,0.960456,-0.169144
-0.209631,0.960414,-0.183465
-0.196735,0.962241,-0.188115
-0.191839,0.960541,-0.20139
-0.193849,0.958401,-0.209499
-0.195402,0.957174,-0.213624
-0.199489,0.954788,-0.220416
-0.186339,0.961408,-0.202416
-0.193003,0.959663,-0.204444
-0.203178,0.95998,-0.19276
-0.213764,0.957099,-0.195617
-0.228568,0.959061,-0.16721
-0.245833,0.958112,-0.146927
-0.256257,0.959104,-0.120213
-0.277679,0.954144,-0.111823
-0.28939,0.954456,-0.0725765
-0.302049,0.951275,-0.0619841
-0.309625,0.949277,-0.054818
-0.327267,0.941644,-0.0787579
-0.321926,0.945468,-0.0495486
-0.325753,0.944812,-0.0348753
-0.329799,0.94405,-0.0016268
-0.332335,0.942982,0.0184106
-0.332057,0.942461,0.0387927
-0.326962,0.943229,0.0584358
-0.314001,0.947945,0.0529447
-0.303766,0.951081,0.0563119
-0.289657,0.956267,0.0406564
-0.283017,0.958381,0.0375221
-0.279027,0.959403,0.0411146
-0.270929,0.961924,0.0360543
-0.260721,0.96482,0.0338707
-0.258148,0.965551,0.0327315
-0.258062,0.965903,0.0208735
-0.258483,0.965979,0.00843844
-0.25237,0.96763,-0.00120207
-0.250771,0.967896,-0.0170844
-0.256289,0.966225,-0.0269219
-0.253029,0.965028,-0.0685298
-0.247951,0.963787,-0.0981595
-0.248212,0.96045,-0.126201
-0.253379,0.957389,-0.138583
-0.261754,0.955657,-0.134926
-0.26917,0.954438,-0.128821
-0.288165,0.951294,-0.109551
-0.304155,0.948664,-0.0867471
-0.308333,0.947323,-0.0866578
-0.315673,0.946617,-0.0653263
-0.322298,0.945848,-0.0386652
-0.326672,0.945098,-0.00862058
-0.322557,0.946472,0.0121657
-0.319335,0.946679,0.0426996
-0.31361,0.947854,0.0567611
-0.309327,0.946873,0.0880205
-0.303549,0.946857,0.106395
-0.301016,0.944864,0.128924
-0.298146,0.941531,0.156932
-0.298769,0.939007,0.170303
-0.300843,0.935186,0.186871
-0.305806,0.929664,0.205444
-0.315281,0.929549,0.191146
-0.329337,0.925755,0.185782
-0.345713,0.921796,0.175427
-0.354998,0.920721,0.162014
-0.364137,0.919765,0.146414
-0.367943,0.923946,0.104598
-0.366204,0.92749,0.0752062
-0.35052,0.935543,0.0435221
-0.343586,0.939043,0.0121538
-0.339823,0.940396,-0.0132862
-0.332121,0.942085,-0.0466062
-0.322767,0.94431,-0.06404
-0.314486,0.946091,-0.0775317
-0.308478,0.947745,-0.081371
-0.30877,0.947956,-0.077714
-0.294472,0.952948,-0.0719508
-0.288989,0.954315,-0.0759453
-0.28477,0.956282,-0.0665661
-0.279276,0.958275,-0.0609435
-0.276288,0.960019,-0.0450365
-0.274691,0.960901,-0.0348412
-0.270338,0.962281,-0.0305391
-0.264356,0.963787,-0.0350682
-0.267464,0.962694,-0.0410179
-0.260363,0.964125,-0.0517155
-0.245709,0.966813,-0.0700008
-0.239917,0.967283,-0.0824884
-0.237488,0.966549,-0.0968603
-0.226509,0.965833,-0.125937
-0.222882,0.964784,-0.139699
-0.215903,0.96729,-0.133175
-0.230628,0.96007,-0.158355
-0.237895,0.955102,-0.176598
-0.237849,0.950407,-0.200384
-0.241133,0.936705,-0.253846
-0.237228,0.925924,-0.293919
-0.232339,0.906811,-0.351728
-0.223964,0.899781,-0.374478
-0.226745,0.895527,-0.382908
-0.223393,0.896512,-0.382571
-0.232456,0.893251,-0.384795
-0.229398,0.894269,-0.384266
-0.215028,0.904973,-0.367133
-0.204554,0.917616,-0.340791
-0.192807,0.926953,-0.321844
-0.171585,0.934602,-0.311574
-0.162644,0.93052,-0.328145
-0.145204,0.938888,-0.312096
-0.129165,0.943258,-0.305911
-0.124165,0.947472,-0.294755
-0.1207,0.957056,-0.263581
-0.107038,0.967739,-0.228086
-0.107056,0.97076,-0.214856
-0.103715,0.97188,-0.211406
-0.0973368,0.972637,-0.210957
-0.0948033,0.975278,-0.199612
-0.0967559,0.972096,-0.213701
-0.103097,0.971163,-0.214975
-0.0923611,0.972735,-0.212736
-0.339848,0.937938,-0.0691041
-0.345565,0.937799,-0.0334294
-0.353408,0.93541,0.0105334
-0.359121,0.931791,0.0528901
-0.360446,0.930078,0.0709437
-0.347746,0.932186,0.100505
-0.328167,0.935325,0.132184
-0.318693,0.935213,0.154309
-0.309555,0.93699,0.161939
-0.303932,0.938554,0.163529
-0.304409,0.939559,0.156727
-0.303292,0.939972,0.156414
-0.306171,0.939771,0.151953
-0.308907,0.939055,0.150841
-0.313929,0.938102,0.146333
-0.320307,0.937468,0.136223
-0.325117,0.938018,0.120091
-0.332032,0.936551,0.112367
-0.336873,0.936281,0.0994699
-0.334758,0.939192,0.0765275
-0.331208,0.942281,0.0490614
-0.32482,0.945656,0.0151002
-0.315805,0.948758,-0.0111765
-0.303148,0.952164,-0.0385279
-0.294248,0.953939,-0.0584636
-0.30711,0.944699,-0.115007
-0.291218,0.946565,-0.138588
-0.280722,0.947997,-0.14999
-0.280318,0.948484,-0.14765
-0.271141,0.950438,-0.152151
-0.271695,0.951059,-0.1472
-0.268474,0.952885,-0.141182
-0.265738,0.953351,-0.143197
-0.254838,0.957323,-0.136346
-0.248002,0.958325,-0.141801
-0.240315,0.960415,-0.140897
-0.226042,0.961917,-0.15369
-0.218291,0.963357,-0.155858
-0.214341,0.963029,-0.163195
-0.209085,0.963002,-0.170029
-0.202508,0.961109,-0.187775
-0.194365,0.958293,-0.209515
-0.191925,0.961261,-0.197841
-0.174942,0.966327,-0.188698
-0.173262,0.96832,-0.179822
-0.178981,0.966673,-0.183055
-0.178435,0.963952,-0.197379
-0.167919,0.9638,-0.207105
