x,y,z
-796.562,531.619,1413.79
-784.113,533.518,1424.96
-768.588,536.28,1437.05
-752.08,536.781,1447
-737.984,537.656,1457.08
-688.232,538.011,1502.12
-683.295,538.374,1509.85
-721.875,536.669,1441.75
-682.045,540.586,1468.29
-666.708,541.56,1478.18
-648.947,541.635,1484.39
-635.087,540.738,1490.96
-622.207,542.091,1498.47
-611.401,543.354,1504.82
-602.886,542.438,1509.09
-597.605,541.599,1512.6
-593.783,542.671,1517.38
-591.756,542.105,1517.84
-593.077,542.58,1517.24
-597.896,543.042,1517.43
-605.575,543.513,1516.7
-612.778,541.909,1510.37
-622.989,542.831,1508.6
-637.876,542.736,1503.86
-654.221,542.087,1497.18
-671.689,541.628,1491.52
-687.65,540.407,1483.28
-702.397,539.4,1477.52
-715.478,537.689,1470.08
-728.221,537.674,1464.98
-738.722,536.586,1461.96
-746.199,536.308,1460.48
-752.978,536.59,1461.24
-756.591,535.339,1460.94
-758.962,534.81,1462.27
-759.062,534.809,1465.46
-758.367,536.9,1470.41
-755.168,537.789,1479.3
-750.325,539.406,1487.81
-741.745,541.642,1494.78
-734.585,540.989,1503.07
-726.812,542.33,1516.65
-716.384,543.312,1528.2
-704.844,542.452,1536.54
-694.058,541.399,1544.23
-686.116,541.187,1555.57
-677.571,541.162,1561.93
-672.032,541.06,1570.33
-666.018,541.318,1575.53
-660.441,542.249,1580.92
-655.11,541.651,1585.87
-649.083,542.718,1588.19
-642.914,543.652,1589.71
-639.856,542.36,1585.74
-638.187,541.716,1581.4
-639.897,540.478,1577.98
-643.217,539.941,1571.17
-647.568,539.917,1563.55
-653.372,541.009,1555.68
-661.61,539.914,1545.55
-671.573,541.456,1537.55
-679.502,542.292,1526.89
-687.644,542.414,1515.29
-695.26,541.404,1505.9
-701.911,540.394,1492.6
-706.084,538.523,1482.13
-708.595,536.317,1472.25
-711.358,536.178,1467.56
-714.385,537.056,1465.09
-713.741,536.415,1462.82
-713.619,537.296,1463.28
-709.329,537.909,1467.89
-703.621,537.704,1471.19
-695.803,537.453,1477.61
-687.435,538.312,1483.92
-679.264,538.601,1490.5
-670.374,537.56,1498.75
-660.298,537.183,1507.78
-654.544,536.39,1515.77
-648.492,535.858,1523.16
-645.208,535.801,1529.92
-643.946,536.066,1538.16
-643.389,536.962,1546.37
-648.289,539.325,1552.72
-653.085,539.926,1557.39
-659.921,541.695,1562.5
-669.235,541.461,1563.24
-682.005,541.816,1565.41
-695.122,542.007,1567.18
-710.352,542.971,1569.7
-726.277,542.671,1571.25
-741.373,541.241,1569.84
-756.038,539.918,1568.24
-767.067,538.801,1564.96
-774.13,537.646,1561.25
-778.233,536.41,1560.19
-779.431,535.588,1555.95
-778.633,534.74,1554.92
-772.935,534.893,1552.74
-764.097,535.54,1551.32
-755.832,536.973,1553.28
-742.962,538.82,1556.57
-727.603,541.082,1558.56
-713.272,541.878,1561.41
-699.355,541.977,1564.76
-685.659,542.808,1565.79
-672.787,541.738,1565.8
-661.577,540.844,1565.04
-651.716,541.708,1562.59
-646.932,541.708,1558.32
-641.869,542.067,1553.66
-638.741,541.005,1547.49
-637.297,540.981,1539.49
-637.467,539.744,1529.35
-643.813,538.322,1518.2
-651.439,535.466,1506.04
-662.848,535.984,1493.76
-676.204,536.358,1478.48
-690.567,536.027,1462.38
-706.574,533.773,1444.48
-720.208,532.965,1423.91
-730.082,532.641,1405.01
-736.63,529.504,1386.63
-742.345,528.22,1375.51
-747.153,526.63,1367.88
-748.546,524.717,1365.08
-749.594,524.245,1367.4
-749.341,525.906,1374.26
-747.523,526.655,1387.02
-742.125,527.896,1398.35
-738.927,529.793,1415.02
-729.696,530.313,1430.28
-722.926,531.488,1448.05
-716.751,533.891,1469.41
-710.162,535.502,1489.25
-703.839,536.64,1503.43
-700.237,537.986,1519.77
-695.836,538.409,1530.52
-695.823,538.904,1539.29
-694.891,539.082,1546.33
-694.827,538.376,1550.22
-697.128,538.96,1551.97
-698.827,537.607,1548.23
-707.745,538.086,1542.77
-714.664,539.925,1535
-776.025,536.981,1493.75
-762.441,537.08,1503.23
-750.419,538.595,1515.5
-735.643,539.911,1528.32
-718.491,540.793,1538.61
-703.984,539.801,1547.12
-690.859,540.793,1558.05
-682.394,541.615,1569.67
-674.236,542.654,1577.81
-666.184,542.847,1585.48
-663.948,544.903,1591.19
-662.222,544.819,1596.48
-664.519,546.783,1600.95
-670.041,546.711,1605.54
-677.403,547.004,1608.94
-687.472,547.48,1611.67
-697.891,547.934,1613.54
-712.023,546.713,1615.96
-726.633,546.491,1617.38
-738.495,546.274,1617.21
-749.336,547.235,1615.28
-757.794,546.552,1612.97
-763.391,546.164,1610.8
-766.418,546.406,1606.39
-766.856,547.027,1602.71
-766.154,545.959,1596.47
-762.534,544.462,1590.58
-755.862,544.041,1583.82
-748.175,544.834,1576.44
-738.592,544.244,1570.04
-726.311,543.165,1563.92
-713.686,541.876,1556.23
-699.488,540.842,1547.93
-688.189,540.593,1544.09
-675.093,539.687,1535.62
-665.106,540.881,1531.54
-654.108,540.769,1522.71
-644.396,540.156,1514.97
-640.443,539.612,1506.23
-635.653,541.638,1498.45
-629.913,541.406,1486.41
-627.543,540.118,1472.7
-627.729,539.151,1463.68
-630.378,537.106,1447.41
-633.709,537.423,1431.53
-636.128,536.212,1412.94
-638.545,535.932,1393.62
-641.309,535.243,1374.96
-642.906,534.189,1355.55
-645.322,533.615,1340.22
-645.474,532.334,1327.36
-642.932,533.26,1319.12
-641.936,532.119,1315.23
-639.109,531.841,1320.73
-633.386,532.19,1328.74
-624.68,532.509,1337.8
-613.06,534.25,1354.93
-600.098,535.311,1371.35
-586.806,535.938,1387.44
-574.679,537.346,1400.3
-565.794,537.859,1412.16
-558.851,539.015,1422.76
-552.3,538.708,1430.16
-547.994,540.692,1437.21
-546.3,540.899,1441.09
-548.699,541.304,1444.9
-552.405,542.131,1448.73
-558.715,542.309,1450.66
-566.837,542.738,1449.2
-577.146,542.082,1446.13
-588.466,540.398,1441.1
-602.564,540.522,1437.89
-617.165,539.296,1433.59
-628.873,538.865,1428.54
-642.352,538.04,1426.42
-653.481,537.299,1423.58
-663.972,537.081,1420.88
-671.729,535.545,1418.38
-679.029,535.741,1414
-683.404,535.316,1408.86
-687.937,534.424,1400.34
-690.519,534.09,1392.64
-691.774,534.08,1385.29
-690.237,533.281,1374.33
-688.13,531.979,1364.7
-683.19,532.611,1355.83
-678.146,532.84,1344.19
-669.907,531.972,1336.59
-661.793,530.813,1326.29
-657.224,531.751,1321.81
-654.449,533.127,1317.7
-651.149,534.04,1310.55
-648.893,533.135,1305.04
-650.279,531.783,1302.2
-652.054,531.169,1297.02
-658.453,530.764,1293.59
-665.101,529.875,1287.19
-668.647,529.444,1284.51
-671.405,529.463,1282.71
-670.084,529.821,1281.52
-670.194,528.744,1288.44
-668.306,529.719,1297.84
-663.112,529.819,1307.14
-659.092,530.481,1318.72
-648.117,531.833,1333.89
-633.931,533.525,1350.42
-617.685,534.716,1368.97
-601.867,536.476,1390.96
-584.366,537.87,1409.47
-568.616,538.354,1425.35
-556.207,538.991,1436.79
-546.836,540.702,1448.09
-538.352,541.842,1455.17
-532.544,542.19,1460.27
-526.9,542.442,1458.97
-523.2,543.732,1457.21
-522.621,544.604,1455.07
-524.679,545.687,1449.48
-528.344,545.311,1441.96
-530.813,544.536,1431.33
-537.894,541.254,1401.62
-516.68,539.857,1391.57
-506.72,540.964,1399.46
-493.834,542.694,1409.27
-477.448,541.838,1418.86
-463.223,541.929,1426.73
-450.714,542.309,1434.4
-433.669,541.782,1449.94
-431.744,543.972,1460.53
-426.699,544.698,1467.82
-443.851,547.201,1499.46
-455.217,548.031,1503.78
-470.299,548.33,1508.98
-486.079,547.245,1512.65
-539.824,546.63,1526.25
-591.888,545.955,1528.64
-584.821,538.132,1463.07
-578.037,538.076,1452.2
-567.448,538.541,1433.58
-592.645,541.427,1409.4
-629.726,539.787,1400.41
-650.286,538.275,1395.79
-668.664,536.327,1391.04
-687.674,537.035,1390.05
-702.597,537.351,1388.65
-710.465,535.737,1386.37
-718.12,537.08,1388.35
-723.449,537.278,1388.83
-663.66,540.539,1475.33
-661.243,539.543,1481.89
-657.169,538.826,1488.61
-655.332,538.6,1495.9
-651.467,538.637,1498.68
-652.501,538.055,1499.71
-651.527,537.588,1502.19
-652.437,538.383,1503.9
-654.377,537.894,1500.62
-658.586,537.372,1498.78
-666.084,536.079,1492.09
-628.397,535.114,1461.77
-622.693,535.399,1460.97
-618.309,535.519,1457.25
-615.633,535.406,1452.26
-616.112,536.052,1450.05
-618.259,535.864,1445.5
-624.638,536.403,1439.84
-631.031,536.99,1431.73
-641.003,537.221,1425.48
-653.402,537.6,1417.97
-662.569,537.444,1408.69
-674.847,538.602,1402.95
-684.259,538.753,1395.27
-694.606,536.994,1387.3
-702.984,536.039,1380.34
-712.047,536.289,1376.45
-721.238,534.522,1375.21
-727.023,534.895,1374.76
-740.947,534.463,1384.85
-741.7,534.744,1392.56
-741.589,533.43,1400.63
-738.744,534.054,1412.29
-733.966,533.826,1424.93
-729.331,534.653,1436.88
-725.356,534.921,1453.66
-720.835,536.132,1469.88
-717.962,538.28,1487.25
-719.39,538.909,1502.75
-720.784,540.329,1517.82
-723.109,541.74,1532.1
-724.462,542.981,1543.45
-729.115,545.545,1555.97
-733.476,546.077,1565.65
-736.603,546.673,1573.65
-743.249,547.362,1576.3
-751.421,547.006,1582.35
-759.291,548.682,1586.45
-763.693,546.758,1581.5
-765.711,547.255,1582.27
-768.961,547.638,1582.04
-768.136,548.336,1584.21
-763.488,547.585,1584.78
-756.666,548.144,1585.53
-747.312,549.371,1587.54
-733.658,547.902,1586.9
-720.458,547.012,1586.43
-702.073,545.279,1586.89
-689.3,545.127,1589.5
-672.611,544.253,1588.86
-658.389,545.696,1591.25
-648.151,546.529,1592.04
-638.599,546.911,1591.15
-628.429,547.435,1587.19
-620.531,547.03,1584.58
-611.145,545.595,1576.59
-605.094,546.066,1571.12
-602.415,545.756,1566.57
-599.896,545.314,1556.78
-598.982,545.469,1549.54
-599.489,544.649,1540.46
-601.84,544.77,1530.69
-606.463,545.821,1520.53
-611.89,545.013,1507.15
-616.808,544.666,1493.89
-621.298,543.936,1479.37
-625.839,543.748,1466.08
-629.996,542.54,1450.48
-634.146,540.979,1435.78
-636.364,539.698,1421.04
-638.298,541.425,1413.39
-639.77,541.509,1406.23
-638.302,540.384,1398.92
-634.765,538.791,1394.79
-630.005,538.247,1390.67
-623.485,539.551,1391.09
-615.102,538.755,1391.24
-603.292,538.912,1393.41
-589.536,540.893,1399.24
-576.95,542.204,1404.61
-559.11,543.261,1407.78
-543.267,544.772,1412.28
-531.401,545.795,1418.37
-521.409,547.359,1423.9
-514.567,547.863,1429.03
-510.678,547.969,1435.69
-510.69,547.748,1445.01
-514.555,547.383,1453.36
-523.026,547.092,1463.57
-532.051,548.01,1473
-544.241,547.268,1482.64
-562.116,547.267,1495.64
-579.13,548.606,1509.09
-596.128,547.992,1520.61
-615.703,547.562,1534.18
-634.741,547.591,1546.78
-651.949,547.975,1556.4
-663.858,548.768,1561.34
-689.353,546.305,1564.27
-686.844,546.841,1558.17
-672.14,543.332,1543.38
-663.519,543.589,1537.19
-653.572,542.373,1528.76
-646.882,544.175,1523.8
-640.518,545.126,1518.74
-633.233,543.797,1510.26
-627.824,543.792,1503.02
-624.417,543.423,1495.74
-622.179,541.475,1486.45
-624.749,542.173,1479.87
-628.107,541.889,1471.64
-632.761,540.125,1461.71
-643.958,540.487,1452.7
-659.321,540.083,1440.58
-676.203,538.202,1428.15
-693.671,536.682,1413.34
-706.711,536.085,1400.89
-719.453,534.994,1385.34
-732.433,533.268,1370.77
-795.495,542.208,1490.75
-814.272,541.881,1476.75
-661.299,536.22,1386.91
-658.457,536.543,1382.2
-653.987,536.351,1380.05
-645.751,535.841,1377.18
-638.978,536.374,1380.64
-629.508,538.228,1385.44
-618.231,540.275,1389.38
-607.465,539.939,1394.89
-594.746,541.251,1403.71
-579.857,540.631,1412.28
-565.368,540.298,1418.75
-554.168,540.768,1427.02
-542.839,541.67,1435.73
-531.247,543,1442.7
-525.082,544.027,1451.25
-518.131,544.941,1455.54
-513.52,542.576,1461.28
-510.714,543.383,1466.82
-510.761,544.063,1469.69
-510.505,544.127,1470.83
-513.273,544.218,1473.48
-518.315,545.624,1476.3
-524.201,546.358,1476
-531.226,545.856,1473.3
-541.79,546.186,1472.57
-552.728,545.655,1471.69
-564.652,545.341,1469.31
-579.596,544.836,1465.9
-595.432,544.006,1464
-609.776,541.735,1458.37
-625.134,540.668,1452.45
-633.631,541.279,1450.37
-640.456,540.582,1451.27
-642.263,539.489,1449.32
-643.73,540.356,1451.59
-643.466,540.957,1455.73
-638.812,543.112,1460.25
-634.386,544.23,1465.35
-627.026,544.101,1468.44
-617.683,545.085,1473.15
-609.728,544.716,1478.89
-598.922,543.571,1484.01
-591.141,542.658,1488.36
-584.385,542.72,1492.66
-577.858,542.039,1495.7
-574.082,542.09,1502.31
-570.677,543.276,1505.58
-566.391,542.889,1507.67
-564.724,541.966,1511.31
-566.298,543.163,1513.5
-568.388,543.84,1514.26
-573.171,544.068,1516.71
-580.002,544.136,1519.64
-587.275,544.214,1516.64
-597.553,544.783,1515.7
-610.384,545.042,1510.24
-620.876,543.587,1504.54
-634.24,545.166,1500.85
-644.445,543.887,1495.22
-656.06,542.143,1491.16
-666.509,540.488,1487.48
-672.889,540.506,1483.69
-677.338,541.459,1480.63
-681.632,539.792,1474.11
-682.873,541.343,1470.32
-682.199,540.829,1466.55
-680.232,539.872,1461.85
-676.063,538.787,1458.06
-668.069,538.94,1452.56
-659.575,539.413,1449.44
-650.436,539.684,1447.26
-640.313,540.565,1447.42
-627.795,541.638,1446.28
-616.595,541.111,1445.66
-604.111,540.561,1444.75
-594.175,539.677,1446.27
-582.657,539.59,1444.95
-574.122,540.234,1444.88
-566.397,538.663,1444.82
-561.76,539.044,1446.36
-558.334,539.328,1447.36
-556.224,540.767,1447.12
-557.348,540.281,1449.12
-559.282,538.417,1448.52
-563.421,540.057,1452.73
-569.653,540.717,1457
-575.581,540.815,1457.88
-583.822,539.084,1457.03
-598.013,540.017,1458.69
-613.371,540.933,1460.01
-629.321,540.42,1462.02
-645.669,539.925,1461.7
-659.782,540.78,1462.22
-674.957,540.489,1462.91
-688.279,539.328,1464.26
-701.979,539.93,1467.17
-711.459,541.347,1472.17
-720.537,542.394,1480.95
-727.035,541.829,1484.91
-734.095,540.49,1494.58
-735.872,541.67,1502.86
-737.876,542.106,1516.86
-737.323,542.575,1529.65
-734.605,542.099,1539.79
-729.098,543.795,1550.95
-723.556,544.309,1565.49
-718.073,543.648,1578.44
-710.919,544.253,1589.79
-706.871,543.469,1600.17
-703.289,544.532,1611.77
-701.933,545.57,1618.66
-700.454,546.671,1626.35
-698.15,547.035,1627.53
-698.72,547.466,1628.54
-701.117,548.421,1630.36
-704.503,548.335,1631.91
-710.855,548.818,1628.77
-718.815,547.847,1624.02
-726.631,548.238,1618.51
-737.499,548.685,1613.6
-747.725,546.557,1606.32
-755.708,546.716,1595.45
-766.049,545.596,1586.73
-773.543,543.653,1576.03
-777.969,544.269,1566.42
-780.938,544.4,1554.62
-780.316,542.19,1544.61
-777.546,542.01,1535.39
-772.082,541.612,1529.84
-765.073,542.545,1523.67
-755.486,541.428,1520.97
-742.409,541.559,1517.1
-727.835,542.055,1515.51
-712.375,542.121,1516.74
-696.066,543.36,1518.7
-680.766,542.628,1518.76
-665.76,544.712,1519.33
-652.833,543.838,1521.12
-639.151,543.759,1519.39
-632.661,544.789,1517.54
-627.707,544.518,1514.68
-624.428,544.012,1511.92
-622.8,543.56,1507.43
-624.478,544.271,1503.96
-629.829,544.209,1501.44
-634.064,543.788,1493.51
-642.485,542.413,1487.32
-650.747,543.382,1480.84
-662.045,543.729,1472.97
-673.389,540.38,1462.48
-686.362,541.724,1453.63
-699.655,541.128,1445.53
-710.523,540.883,1436.34
-720.378,540.263,1426.81
-728.716,537.916,1415.85
-736.247,537.313,1408.9
-743.452,535.858,1405.74
-749.01,535.213,1405.72
-751.423,534.826,1405.13
-754.77,535.649,1410.71
-758.051,537.094,1421.21
-756.143,536.841,1430.08
-753.067,536.304,1438.71
-748.438,537.925,1453.46
-741.823,537.88,1466.12
-732.777,539.352,1479.32
-726.341,539.508,1497.63
-717.785,540.868,1512.06
-711.266,540.282,1523.88
-709.645,541.959,1537.73
-710.026,542.118,1551.61
-712.71,542.518,1563.24
-715.825,542.143,1571.43
-719.664,542.207,1576.98
-724.83,543.935,1582.44
-733.514,543.99,1586.72
-741.952,545.101,1591.74
-754.539,547.443,1595.94
-767.13,548.029,1599.26
-780.577,549.168,1600.39
-794.434,549.18,1600.95
-807.062,548.238,1599.83
-819.028,547.189,1596.82
-825.635,547.97,1593.57
-834.52,544.543,1589.62
-840.843,544.216,1589.95
-842.492,545.343,1585.47
-841.495,545.851,1581.55
-838.186,546.705,1578.31
-835.579,545.424,1575.04
-828.408,543.919,1572.57
-817.713,544.687,1570.71
-803.945,545.687,1568.45
-789.764,544.46,1568.49
-773.602,545.042,1568.99
-757.446,543.635,1567.46
-742.263,542.232,1566.98
-728.81,541.54,1568.42
-716.096,542.611,1567.59
-706.638,542.856,1564.34
-698.119,543.455,1561.07
-689.278,543.208,1555.84
-683.776,542.577,1547.97
-679.896,542.324,1540.54
-679.633,542.604,1533.62
-679.61,542.607,1521.52
-682.103,542.083,1510.1
-687.114,541.111,1498.7
-693.91,540.144,1487.33
-702.665,539.737,1475.43
-713.616,538.829,1464.78
-731.084,533.851,1410.26
-729.376,533.474,1395.67
-642.246,539.267,1470.2
-633.106,538.889,1481.34
-625.84,539.854,1492.05
-621.208,541.208,1502.01
-617.025,541.944,1510.51
-614.759,541.879,1516.54
-613.961,542.768,1522.09
-616.091,543.389,1528.63
-620.071,543.449,1536.13
-627.552,543.973,1540.73
-639.274,543.32,1544.23
-652.934,544.964,1547.35
-669.214,543.4,1548.92
-689.945,543.669,1552.02
-708.603,543.655,1551.2
-726.095,544.176,1553.03
-741.582,542.919,1550.31
-756.117,542.009,1549.72
-766.674,541.522,1545.46
-775.525,541.775,1543.03
-784.206,541.254,1544.97
-787.873,541.81,1548.84
-791.131,542.027,1553.26
-790.841,542.762,1558.33
-787.828,544.096,1565.8
-780.768,544.527,1571.57
-771.198,542.93,1576.65
-761.126,544.626,1584.53
-750.307,545.449,1593.35
-738.254,546.335,1604.19
-726.774,546.221,1613.35
-715.504,545.215,1618.76
-705.46,545.591,1623.02
-698.051,545.684,1628.61
-691.389,545.91,1632.06
-688.066,546.074,1633.13
-683.86,545.331,1629.68
-681.325,545.723,1625.14
-680.45,544.506,1617.76
-680.543,544.261,1608.47
-684.221,544.1,1599.15
-689.708,544.392,1588.48
-696.47,545.16,1577.8
-704.039,545.623,1565.09
-713.148,545.169,1552.31
-719.395,543.101,1534.76
-725.758,541.733,1517.79
-730.175,540.674,1501.8
-733.891,540.231,1489.21
-730.001,538.93,1467.16
-612.659,543.748,1488.57
-605.089,546.281,1496.88
-599.828,547.016,1503.24
-596.939,546.551,1510.64
-595.709,545.284,1517.69
-596.589,546.177,1525.38
-602.527,546.983,1532.97
-613.798,547.774,1542.36
-625.803,547.381,1549.47
-640.804,546.623,1556
-658.578,545.778,1563.22
-678.776,545.618,1570.45
-700.624,544.768,1577.47
-718.548,544.3,1586.1
-735.305,544.873,1594.55
-750.055,545.386,1601.64
-761.5,545.043,1607.24
-769.356,545.684,1610.71
-774.896,545.361,1615.85
-777.62,546.504,1619.32
-776.213,546.569,1623.61
-772.686,546.889,1627.4
-766.836,548.158,1629.95
-757.658,549.589,1634.49
-745.984,549.086,1638.86
-735.354,549.933,1642.22
-723.001,549.445,1645.88
-711.723,547.874,1649.03
-704.079,547.822,1651.83
-694.131,547.824,1649.94
-687.847,547.556,1649.57
-685.328,547.758,1648.4
-681.726,547.347,1645.52
-681.206,548.07,1638.89
-681.183,547.545,1629.71
-683.612,546.374,1620.23
-689.359,545.869,1608.25
-694.992,546.787,1594.41
-703.053,546.642,1581.36
-708.141,546.08,1563.08
-714.47,546.01,1547.47
-719.424,545.902,1532.84
-723.513,544.802,1520.57
-724.038,543.827,1508.43
-723.501,544.557,1500.22
-721.343,542.789,1490.46
-716.236,542.687,1482.63
-711.154,542.284,1477.98
-702.854,541.753,1476.12
-694.599,542.548,1478.16
-681.432,541.57,1478.32
-668.748,542.036,1482.9
-653.839,543.932,1491.18
-639.276,544.539,1498.61
-625.707,545.885,1507.46
-613.771,545.703,1515.14
-604.674,547.24,1523.73
-597.926,547.751,1531.71
-594.811,547.954,1539.82
-595.055,548.767,1547.19
-597.514,550.252,1555.51
-603.393,551.786,1565.89
