x,y,z
-899.93,239.897,1251.51
-884.838,225.52,1243.84
-872.687,221.623,1245.59
-859.618,220.442,1254.74
-847.724,219.782,1267.14
-809.941,215.523,1339.11
-810.046,220.356,1354.88
-873.369,214.511,1386.07
-838.641,219.281,1409.88
-824.435,222.942,1415.46
-810.825,224.239,1419.77
-799.611,228.762,1422.74
-787.008,228.272,1426.06
-775.541,229.915,1427.89
-769.137,230.011,1429.78
-762.607,228.867,1431.51
-757.271,226.349,1432.12
-752.861,227.077,1433.96
-750.599,228.165,1434.48
-745.143,213.945,1429.23
-753.885,219.704,1426.23
-762.996,224.681,1424.79
-777.782,227.331,1416.92
-787.731,227.311,1410.53
-803.705,228.086,1401.94
-812.939,218.036,1391.8
-829.225,217.861,1385.95
-843.647,218.462,1380.77
-857.709,217.672,1377
-867.71,211.213,1360.19
-876.352,209.958,1344.37
-885.491,210.017,1335.68
-890.187,207.128,1328.75
-890.347,212.454,1330.43
-888.346,212.29,1334.97
-885.233,213.791,1341.07
-880.285,213.605,1345.18
-875.088,210.945,1353.22
-869.923,211.518,1360.03
-864.426,211.692,1368.79
-858.579,213.058,1380.53
-853.571,210.826,1390.51
-849.408,213.293,1401.42
-839.267,214.162,1416.64
-831.574,207.262,1425.17
-823.415,202.398,1439.52
-819.504,199.578,1454.5
-815.122,205.589,1474.29
-815.694,212.457,1490.58
-815.726,216.481,1506.48
-815,223.152,1516.84
-814.906,220.092,1518.69
-816.772,224.164,1520.21
-818.943,211.314,1518.71
-819.975,219.258,1519.29
-820.835,223.93,1506.66
-824.655,230.127,1496.72
-824.52,235.021,1484.43
-825.336,237.26,1468.51
-827.6,232.45,1449.87
-827.283,229.735,1431.64
-825.932,226.345,1414.65
-824.206,222.449,1398.82
-826.64,220.646,1384.5
-830.505,219.19,1372.93
-832.199,216.629,1363.49
-836.029,213.839,1357.43
-839.67,212.138,1356.86
-844.764,212.63,1358.65
-848.271,212.266,1364.17
-849.652,213.462,1373.98
-850.604,214.067,1385.01
-848.745,216.477,1400.99
-844.159,217.614,1419.73
-842.611,218.869,1436.99
-837.617,207.471,1447.69
-829.852,198.949,1462.02
-824.565,189.871,1477.99
-818.061,187.833,1496.16
-813.649,186.616,1513.43
-815.066,190.833,1528.02
-818.055,178.288,1534.37
-833.855,175.221,1584.64
-845.011,174.245,1592.7
-843.082,196.059,1582.82
-841.946,196.262,1574.47
-847.242,199.357,1574.09
-850.218,210.518,1577.22
-862.65,213.63,1568.02
-877.739,234.52,1559.2
-905.251,253.849,1552.48
-912.257,260.459,1544.51
-921.326,249.689,1540.97
-927.466,236.405,1533.3
-932.366,230.171,1522.76
-939.133,225.813,1511.76
-938.784,222.31,1502.35
-937.08,220.321,1491.94
-928.73,216.792,1479.94
-918.891,217.996,1469.18
-905.357,220.689,1462.86
-891.225,223.824,1454.4
-870.571,223.403,1449.35
-851.558,224.777,1440.45
-833.812,224.961,1438.68
-818.739,224.821,1434.15
-805.456,223.301,1433.54
-798.159,222.268,1434.66
-791.086,222.186,1436.66
-777.593,212.262,1430.08
-778.132,219.145,1431.2
-779.03,225.935,1431.17
-780.63,231.708,1427.18
-785.279,235.732,1418.85
-785.358,220.238,1406.98
-792.534,224.779,1392.42
-798.243,225.564,1377.04
-802.901,224.651,1365.11
-806.216,216.599,1349.39
-803.422,195.161,1331.63
-807.757,187.796,1317.95
-813.916,177.818,1308.63
-816.783,181.726,1291.87
-823.596,185.644,1272.12
-826.983,187.081,1262.29
-828.667,185.377,1260.92
-826.64,185.657,1266.41
-827.757,189.11,1273.02
-831.207,192.727,1279.81
-829.904,194.417,1288.95
-830.6,197.961,1297.02
-830.497,200.258,1307.05
-827.124,205.415,1319.28
-824.402,206.537,1331.56
-822.456,208.78,1345.5
-820.793,210.963,1358.38
-821.56,213.147,1367.88
-820.122,215.828,1378.69
-820.869,217.146,1391.79
-821.18,221.218,1401.41
-823.474,226.175,1407.28
-827.719,230.244,1409.67
-833.591,231.455,1410.94
-841.171,229.465,1407.37
-843.733,216.741,1400.58
-913.563,207.941,1419.52
-907.247,210.262,1436.1
-895.44,200.411,1447.56
-881.444,197.779,1463.62
-869.755,194.943,1483.04
-865.221,194.513,1501.6
-857.149,197.766,1521.62
-856.38,202.846,1540.98
-851.085,207.475,1557.14
-849.466,207.939,1570.84
-846.929,200.365,1585.96
-846.636,205.05,1600.26
-847.896,199.605,1606.86
-848.674,204.863,1614.91
-854.924,209.121,1618.57
-862.248,219.565,1620.72
-879.297,222.085,1612.63
-891.495,224.968,1610.8
