x,y,z
-450.266,-63.6537,801.186
-474.928,-74.5054,809.223
-495.832,-81.2617,823.55
-509.778,-80.7487,837.76
-513.274,-78.6133,852.672
-512.443,-74.3599,875.386
-510.473,-69.5452,900.223
-513.18,-66.9358,925.822
-515.577,-66.4829,957.193
-516.137,-68.5448,980.298
-522.201,-71.8633,1000.74
-527.661,-77.3181,1015.71
-531.208,-83.3295,1029.67
-535.711,-89.4683,1043.99
-540.224,-92.3087,1052.26
-540.42,-92.5026,1052.43
-542.427,-91.3282,1048.48
-543.376,-89.1438,1043.73
-544.751,-82.1123,1031
-546.527,-79.0557,1019.06
-547.932,-74.4057,1006.73
-550.824,-71.0148,999.531
-550.339,-65.5175,995.308
-548.608,-62.7968,995.232
-541.643,-62.2731,1004.05
-537.863,-64.6959,1012.33
-538.133,-70.3679,1028.55
-536.788,-77.5065,1046.95
-536.128,-84.7198,1064.24
-541.755,-91.3781,1084.03
-550.513,-95.8051,1104.51
-560.062,-106.988,1119.91
-565.973,-102.188,1137.2
-576.484,-101.756,1149.09
-586.096,-83.2072,1158.33
-599.289,-75.8259,1162.72
-615.959,-75.9946,1157.81
-629.747,-81.3763,1137.69
-637.678,-91.1971,1110.16
-637.644,-100.732,1078.37
-636.486,-101.611,1051.77
-627.882,-99.4237,1022.24
-616.148,-96.0208,995.116
-597.686,-87.197,963.836
-576.991,-77.4605,941.226
-551.479,-65.0398,924.996
-532.657,-58.8022,921.14
-520.149,-56.5342,921.386
-507.93,-55.3299,928.098
-499.982,-59.0517,942.532
-494.276,-67.8902,964.503
-494.201,-75.5536,985.157
-500.048,-82.1223,1002.62
-508.089,-86.6107,1014.43
-518.296,-91.8114,1025.06
-526.637,-94.1612,1029.05
-533.576,-83.4823,1030.62
-539.509,-85.0738,1020.62
-542.885,-87.5238,1007.42
-544.256,-88.5975,990.077
-542.219,-86.2679,967.012
-540.045,-82.5728,944.056
-532.02,-76.3875,917.149
-525.551,-71.9736,901.283
-511.591,-64.0141,885.21
-493.879,-55.2986,876.15
-480.652,-49.7422,880.276
-459.2,-44.499,909.92
-459.636,-52.0706,931.124
-488.969,-75.9552,1005.19
-506.623,-89.4726,1043.72
-521.704,-99.0913,1079.56
-533.948,-104.485,1112.2
-543.846,-107.588,1134.43
-562.248,-115.815,1156.72
-581.534,-108.002,1174.12
-600.591,-96.964,1187.59
-621.235,-86.1741,1195.38
-644.034,-79.4293,1200.62
-661.115,-75.0683,1199.66
-669.601,-98.366,1195.26
-683.547,-109.377,1190.44
-691.858,-114.132,1186.02
-701.622,-114.435,1182.62
-708.034,-111.761,1184.51
-711.1,-111.195,1187.42
-650.717,-128.373,1249.04
-566.14,-55.7336,1028.72
-556.904,-53.5729,1027.37
-551.265,-52.3024,1028.54
-547.321,-52.8907,1033.85
-547.988,-54.4376,1043.76
-546.942,-55.7432,1057.2
-547.453,-56.9142,1070.76
-548.637,-63.0136,1082.43
-549.559,-62.8393,1096.96
-555.394,-63.6935,1114.8
-562.282,-64.9804,1129.24
-571.725,-70.2706,1141.2
-581.995,-69.4747,1153.35
-594.5,-71.6391,1161.46
-608.785,-67.5542,1172.39
-618.624,-75.8219,1178.62
-623.924,-86.6994,1170.71
-633.284,-95.9436,1153.12
-636.747,-98.9234,1131.93
-640.825,-92.9828,1105.67
-644.325,-83.8371,1080
-646.259,-72.114,1054.38
-639.018,-62.9776,1015.76
-630.331,-60.5135,990.092
-620.629,-57.0368,967.024
-608.68,-54.3433,950.742
-597.309,-53.0841,938.017
-585.216,-51.9597,930.031
-572.883,-49.2946,924.99
-561.212,-46.5793,921.759
-553.075,-45.6407,922.287
-549.635,-45.9079,925.937
-551,-47.3617,934.662
-556.317,-54.9644,953.268
-564.775,-62.6868,979.354
-570.802,-66.2518,999.711
-583.469,-73.1091,1026.87
-599.65,-68.7626,1065.99
-611.135,-78.2293,1096.06
-622.033,-72.3488,1119.52
-629.134,-79.1563,1136.84
-634.343,-82.6075,1146.66
-641.612,-77.8056,1148.81
-649.265,-69.9628,1142.36
-652.232,-69.5191,1131.58
-652.407,-74.6444,1118.32
-647.142,-69.5147,1083.49
-646.096,-61.385,1044.35
-641.223,-53.5902,1017.03
-638.565,-47.8871,994.541
-638.135,-39.3527,973.645
-638.987,-30.5495,953.483
-636.768,-26.4903,938.957
-636.805,-23.9405,929.461
-637.999,-26.7116,926.992
-639.001,-36.0693,933.538
-635.054,-43.5686,941.826
-635.794,-53.2637,951.412
-633.415,-60.1214,966.796
-632.247,-69.8572,988.028
-628.906,-75.9746,1005.5
-507.02,-53.1763,954.35
-606.655,-70.1038,994.178
-621.033,-74.6341,1024.82
-636.163,-76.3161,1053.02
-647.33,-77.104,1071.32
-662.872,-79.0497,1092.52
-681.17,-80.7017,1110.02
-702.149,-82.4931,1127.61
-715.566,-88.7015,1133.46
-728.267,-80.7178,1141.48
-729.515,-100.376,1135.82
-741.689,-82.7049,1137.68
-752.208,-82.6025,1128.16
-755.985,-79.271,1111.59
-755.826,-86.8569,1092.49
-707.508,-43.57,1024.41
-692.082,-38.9819,1021.58
-675.641,-33.7806,1024.02
-659.566,-33.6201,1029.31
-648.791,-38.2016,1037.79
-634.013,-44.1439,1048.79
-621.166,-58.9186,1082.65
-617.433,-64.9638,1097.61
-619.344,-78.3371,1108.76
-619.876,-82.3125,1116.7
-620.793,-77.0031,1116.59
-624.617,-83.1167,1104.38
-628.738,-77.3935,1075.72
-626.149,-63.3118,1055.89
-624.305,-61.6244,1029.21
-619.839,-60.8442,1002.98
-615.528,-57.8519,977.271
-609.117,-50.3079,952.722
-602.022,-43.622,928.281
-592.432,-39.7316,907.758
-585.055,-36.7486,894.659
-579.127,-35.1921,887.401
-571.324,-36.8264,889.667
-570.308,-38.9968,901.255
-566.364,-43.6812,925.692
-564.625,-46.1573,946.214
-564.542,-53.3362,968.23
-566.723,-58.8289,988.836
-568.833,-62.8413,1003.25
-573.987,-67.8735,1022.51
-579.356,-73.2621,1038.57
-582.845,-75.1367,1046.07
-582.23,-71.8128,1044.69
-577.894,-68.7468,1035.31
-571.293,-65.4559,1025.67
-566.766,-62.0931,1015.76
