x,y,z
-459.318,-37.543,1056.83
-459.953,-42.8239,1061.85
-453.328,-46.3771,1071.86
-445.038,-46.0302,1081.49
-428.799,-48.8877,1104.34
-409.665,-50.3475,1131.68
-392.943,-49.1081,1160.39
-384.319,-48.0217,1181.35
-375.145,-47.033,1200.49
-369.082,-45.958,1213.84
-364.352,-43.6895,1221.13
-361.63,-43.0588,1225.6
-362.89,-42.8546,1228.19
-368.294,-40.9379,1228.15
-382.934,-43.4216,1228
-394.131,-43.878,1228.24
-408.572,-45.8366,1228.71
-419.229,-46.8363,1227.19
-436.503,-50.5812,1225.07
-452.679,-52.6487,1224.08
-466.071,-53.9314,1224.39
-479.272,-54.6574,1225.55
-483.902,-53.4502,1227.62
-483.454,-51.0398,1229.48
-475.535,-48.0425,1233.78
-469.54,-45.3461,1236.52
-460.302,-44.4941,1243.74
-449.952,-46.479,1253.63
-444.181,-46.9055,1262.15
-438.723,-48.2126,1267.82
-430.72,-48.2984,1276.73
-427.962,-49.4774,1285.52
-427.55,-48.4866,1290.91
-427.324,-47.9957,1291.63
-425.201,-47.7776,1292.41
-422.314,-46.4519,1287.33
-424.574,-44.6189,1274.98
-430.192,-40.8841,1256.33
-441.309,-41.8107,1237.14
-448.714,-42.5329,1222.25
-459.851,-44.3821,1210.73
-469.42,-46.8542,1201.26
-476.24,-49.5808,1192.84
-474.854,-50.42,1185.76
-474.252,-49.7596,1181.73
-471.299,-48.2185,1179.68
-468.007,-44.7758,1177.41
-464.349,-40.2577,1176.1
-460.474,-37.1451,1175.48
-456.129,-35.3891,1179.72
-451.651,-35.36,1185.71
-451.525,-35.2308,1192.59
-448.68,-35.7001,1196.72
-444.102,-34.6656,1197.6
-443.168,-35.2274,1196.49
-439.795,-35.6468,1194.03
-441.594,-35.7518,1188.68
-448.935,-38.1019,1184.15
-453.969,-38.2613,1177.22
-462.853,-37.4749,1166.55
-479.883,-40.5403,1156.41
-497.242,-41.2086,1146.84
-509.754,-36.5952,1131.52
-519.116,-34.8968,1123.06
-527.053,-30.7344,1116.97
-528.439,-23.8608,1110.58
-529.241,-14.3855,1108.31
-520.151,-9.9749,1127.41
-516.914,-11.61,1141.51
-510.171,-22.4589,1187.14
-505.049,-29.6865,1215.71
-498.335,-34.3324,1238.93
-497.213,-38.9741,1257.13
-486.693,-44.4435,1273.86
-479.969,-47.0231,1288.24
-475.956,-47.0227,1296.57
-472.838,-47.4361,1300.28
-473.201,-46.8749,1302.32
-477.272,-47.4243,1303.2
-481.651,-45.7505,1302.37
-484.576,-45.0864,1301.52
-488.675,-46.0026,1299.29
-493.625,-46.6152,1297.64
-498.247,-46.5076,1296.88
-497.389,-44.1366,1295.5
-498.27,-45.0486,1294.04
-463.338,-41.876,1295.17
-503.727,-59.7115,1209.66
-508.681,-60.6988,1205.52
-514.913,-57.9135,1201.59
-516.871,-54.5228,1200
-518.718,-51.7791,1201.1
-517.891,-49.8933,1205.98
-512.423,-47.5932,1210.63
-504.838,-46.9409,1219.97
-498.911,-46.4074,1228.89
-492.519,-46.7758,1239.3
-485.199,-49.4498,1249.49
-478.237,-51.9131,1259.63
-473.089,-54.4405,1267.73
-467.638,-53.9152,1276.84
-466.873,-53.6356,1286
-466.932,-53.1052,1288.18
-468.944,-52.7866,1282.23
-472.986,-51.4478,1270.59
-480.936,-52.0429,1255.46
-489.116,-50.9086,1239.43
-497.642,-47.6812,1219.41
-508.485,-51.1844,1199.67
-520.187,-51.6016,1177.39
-528.249,-49.9696,1156.86
-539.318,-49.1289,1140.35
-545.81,-49.033,1127.31
-553.208,-47.2672,1117.54
-553.295,-46.6328,1112.14
-556.179,-44.8962,1107.64
-553.163,-41.6426,1106.42
-548.967,-40.523,1109.05
-542.574,-40.3298,1114.11
-536.241,-41.2679,1125.39
-525.359,-44.2373,1143.32
-508.503,-47.015,1164.73
-497.871,-49.2774,1178.88
-487.678,-51.9369,1195.82
-478.939,-52.3783,1212.1
-469.948,-52.0645,1228.1
-464.737,-51.6664,1237.58
-463.326,-50.8727,1244.27
-461.772,-49.8802,1246.28
-462.083,-50.2991,1246.87
-468.709,-52.2064,1246.51
-474.83,-51.6295,1242.96
-480.253,-51.379,1239.04
-490.236,-51.327,1232.57
-503.383,-52.0457,1223.64
