x,y,z
-525.942,264.058,1084.67
-526.187,259.389,1081.6
-524.911,256.283,1086.05
-524.339,255.775,1095.09
-516.144,252.046,1114.31
-501.657,249.635,1138.2
-488.069,249.851,1166.35
-480.25,250.467,1189.18
-471.535,252.132,1210.85
-467.437,252.885,1224.97
-464.586,253.609,1233.95
-465.047,253.137,1239.37
-467.743,252.607,1242.97
-474.214,253.417,1244.8
-487.638,252.107,1246.27
-498.36,252.116,1247.85
-511.706,250.997,1246.47
-522.255,250.051,1245.01
-536.731,248.541,1241.29
-551.449,247.246,1239.77
-562.32,246.8,1237.78
-572.218,246.914,1238.23
-576.541,247.86,1240.73
-577.348,249.407,1245.34
-569.863,251.348,1252.34
-564.493,253.447,1258.12
-555.607,253.522,1264.74
-546.689,251.41,1271.67
-539.815,251.858,1279.02
-533.45,251.027,1283.67
-525.792,250.278,1289.35
-523.951,249.179,1296.59
-524.746,249.54,1302.45
-526.808,248.994,1304.68
-527.962,247.708,1305.52
-529.816,247.133,1301.82
-536.248,247.282,1294.33
-544.775,248.866,1279.89
-555.252,248.112,1262.8
-561.751,247.848,1246.58
-570.41,246.68,1234.58
-577.016,245.55,1221.12
-579.162,245.01,1207.44
-573.812,246.275,1194.4
-569.818,248.431,1187.55
-561.3,251.842,1185.36
-554.81,254.967,1187.55
-550.603,258.715,1191.93
-544.844,261.636,1196.46
-539.423,262.823,1205.47
-534.1,262.989,1216.08
-533.377,263.577,1226.66
-532.388,262.852,1233.32
-530.884,263.518,1236.1
-529.859,263.683,1235.27
-527.956,263.1,1231.68
-531.114,262.965,1226.87
-536.798,261.883,1221.73
-541.923,261.902,1214.03
-549.02,263.043,1205.18
-562.604,260.908,1194.36
-575.238,260.998,1184.51
-584.532,263.847,1172.89
-592.345,264.642,1166.42
-597.67,267.264,1163.54
-601.06,271.896,1163.57
-603.228,277.212,1168.02
-600.486,278.098,1188.34
-596.392,277.907,1200.36
-588.71,269.242,1237.24
-586.616,263.753,1257.63
-584.099,259.648,1274.73
-585.591,255.358,1287.63
-583.123,250.031,1298.43
-584.132,246.001,1310.1
-586.502,244.02,1318.42
-587.892,241.908,1321.68
-592.646,240.744,1325.32
-599.71,239.034,1326.73
-606.871,239.068,1324.31
-612.044,238.061,1321.45
-619.64,235.503,1318.89
-626.733,233.396,1316.89
-632.467,232.638,1315.83
-634.087,233.045,1315.48
-634.874,232.363,1314.27
-599.447,236.051,1328.13
-593.781,241.441,1211.76
-593.913,242.133,1205.67
-594.988,245.312,1204.1
-593.228,248.836,1205.23
-593.687,251.662,1209.63
-591.097,253.103,1218.11
-586.762,254.447,1224.76
-580.514,254.816,1233.54
-576.488,254.94,1242.95
-575.474,253.366,1254.89
-574.13,250.165,1264.08
-572.366,246.449,1273.13
-570.378,243.379,1279.31
-569.871,241.854,1287.19
-572.54,240.674,1295.01
-576.821,239.493,1297.59
-581.965,239.065,1294.56
-588.676,239.104,1284.59
-596.733,238.2,1271.93
-606.369,238.128,1257.92
-614.837,240.121,1243.39
-622.992,238.596,1225.27
-630.913,239.896,1204.04
-636.551,242.452,1187.71
-642.552,244.679,1174.01
-643.425,246.378,1161.42
-645.935,249.239,1151.96
-641.953,250.938,1144.52
-640.14,252.931,1140.2
-637.3,255.06,1140.17
-631.344,256.464,1141.39
-625.678,256.363,1145.78
-620.791,256.278,1153.9
-613.4,253.88,1167.38
-601.39,250.825,1183.05
-593.615,248.524,1193.8
-586.446,245.608,1208.51
-581.046,243.458,1223.22
-576.793,241.533,1238.51
-573.996,240.922,1247.28
-573.167,241.058,1254.24
-573.241,241.504,1257.86
-575.411,240.573,1259.88
-581.619,239.88,1261.27
-586.799,240.922,1259.87
-591.574,241.628,1258.73
-599.612,242.004,1252.91
-610.308,242.815,1244
-617.36,243.385,1238.06
-625.441,244.286,1233.66
-635.427,242.971,1229.44
-641.825,241.252,1224.01
-646.5,240.211,1219.43
-649.064,239.591,1215.31
-651.397,238.78,1210.93
-651.708,239.78,1208.08
-648.96,239.998,1205.56
-648.052,239.728,1205.69
-643.219,241.652,1204.54
-634.6,243.335,1205.21
-625.713,245.049,1208.58
-569.513,271.113,1174.36
-636.054,244.588,1217.06
-636.894,241.713,1237.75
-637.187,238.853,1256.08
-638.771,238.23,1268.9
-643.761,237.648,1282.52
-646.108,236.54,1295.24
-650.744,235.339,1301.55
-654.21,233.674,1303.07
-659.623,233.537,1301.04
-664.625,232.571,1298.73
-668.836,232.345,1293.38
-675.222,231.596,1287.53
-681.942,230.227,1284.65
-685.534,229.755,1280.97
-668.225,234.338,1274.54
-657.12,235.321,1277.37
-640.096,236.683,1279.9
-623.55,238.394,1282.02
-609.879,238.398,1285.58
-592.38,239.115,1290.01
-570.576,241.954,1292.62
-561.661,244.063,1290.2
-558.206,245.391,1288.48
-556.873,246.237,1283.07
-556.267,245.234,1275.72
-559.842,245.199,1263.79
-566.974,246.656,1250.08
-573.873,246.718,1237.18
-579.895,246.988,1224.8
-583.632,247.115,1213.49
-586.686,246.86,1200.76
-591.252,246.45,1189.4
-595.188,244.969,1178.65
-595.797,243.533,1170.21
-597.467,246.239,1164.77
-596.74,247.599,1162.59
-598.534,250.076,1165.75
-597.878,250.898,1171.59
-590.653,253.357,1183.59
-586.767,253.602,1193.76
-579.933,251.94,1204.62
-573.084,250.745,1215.17
-566.444,248.901,1221.68
-559.703,247.023,1230.55
-555.053,246.935,1238.2
-551.214,247.093,1241.91
-548.049,247.517,1243.69
-546.859,248.53,1243.69
-545.596,250.674,1242.14
-545.173,251.648,1240.25
-547.83,251.864,1236.79
-552.388,255.294,1230.13
-557.179,256.655,1224.7
-561.14,256.817,1217.64
-568.082,258.36,1207.42
-574.769,257.325,1196.34
-584.886,256.369,1186.01
-595.434,253.962,1175.42
-602.48,254.444,1168.56
-609.001,253.418,1163.7
-615.478,252.776,1157.6
-620.532,250.175,1151.88
-624.294,247.284,1148.34
-626.096,245.799,1145.68
-626.449,246.527,1146.32
-625.643,246.114,1146.6
-621.505,247.86,1150.24
-617.215,250.19,1153.59
-612.481,252.447,1157.47
-606.03,254.586,1161.75
-594.631,257.551,1168.85
-588.271,258.208,1177.12
-584.159,258.24,1186.94
-576.124,259.903,1191.94
-565.567,256.778,1200.1
-558.501,253.646,1208.17
-554.698,250.851,1219.69
-552.345,248.988,1226.74
-549.669,248.609,1230.8
-548.386,247.274,1233.52
-548.974,246.329,1235.68
-551.063,246.519,1237.47
-552.899,246.903,1237.11
-555.855,247.087,1235.5
-560.398,247.311,1231.81
-569.255,249.325,1225.82
-576.489,249.111,1220.27
-584.723,248.948,1214.44
-592.958,250.043,1209.86
-599.663,249.299,1204.46
-608.579,250.896,1198.44
-618.75,250.464,1192.35
-632.588,248.787,1187.65
-640.777,248.371,1183.87
-648.481,247.786,1181.62
-652.919,246.878,1178.39
-654.399,245.955,1175.63
-655.511,246.072,1176.36
-652.742,247.203,1176.44
-648.65,248.809,1182.32
-638.015,249.607,1187.03
-625.088,251.719,1195.35
-611.532,253.158,1202.37
-603.368,253.816,1208.58
-590.244,253.444,1213.73
-577.137,252.947,1218.56
-566.643,252.886,1226.91
-558.737,251.938,1236.32
