x,y,z
-497.879,255.97,1183.4
-496.943,255.507,1179.94
-491.416,255.37,1183.42
-481.775,256.562,1190.28
-465.74,256.345,1205.96
-446.4,256.668,1227.46
-427.099,258.866,1250.78
-414.75,259.779,1270.31
-402.621,261.728,1288.82
-396.495,263.071,1301.58
-393.559,263.779,1310.73
-393.409,263.883,1315.69
-395.677,263.498,1319.19
-402.941,263.883,1321.73
-416.471,262.002,1322.88
-427.372,261.661,1323.73
-442.425,260.596,1323.05
-454.153,259.063,1322.53
-470.512,257.04,1320.44
-486.307,255.227,1320.23
-498.807,254.308,1320.04
-508.652,253.883,1321
-513.414,254.465,1323.86
-513.63,255.515,1328.14
-505.732,256.895,1335.11
-499.252,258.467,1340.23
-489.571,259.096,1345.68
-479.872,258.276,1352.29
-471.106,259.055,1358.01
-462.684,258.579,1361.56
-452.797,259.137,1364.6
-447.226,259.62,1365.95
-443.809,261.156,1366.14
-443.29,261.556,1364.65
-442.999,261.712,1362.77
-444.569,262.475,1356.96
-450.902,263.1,1347.53
-460.277,264.592,1333.35
-472.102,262.859,1319.27
-481.061,262.178,1305.91
-488.745,260.319,1295.02
-495.168,258.808,1284.07
-499.786,256.978,1275.69
-500.665,256.775,1270.25
-500.786,257.568,1268.09
-496.848,259.023,1269.47
-492.273,260.094,1272.71
-487.381,261.975,1276.89
-480.036,263.141,1280.81
-471.662,263.209,1287.65
-462.632,262.692,1295.03
-457.701,263.473,1300.87
-454.138,263.082,1305.44
-452.724,263.868,1308.88
-452.437,263.57,1309.53
-454.454,262.962,1308.88
-460.781,262.271,1306.44
-468.148,260.365,1302.72
-476.073,259.785,1297.17
-487.401,259.154,1290.72
-503.791,256.052,1281.46
-519.266,254.816,1273.54
-533.011,254.299,1264.83
-541.693,253.462,1259.2
-549.163,254.187,1257.03
-553.032,256.505,1256.69
-554.576,259.547,1260.1
-547.549,262.789,1278.21
-541.374,263.722,1289.1
-524.879,261.374,1321
-516.549,260.287,1337.21
-509.454,259.824,1350.81
-506.459,258.92,1359.25
-501.652,257.861,1367.03
-500.254,257.729,1373.45
-500.965,258.369,1378.13
-502.648,257.922,1380.26
-506.829,258.31,1381.03
-513.635,257.729,1379.69
-521.98,259.089,1377.11
-528.374,259.063,1375.36
-536.024,257.637,1372.08
-542.671,256.837,1368.81
-546.684,257.302,1364.62
-547.046,258.601,1361.81
-546.458,258.567,1358.82
-501.188,263.811,1352.46
-536.104,249.236,1300
-541.016,248.341,1297.62
-544.467,249.398,1297.69
-544.831,250.89,1300.29
-544.205,252.233,1304.48
-539.901,252.609,1311.67
-534.701,253.686,1317.77
-527.217,254.859,1325.65
-521.207,255.635,1333.57
-514.161,255.945,1341.01
-508.6,255.128,1347
-503.744,254.011,1352.4
-499.364,253.047,1355.42
-495.918,254.071,1358.52
-493.758,255.486,1358.7
-493.357,256.477,1354.6
-495.936,256.944,1347.26
-502.329,257.354,1335.82
-510.253,256.111,1325.14
-521.312,255.77,1314.66
-531.768,255.867,1302.49
-543.449,252.247,1289.65
-555.007,250.863,1273.69
-563.265,250.524,1261.89
-571.057,249.724,1251.17
-576.273,248.868,1242.61
-581.213,249.164,1236.17
-583.542,248.92,1233.03
-584.003,248.986,1230.32
-581.821,250.352,1230.92
-577.075,251.56,1232.83
-570.452,252.079,1236.57
-563.634,253.567,1243.97
-554.093,254.223,1255.71
-541.069,254.752,1269.46
-531.838,254.738,1278.42
-521.075,254.605,1288.82
-511.82,254.631,1299.83
-503.684,255.296,1309.28
-498.787,255.882,1315.39
-496.333,256.689,1320.23
-496.282,257.315,1323.29
-498.052,256.632,1324.59
-503.925,255.362,1325.38
-510.012,255.598,1324.78
-515.47,255.241,1324.09
-526.122,254.191,1321.61
-539.37,253.269,1317.26
-548.258,252.083,1314.72
-557.462,251.525,1312.54
-568.122,249.067,1309.79
-575.985,246.437,1306.51
-581.891,244.989,1303.77
-587.108,244.216,1301.29
-591.105,243.866,1298.53
-592.044,244.532,1296.11
-589.872,244.409,1294.07
-587.849,244.184,1293.2
-583.036,246.152,1291.96
-573.663,248.405,1291.63
-563.361,250.443,1292.94
-516.224,259.644,1265
-560.961,249.077,1292.63
-555.983,248.567,1307.44
-552.519,248.417,1319.8
-551.29,249.465,1328.24
-552.264,250.806,1334.73
-552.085,251.927,1340.17
-555.586,252.111,1342.35
-559.062,251.497,1342.01
-564.741,252.304,1339.21
-570.671,252.378,1337.21
-576.646,253.029,1332.86
-583.887,252.141,1328.06
-589.277,251.647,1324.69
-592.463,251.891,1322.06
-573.443,255.213,1314.83
