x,y,z
-331.753,126.255,1381.73
-321.895,116.958,1378.24
-314.51,124.937,1370.7
-300.432,131.333,1365.24
-276.932,135.18,1366.46
-249.379,135.253,1372.95
-216.005,120.297,1377.26
-199.965,123.658,1393.93
-183.922,124.371,1404.35
-174.821,124.419,1411.03
-170.519,124.186,1414.84
-171.928,125.049,1415.36
-176.079,124.089,1415.49
-178.102,106.778,1411.55
-198.863,106.251,1415.94
-208,95.8614,1414.85
-229.909,99.1326,1419.79
-244.407,92.1469,1427.13
-262.573,96.4215,1428.14
-281.216,104.122,1435.67
-293.755,105.333,1439.58
-296.969,98.5999,1442.87
-303.299,101.319,1449.55
-304.74,106.113,1455.75
-296.934,112.831,1463.95
-291.496,114.624,1469.69
-283.1,118.957,1476.87
-269.125,119.98,1483.55
-259.023,120.709,1485.06
-245.828,122.607,1483.19
-230.676,125.2,1476.8
-219.028,129.331,1467.86
-208.021,128.471,1456.8
-197.575,129.079,1445.06
-193.267,129.991,1436.07
-193.998,129.593,1420.34
-202.369,124.257,1404.72
-214.628,123.454,1391.29
-229.79,122.497,1384.11
-244.641,121.439,1379.63
-250.797,108.671,1372.38
-268.735,99.7054,1382.86
-286.307,105.664,1385.86
-302.578,111.548,1391.52
-303.097,96.9852,1393.14
-303.489,103.665,1403.02
-295.682,105.831,1423.79
-295.613,113.234,1422.65
-294.243,120.765,1427.68
-286.372,122.92,1433.05
-273.007,126.961,1436.66
-256.373,134.559,1461.06
-249.048,129.234,1448.72
-242.822,124.366,1442.72
-242.216,120.025,1438.44
-237.345,106.257,1432.08
-243.194,106.326,1429.99
-256.964,94.9797,1435.39
-272.967,102.994,1433.15
-278.598,87.7431,1424.92
-306.518,87.8631,1430.53
-329.421,82.9179,1424.1
-349.245,71.9039,1424
-365.407,68.7081,1425.15
-383.285,66.7361,1431.44
-396.203,66.6131,1435.25
-404.84,70.127,1441.02
-392.366,88.1154,1461.65
-379.9,96.0817,1473.11
-348.999,109.923,1482.17
-329.395,121.316,1503.57
-320.575,131.227,1494.99
-309.795,120.478,1483.53
-300.291,105.292,1472.83
-289.442,102.149,1461.46
-288.641,109.89,1456.22
-291.093,114.946,1452.01
-291.153,119.482,1447.28
-287.796,110.152,1431.7
-293.587,114.243,1424.15
-293.696,105.517,1421.39
-299.375,116.343,1417.09
-306.455,118.671,1406.32
-308.163,123.459,1399.03
-309.841,126.281,1390.07
-309.742,131.763,1382.73
-265.147,132.646,1347.62
-358.704,115.182,1450.66
-372.514,110.564,1458.16
-384.351,116.586,1472.44
-391.281,125.201,1488.46
-395.919,134.103,1500.26
-390.476,129.469,1509.13
-384.286,126.632,1513.16
-375.465,135.771,1520.24
-366.378,145.051,1524.04
-354.884,151.699,1525.79
-344.058,157.878,1523.18
-328.339,162.672,1515.89
-314.181,164.991,1508.39
-298.078,165.862,1497.23
-287.402,164.261,1487.57
-276.677,173.938,1463.14
-273.744,164.537,1445.4
-275.439,155.009,1433.31
-281.282,149.007,1425.54
-295.665,143.166,1418.6
-313.5,137.923,1413.47
-329.697,140.413,1415.07
-348.946,141.167,1414.4
-364.339,142.91,1410.38
-381.595,140.054,1409.55
-397.289,135.657,1409.63
-410.352,128.959,1412.13
-419.237,122.555,1413.3
-426.352,113.686,1416.06
-425.811,112.334,1422.34
-422.549,110.062,1425.36
-413.54,111.255,1427.53
-400.112,118.228,1431.69
-381.06,126.05,1434.4
-356.036,135.533,1435.93
-336.227,138.685,1434.14
-316.711,143.208,1434.18
-296.906,141.772,1427.32
-277.98,138.817,1421.96
-264.993,137.567,1419.37
-258.665,134.857,1418.15
-258.978,135.295,1416.82
-263.131,137.145,1420.91
-265.426,127.009,1416.71
-280.596,123.947,1422.06
-292.972,126.492,1424.62
-316.039,112.049,1441.75
-330.864,108.93,1437
-348.113,116.966,1442.09
-362.647,118.891,1438.74
-367.715,97.7354,1435.37
-396.868,117.17,1457.99
-405.012,119.932,1449.21
-402.676,96.8827,1444.27
-422.365,118.387,1461.99
-419.919,116.085,1454.1
-421.302,117.826,1454.03
-419.192,119.795,1453.62
-406.183,120.255,1448.07
-389.39,123.884,1443.66
-369.944,124.452,1440.14
-351.741,92.4634,1450.91
-353.226,134.799,1446.11
-336.294,138.036,1446.22
-320.743,138.299,1443.44
-309.921,139.981,1440.22
-300.298,139.886,1432.6
-295.969,138.783,1423.57
-293.746,136.803,1411.02
-291.029,135.125,1399.8
-293.077,131.527,1391.11
-294.551,128.791,1381.63
-297.428,129.318,1372.5
-309.504,126.178,1367.03
-318.221,123.134,1363.72
-324.757,124.374,1363.4
-332.853,128.749,1378.44
-322.101,131.596,1380.5
-306.872,135.036,1384.23
-290.714,134.714,1384.86
-273.32,135.964,1386.18
-252.57,137.189,1384.11
-220.096,135.076,1378.15
-206.863,132.353,1372.86
-198.272,132.738,1367.41
-193.319,134.699,1364.43
-192.552,134.47,1365.89
-197.791,133.362,1368.3
-210.152,130.689,1371.95
-217.649,127.908,1371.8
-232.656,128.712,1375.83
-247.234,130.285,1378.61
-261.78,129.392,1382.08
-275.653,130.063,1386.18
-292.29,131.117,1392.18
-308.294,134.84,1402.15
-318.836,135.618,1410.96
-327.493,136.121,1416.94
-323.04,130.56,1413.71
-322.575,132.053,1417.88
-314.667,134.086,1423.55
-304.818,132.84,1421.34
-294.232,137.616,1425.82
-278.14,134.624,1422
-270.123,134.647,1425.59
-259.886,135.722,1426.08
-251.442,133.62,1428.11
-248.226,134.229,1433.51
-248.965,132.166,1439.35
-250.147,130.104,1444.72
-247.374,115.084,1447.1
-254.557,115.888,1450.63
-265.458,118.683,1450.19
-275.029,101.157,1447.15
-284.887,93.6166,1445.13
-294.751,99.9964,1440.48
-302.56,96.7399,1449.69
-312.383,104.242,1434.34
-309.522,94.0103,1426.05
-321.03,109.641,1411.51
-333.567,121.237,1404.4
-322.36,108.216,1403.59
-331.737,120.006,1396.76
-348.103,127.622,1393.71
-360.682,126.97,1391.27
-364.024,127.203,1384.14
-370.129,130.909,1386.57
-369.005,133.852,1385.21
-361.702,107.734,1390.92
-361.372,96.449,1396.68
-370.364,103.161,1406.9
-363.411,112.186,1409.39
-353.317,97.7199,1412.83
-342.075,99.583,1429.53
-333.154,92.0495,1431.02
-327.732,96.8923,1444.81
-317.867,101.567,1444.14
-301.556,108.876,1462.6
-292.999,117.639,1455.08
-285.697,121.743,1451.01
-281.364,122.154,1449.66
-278.467,122.138,1449.06
-277.579,121.333,1448.93
-278.34,120.362,1449.29
-280.467,121.98,1448.28
-277.157,108.47,1447.53
-289.267,110.21,1447.19
-300.987,95.8577,1444.4
-312.263,88.1567,1443.66
-337.294,97.0586,1447.17
-346.244,97.7993,1439.93
-349.654,84.5044,1436
-363.412,78.2123,1440.15
-382.429,88.292,1441.34
-394.706,97.9159,1438.85
-399.876,105.502,1434.61
-401.141,112.123,1430.03
-403.303,119.327,1428.39
-405.172,123.249,1428.04
-403.363,124.655,1426.88
-401.357,125.092,1424.83
-399.744,127.635,1426.79
-385.124,124.198,1430.26
-369.57,108.325,1436.86
-366.171,114.994,1447.18
-352.928,117.661,1449.5
-333.85,108.024,1455.78
-322.33,115.333,1457.78
-307.592,123.554,1462.62
-286.444,114.556,1468.69
-273.662,118.703,1468.41
-265.459,122.355,1466.06
-255.865,111.097,1466.43
-253.842,105.509,1465.71
-255.798,100.671,1464.4
-258.402,101.198,1464.23
-261.486,101.284,1462.02
-267.783,103.029,1461.49
-275.917,101.715,1460.84
-281.27,102.042,1459.67
-291.382,109.396,1459.36
-299.656,112.068,1457.07
-305.527,114.593,1450.44
