x,y,z
-169.835,-14.7342,1406.3
-158.972,-28.232,1392.98
-155.003,-25.5697,1380.31
-138.274,-20.4414,1363.52
-116.465,-18.7595,1347.57
-92.0035,-19.4248,1335.66
-59.2321,-32.8416,1324.75
-43.7468,-28.1765,1329.41
-27.6133,-23.3996,1339.81
-19.1829,-22.5323,1348.62
-16.2712,-23.2246,1354.41
-21.4572,-25.6668,1359.58
-28.9451,-28.5614,1362.62
-39.8616,-55.7895,1357.29
-66.6538,-58.4856,1360.68
-79.1396,-73.1801,1357.06
-100.716,-67.6355,1360.76
-109.965,-68.8467,1358.2
-122.72,-58.8621,1365.5
-135.228,-50.6314,1375.33
-144.635,-43.5736,1382.15
-141.997,-50.4833,1385.58
-149.105,-44.3289,1389.46
-150.078,-37.6047,1397.57
-146.016,-31.5969,1406.39
-141.422,-30.08,1410.99
-132.224,-26.6125,1412.07
-121.279,-24.5326,1410.77
-107.781,-22.1413,1410.34
-93.4485,-19.2244,1406.07
-77.138,-15.1373,1397.32
-65.4134,-9.14971,1384.27
-57.0706,-10.6281,1368.76
-53.4397,-12.6964,1353.68
-52.272,-14.6952,1343.53
-55.3923,-16.1362,1325.92
-63.3869,-18.7781,1310.58
-76.6457,-20.664,1298.42
-89.4902,-25.2248,1294.79
-100.23,-27.1171,1293.53
-104.321,-43.2063,1292.92
-117.961,-42.9892,1295.91
-136.508,-44.8883,1308.89
-156.916,-45.6711,1326.49
-158.577,-65.401,1342.73
-162.215,-58.3439,1358.11
-167.649,-58.15,1370.04
-164.696,-50.138,1385.2
-156.658,-44.3322,1396.44
-141.642,-40.9202,1402.15
-125.803,-36.8927,1404.49
-120.923,-21.8715,1400.22
-102.165,-27.399,1397.91
-92.2987,-27.5433,1390.51
-87.3,-27.0353,1384.27
-77.17,-39.6964,1376.49
-89.9427,-38.6172,1371.35
-95.6511,-40.0778,1365.1
-114.074,-38.867,1369.19
-121.132,-60.6214,1373.99
-149.659,-59.7713,1374.77
-173.676,-68.5922,1383.53
-197.718,-84.654,1395.93
-217.664,-90.6606,1403.56
-236.671,-93.8499,1412.87
-253.637,-97.0537,1424.46
-264.245,-94.8691,1439.5
-265.894,-83.9372,1465.43
-258.106,-77.7757,1469.2
-224.845,-64.9039,1463.45
-214.808,-48.4066,1454.54
-205.081,-43.9229,1444.34
-191.254,-56.2408,1428.93
-178.373,-68.14,1409.36
-169.879,-69.5198,1389.2
-168.258,-58.7595,1381.14
-168.923,-49.0858,1377.45
