x,y,z
-422.357,-45.5773,1179.97
-421.515,-46.8046,1187.57
-409.501,-47.058,1197.7
-389.403,-44.9508,1205.81
-362.767,-43.2421,1224.37
-337.468,-41.1279,1248.25
-313.126,-37.2425,1270.83
-298.753,-35.8813,1287.36
-285.075,-34.4521,1302.35
-276.41,-32.666,1313.94
-271.52,-30.3951,1321.48
-267.975,-29.0112,1325.38
-268.655,-28.6139,1327.87
-275.082,-27.2456,1328.76
-289.845,-30.4757,1328.2
-301.28,-31.3899,1327.48
-317.952,-33.3006,1328.9
-330.172,-35.0463,1328.55
-349.87,-39.4726,1328.63
-367.494,-42.2004,1329.27
-382.994,-44.1012,1331.97
-396.152,-45.5448,1333.78
-401.35,-44.8148,1336.33
-400.121,-43.0558,1337.77
-391.653,-40.7888,1342.05
-384.214,-38.7843,1343.91
-373.929,-37.1963,1349.6
-362.564,-37.5036,1359.08
-354.302,-37.4862,1365.48
-346.162,-38.3508,1369.71
-335.213,-36.6982,1375.19
-327.352,-35.6807,1376.37
-321.64,-33.3246,1374.29
-318.201,-31.6137,1370.01
-314.175,-29.4868,1367.23
-310.876,-26.3876,1359.4
-312.989,-23.9362,1344.53
-319.727,-20.3442,1326.25
-332.524,-22.5062,1311.01
-343.167,-23.8239,1299.89
-353.028,-26.5263,1289.76
-362.313,-29.4649,1283.59
-372.277,-33.828,1282.17
-378.93,-36.6579,1285.22
-384.074,-37.8612,1286.97
-387.069,-38.9263,1289.68
-386.348,-38.0896,1288.61
-381.735,-35.9939,1287.12
-375.738,-35.1812,1285.78
-367.497,-34.909,1287.23
-358.154,-35.7321,1288.98
-352.436,-35.2835,1289.71
-346.431,-35.4353,1290.97
-341.964,-34.21,1292.71
-341.937,-35.3707,1293.58
-343.584,-35.8947,1295.13
-349.606,-36.6675,1292.75
-359.184,-40.0641,1290.03
-367.842,-41.0191,1285.96
-382.215,-42.594,1278.52
-402.985,-46.8803,1270.29
-424.032,-49.267,1263.24
-442.194,-48.9929,1251.95
-452.956,-49.5286,1244.26
-463.66,-47.8521,1239.18
-465.656,-44.0105,1232.33
-465.574,-37.5472,1228.82
-449.748,-31.629,1247.37
-444.341,-30.953,1258.8
-423.777,-35.4483,1301.42
-411.559,-35.5453,1322.25
-399.809,-34.6605,1339.47
-393.235,-34.5192,1351.28
-379.877,-34.2073,1363.8
