x,y,z
-469.817,247.881,1282.12
-467.699,251.624,1278.29
-457.922,254.458,1280.79
-439.211,257.349,1285.48
-415.336,260.644,1297.6
-391.143,263.701,1316.71
-366.129,267.88,1335.2
-349.251,269.091,1351.44
-333.707,271.324,1366.79
-325.554,273.256,1378.19
-322.533,273.949,1387.51
-321.771,274.63,1392.01
-323.61,274.389,1395.42
-331.668,274.35,1398.67
-345.305,271.898,1399.49
-356.384,271.207,1399.6
-373.144,270.196,1399.63
-386.05,268.075,1400.04
-404.292,265.539,1399.59
-421.166,263.207,1400.69
-435.294,261.815,1402.3
-445.086,260.851,1403.76
-450.287,261.069,1406.99
-449.912,261.624,1410.93
-441.601,262.442,1417.89
-434.011,263.487,1422.34
-423.535,264.669,1426.62
-413.056,265.141,1432.91
-402.397,266.251,1437
-391.918,266.13,1439.45
-379.803,267.995,1439.86
-370.501,270.061,1435.31
-362.873,272.771,1429.83
-359.771,274.118,1424.62
-358.036,275.717,1420.03
-359.322,277.816,1412.1
-365.556,278.918,1400.72
-375.78,280.318,1386.82
-388.952,277.606,1375.74
-400.372,276.508,1365.25
-407.08,273.958,1355.45
-413.32,272.065,1347.01
-420.409,268.946,1343.93
-427.518,267.275,1346.09
-431.754,266.704,1348.63
-432.397,266.205,1353.57
-429.737,265.22,1357.86
-424.16,265.235,1361.86
-415.228,264.647,1365.17
-403.901,263.594,1369.84
-391.164,262.396,1373.98
-382.026,263.37,1375.08
-375.889,263.313,1377.55
-374.563,264.217,1381.67
-375.015,263.456,1383.78
-380.951,262.823,1386.09
-390.448,261.577,1386.01
-399.498,258.847,1383.72
-410.224,257.667,1380.32
-425.782,255.266,1376.26
-444.979,251.195,1368.57
-463.293,248.633,1362.56
-481.491,244.75,1356.76
-491.04,242.281,1351.97
-500.657,241.11,1350.53
-505.004,241.114,1349.8
-505.924,241.882,1352.17
-494.612,247.48,1368.08
-486.355,249.537,1377.84
-461.047,253.506,1404.77
-446.482,256.82,1416.79
-434.809,260.001,1426.89
-427.328,262.483,1430.86
-420.18,265.691,1435.63
-416.375,269.458,1436.79
-415.427,272.717,1437.85
-417.403,273.936,1438.84
-421.012,275.877,1436.74
-427.561,276.425,1432.65
-437.09,279.109,1429.92
-444.704,280.064,1429.27
-452.408,279.772,1425.26
-458.609,280.277,1420.73
-460.9,281.967,1413.4
-460.005,284.157,1408.14
-458.042,284.771,1403.37
-402.929,291.571,1376.78
-478.428,257.031,1388.24
-488.12,254.549,1389.56
-493.946,253.483,1391.28
-496.434,252.945,1395.34
-494.723,252.804,1399.34
-488.706,252.115,1405.22
-482.64,252.925,1410.79
-473.921,254.901,1417.76
-465.926,256.33,1424.19
-452.847,258.524,1427.13
-443.07,260.09,1429.93
-435.121,261.573,1431.67
-428.35,262.714,1431.52
-421.964,266.289,1429.85
-414.977,270.299,1422.39
-409.894,273.46,1411.62
-409.907,274.823,1399.95
-415.982,275.604,1387.04
