x,y,z
-786.181,188.614,1382.37
-774.682,190.827,1388.79
-762.566,194.5,1397.86
-746.348,195.1,1409.99
-729.717,196.923,1424.63
-677.459,197.198,1483.71
-669.99,198.281,1489.77
-670.026,203.383,1447.37
-630.054,209.712,1462.37
-619.85,210.169,1469.12
-607.417,209.064,1475.81
-595.035,207.311,1481.85
-584.224,209.143,1486.68
-575.383,209.903,1490.65
-568.535,208.529,1494.78
-563.423,207.579,1497.65
-559.166,208.62,1499.79
-557.467,208.583,1500.74
-558.449,209.439,1500.29
-561.346,209.813,1499.79
-565.722,210.083,1498.08
-572.546,207.963,1495.08
-582.284,208.42,1493.46
-593.956,208.15,1489.64
-607.523,207.847,1485.34
-623.102,207.056,1480.41
-639,204.843,1475.37
-655.812,202.824,1470.81
-672.709,199.643,1464.35
-687.943,198.892,1458.76
-698.831,197.785,1454.99
-708.406,196.605,1451.94
-714.732,196.739,1451.3
-719.714,194.862,1448.45
-722.053,194.592,1447.77
-721.619,195.369,1451.29
-719.352,197.887,1456.14
-716.27,199.657,1461.13
-711.474,201.398,1467.31
-706.47,203.011,1474.85
-699.356,202.433,1483.74
-690.468,205.284,1493.38
-679.03,207.074,1503.68
-668.029,206.606,1513.36
-656.242,204.353,1524.68
-645.789,205.145,1535.36
-637.455,205.036,1543.34
-628.401,206.919,1549.99
-620.933,207.497,1555.2
-615.433,209.493,1559.33
-611.163,210.549,1560.05
-606.776,211.653,1560.89
-602.881,212.875,1558.57
-602.163,211.286,1553.38
-602.359,210.237,1546.57
-602.378,209.693,1538.46
-605.563,209.43,1528.76
-608.921,209.115,1516.84
-612.496,210.265,1506.69
-617.034,209.741,1495.95
-621.016,212.124,1488.13
-626.394,213.105,1479.6
-632.845,213.523,1471.68
-639.12,212.908,1464.68
-643.782,211.781,1461.32
-648.771,209.026,1459.07
-653.155,206.215,1457.21
-655.652,205.061,1455.97
-658.173,206.184,1455.26
-659.077,205.588,1454.58
-658.66,206.705,1454.81
-654.269,207.822,1458.73
-648.386,207.999,1466.8
-643.04,207.945,1474.21
-636.254,209.616,1484.2
-628.122,210.71,1496.59
-621.655,210.044,1506.91
-615.773,209.036,1519.34
-609.819,208.248,1529.2
-603.694,209.251,1539.13
-600.534,209.686,1545.45
-599.493,210.115,1550.16
-599.103,212.303,1552.42
-600.67,215.957,1553.84
-603.404,217.016,1554.59
-610.014,219.871,1553.27
-616.703,219.444,1552.21
-626.227,220.765,1550.73
-637.65,220.823,1549.5
-650.363,221.554,1547.52
-663.612,221.784,1546.04
-676.972,218.754,1545.14
-690.32,216.646,1544.39
-702.144,214.293,1544.01
-710.534,212.465,1543.13
-717.905,208.5,1541.51
-718.661,207.637,1542.19
-718.84,205.874,1541.41
-717.498,205.247,1539.48
-713.012,204.057,1536.25
-705.696,205.082,1534.65
-695.575,207.287,1534.47
-682.693,208.921,1533.73
-669.668,209.222,1533.17
-658.04,209.588,1535.28
-646.96,210.024,1536.01
-638.08,208.704,1536.79
-629.087,207.694,1536.19
-621.003,208.068,1535.93
-615.323,207.66,1532.43
-611.359,207.802,1528.97
-608.142,206.738,1524.27
-605.898,206.283,1516.79
-603.924,205.147,1508.24
-606.298,203.022,1497.9
-609.514,200.477,1485.7
-614.163,201.799,1471.75
-621.162,202.914,1458.16
-629.919,203.384,1444.02
-641.533,202.001,1432.73
-653.298,200.216,1422.76
-665.891,199.113,1415.34
-677.264,195.486,1410.42
-685.952,193.937,1407.41
-692.873,191.728,1405.14
-697.59,189.517,1404.65
-701.115,187.97,1406.72
-704.224,187.839,1410.19
-707.022,187.096,1417
-710.364,186.687,1424.2
-712.301,188.323,1435.33
-715.747,187.767,1448.79
-716.531,188.735,1466.44
-716.915,190.512,1484.28
-715.648,191.963,1501.25
-715.895,192.499,1514.91
-715.746,193.816,1526.23
-716.648,194.588,1533.19
-717.589,195.449,1539.62
-717.433,195.928,1544.74
-715.018,194.796,1546.47
-714.078,195.473,1546.35
-713.605,194.695,1543.89
-713.031,195.144,1539.65
-714.695,197.169,1532.72
-718.286,205.289,1477.93
-706.99,205.657,1487.03
-694.121,208.51,1498.11
-681.664,210.632,1512.2
-668.866,211.295,1526.65
-655.953,210.481,1541.14
-646.01,212.709,1553.41
-637.733,214.316,1564.02
-630.632,215.931,1572.35
-624.95,216.345,1579.27
-623.913,217.909,1585.38
-624.01,217.985,1589.44
-625.635,219.485,1592.84
-628.999,219.601,1594.94
-635.977,219.438,1595.92
-644.58,219.875,1597.3
-652.015,220.647,1598.52
-664.228,220.51,1598.75
-675.001,220.764,1599.46
-689.393,218.086,1597.89
-700.807,217.507,1596.9
-709.571,215.707,1595.82
-715.655,215.174,1594.96
-719.08,215.626,1594.08
-721.374,215.983,1592.78
-719.46,214.135,1590.59
-716.873,210.579,1586.2
-711.386,209.37,1580.24
-703.544,209.609,1571.22
-693.825,209.409,1563.08
-681.754,207.448,1553.33
-669.213,205.864,1543.22
-658.777,203.883,1534.83
-648.093,203.661,1529.04
-638.255,202.486,1523.3
-628.001,204.199,1518.73
-620.656,203.829,1514.44
-615.071,202.762,1509.41
-613.405,201.569,1502.54
-609.938,202.531,1495.6
-606.766,202.101,1487.48
-605.601,199.899,1476.07
-601.664,199.568,1463.22
-601.793,197.245,1445.94
-602.306,197.522,1426.99
-603.577,196.398,1407.23
-605.792,195.464,1387.82
-608.526,194.936,1370.88
-612.795,193.367,1355.84
-616.037,192.206,1343.02
-618.462,190.818,1334.29
-619.902,191.262,1330.22
-618.289,190.452,1326.97
-614.699,190.625,1329.22
-607.805,191.783,1334.37
-598.94,192.725,1342.59
-589.081,195.345,1355.81
-576.133,196.92,1370.72
-563.826,198.981,1383.2
-553.662,200.928,1393.76
-541.767,201.636,1404.08
-530.24,205.164,1412.82
-522.576,205.236,1417.69
-517.885,206.918,1420.78
-513.768,206.792,1422.38
-511.663,207.941,1423.56
-510.265,209.825,1423.77
-511.335,212.265,1424.43
-518.917,211.773,1423.07
-525.118,211.985,1420.19
-533.966,210.96,1418.09
-543.115,211.461,1415.46
-554.791,211.103,1412.71
-568.011,210.648,1409.76
-581.311,210,1405.74
-592.643,208.345,1401.54
-602.942,207.825,1397.99
-609.069,206.386,1394.36
-615.874,206.766,1390.31
-620.293,206.723,1386.56
-624.718,205.231,1381.18
-626.499,205.006,1374.92
-627.522,205.058,1367.49
-627.43,204.135,1358.53
-626.402,201.761,1346.58
-623.294,201.429,1337.76
-618.995,201.254,1328.45
-613.663,199.683,1320.99
-608.526,197.446,1313.59
-605.7,197.859,1307.94
-605.11,198.886,1303.52
-606.067,198.54,1300.72
-608.284,197.011,1295.39
-611.49,195.341,1292.05
-618.068,193.464,1291.45
-626.267,192.354,1290.13
-636.284,190.843,1291.16
-644.422,190.874,1293.97
-648.478,190.966,1298.54
-652.086,191.676,1303.97
-653.252,190.149,1308.91
-651.617,190.635,1313.54
-646.917,190.101,1318.18
-640.613,190.245,1324.44
-631.955,191.099,1335.56
-619.953,192.647,1346.94
-605.641,193.796,1362.15
-588.593,197.266,1378.31
-571.589,198.601,1395.59
-556.901,199.527,1410.93
-546.602,199.363,1425.07
-537.97,201.16,1435.75
-531.564,202.085,1443.25
-526.126,202.63,1448.36
-522.949,201.989,1451.33
-519.769,202.829,1451.14
-518.323,203.787,1448.66
-517.504,204.128,1444.98
-519.835,202.764,1439
-520.059,201.568,1432.39
-522.112,197.979,1416.67
-487.026,204.495,1418.23
-471.791,206.891,1425.28
-455.262,211.44,1435.15
-439.231,211.667,1445.07
-423.407,212.577,1455.92
-412.42,212.931,1466.93
-395.905,213.684,1482.44
-390.379,216.968,1487.27
-386.686,218.039,1491.8
-396.708,223.739,1506.63
-404.557,225.054,1508.95
-415.949,225.427,1512.62
-431.775,223.736,1516.15
-482.814,220.353,1526.9
-538.635,216.735,1520.54
-541.909,202.85,1467.85
-539.245,202.043,1458.33
-539.17,201.182,1442.39
-565.367,203.997,1414.19
-593.707,202.42,1404.47
-611.176,201.688,1401
-628.406,199.995,1399.01
-645.255,199.933,1397.25
