x,y,z
-0.443435,0.646836,0.620458
-0.39225,0.691052,0.607114
-0.354073,0.720162,0.596656
-0.324952,0.721933,0.610917
-0.315179,0.699636,0.641227
-0.299852,0.676056,0.67308
-0.268858,0.651756,0.709175
-0.240461,0.653739,0.717498
-0.2155,0.65936,0.72028
-0.198314,0.672172,0.713342
-0.173555,0.703531,0.689146
-0.153754,0.730947,0.664888
-0.148564,0.755306,0.638311
-0.15585,0.788756,0.594622
-0.179566,0.800057,0.57242
-0.212985,0.790489,0.574251
-0.249459,0.788498,0.562175
-0.286593,0.772923,0.566087
-0.332656,0.730202,0.59678
-0.375863,0.702143,0.604749
-0.403325,0.665958,0.627558
-0.421508,0.646812,0.635582
-0.430447,0.621705,0.654369
-0.423874,0.610548,0.669
-0.424369,0.606866,0.67203
-0.416155,0.625043,0.660406
-0.373619,0.666169,0.645467
-0.356048,0.701239,0.617651
-0.339696,0.727183,0.596499
-0.301829,0.768486,0.564206
-0.249695,0.799898,0.545725
-0.196513,0.833643,0.516161
-0.252664,0.843659,0.47371
-0.19936,0.86914,0.452605
-0.270187,0.859306,0.434273
-0.195769,0.885454,0.42148
-0.159667,0.888292,0.430631
-0.130726,0.885217,0.446433
-0.0934074,0.86859,0.486649
-0.0998448,0.854987,0.508947
-0.102169,0.840518,0.532063
-0.136514,0.814842,0.563379
-0.165867,0.786306,0.595156
-0.222231,0.747497,0.625989
-0.269755,0.704367,0.656581
-0.330494,0.651123,0.683237
-0.365618,0.626187,0.688632
-0.383715,0.612144,0.691406
-0.393266,0.609106,0.688717
-0.394045,0.631163,0.668103
-0.380351,0.669562,0.637981
-0.35618,0.711196,0.606083
-0.32194,0.755259,0.57091
-0.298867,0.777785,0.552928
-0.26437,0.809838,0.523708
-0.248401,0.823619,0.509853
-0.323579,0.818709,0.474356
-0.298046,0.820023,0.488601
-0.278621,0.813867,0.509893
-0.283349,0.80512,0.521052
-0.309523,0.777843,0.546951
-0.338498,0.749251,0.569247
-0.377414,0.715193,0.588266
-0.39763,0.696472,0.597342
-0.432773,0.656734,0.617583
-0.47796,0.616043,0.626135
-0.514945,0.599057,0.613158
-0.565118,0.587028,0.579689
-0.553176,0.610793,0.566506
-0.461005,0.718016,0.521466
-0.403162,0.768588,0.496723
-0.37081,0.803965,0.464909
-0.354695,0.833144,0.424338
-0.351642,0.840931,0.411318
-0.305419,0.867898,0.391756
-0.344263,0.856096,0.385465
-0.321411,0.877731,0.355364
-0.288901,0.889618,0.353717
-0.249168,0.902175,0.352129
-0.233604,0.901002,0.365547
-0.201412,0.904127,0.376811
-0.169715,0.897413,0.407243
-0.169289,0.888663,0.426168
-0.16461,0.876722,0.451954
-0.157753,0.86182,0.482059
-0.149065,0.858612,0.490474
-0.264635,0.893809,0.362041
-0.521677,0.75398,0.399208
-0.546394,0.7622,0.347137
-0.561916,0.773718,0.292594
-0.561295,0.785799,0.259747
-0.548626,0.802058,0.236035
-0.544584,0.807221,0.227645
-0.542684,0.809322,0.224703
-0.522695,0.820113,0.232821
-0.537296,0.811434,0.229975
-0.532226,0.810873,0.243351
-0.518509,0.810862,0.271388
-0.513746,0.79818,0.314602
-0.509984,0.784059,0.353791
-0.477624,0.787692,0.389123
-0.467055,0.78882,0.399529
-0.440943,0.791248,0.423669
-0.414191,0.769383,0.486307
-0.371105,0.761974,0.530732
-0.363839,0.745737,0.55812
-0.366017,0.725105,0.583313
-0.370357,0.71215,0.596388
-0.386238,0.695389,0.606015
-0.403254,0.647395,0.646734
-0.442382,0.612917,0.654699
-0.477455,0.58975,0.651331
-0.517002,0.577305,0.632003
-0.553029,0.579745,0.598376
