x,y,z
0.218487,0.86026,0.460669
0.148275,0.842497,0.517894
0.131845,0.829811,0.542245
0.13229,0.822125,0.553723
0.148762,0.821263,0.550814
0.185209,0.841788,0.507041
0.22093,0.847887,0.481952
0.497639,0.867363,0.00614265
0.499189,0.866376,0.0142434
0.485264,0.872746,0.0532342
0.48743,0.869692,0.0777702
0.508362,0.85443,0.107323
0.492614,0.86093,0.127008
0.480354,0.863442,0.154037
0.48628,0.857203,0.169515
0.478693,0.85981,0.177704
0.469047,0.866157,0.172529
0.464408,0.872181,0.153707
0.453949,0.88059,0.135982
0.380661,0.913824,0.141505
0.424374,0.896526,0.127069
0.462985,0.881469,0.093045
0.505161,0.857103,0.100924
0.506226,0.857446,0.0923143
0.527007,0.844567,0.0947114
0.481739,0.870216,0.103205
0.499606,0.861776,0.0879509
0.50683,0.858709,0.0757787
0.506264,0.860709,0.0536275
0.467435,0.875643,0.121469
0.453347,0.870332,0.19235
0.452905,0.862028,0.227562
0.436557,0.861628,0.258874
0.42763,0.865814,0.259806
0.404039,0.882,0.242543
0.376686,0.890765,0.254256
0.343255,0.897248,0.277707
0.304666,0.906795,0.291377
0.283,0.905254,0.3169
0.264026,0.905061,0.3334
0.256482,0.901171,0.349439
0.253078,0.894982,0.367367
0.285845,0.883881,0.3702
0.290764,0.890119,0.35092
0.30173,0.887563,0.348126
0.293843,0.893758,0.338901
0.307967,0.899915,0.308724
0.33645,0.906575,0.2548
0.388705,0.897485,0.208398
0.422557,0.893808,0.150179
0.459126,0.882892,0.0985171
0.476348,0.875855,0.0772692
0.516492,0.855055,0.0460052
0.507598,0.861546,0.00913022
0.537076,0.842555,-0.0406234
0.55699,0.830324,-0.0180169
0.579776,0.81452,-0.0203873
0.582986,0.81222,-0.0206538
0.577101,0.816665,0.00362764
0.555869,0.830225,0.0416662
0.525384,0.846762,0.0834665
0.490146,0.864977,0.107574
0.444737,0.885485,0.134629
0.424698,0.891067,0.160098
0.43186,0.886087,0.168366
0.421795,0.887292,0.186553
0.423979,0.885402,0.190541
0.42857,0.885672,0.178642
0.431285,0.88526,0.174091
0.438401,0.886249,0.149552
0.432924,0.893055,0.122593
0.445476,0.889036,0.105665
0.465787,0.882275,0.0680672
0.462633,0.88601,0.0309307
0.478702,0.877779,0.0186435
0.453087,0.888807,0.068811
0.42275,0.902845,0.0784411
0.406618,0.909278,0.0887473
0.40043,0.913918,0.0664084
0.404485,0.912853,0.0555956
0.433674,0.90054,0.0308806
0.424567,0.904247,0.0456088
0.472843,0.864982,-0.168006
0.49608,0.849658,-0.178848
0.528274,0.838329,-0.134651
0.493594,0.864881,-0.0913592
0.491201,0.863926,-0.111146
0.480175,0.863729,-0.152981
0.490216,0.8627,-0.124244
0.554392,0.824713,-0.111797
0.673575,0.73118,-0.108036
0.681008,0.723973,-0.10996
0.632356,0.763673,-0.130118
0.578048,0.807266,-0.119087
0.558258,0.824191,-0.0951654
0.560467,0.826207,-0.0570915
0.560612,0.827158,-0.0390434
0.558573,0.829455,-0.000785799
0.524541,0.850043,0.0477995
0.510038,0.855533,0.0890211
0.483419,0.865957,0.128157
0.467974,0.864296,0.184369
0.427313,0.879289,0.210368
0.392574,0.877177,0.27649
0.353184,0.878222,0.32247
0.318795,0.871383,0.372908
0.290197,0.872106,0.393976
0.300962,0.871847,0.386401
0.31438,0.877594,0.361931
0.256884,0.89737,0.3588
0.300217,0.894006,0.332601
0.352581,0.887184,0.297642
0.404336,0.879161,0.25217
0.466596,0.85673,0.219777
0.434157,0.880783,0.189023
0.477901,0.858473,0.186106
0.483339,0.855812,0.184309
0.469071,0.868856,0.158309
0.41532,0.896279,0.15554
0.29712,0.940441,0.165198
0.250006,0.955076,0.159143
0.209848,0.967916,0.138215
0.181046,0.966397,0.182478
0.184767,0.947481,0.261039
0.166588,0.939503,0.299303
0.151588,0.940815,0.30313
0.119196,0.949413,0.290528
0.114919,0.950486,0.288739
0.131,0.941244,0.311285
0.112586,0.941796,0.316772
0.11507,0.929412,0.350645
0.119227,0.91774,0.378864
0.114458,0.902933,0.414259
0.110873,0.889414,0.443453
0.125872,0.880338,0.457342
0.123927,0.875976,0.466164
0.133581,0.864756,0.4841
0.12443,0.867314,0.481958
0.124535,0.877385,0.463344
0.134465,0.88118,0.453256
0.16925,0.879159,0.445458
0.202996,0.876454,0.436602
0.246623,0.87942,0.407183
0.278392,0.877606,0.390265
0.272509,0.901421,0.33642
0.399416,0.912146,0.0919618
0.418786,0.904022,0.0858042
0.383759,0.915622,0.119852
0.360932,0.921374,0.144215
0.359917,0.922596,0.138838
0.403358,0.904864,0.136101
0.419034,0.900395,0.117048
0.463874,0.881659,0.0865958
0.481286,0.87505,0.0514989
0.501059,0.865329,0.0120757
0.473196,0.880122,-0.0383438
0.481048,0.871056,-0.0992684
0.462863,0.878569,-0.11779
0.460181,0.874193,-0.154984
0.463152,0.868853,-0.174885
0.477302,0.855909,-0.199004
0.52524,0.835492,-0.16148
0.531312,0.831828,-0.160529
0.555737,0.813509,-0.171348
0.561424,0.81243,-0.157354
0.583767,0.791296,-0.181842
0.615688,0.76762,-0.178012
0.648822,0.74615,-0.1493
0.681898,0.724597,-0.0998653
0.688293,0.725186,-0.0189173
0.678382,0.73439,0.0216546
0.670175,0.738625,0.0727865
0.667013,0.739595,0.0899584
0.651718,0.75149,0.102597
0.635801,0.762131,0.122126
0.624276,0.767968,0.143194
0.59859,0.787868,0.144751
0.557392,0.81371,0.164894
0.530181,0.828296,0.181201
0.519025,0.831002,0.200122
0.520179,0.825336,0.219622
0.526932,0.819702,0.22457
0.540637,0.807986,0.234244
0.528629,0.811569,0.248813
0.523849,0.818736,0.235061
0.485299,0.843943,0.228573
0.506297,0.838813,0.20014
0.542849,0.822787,0.168334
0.563795,0.814341,0.137783
0.492755,0.855021,0.161656
0.491581,0.8607,0.132454
0.504295,0.854798,0.122502
0.508367,0.849027,0.143931
0.472393,0.847681,0.241415
0.438619,0.846322,0.302245
0.396324,0.839794,0.371044
0.398301,0.839953,0.368557
0.392429,0.84806,0.35608
0.373908,0.859522,0.348445
0.376157,0.862104,0.339532
0.393317,0.864828,0.312049
0.382937,0.873692,0.300037
0.356131,0.87935,0.316092
0.367149,0.884742,0.28711
0.375198,0.891806,0.252802
0.391492,0.892379,0.224484
0.402961,0.892736,0.201604
0.433007,0.883482,0.178785
0.43717,0.882059,0.175654
0.434511,0.88117,0.186385
0.428119,0.881553,0.198943
0.414476,0.884438,0.214428
0.405649,0.885216,0.227687
0.409144,0.889336,0.204161
0.431635,0.887139,0.163325
0.44911,0.887639,0.101966
0.461813,0.885952,0.0426347
0.506989,0.861466,-0.028939
0.519815,0.850074,-0.0846613
0.535595,0.831657,-0.146576
0.566208,0.800533,-0.196355
0.615499,0.759633,-0.210045
0.744593,0.617675,-0.253097
0.722121,0.661226,-0.203275
0.697085,0.698466,-0.161922
0.673323,0.726897,-0.13512
0.597047,0.797007,-0.0911855
0.576797,0.814041,-0.0681342
0.573413,0.817224,-0.0578132
0.586606,0.809031,-0.036899
0.58971,0.806905,-0.0338427
0.591616,0.805439,-0.0354806
0.594392,0.803836,-0.0233387
0.605304,0.795693,-0.0219009
0.602109,0.798388,0.00649776
0.593956,0.80371,0.0355778
0.593812,0.80212,0.0631718
0.57097,0.815363,0.0957898
0.55554,0.819561,0.140341
0.547567,0.81943,0.169422
0.516442,0.82684,0.222762
0.479634,0.832389,0.277632
0.412319,0.847183,0.335073
0.355357,0.854842,0.37811
0.312685,0.855286,0.413177
0.272949,0.855367,0.44028
0.239053,0.860182,0.450489
0.243591,0.86602,0.436661
0.251044,0.865851,0.432758
0.250643,0.861782,0.441032
0.258761,0.851129,0.456751
0.268369,0.836529,0.477701
0.266313,0.826276,0.496332
0.266316,0.821532,0.504144
0.258731,0.823595,0.504727
0.246258,0.831361,0.498192
0.225729,0.841351,0.491096
0.211897,0.847042,0.487462
0.208184,0.84427,0.493829
0.217008,0.837099,0.502168
0.211512,0.835162,0.507708
0.198249,0.822491,0.53311
0.19743,0.817552,0.540953
0.190451,0.822146,0.536475
0.192233,0.816787,0.543973
0.161026,0.811193,0.562172
0.227614,0.885158,0.405816
0.289896,0.878042,0.380793
0.308375,0.883446,0.352744
0.347115,0.889389,0.297488
0.391714,0.886905,0.244866
0.412966,0.885321,0.213694
0.466061,0.874736,0.132756
0.477716,0.870988,0.114751
0.518866,0.852923,0.0574483
0.576279,0.813152,-0.0817755
0.572641,0.814458,-0.0934921
0.601315,0.789967,-0.119885
