x,y,z
0.0344642,-0.995201,-0.0915833
0.0339731,-0.994322,-0.100842
0.0238992,-0.993516,-0.111152
0.0209514,-0.994181,-0.105664
0.0298355,-0.995173,-0.0934863
0.0416052,-0.997758,-0.0524307
0.0495706,-0.997091,-0.0579062
0.168205,-0.98574,0.00495016
0.167704,-0.98531,-0.0322349
0.152182,-0.987502,-0.0409948
0.135241,-0.990143,-0.0364314
0.130158,-0.990817,-0.036623
0.123208,-0.991454,-0.0428783
0.116095,-0.992086,-0.0478213
0.109246,-0.992833,-0.0484632
0.10911,-0.992763,-0.0501626
0.109852,-0.992188,-0.059118
0.107535,-0.992546,-0.0573372
0.107119,-0.992672,-0.0559219
0.113591,-0.991799,-0.058584
0.125134,-0.990232,-0.0615047
0.1245,-0.990904,-0.0510826
0.125442,-0.990718,-0.0523617
0.133985,-0.989703,-0.0503535
0.141017,-0.989043,-0.0436918
0.147045,-0.988268,-0.0412851
0.147001,-0.988652,-0.0309359
0.143301,-0.989259,-0.0288242
0.131654,-0.990958,-0.0258596
0.124531,-0.991868,-0.0262579
0.123483,-0.991968,-0.0274024
0.117071,-0.992633,-0.0312046
0.118756,-0.9923,-0.0351711
0.116435,-0.992373,-0.0404696
0.118706,-0.991855,-0.0461856
0.119413,-0.991815,-0.0451971
0.125611,-0.991133,-0.043325
0.125292,-0.990585,-0.055163
0.12654,-0.990097,-0.060785
0.115281,-0.991625,-0.0582257
0.116398,-0.991553,-0.0572267
0.118614,-0.990536,-0.0690609
0.121236,-0.990031,-0.0716967
0.119048,-0.990747,-0.0651751
0.12275,-0.990959,-0.0541603
0.128696,-0.989967,-0.05833
0.127372,-0.990357,-0.0544958
0.138907,-0.988381,-0.0617046
0.141186,-0.987981,-0.0629321
0.139695,-0.987778,-0.0691346
0.137246,-0.986871,-0.0851391
0.133905,-0.986867,-0.0903478
0.125781,-0.986594,-0.103981
0.119493,-0.987001,-0.107471
0.111946,-0.986974,-0.115544
0.118446,-0.984293,-0.130914
0.119319,-0.982972,-0.139746
0.122124,-0.980993,-0.150792
0.129787,-0.978933,-0.157622
0.141912,-0.976988,-0.159236
0.159332,-0.973967,-0.161247
0.168285,-0.973559,-0.154475
0.174149,-0.974262,-0.143127
0.178408,-0.974292,-0.137574
0.184165,-0.97694,-0.108035
0.181858,-0.979664,-0.0847671
0.17679,-0.982451,-0.0594514
0.177775,-0.982787,-0.0502543
0.180981,-0.982484,-0.044408
0.176429,-0.983492,-0.0401965
0.177787,-0.983234,-0.0405381
0.177103,-0.983204,-0.0440973
0.179713,-0.983211,-0.0316199
0.17302,-0.984436,-0.0308302
0.166016,-0.985905,-0.0207613
0.16428,-0.986405,-0.00425765
0.15527,-0.987869,0.00240301
0.140004,-0.990066,0.0129837
0.140498,-0.989911,0.0183449
0.138278,-0.99002,0.0272097
0.13636,-0.990275,0.0275916
0.135033,-0.990676,0.0180867
0.134574,-0.990903,-0.000336166
0.144285,-0.989401,-0.0163789
0.150653,-0.988192,-0.0279361
0.153433,-0.987026,-0.0473164
0.16041,-0.985545,-0.0545
0.171674,-0.982979,-0.0654276
0.177367,-0.981286,-0.0749523
0.187833,-0.978224,-0.0882939
0.196256,-0.975669,-0.0977443
0.201833,-0.974724,-0.0957916
0.206579,-0.974175,-0.0911531
0.20256,-0.975938,-0.080715
0.197436,-0.977671,-0.071957
0.187766,-0.97959,-0.0717507
0.190389,-0.980203,-0.054349
0.187604,-0.980817,-0.0529411
0.173864,-0.983422,-0.0514945
0.159999,-0.985568,-0.0552875
0.158809,-0.985154,-0.0652035
0.149964,-0.985838,-0.0750617
0.140612,-0.986682,-0.0817783
0.139266,-0.986308,-0.0883303
0.133655,-0.986936,-0.0899614
0.125768,-0.988026,-0.089371
0.113026,-0.989729,-0.0875325
0.105673,-0.990563,-0.0872779
0.101358,-0.991664,-0.0795503
0.104613,-0.99148,-0.0776088
0.100039,-0.99216,-0.0749046
0.100863,-0.99236,-0.0710443
0.102167,-0.992264,-0.0705236
0.10814,-0.991935,-0.0661033
0.120481,-0.990651,-0.0639937
0.133083,-0.988876,-0.0664307
0.152148,-0.985734,-0.0719683
0.172099,-0.982658,-0.0690307
0.189358,-0.97988,-0.0630734
0.204312,-0.977929,-0.0437184
0.208498,-0.977938,-0.0128836
0.200193,-0.979545,0.0203552
0.184836,-0.980779,0.0625142
0.175574,-0.980693,0.0861059
0.168559,-0.980375,0.102242
