x,y,z
0.695361,-0.0439834,0.717313
0.726601,-0.062038,0.684254
0.747874,-0.0755278,0.65953
0.766057,-0.0689852,0.639059
0.768896,-0.0544943,0.637048
0.838091,-0.0289377,0.544763
0.846948,-0.026082,0.531035
0.868502,0.132585,0.477625
0.892537,0.12313,0.43384
0.908053,0.106569,0.405072
0.914574,0.092483,0.393702
0.917886,0.0886617,0.386814
0.919525,0.0806959,0.384657
0.922153,0.0733388,0.379809
0.922976,0.0704419,0.378355
0.922492,0.0684956,0.37989
0.911953,0.0656782,0.405004
0.90287,0.0652847,0.424928
0.893514,0.0654715,0.444237
0.881483,0.0671405,0.467418
0.858859,0.0679014,0.507692
0.842788,0.0724959,0.533341
0.817262,0.0702529,0.571968
0.793704,0.0777014,0.603322
0.774009,0.0877272,0.627068
0.751647,0.0908743,0.653276
0.735718,0.0955191,0.670519
0.722167,0.090755,0.685739
0.720589,0.0849662,0.688137
0.719959,0.0783472,0.689581
0.715515,0.0745824,0.694604
0.714263,0.0649607,0.696856
0.70819,0.060944,0.703387
0.717986,0.0529529,0.69404
0.725197,0.0487466,0.686814
0.751345,0.0521707,0.657844
0.77016,0.0545983,0.63551
0.799458,0.0466983,0.598904
0.825575,0.0407959,0.562816
0.855121,0.0340719,0.517307
0.882047,0.0377247,0.469649
0.898901,0.0367042,0.436611
0.901777,0.0398841,0.430358
0.907532,0.0414937,0.417929
0.908784,0.0491113,0.414366
0.920144,0.0587388,0.387151
0.930115,0.064575,0.361547
0.931848,0.0772943,0.35452
0.936506,0.0900357,0.338895
0.940762,0.0948599,0.325528
0.938955,0.0895307,0.332186
0.932185,0.0792019,0.353211
0.923497,0.0667083,0.377761
0.91292,0.0539019,0.404563
0.903277,0.0443661,0.426758
0.892524,0.0367828,0.449498
0.883599,0.0295311,0.467313
0.870704,0.0201874,0.491392
0.856777,0.0175356,0.515389
0.846067,0.0229869,0.532581
0.828063,0.0353446,0.559519
0.807481,0.0387788,0.588618
0.796226,0.0469201,0.603177
0.78543,0.0531263,0.616666
0.766998,0.0740219,0.637366
0.763774,0.0890674,0.63931
0.764078,0.09938,0.637424
0.768027,0.107233,0.631376
0.78509,0.112015,0.609168
0.804666,0.114301,0.582622
0.832942,0.117537,0.540734
0.85592,0.121575,0.502613
0.875249,0.13167,0.465405
0.902055,0.131783,0.411011
0.926953,0.139149,0.348418
0.952416,0.15168,0.26438
0.967831,0.148517,0.20309
0.980436,0.14195,0.136363
0.985397,0.143542,0.0915919
0.988024,0.150188,0.0353808
0.988425,0.151504,0.00791941
0.988264,0.151716,-0.017811
0.987829,0.152908,-0.0285231
0.986015,0.162689,-0.0361439
0.984806,0.169811,-0.0363428
0.985359,0.16917,-0.0212049
0.984615,0.174631,0.00610589
0.983409,0.178369,0.0330351
0.981771,0.17751,0.0679474
0.978371,0.173414,0.112777
