x,y,z
-0.695361,0.0439837,-0.717313
-0.7266,0.062038,-0.684254
-0.747874,0.0755276,-0.65953
-0.766057,0.0689849,-0.63906
-0.768896,0.0544938,-0.637047
-0.838091,0.0289377,-0.544762
-0.846948,0.026082,-0.531035
-0.868501,-0.132585,-0.477626
-0.892536,-0.12313,-0.433841
-0.908053,-0.106569,-0.405072
-0.914574,-0.092483,-0.393702
-0.917886,-0.0886617,-0.386814
-0.919526,-0.0806956,-0.384657
-0.922153,-0.073339,-0.379809
-0.922976,-0.0704416,-0.378356
-0.922492,-0.0684957,-0.37989
-0.911953,-0.0656782,-0.405003
-0.90287,-0.0652844,-0.424928
-0.893514,-0.0654715,-0.444236
-0.881483,-0.0671406,-0.467418
-0.858859,-0.0679017,-0.507691
-0.842788,-0.0724957,-0.533341
-0.817262,-0.0702529,-0.571968
-0.793703,-0.0777014,-0.603322
-0.77401,-0.0877275,-0.627067
-0.751647,-0.0908741,-0.653275
-0.735718,-0.095519,-0.670519
-0.722168,-0.090755,-0.685739
-0.720589,-0.0849662,-0.688136
-0.719958,-0.0783473,-0.689581
-0.715516,-0.0745827,-0.694604
-0.714263,-0.0649607,-0.696856
-0.708189,-0.0609437,-0.703388
-0.717986,-0.0529529,-0.69404
-0.725197,-0.0487464,-0.686814
-0.751345,-0.0521708,-0.657844
-0.77016,-0.0545984,-0.63551
-0.799458,-0.0466986,-0.598905
-0.825575,-0.0407956,-0.562815
-0.855121,-0.0340718,-0.517308
-0.882047,-0.0377247,-0.469649
-0.898901,-0.0367039,-0.436611
-0.901777,-0.0398841,-0.430358
-0.907532,-0.041494,-0.417929
-0.908785,-0.0491113,-0.414365
-0.920144,-0.0587386,-0.387151
-0.930115,-0.0645747,-0.361547
-0.931848,-0.0772941,-0.35452
-0.936506,-0.0900362,-0.338896
-0.940762,-0.09486,-0.325528
-0.938955,-0.0895303,-0.332187
-0.932185,-0.0792017,-0.353212
-0.923497,-0.0667083,-0.37776
-0.91292,-0.0539016,-0.404563
-0.903277,-0.0443663,-0.426759
-0.892524,-0.0367828,-0.449497
-0.883599,-0.0295313,-0.467313
-0.870705,-0.0201874,-0.491392
-0.856777,-0.0175357,-0.515388
-0.846067,-0.0229869,-0.53258
-0.828064,-0.0353443,-0.559518
-0.80748,-0.0387783,-0.588618
-0.796226,-0.0469198,-0.603178
-0.785429,-0.0531263,-0.616667
-0.766998,-0.0740217,-0.637366
-0.763774,-0.0890668,-0.63931
-0.764078,-0.09938,-0.637424
-0.768028,-0.107233,-0.631375
-0.78509,-0.112016,-0.609168
-0.804666,-0.114301,-0.582621
-0.832942,-0.117537,-0.540734
-0.85592,-0.121575,-0.502613
-0.875249,-0.13167,-0.465405
-0.902055,-0.131783,-0.411012
-0.926953,-0.139148,-0.348419
-0.952416,-0.15168,-0.26438
-0.967831,-0.148517,-0.203089
-0.980436,-0.141949,-0.136363
-0.985397,-0.143542,-0.0915919
-0.988024,-0.150188,-0.0353798
