x,y,z
-0.749271,0.652427,-0.113716
-0.744872,0.663797,-0.0673826
-0.726633,0.685632,-0.0437398
-0.730075,0.683323,0.00777944
-0.719041,0.689795,0.0846351
-0.70322,0.691164,0.166656
-0.695657,0.679527,0.233033
-0.687582,0.668287,0.283942
-0.696024,0.658006,0.287364
-0.698041,0.659084,0.279904
-0.695588,0.664758,0.272497
-0.683477,0.684591,0.253366
-0.673357,0.698605,0.241952
-0.627834,0.73832,0.24639
-0.605528,0.754506,0.253094
-0.585009,0.767426,0.262338
-0.589761,0.761292,0.269473
-0.608935,0.729194,0.312208
-0.641044,0.71177,0.287132
-0.660167,0.699802,0.272866
-0.682711,0.681733,0.262955
-0.696374,0.669914,0.257447
-0.699433,0.66067,0.272595
-0.706229,0.656257,0.265643
-0.69652,0.666566,0.265613
-0.692924,0.66813,0.271034
-0.687563,0.663377,0.295277
-0.674552,0.659344,0.332031
-0.684193,0.64623,0.338033
-0.6864,0.638886,0.347391
-0.689507,0.630222,0.356932
-0.688634,0.620791,0.374701
-0.675836,0.622777,0.394201
-0.649637,0.639001,0.411885
-0.634503,0.651117,0.416476
-0.623836,0.655902,0.424996
-0.630199,0.648575,0.426849
-0.626983,0.654863,0.421955
-0.630701,0.664063,0.401542
-0.643661,0.662135,0.383767
-0.649654,0.67361,0.352419
-0.669909,0.634013,0.386328
-0.663128,0.66646,0.340723
-0.650356,0.701954,0.290342
-0.647629,0.727693,0.22592
-0.643335,0.737759,0.204527
-0.595848,0.763146,0.250145
-0.615565,0.768165,0.176076
-0.633537,0.760221,0.143854
-0.655533,0.742089,0.139931
-0.661282,0.736079,0.144546
-0.628005,0.725275,0.282109
-0.665656,0.709843,0.230271
-0.683777,0.690073,0.237167
-0.703,0.667352,0.245831
-0.715978,0.652406,0.248478
-0.699986,0.662036,0.267821
-0.727234,0.608869,0.316874
-0.71444,0.637861,0.287593
-0.708459,0.667509,0.229169
-0.70496,0.663501,0.250595
-0.704603,0.685444,0.183577
-0.689768,0.712668,0.127766
-0.676522,0.729754,0.0988801
-0.671802,0.735827,0.0850917
-0.656015,0.753113,0.0496476
-0.648565,0.761127,0.00699665
