x,y,z
-0.659876,0.581312,-0.476067
-0.656103,0.605981,-0.449796
-0.672861,0.607682,-0.421876
-0.681215,0.618569,-0.391559
-0.695168,0.630174,-0.345864
-0.710965,0.644189,-0.282044
-0.699294,0.687461,-0.195919
-0.701858,0.683744,-0.199723
-0.702658,0.689371,-0.176179
-0.703173,0.694326,-0.153162
-0.706595,0.696127,-0.127009
-0.70346,0.70223,-0.109625
-0.697344,0.710428,-0.0948845
-0.674542,0.736066,-0.0565629
-0.660516,0.747138,-0.0741865
-0.644561,0.761679,-0.0662213
-0.639385,0.763602,-0.0899869
-0.622657,0.773376,-0.119115
-0.636978,0.760124,-0.12834
-0.651687,0.74079,-0.162893
-0.660573,0.730316,-0.174018
-0.663769,0.72711,-0.175278
-0.664452,0.722139,-0.192404
-0.667739,0.71529,-0.206118
-0.678703,0.701902,-0.216091
-0.673971,0.703993,-0.223958
-0.673497,0.698808,-0.240974
-0.683434,0.68928,-0.240438
-0.683128,0.693463,-0.229009
-0.697609,0.685355,-0.208878
-0.710982,0.680797,-0.176123
-0.723697,0.672371,-0.155499
-0.725725,0.676275,-0.126392
-0.742165,0.663657,-0.0935465
-0.747084,0.660737,-0.0727436
-0.744055,0.667087,-0.0371061
-0.725698,0.687784,-0.0177648
-0.716435,0.697372,-0.0198478
-0.715656,0.697437,-0.0376591
-0.707098,0.704094,-0.0652939
-0.685145,0.724619,-0.0741872
-0.634671,0.756591,-0.15736
-0.62254,0.758002,-0.19462
-0.610184,0.760545,-0.221914
-0.591328,0.780052,-0.204575
-0.60445,0.762153,-0.23187
-0.613651,0.729623,-0.3018
-0.617584,0.730268,-0.292059
-0.610705,0.726289,-0.315506
-0.606127,0.725492,-0.325992
-0.620735,0.711503,-0.329321
-0.630041,0.645877,-0.431151
-0.641215,0.677801,-0.359763
-0.653484,0.693711,-0.302859
-0.654289,0.706667,-0.26931
-0.660643,0.720268,-0.211576
-0.674082,0.710693,-0.201316
-0.638463,0.734024,-0.231461
-0.643089,0.724687,-0.24752
-0.644857,0.733967,-0.213193
-0.621154,0.732729,-0.277985
-0.603722,0.747325,-0.277533
-0.580576,0.758816,-0.295179
-0.554865,0.766594,-0.323199
-0.521115,0.774195,-0.359252
-0.488584,0.783611,-0.383719
-0.463262,0.787144,-0.407176
-0.484111,0.754557,-0.443036
-0.507747,0.731915,-0.454415
-0.566203,0.725549,-0.391142
-0.588371,0.680916,-0.436088
-0.61709,0.695626,-0.367836
-0.613077,0.74073,-0.274693
-0.588614,0.787504,-0.182677
-0.600287,0.79123,-0.116661
-0.611951,0.785908,-0.0886801
-0.62074,0.781343,-0.0646954
-0.637963,0.768324,-0.0517833
-0.643444,0.765481,0.00435988
-0.656316,0.754025,0.0263721
-0.653892,0.755819,0.0340958
-0.683058,0.729455,0.0364313
-0.684054,0.726548,0.0647933
-0.692405,0.718564,0.0651267
-0.686831,0.722104,0.0826349
-0.692727,0.714721,0.0964461
-0.648848,0.748421,0.137343
-0.611356,0.724334,-0.318723
-0.586879,0.730944,-0.348271
-0.567168,0.708466,-0.419995
-0.55385,0.672834,-0.490454
-0.535553,0.643399,-0.547011
-0.521446,0.651058,-0.55156
-0.517626,0.664668,-0.538776
-0.53093,0.642424,-0.552634
-0.554223,0.619536,-0.555889
-0.558729,0.609276,-0.562677
-0.581955,0.600763,-0.548098
-0.635021,0.588154,-0.500822
-0.676357,0.578928,-0.455393
-0.715568,0.58007,-0.389206
-0.715759,0.594924,-0.365724
-0.765241,0.571687,-0.295941
-0.752186,0.609243,-0.251077
-0.736281,0.631771,-0.242396
-0.729428,0.639973,-0.241596
-0.712286,0.659879,-0.239184
-0.685993,0.678331,-0.263213
-0.693196,0.648133,-0.315282
-0.680803,0.631151,-0.371693
-0.674552,0.621108,-0.399004
-0.642856,0.625137,-0.442651
-0.613199,0.634403,-0.470659
-0.574667,0.650413,-0.496711
-0.565263,0.66377,-0.489783
-0.529879,0.685637,-0.499129
-0.515636,0.683763,-0.516321
-0.508113,0.692279,-0.512417
-0.514809,0.691262,-0.507078
-0.542517,0.676477,-0.498051
-0.586388,0.662651,-0.465879
-0.647233,0.639106,-0.41549
-0.68732,0.627923,-0.365108
-0.712603,0.617242,-0.33348
-0.735863,0.626491,-0.256933
-0.744544,0.635473,-0.204519
-0.754334,0.633937,-0.170597
-0.751665,0.642444,-0.149214
-0.751726,0.646175,-0.131783
-0.74946,0.644744,-0.150383
-0.739481,0.661447,-0.125117
-0.713544,0.684082,-0.151285
-0.706509,0.687046,-0.169743
-0.64304,0.726539,-0.242156
-0.648177,0.72933,-0.218962
-0.651741,0.715266,-0.252248
-0.651593,0.718569,-0.243073
-0.63064,0.745899,-0.214307
-0.599805,0.711923,-0.365239
-0.61622,0.712623,-0.335324
-0.602355,0.747357,-0.280403
-0.583323,0.702289,-0.408074
-0.598698,0.709099,-0.372479
-0.591557,0.707787,-0.386133
-0.590963,0.702074,-0.397308
-0.620676,0.693697,-0.365439
-0.647248,0.680071,-0.344344
-0.668945,0.670572,-0.320695
-0.520222,0.728502,-0.445706
-0.682522,0.611126,-0.40086
-0.713668,0.603651,-0.355362
-0.739658,0.601764,-0.301307
-0.759768,0.596003,-0.259871
-0.771781,0.596754,-0.219632
-0.770356,0.610852,-0.18279
-0.777115,0.615794,-0.129965
-0.787037,0.610907,-0.0858212
-0.783474,0.618438,-0.0608466
-0.785507,0.618321,-0.0256397
-0.791549,0.611105,-0.000678334
-0.780708,0.62486,0.00667609
-0.765519,0.643399,0.00431637
-0.759327,0.650709,-0.00110295
-0.699001,0.706333,-0.111762
-0.699208,0.705154,-0.117751
-0.696078,0.705168,-0.134958
-0.688366,0.714236,-0.126564
-0.698753,0.705635,-0.11757
-0.708621,0.699901,-0.089415
-0.7359,0.676776,-0.0206352
-0.744372,0.667241,0.0264683
-0.757017,0.651263,0.0527391
-0.76984,0.636447,0.047767
-0.782973,0.621359,0.0294181
-0.788014,0.615616,-0.00709346
-0.785006,0.616443,-0.0613507
-0.786327,0.61032,-0.0959068
-0.778986,0.610412,-0.143451
-0.778737,0.603087,-0.172785
-0.778116,0.595315,-0.200338
-0.772758,0.587671,-0.239767
-0.761527,0.58042,-0.288425
-0.744496,0.56948,-0.348452
-0.718254,0.570212,-0.398709
-0.693739,0.57897,-0.428391
-0.68481,0.605842,-0.404957
-0.671583,0.613637,-0.415241
-0.667283,0.625982,-0.403585
-0.674497,0.643309,-0.362226
-0.688833,0.632992,-0.353312
-0.716417,0.635866,-0.287092
-0.725714,0.632721,-0.27019
-0.748407,0.622951,-0.227636
-0.75872,0.621631,-0.194729
-0.758989,0.620069,-0.19862
-0.747351,0.63005,-0.210957
-0.740039,0.633725,-0.225244
-0.715479,0.664235,-0.21652
-0.702811,0.671175,-0.235756
-0.691686,0.675604,-0.255205
-0.64532,0.722168,-0.249068
-0.619693,0.743228,-0.252177
-0.62308,0.736525,-0.263252
-0.601382,0.720974,-0.34429
-0.621072,0.710719,-0.330375
-0.634968,0.702453,-0.321521
-0.668469,0.669099,-0.324741
-0.684187,0.645631,-0.339188
-0.697809,0.638986,-0.323668
-0.713529,0.614918,-0.335786
-0.700114,0.611573,-0.368536
-0.676265,0.627839,-0.385335
-0.682668,0.632867,-0.365299
-0.678009,0.628056,-0.381903
-0.692007,0.617351,-0.374171
-0.640068,0.685728,-0.34654
-0.601478,0.720909,-0.344259
-0.562714,0.730898,-0.386187
-0.594657,0.709153,-0.378794
-0.59328,0.740831,-0.31494
-0.593648,0.723263,-0.352807
-0.573343,0.751996,-0.325239
-0.585363,0.730046,-0.35268
-0.613553,0.726328,-0.30984
-0.646818,0.677551,-0.350073
-0.678631,0.671605,-0.297334
-0.700508,0.665286,-0.258231
-0.710694,0.664888,-0.229864
-0.718462,0.662324,-0.212461
-0.722102,0.661964,-0.20093
-0.721324,0.663917,-0.197246
-0.724907,0.659722,-0.198182
-0.712717,0.676777,-0.184411
-0.703583,0.682195,-0.198946
-0.670828,0.714173,-0.199869
-0.652353,0.727551,-0.21238
-0.621433,0.736988,-0.265837
-0.630374,0.73312,-0.255269
-0.628358,0.74192,-0.233924
-0.6082,0.748044,-0.26556
-0.602502,0.733303,-0.315052
-0.608147,0.709708,-0.355629
-0.623779,0.687238,-0.372295
-0.649149,0.661819,-0.374969
-0.671015,0.632031,-0.387655
-0.674338,0.620151,-0.400851
-0.670448,0.621634,-0.405057
-0.670588,0.627199,-0.396148
-0.65064,0.645002,-0.400799
-0.651935,0.654977,-0.382082
-0.622817,0.703075,-0.343198
-0.595359,0.709259,-0.37749
-0.598409,0.710126,-0.370981
-0.602616,0.718268,-0.347771
-0.643906,0.695768,-0.318264
-0.675302,0.669677,-0.309031
-0.677455,0.676699,-0.288329
-0.695706,0.665786,-0.269673
-0.706714,0.66313,-0.246603
-0.690799,0.685967,-0.228575
-0.676034,0.705288,-0.213418
-0.655802,0.725038,-0.210344
-0.647913,0.730409,-0.216129
-0.641465,0.736471,-0.214787
-0.63416,0.740396,-0.222832
-0.624471,0.744099,-0.237386
-0.623617,0.739267,-0.25414
-0.631943,0.720477,-0.285589
-0.637526,0.704323,-0.312232
-0.65784,0.685896,-0.311116
-0.667821,0.670738,-0.322685
-0.697096,0.630605,-0.341167
-0.682422,0.614704,-0.395525
-0.67371,0.595165,-0.438056
-0.674426,0.607209,-0.420056
-0.66235,0.631597,-0.402961
-0.665614,0.634529,-0.39285
-0.639827,0.661505,-0.391195
-0.630543,0.682988,-0.368705
-0.637562,0.695593,-0.331157
-0.642155,0.69094,-0.332022
-0.653916,0.686874,-0.317173
-0.636636,0.680359,-0.363053
-0.673125,0.65853,-0.336514
-0.680874,0.662856,-0.3115
-0.685171,0.662944,-0.301739
-0.675695,0.67103,-0.305213
-0.658798,0.687465,-0.305578
-0.652555,0.69499,-0.301928
-0.660879,0.68584,-0.304733
-0.654815,0.690302,-0.307734
-0.653402,0.68349,-0.325436
-0.660266,0.66369,-0.351517
-0.675016,0.652393,-0.344582
-0.677563,0.653197,-0.337997
-0.694047,0.639102,-0.331432
-0.701993,0.631172,-0.329891
-0.706783,0.635273,-0.311267
-0.702166,0.641742,-0.308432
-0.706863,0.641822,-0.297338
-0.700993,0.655002,-0.282102
-0.694786,0.672563,-0.254817
-0.697749,0.675122,-0.239493
-0.690925,0.689822,-0.216257
-0.695058,0.690969,-0.198635
-0.68584,0.689018,-0.23426
-0.699288,0.678868,-0.223908
-0.713474,0.669949,-0.205238
-0.721756,0.665442,-0.190411
-0.753941,0.636928,-0.160924
-0.771464,0.621062,-0.138295
-0.775599,0.62384,-0.0962813
-0.778938,0.623714,-0.0650945
-0.777758,0.628322,-0.0174508
-0.775762,0.630924,-0.0113041
-0.767906,0.640555,-0.00315746
-0.771044,0.636401,-0.0220308
-0.771472,0.635707,-0.0266023
-0.763584,0.64402,-0.0466578
-0.752216,0.654023,-0.0801585
-0.732422,0.672221,-0.10806
-0.714324,0.6857,-0.139849
-0.702579,0.690628,-0.171513
-0.700874,0.688381,-0.186834
-0.711091,0.677049,-0.189615
-0.695486,0.708336,-0.120663
-0.68811,0.716877,-0.112211
-0.678977,0.723475,-0.124796
-0.662715,0.728656,-0.172829
-0.680577,0.713971,-0.1645
-0.691098,0.698397,-0.186079
-0.691497,0.684386,-0.231186
-0.689248,0.680982,-0.247388
-0.670829,0.700132,-0.244546
-0.685662,0.675015,-0.272437
-0.659239,0.698997,-0.27714
-0.631493,0.714748,-0.300587
-0.594606,0.728024,-0.341211
-0.544579,0.725003,-0.421669
-0.543872,0.718816,-0.43302
-0.5294,0.737993,-0.418451
-0.532422,0.708197,-0.463664
-0.539205,0.741421,-0.399442
-0.549631,0.730436,-0.405424
-0.591476,0.70886,-0.384283
-0.614883,0.691588,-0.378979
-0.650951,0.659044,-0.376727
-0.685465,0.634161,-0.357739
-0.724435,0.59766,-0.343506
-0.754265,0.578,-0.31145
-0.746612,0.570248,-0.34262
-0.726888,0.577359,-0.371874
-0.713912,0.560097,-0.420263
-0.710427,0.566346,-0.417787
-0.705914,0.574745,-0.41395
-0.712421,0.570189,-0.409074
-0.715861,0.594358,-0.366445
-0.725386,0.589782,-0.354925
-0.731833,0.593141,-0.335564
-0.738402,0.601055,-0.30577
-0.736094,0.60167,-0.310095
-0.740703,0.597865,-0.306458
-0.737671,0.600927,-0.30778
-0.724096,0.618096,-0.306011
-0.722446,0.620107,-0.30584
-0.715676,0.634591,-0.291722
-0.705682,0.648473,-0.285476
-0.697914,0.658885,-0.28069
-0.699031,0.655335,-0.286166
-0.679699,0.660937,-0.318075
-0.657474,0.667362,-0.349794
-0.615667,0.668645,-0.416975
-0.592128,0.659981,-0.462395
-0.601738,0.6759,-0.425524
-0.602279,0.646644,-0.468094
-0.587362,0.691956,-0.419765
-0.588325,0.674448,-0.446087
-0.589352,0.691439,-0.417824
-0.610331,0.697845,-0.374845
-0.624899,0.683015,-0.378142
-0.652649,0.661121,-0.370093
-0.645109,0.643134,-0.41257
-0.650251,0.618957,-0.440529
-0.658765,0.59736,-0.457373
-0.672706,0.587092,-0.450322
-0.687237,0.572116,-0.447648
-0.688629,0.55784,-0.463254
-0.693041,0.544611,-0.472328
-0.690025,0.54473,-0.476587
-0.692624,0.541891,-0.476053
-0.69756,0.452433,-0.55562
-0.685901,0.517962,-0.511132
-0.686391,0.502015,-0.526163
-0.67652,0.563928,-0.47361
-0.663124,0.593707,-0.455827
-0.671133,0.590243,-0.448546
-0.703266,0.585891,-0.402677
-0.736829,0.586409,-0.336462
-0.765576,0.572688,-0.293123
-0.781989,0.562276,-0.26896
-0.780786,0.567026,-0.262401
-0.774304,0.576358,-0.261273
-0.773528,0.580686,-0.253886
-0.771753,0.594407,-0.226005
-0.754556,0.611123,-0.23911
-0.737438,0.63445,-0.231645
-0.713698,0.652792,-0.253965
-0.682116,0.686199,-0.252684
-0.688194,0.682135,-0.247146
-0.676042,0.695476,-0.243474
-0.678467,0.696072,-0.234875
-0.681486,0.707482,-0.187204
-0.681124,0.701286,-0.210401
-0.691926,0.690884,-0.209564
-0.701143,0.688198,-0.1865
-0.717651,0.673637,-0.17661
-0.723865,0.664322,-0.186266
-0.728854,0.656934,-0.192901
-0.725554,0.65473,-0.211897
-0.728166,0.652837,-0.208755
-0.726608,0.650182,-0.222046
-0.727392,0.65107,-0.216814
-0.721249,0.645655,-0.250859
-0.713814,0.646937,-0.268221
-0.705766,0.64203,-0.299485
-0.684379,0.639027,-0.351099
-0.659002,0.639581,-0.395794
-0.621659,0.638558,-0.453634
-0.6131,0.66381,-0.428328
-0.612044,0.658613,-0.437758
-0.631945,0.624736,-0.458639
-0.649475,0.618013,-0.442991
-0.66797,0.596643,-0.444784
-0.685422,0.582583,-0.436799
-0.698558,0.585893,-0.410787
-0.706477,0.589505,-0.391629
-0.691983,0.611983,-0.382931
-0.664428,0.637502,-0.390034
-0.62533,0.668053,-0.403322
-0.622758,0.681597,-0.384184
-0.61621,0.706777,-0.347493
-0.598563,0.712654,-0.365851
-0.596637,0.703161,-0.386768
-0.605157,0.692932,-0.391957
-0.626456,0.663559,-0.408953
-0.631105,0.650136,-0.423119
-0.651712,0.636531,-0.412431
-0.667211,0.648941,-0.365657
-0.686355,0.653499,-0.319148
-0.684561,0.663347,-0.302236
-0.669722,0.674952,-0.309697
-0.646106,0.69681,-0.311452
-0.625054,0.719049,-0.30377
-0.612725,0.731146,-0.29999
-0.615031,0.741083,-0.269321
-0.614863,0.739409,-0.274257
-0.632315,0.722484,-0.279633
-0.650556,0.703548,-0.286001
-0.650027,0.709554,-0.272026
-0.676323,0.678382,-0.28703
-0.70166,0.645935,-0.300735
-0.711791,0.627134,-0.316317
-0.721719,0.616459,-0.314802
-0.716033,0.622653,-0.315594
-0.72734,0.596471,-0.339409
-0.728489,0.591375,-0.345804
-0.733516,0.597796,-0.323409
-0.744933,0.583402,-0.3236
-0.739109,0.579877,-0.342725
-0.724971,0.587559,-0.359432
-0.706909,0.586647,-0.395127
-0.692636,0.585599,-0.421104
-0.69113,0.58831,-0.419797
-0.681079,0.597621,-0.42306
-0.66551,0.609472,-0.43086
-0.66812,0.629716,-0.396324
-0.681501,0.620903,-0.387343
-0.681561,0.628014,-0.375596
-0.676998,0.638102,-0.366741
-0.669761,0.652625,-0.35426
-0.665294,0.662186,-0.34481
-0.666772,0.66583,-0.334791
-0.676713,0.649493,-0.346726
-0.673536,0.655887,-0.340824
-0.616908,0.703684,-0.352496
-0.613351,0.695969,-0.3734
-0.572718,0.719165,-0.39344
-0.533454,0.730765,-0.425921
-0.539195,0.750886,-0.381364
-0.529863,0.768504,-0.358672
-0.527782,0.759736,-0.379799
-0.538692,0.754977,-0.373926
-0.542733,0.76127,-0.354836
-0.582323,0.699766,-0.413796
-0.601312,0.717075,-0.35246
-0.607729,0.725436,-0.323123
-0.607286,0.727961,-0.318239
-0.610191,0.674633,-0.415376
-0.627071,0.682209,-0.375995
-0.631944,0.700912,-0.33071
-0.650446,0.696129,-0.303848
-0.65297,0.699113,-0.291327
-0.642603,0.704907,-0.300279
-0.629443,0.680292,-0.375506
-0.632362,0.684743,-0.362277
