x,y,z
-0.0580598,0.837062,0.544019
-0.0511144,0.852347,0.520473
-0.0463926,0.864521,0.50045
-0.0256191,0.870745,0.491067
-0.0112811,0.88545,0.464598
-0.00182984,0.896426,0.443189
0.016622,0.907034,0.420729
0.0358322,0.910543,0.411859
0.0509105,0.913448,0.403758
0.0548586,0.915121,0.39943
0.0499881,0.912482,0.406052
0.0437337,0.912463,0.406814
0.0416643,0.911375,0.409464
0.0348183,0.907355,0.41892
0.037788,0.906166,0.421231
0.0383118,0.905948,0.421653
0.0332416,0.907334,0.419095
0.0278875,0.905264,0.423934
0.0268889,0.904741,0.425112
0.0258526,0.902941,0.428987
0.0253592,0.90222,0.43053
0.0350813,0.901788,0.430752
0.0339148,0.900188,0.434179
0.0331819,0.896766,0.44126
0.0339681,0.89254,0.449687
0.037506,0.889285,0.455813
0.0404171,0.892244,0.449741
0.0399714,0.897437,0.439327
0.0523111,0.902099,0.428347
0.0648096,0.905142,0.42014
0.0748799,0.91352,0.399844
0.0908832,0.92518,0.368486
0.107905,0.932816,0.343818
0.113793,0.936803,0.330833
0.111426,0.941375,0.318431
0.0991048,0.944593,0.312924
0.0874391,0.943883,0.318494
0.0748522,0.939842,0.333309
0.0700433,0.932868,0.353343
0.06048,0.929944,0.362693
0.0725224,0.927693,0.366232
0.082006,0.927134,0.365646
0.0835111,0.923458,0.374502
0.0647175,0.917631,0.392129
0.0540619,0.912748,0.40493
0.0481185,0.905978,0.420581
0.0482079,0.897091,0.439209
0.0533345,0.88829,0.456175
0.0666647,0.88062,0.46911
0.0844072,0.876378,0.474169
0.105058,0.874902,0.472768
0.127502,0.87813,0.461119
0.134243,0.878697,0.458116
0.124477,0.876096,0.46579
0.120849,0.873126,0.472278
0.0975437,0.870502,0.482401
0.0780054,0.865891,0.494113
0.074527,0.863927,0.498073
0.0607957,0.860569,0.505692
0.0456815,0.85181,0.521855
0.0420771,0.84906,0.526618
0.04215,0.844102,0.534523
0.0305537,0.826625,0.561922
0.0306022,0.818831,0.573219
0.0280317,0.808174,0.588277
0.0199668,0.793789,0.607865
0.0192622,0.777589,0.628478
0.0232049,0.778867,0.62676
0.0351465,0.789426,0.612839
0.0842998,0.820642,0.565191
0.104305,0.849478,0.517212
0.112885,0.870042,0.479879
0.126503,0.888272,0.441553
0.113344,0.906262,0.407238
0.10238,0.921836,0.373814
0.0912145,0.92991,0.356298
0.0764703,0.933736,0.349699
0.066551,0.937726,0.340942
0.0591236,0.94217,0.32988
0.0450218,0.944733,0.324734
0.0323955,0.945359,0.324419
0.0217804,0.947087,0.320238
0.0176435,0.949548,0.313124
0.0229297,0.954498,0.297335
0.0195157,0.956947,0.289606
0.0280681,0.959307,0.280965
0.0725997,0.972519,0.221216
0.015407,0.904271,0.426681
0.00632062,0.899487,0.436902
0.00984391,0.891863,0.452198
0.0105451,0.883776,0.467791
0.0197548,0.878518,0.477301
0.0331719,0.874947,0.483081
0.0341052,0.872601,0.487241
0.0361855,0.875773,0.481365
0.0402464,0.878459,0.476119
0.0539711,0.886081,0.460378
0.0565998,0.895511,0.441426
0.05644,0.905278,0.421054
0.0587179,0.914431,0.40046
0.0588844,0.924894,0.375638
0.0729107,0.938708,0.336915
0.0832659,0.94813,0.306784
0.0863668,0.951769,0.294409
0.0802593,0.952712,0.293084
0.0806,0.947512,0.309394
0.0692748,0.940725,0.332021
0.0598381,0.930635,0.361025
0.0503955,0.919812,0.38911
0.0435857,0.908264,0.416121
0.037739,0.893062,0.448347
0.0437068,0.881399,0.470347
0.0391312,0.870972,0.489773
0.0416215,0.862042,0.505125
0.0231774,0.854262,0.519325
0.025727,0.848428,0.528685
0.0221453,0.843538,0.536612
0.0214894,0.843863,0.536128
0.0240441,0.846684,0.531552
0.0291333,0.854993,0.517821
0.029329,0.868478,0.49486
0.0200837,0.88343,0.468132
0.0186088,0.893315,0.449046
0.0273084,0.906112,0.422154
0.0360397,0.915183,0.401425
0.0414142,0.926734,0.373429
0.0442171,0.932176,0.359295
0.0505766,0.935206,0.350474
0.0464353,0.934649,0.352527
0.0429814,0.934505,0.353346
0.0458125,0.933728,0.355039
0.0441141,0.93003,0.364826
0.0426963,0.926021,0.375051
0.0357989,0.918937,0.392777
0.0305198,0.910322,0.412774
0.0307501,0.903107,0.428313
0.0327545,0.896967,0.440883
0.0415291,0.894825,0.444482
0.0428077,0.892543,0.448925
0.0411598,0.891082,0.451973
0.0332132,0.890607,0.453558
0.0297396,0.893333,0.448411
0.0327026,0.892978,0.44891
0.038635,0.893876,0.446645
0.047221,0.896101,0.441332
0.0446561,0.894918,0.443991
0.0512225,0.894106,0.444917
0.0578789,0.894274,0.443761
0.0253316,0.828178,0.559892
0.134205,0.883005,0.449768
0.143936,0.902665,0.405559
0.149457,0.920767,0.360348
0.152748,0.929899,0.334597
0.161259,0.937608,0.308037
0.158209,0.946636,0.280803
0.152658,0.952093,0.26498
0.142313,0.955035,0.260106
0.129588,0.956112,0.262787
0.111829,0.955542,0.272825
0.0921014,0.955688,0.279602
0.0871393,0.954596,0.284873
0.0944098,0.953638,0.285766
0.0902259,0.952241,0.291714
0.103565,0.953379,0.283447
0.109957,0.953637,0.280152
0.129562,0.953131,0.273412
0.12963,0.954419,0.26885
0.121772,0.956908,0.263625
0.13056,0.956477,0.260971
0.127287,0.951069,0.281543
0.115249,0.947569,0.298044
0.11964,0.944207,0.306854
0.125022,0.942936,0.308612
0.127209,0.940162,0.316089
0.126267,0.935591,0.329737
0.129438,0.927538,0.350599
0.130787,0.923305,0.361112
0.121912,0.918781,0.37547
0.110424,0.913301,0.39203
0.097792,0.905179,0.413628
0.0821874,0.902226,0.423361
0.0706901,0.896958,0.436427
0.0538924,0.894745,0.443314
0.0545013,0.88664,0.459238
0.0512691,0.883861,0.464932
0.0649813,0.87934,0.47174
0.0725454,0.879609,0.470133
0.0774891,0.87943,0.469679
0.0801477,0.882247,0.463914
0.0817469,0.887664,0.453178
0.0798193,0.88938,0.450147
0.0739689,0.894498,0.44091
0.0669303,0.897195,0.436533
0.0607199,0.896543,0.438776
0.0565172,0.895308,0.441847
0.0558626,0.892141,0.44829
0.0516208,0.889113,0.454767
0.0486637,0.883637,0.465637
0.044985,0.879909,0.473008
0.0440706,0.877411,0.477712
0.0473945,0.866358,0.497169
0.0432764,0.860998,0.506763
0.0355429,0.857404,0.513415
0.0449653,0.852201,0.521279
0.0428347,0.851848,0.522035
0.0461049,0.851097,0.52298
0.0509303,0.853092,0.519268
0.0489709,0.856041,0.514582
0.0499382,0.85977,0.508234
0.0540355,0.863334,0.501732
0.0596196,0.868031,0.492918
0.0614762,0.873335,0.483225
0.0629297,0.87676,0.476792
0.0619278,0.875172,0.479831
0.0584792,0.874807,0.480929
0.0509689,0.873786,0.483632
0.0527864,0.868155,0.493478
0.0469608,0.863882,0.5015
0.0435217,0.860455,0.507665
0.0253259,0.855159,0.517747
0.0224021,0.855755,0.516896
0.0326874,0.857542,0.513374
0.0214015,0.855435,0.517468
0.0126845,0.864384,0.502672
0.0107349,0.872471,0.488549
0.0208475,0.883365,0.468222
0.0213398,0.890273,0.454927
0.0222959,0.893027,0.44945
0.0211043,0.895882,0.443791
0.0169197,0.895165,0.445413
0.0161932,0.89434,0.447095
0.0138959,0.892612,0.450612
0.0100213,0.890129,0.455598
0.00437642,0.887081,0.461593
0.00682583,0.880731,0.473568
0.00719785,0.877545,0.47944
0.0107008,0.874028,0.485758
0.00983941,0.870562,0.49196
0.000614243,0.865846,0.500311
-5.08731e-05,0.858839,0.512245
0.0110143,0.857513,0.514345
0.0294185,0.856713,0.514953
0.0403399,0.855906,0.515556
0.0461716,0.855123,0.516365
0.0487477,0.857394,0.512346
0.046409,0.860756,0.506898
0.0571352,0.863647,0.500849
0.0594287,0.863639,0.500596
0.0648324,0.865919,0.495964
0.0611311,0.866559,0.495317
0.0511599,0.869915,0.490541
0.0446165,0.870504,0.490135
0.0504529,0.873097,0.48493
0.0434028,0.874894,0.482365
0.0197795,0.8749,0.483899
0.0213586,0.876742,0.480487
0.0276758,0.879273,0.475514
0.0329001,0.8806,0.472716
0.0350465,0.884428,0.465358
0.0371467,0.887374,0.459552
0.0359946,0.887415,0.459564
0.036872,0.885611,0.462961
0.0336191,0.886382,0.461732
0.0290354,0.885191,0.464321
0.0255094,0.884626,0.465603
0.0176269,0.877248,0.479713
0.0151009,0.87474,0.484356
0.00655453,0.87113,0.49101
0.00176219,0.866543,0.4991
-0.0106073,0.862057,0.506701
-0.0132488,0.861276,0.507964
-0.0156369,0.858311,0.512892
-0.0021704,0.854554,0.519358
0.008266,0.848761,0.528711
0.000857644,0.843655,0.536885
-0.00224782,0.843682,0.536838
0.000104087,0.845626,0.533776
0.00835687,0.847091,0.531383
0.000600936,0.844102,0.536182
-0.00497301,0.838747,0.544499
0.0188885,0.831942,0.55454
0.0256627,0.828152,0.559915
0.0233282,0.823529,0.566795
0.00220464,0.83021,0.557446
-0.0086629,0.834552,0.550861
0.00117817,0.842581,0.538569
0.00690406,0.849899,0.526901
0.00288841,0.857141,0.515074
0.00108397,0.860594,0.50929
0.00777594,0.868434,0.495743
0.016615,0.874376,0.484965
0.0325269,0.886779,0.461048
0.0447108,0.893918,0.445995
0.0598363,0.897893,0.436127
0.0653318,0.896613,0.437969
0.0708609,0.897893,0.434473
0.0750845,0.898209,0.433109
0.0770575,0.894518,0.44034
0.083705,0.894737,0.43868
0.0786,0.892273,0.444601
0.0782345,0.89425,0.440678
0.0775592,0.894049,0.441205
0.0791869,0.891976,0.445093
0.083422,0.890351,0.447567
0.082972,0.894487,0.439327
0.118325,0.896489,0.426974
0.127329,0.90545,0.404904
0.133927,0.912958,0.385451
0.123128,0.921903,0.367334
0.120387,0.923415,0.364434
0.117359,0.926749,0.356879
0.109504,0.931009,0.348182
0.0997782,0.935716,0.338349
0.0894766,0.939344,0.331099
0.0593716,0.941189,0.332625
0.0502366,0.942761,0.329665
0.0344442,0.943472,0.329658
0.0478187,0.944235,0.325781
0.0595824,0.946534,0.317054
0.0755905,0.947465,0.310799
0.0852822,0.950245,0.299601
0.100286,0.95155,0.290681
0.121745,0.948638,0.292
0.126415,0.946244,0.297729
0.124298,0.942516,0.310184
0.107155,0.940423,0.322679
0.078389,0.939966,0.332143
0.066768,0.935537,0.346862
0.0769506,0.918301,0.388333
0.0696568,0.907042,0.415238
0.0726839,0.896493,0.437056
0.0707064,0.884402,0.46134
0.0739918,0.875553,0.477422
0.0817256,0.866913,0.491715
0.0814466,0.860471,0.502947
0.08124,0.857362,0.508262
0.07849,0.853303,0.515473
0.0672536,0.848188,0.525409
0.0632133,0.845971,0.529469
0.0593212,0.841989,0.536223
0.0615379,0.841964,0.536013
0.0528889,0.843711,0.534186
0.0387567,0.850886,0.523919
0.0414963,0.858731,0.510744
0.0478959,0.86978,0.49111
0.0414285,0.87624,0.480091
0.0501192,0.886818,0.459394
0.0592134,0.892234,0.447674
0.0625381,0.89916,0.433129
0.0686833,0.902237,0.425737
0.103403,0.903855,0.415155
0.1207,0.90752,0.402292
0.125613,0.906497,0.403093
0.11145,0.907543,0.4049
0.105377,0.905832,0.410323
0.0872417,0.906134,0.413897
0.0726709,0.912926,0.401604
0.0542984,0.914875,0.400069
0.0404163,0.917979,0.394564
0.0355199,0.920365,0.389443
0.031232,0.923631,0.382009
0.0246811,0.924546,0.38027
0.018322,0.924084,0.38175
0.021333,0.925252,0.378753
0.0221459,0.922546,0.38525
0.0210918,0.92121,0.388493
0.0245503,0.919513,0.392293
0.02935,0.916216,0.399609
0.0324514,0.911899,0.40913
0.0585758,0.907459,0.416038
0.0698621,0.90004,0.430171
0.0853466,0.892592,0.442713
0.074718,0.887757,0.454208
0.0611185,0.883242,0.464917
0.0527931,0.88004,0.471957
0.0572403,0.878303,0.474665
