x,y,z
0.0256055,-0.995543,-0.0907612
0.0204681,-0.993812,-0.109169
0.0108543,-0.993095,-0.116806
0.0122433,-0.993884,-0.109744
0.0182431,-0.995203,-0.0961115
0.0211479,-0.99824,-0.0554092
0.0281412,-0.997808,-0.0599021
0.138731,-0.989914,0.0286895
0.142387,-0.989807,-0.00282243
0.127444,-0.991762,-0.0128717
0.112246,-0.993575,-0.0144722
0.107997,-0.993999,-0.0174042
0.103115,-0.994295,-0.0272859
0.0982737,-0.994491,-0.036463
0.0950437,-0.994802,-0.0365579
0.0940852,-0.994815,-0.0386084
0.095807,-0.994371,-0.0452527
0.0965878,-0.994337,-0.0443193
0.0992925,-0.994039,-0.0450249
0.104043,-0.993492,-0.0463553
0.111666,-0.992537,-0.0490052
0.114319,-0.992656,-0.0395606
0.115824,-0.992573,-0.0371921
0.125958,-0.991467,-0.0335906
0.135463,-0.990436,-0.0261762
0.140117,-0.989841,-0.0241356
0.139754,-0.990066,-0.0154066
0.130621,-0.991378,-0.0103422
0.119105,-0.992854,-0.00738913
0.111303,-0.993737,-0.00993387
0.110108,-0.993832,-0.0132054
0.103776,-0.994428,-0.0185358
0.104575,-0.994257,-0.0227217
0.0984462,-0.994618,-0.0323004
0.0964047,-0.994603,-0.0383536
0.0993372,-0.994342,-0.0376402
0.102438,-0.993927,-0.0401883
0.102584,-0.993396,-0.0513821
0.101015,-0.993105,-0.059482
0.0911815,-0.994107,-0.0586359
0.0898195,-0.994376,-0.0561165
0.0949259,-0.993167,-0.0678874
0.0986645,-0.992448,-0.0728877
0.0980662,-0.992583,-0.0718447
0.0994996,-0.993162,-0.0610603
0.108864,-0.992189,-0.0609054
0.108985,-0.992508,-0.0552239
0.119274,-0.99112,-0.0587783
0.125754,-0.990395,-0.0574724
0.127642,-0.990064,-0.0590016
0.124967,-0.989772,-0.0688066
0.118575,-0.990295,-0.072499
0.113304,-0.990185,-0.0818303
0.105512,-0.990728,-0.0855888
0.101668,-0.990559,-0.0919536
0.105187,-0.988943,-0.104531
0.105037,-0.988052,-0.112783
0.10747,-0.986114,-0.126609
0.112636,-0.984713,-0.132863
0.122467,-0.983259,-0.134923
0.140532,-0.981271,-0.131746
0.146727,-0.981129,-0.125925
0.151404,-0.981663,-0.115821
0.155608,-0.981949,-0.107527
0.162332,-0.983631,-0.0782132
0.159681,-0.98578,-0.0523371
0.153788,-0.98765,-0.0299442
0.15342,-0.987992,-0.0182577
0.153422,-0.988066,-0.0137049
0.149118,-0.988782,-0.00858669
0.149701,-0.988685,-0.0096274
0.151486,-0.988407,-0.010226
0.150297,-0.988624,0.00572554
0.142825,-0.989689,0.0107735
0.141402,-0.989689,0.0228148
0.143601,-0.98877,0.0413803
0.138685,-0.989209,0.0472526
0.128562,-0.990051,0.0571989
0.129189,-0.989611,0.063093
0.133077,-0.988636,0.0699257
0.134714,-0.988613,0.0670578
0.134996,-0.989311,0.0551315
0.135654,-0.990044,0.0375557
0.14706,-0.988845,0.0236633
0.153438,-0.988095,0.0112281
0.152873,-0.988205,-0.00902262
0.161357,-0.986815,-0.0126612
0.170237,-0.985105,-0.024233
0.174301,-0.984143,-0.0328768
0.178095,-0.982906,-0.0466665
0.18576,-0.981021,-0.0556037
0.188506,-0.98061,-0.0535599
0.190555,-0.980264,-0.0526393
0.188778,-0.980978,-0.0452172
0.18565,-0.981926,-0.0368092
0.173293,-0.98407,-0.0397038
0.173417,-0.984459,-0.0276958
0.169565,-0.985136,-0.0274592
0.157323,-0.987164,-0.0275184
0.144093,-0.988974,-0.0341819
0.139183,-0.989227,-0.0453723
0.132172,-0.989621,-0.0563995
0.126436,-0.989794,-0.0657376
0.119473,-0.989662,-0.0793443
0.111816,-0.990059,-0.0853237
0.104084,-0.990697,-0.0876657
0.0932898,-0.991996,-0.0850978
0.087549,-0.992573,-0.0844675
0.0811851,-0.993559,-0.0790591
0.0830015,-0.993629,-0.0762312
0.081071,-0.994122,-0.0717584
0.0808099,-0.994483,-0.0668899
0.083996,-0.9944,-0.0641375
0.0907549,-0.994117,-0.0591145
0.101222,-0.993286,-0.0560162
0.114577,-0.991964,-0.0536676
0.135299,-0.989111,-0.0579151
0.152735,-0.986965,-0.0507161
0.168541,-0.984659,-0.0451704
0.179874,-0.983358,-0.0255246
0.185418,-0.982639,0.00637347
0.177231,-0.983327,0.0407107
0.163964,-0.98341,0.07759
0.155354,-0.982632,0.101489
0.149193,-0.981944,0.116312
0.140158,-0.982746,0.120692
0.131242,-0.984238,0.118538
0.12182,-0.986764,0.107034
0.108689,-0.989959,0.0903723
0.0834046,-0.993592,0.0762824
0.0681428,-0.995808,0.0610098
0.0338699,-0.997999,0.0533928
0.0135115,-0.998517,0.0527425
-0.00407451,-0.999076,0.0427905
-0.0198007,-0.999241,0.0335351
-0.0365323,-0.998865,0.030573
-0.045697,-0.998861,0.0137432
-0.0590117,-0.998253,0.0029735
-0.0639785,-0.997941,-0.00462245
-0.066591,-0.997732,-0.00979979
-0.0588632,-0.998134,-0.0162319
-0.0494649,-0.99859,-0.0192682
-0.0406097,-0.99906,-0.0151892
-0.013136,-0.999851,-0.0111781
0.0027988,-0.999954,-0.00918942
0.157296,-0.98703,-0.0320982
0.152861,-0.987679,-0.0335311
0.156017,-0.987055,-0.0371734
0.150823,-0.988016,-0.032823
0.140405,-0.989845,-0.0222026
0.139829,-0.990167,-0.00422707
0.13409,-0.990969,-0.000584366
0.134213,-0.990951,-0.0015931
0.131937,-0.991257,-0.0014449
0.124711,-0.992186,-0.00388906
0.120722,-0.992684,-0.00232745
0.115404,-0.993294,-0.00694601
0.117998,-0.992973,-0.00905627
0.123821,-0.992161,-0.0168599
0.125013,-0.991827,-0.0255248
0.127459,-0.991438,-0.0283737
0.136496,-0.990151,-0.0311508
0.142376,-0.989123,-0.0369567
0.153807,-0.987281,-0.0402362
0.145086,-0.988422,-0.0444098
0.142032,-0.988949,-0.042497
0.141298,-0.989147,-0.0402993
0.14238,-0.989164,-0.0358127
0.142591,-0.989431,-0.0263557
0.136056,-0.990519,-0.0189872
0.139611,-0.990188,-0.00606229
0.134309,-0.990939,-0.000155753
0.131778,-0.991279,0.000238346
0.131001,-0.99136,-0.00666146
0.12963,-0.991486,-0.0123158
0.127431,-0.991584,-0.02288
0.126163,-0.991533,-0.0307275
0.115921,-0.992722,-0.032623
0.112483,-0.992925,-0.0380408
0.102607,-0.99424,-0.0309454
0.102249,-0.994195,-0.0334817
0.0916553,-0.995584,-0.0202745
0.0771766,-0.996952,-0.0114457
0.0691581,-0.997585,-0.00648129
0.0663432,-0.997789,-0.00399023
0.0614611,-0.998083,0.00726703
0.0589524,-0.998172,0.013313
0.0699121,-0.997545,0.00402358
0.0758569,-0.997119,-0.000340513
0.0851955,-0.996315,-0.00987132
0.0888221,-0.995964,-0.0128908
0.0896043,-0.995873,-0.0144203
0.0897557,-0.995912,-0.0101436
0.0830237,-0.996545,0.00232884
0.0811041,-0.996649,0.0106404
0.0747715,-0.99693,0.0232161
0.0661839,-0.997311,0.0314806
0.0655865,-0.997222,0.0353038
0.0678726,-0.997334,0.0267845
0.0682971,-0.997454,0.0205411
0.0652887,-0.997732,0.0163553
0.0589478,-0.998245,0.00565564
0.0607038,-0.998146,0.0045197
0.0588309,-0.998256,-0.00478204
0.053691,-0.998458,-0.0141337
0.061598,-0.997943,-0.017788
0.0768283,-0.996794,-0.0223635
0.0831334,-0.996136,-0.0283274
0.0846199,-0.995601,-0.0402129
0.0934379,-0.994404,-0.0492967
0.105327,-0.992777,-0.0574371
0.119557,-0.990544,-0.0673012
0.133353,-0.988645,-0.0692681
0.134962,-0.988497,-0.0682569
0.148259,-0.986762,-0.0657345
0.158105,-0.985838,-0.0559035
0.172443,-0.983602,-0.0528268
0.181953,-0.982134,-0.0480198
0.179079,-0.982913,-0.0425717
0.179418,-0.982677,-0.0464307
0.178947,-0.982554,-0.0506586
0.179846,-0.982166,-0.0548208
0.185525,-0.980872,-0.0589142
0.185855,-0.980806,-0.0589659
0.185414,-0.981148,-0.0545061
0.185112,-0.981701,-0.044693
0.187367,-0.981487,-0.0397128
0.187649,-0.981432,-0.0397345
0.184311,-0.982279,-0.0340191
0.179121,-0.982999,-0.0403487
0.172422,-0.984066,-0.0434194
0.169609,-0.984815,-0.0370441
0.159833,-0.986463,-0.0366664
0.150651,-0.988233,-0.0264616
0.14493,-0.989062,-0.0274042
0.136822,-0.990228,-0.0269917
0.123478,-0.99224,-0.0146129
0.113991,-0.993369,-0.0149526
0.111194,-0.993651,-0.017143
0.0979549,-0.995181,-0.00448396
0.0922527,-0.995736,0.000490433
0.080818,-0.996571,0.0177142
0.0675404,-0.99714,0.0339035
0.0629865,-0.99671,0.0509996
0.0499334,-0.996337,0.0694254
0.0452483,-0.996934,0.0638299
0.0431284,-0.997885,0.0486447
0.0396837,-0.998618,0.0344542
0.0442167,-0.998874,0.0172
0.0331292,-0.999403,0.00982806
0.0254111,-0.999664,-0.00501907
0.0176311,-0.999763,-0.0127328
0.0206367,-0.999383,-0.0284364
0.019387,-0.999276,-0.0327491
0.019148,-0.999157,-0.0362985
0.0123118,-0.999511,-0.0287377
0.0101018,-0.99952,-0.0292793
0.00419731,-0.999572,-0.0289701
0.00397028,-0.999554,-0.0296018
-0.00121912,-0.999852,-0.0171908
-0.000799952,-0.999911,-0.0133
0.00216277,-0.999905,-0.0136297
0.0117526,-0.999911,-0.00626106
0.0148118,-0.99989,-0.00111582
0.0241705,-0.999653,0.0104991
0.0401624,-0.997841,0.0519612
0.0744826,-0.992778,0.0940455
0.0914767,-0.991579,0.0916649
0.104,-0.990234,0.0928436
0.105551,-0.989982,0.0937823
0.113389,-0.987957,0.105277
0.110712,-0.987296,0.113973
0.112833,-0.987184,0.112858
0.124594,-0.987452,0.0970258
0.122455,-0.988388,0.0899613
0.146977,-0.988159,0.0440379
0.155081,-0.987264,0.0354932
0.16496,-0.985796,0.0315444
0.16513,-0.98579,0.0308357
0.171419,-0.98498,0.0207299
