x,y,z
-0.289294,0.940365,-0.178947
-0.289985,0.932344,-0.215971
-0.315345,0.91955,-0.23449
-0.360644,0.903106,-0.233099
-0.405055,0.883939,-0.233629
-0.430973,0.871231,-0.234988
-0.456665,0.861139,-0.223374
-0.470303,0.857762,-0.207506
-0.48021,0.856239,-0.190404
-0.490401,0.851875,-0.183893
-0.497264,0.848755,-0.179842
-0.508093,0.843189,-0.175709
-0.513582,0.840509,-0.172562
-0.515497,0.83998,-0.169402
-0.510965,0.843903,-0.16353
-0.509017,0.846228,-0.157483
-0.501344,0.849328,-0.165217
-0.497605,0.85109,-0.167437
-0.483204,0.857484,-0.176734
-0.475478,0.860784,-0.181581
-0.463563,0.864646,-0.19364
-0.453987,0.868931,-0.197119
-0.452213,0.869863,-0.197084
-0.45774,0.868954,-0.188133
-0.460996,0.868861,-0.180452
-0.465888,0.868456,-0.169507
-0.470206,0.86636,-0.168304
-0.476192,0.861546,-0.176011
-0.477323,0.861227,-0.174503
-0.479536,0.860083,-0.174074
-0.487483,0.85514,-0.176343
-0.501276,0.84951,-0.164484
-0.515375,0.844322,-0.146661
-0.528675,0.838638,-0.131108
-0.5429,0.830693,-0.123327
-0.558294,0.821853,-0.113429
-0.570979,0.815604,-0.0936675
-0.578469,0.811542,-0.0823016
-0.573323,0.814931,-0.0847786
-0.5648,0.819487,-0.097175
-0.559704,0.822465,-0.101403
-0.550722,0.825984,-0.120233
-0.52956,0.834745,-0.15089
-0.500199,0.844642,-0.190734
-0.476938,0.853292,-0.210768
-0.448387,0.865826,-0.222025
-0.435454,0.874853,-0.212161
-0.436318,0.878367,-0.195189
-0.435273,0.882446,-0.178402
-0.440492,0.883702,-0.15823
-0.447665,0.88396,-0.134949
-0.457232,0.882461,-0.110461
-0.467703,0.878638,-0.0961668
-0.475377,0.874938,-0.0921939
-0.472178,0.876311,-0.0955301
-0.466733,0.877776,-0.108025
-0.46184,0.879775,-0.112694
-0.451427,0.884461,-0.118082
-0.444088,0.886984,-0.12667
-0.427785,0.894666,-0.128736
-0.410314,0.901921,-0.134836
-0.389432,0.910119,-0.141514
-0.369757,0.918447,-0.14048
-0.362039,0.922229,-0.135728
-0.350081,0.927767,-0.129193
-0.355036,0.928459,-0.109152
-0.363144,0.927655,-0.087079
-0.397929,0.913264,-0.0871894
-0.399791,0.912656,-0.0850022
-0.426937,0.897427,-0.111124
-0.449897,0.885828,-0.113586
-0.471505,0.874267,-0.115498
-0.490116,0.863904,-0.115999
-0.517099,0.847009,-0.123225
-0.545949,0.829772,-0.115838
-0.567345,0.816806,-0.104626
-0.580213,0.807961,-0.102726
-0.595436,0.798336,-0.090086
-0.605253,0.791922,-0.0807982
-0.611979,0.786258,-0.0853202
-0.6173,0.781004,-0.0947301
-0.627636,0.772856,-0.0936307
-0.636432,0.765907,-0.0913291
-0.644859,0.759738,-0.0833905
-0.649185,0.757207,-0.0720864
-0.656483,0.75137,-0.0668852
-0.656664,0.753682,0.0274941
-0.430264,0.868635,-0.245655
-0.402112,0.877929,-0.259898
-0.381102,0.887706,-0.25834
-0.364895,0.895318,-0.255454
-0.363443,0.898824,-0.245
-0.363939,0.902255,-0.231267
-0.370322,0.901471,-0.22408
-0.377999,0.898462,-0.223345
-0.389257,0.895052,-0.217624
-0.422239,0.883956,-0.200841
-0.44957,0.872185,-0.19282
-0.473837,0.860849,-0.18552
-0.489402,0.852864,-0.181958
-0.51351,0.840541,-0.172624
-0.538109,0.828421,-0.155426
-0.56168,0.81633,-0.134617
-0.576052,0.809637,-0.112485
-0.58468,0.80465,-0.103383
-0.58577,0.804031,-0.102014
-0.587261,0.802379,-0.106359
-0.582826,0.806756,-0.0972581
-0.56523,0.817847,-0.107891
-0.54374,0.830693,-0.119563
-0.528274,0.840614,-0.119559
-0.507597,0.853274,-0.119447
-0.480126,0.867451,-0.130416
-0.458738,0.877837,-0.137702
-0.430044,0.889014,-0.157214
-0.410193,0.897797,-0.160322
-0.409686,0.898244,-0.159108
-0.401538,0.900738,-0.165647
-0.406701,0.89834,-0.166069
-0.415167,0.89315,-0.172973
-0.431064,0.88394,-0.181202
-0.448342,0.872845,-0.192693
-0.460153,0.865709,-0.196994
-0.479802,0.856155,-0.191806
-0.500164,0.845774,-0.185748
-0.526845,0.832456,-0.171614
-0.538449,0.826303,-0.165215
-0.545484,0.822966,-0.158664
-0.550737,0.820671,-0.152277
-0.557036,0.817561,-0.145962
-0.555118,0.820116,-0.138759
-0.550001,0.824218,-0.134773
-0.545851,0.828094,-0.127697
-0.534022,0.834493,-0.135804
-0.518629,0.842002,-0.148514
-0.502596,0.850139,-0.157038
-0.491669,0.855736,-0.161173
-0.476335,0.863219,-0.167204
-0.46318,0.868151,-0.178266
-0.454931,0.870339,-0.188541
-0.443862,0.873431,-0.200263
-0.434685,0.873968,-0.217324
-0.427276,0.876803,-0.220572
-0.416919,0.880181,-0.226849
-0.415661,0.881483,-0.224083
-0.419197,0.880441,-0.22158
-0.434638,0.8722,-0.224402
-0.445774,0.868226,-0.217876
-0.379334,0.919975,-0.0987554
-0.474662,0.861573,-0.179966
-0.49426,0.856103,-0.150982
-0.510564,0.848394,-0.139828
-0.523863,0.842314,-0.126786
-0.546099,0.832004,-0.0976958
-0.570031,0.818685,-0.0694261
-0.583235,0.810557,-0.053239
-0.593794,0.803392,-0.0443746
-0.604269,0.795966,-0.0360151
-0.615844,0.787338,-0.0288917
-0.623531,0.7812,-0.0305898
-0.621722,0.78254,-0.0330588
-0.629929,0.776075,-0.0299538
-0.636133,0.770951,-0.0311257
-0.619295,0.784549,-0.0309188
-0.620051,0.784081,-0.0274451
-0.640331,0.767542,-0.0292514
-0.648289,0.760598,-0.0348136
-0.642771,0.765188,-0.0365054
-0.648845,0.760001,-0.0373864
-0.62025,0.783608,-0.0353184
-0.6136,0.788183,-0.0475651
-0.603527,0.796019,-0.0459266
-0.595984,0.801508,-0.0488695
-0.58306,0.810278,-0.0590879
-0.572162,0.817413,-0.0668364
-0.555776,0.828771,-0.0652022
-0.542626,0.836926,-0.0714932
-0.534323,0.841539,-0.0794414
-0.518439,0.849907,-0.0942281
-0.495425,0.86141,-0.111921
-0.481792,0.867022,-0.127078
-0.468616,0.871991,-0.141529
-0.455805,0.875203,-0.162055
-0.449198,0.878156,-0.164508
-0.443834,0.879601,-0.171211
-0.455167,0.876505,-0.156723
-0.464815,0.872797,-0.148904
-0.472972,0.870071,-0.138829
-0.487446,0.863529,-0.129282
-0.496937,0.858516,-0.126506
-0.503911,0.855274,-0.120747
-0.504607,0.85344,-0.13043
-0.506029,0.851938,-0.134673
-0.507979,0.850968,-0.133456
-0.509286,0.850284,-0.132835
-0.506704,0.851916,-0.132251
-0.50259,0.854182,-0.133325
-0.495984,0.857963,-0.133788
-0.492355,0.859871,-0.134939
-0.48931,0.86195,-0.132731
-0.480537,0.868331,-0.122826
-0.478772,0.869553,-0.121055
-0.478521,0.869716,-0.120883
-0.468126,0.87638,-0.113212
-0.463349,0.878245,-0.118293
-0.462269,0.879392,-0.113913
-0.462226,0.878954,-0.11742
-0.455053,0.882075,-0.121942
-0.452581,0.882373,-0.128795
-0.450355,0.882732,-0.13403
-0.447653,0.882426,-0.144675
-0.446246,0.881365,-0.155111
-0.441918,0.881972,-0.163813
-0.437169,0.884493,-0.162958
-0.437649,0.884015,-0.164259
-0.430895,0.889222,-0.153666
-0.435862,0.887233,-0.151134
-0.444413,0.883202,-0.149836
-0.438988,0.885705,-0.15105
-0.425981,0.890394,-0.160434
-0.436346,0.88617,-0.155899
-0.452507,0.879642,-0.146517
-0.44258,0.883842,-0.151481
-0.43653,0.883015,-0.172415
-0.435562,0.880556,-0.186835
-0.442449,0.876379,-0.190261
-0.449041,0.87207,-0.194568
-0.445581,0.872292,-0.201408
-0.445141,0.871105,-0.207425
-0.450313,0.868967,-0.205217
-0.454281,0.868078,-0.200176
-0.45669,0.868066,-0.194665
-0.456108,0.868549,-0.193878
-0.455416,0.869135,-0.192872
-0.446495,0.875508,-0.184738
-0.437476,0.880344,-0.183325
-0.436479,0.880888,-0.183089
-0.430381,0.885242,-0.176405
-0.424259,0.887758,-0.178575
-0.41342,0.893703,-0.174294
-0.401839,0.899304,-0.172564
-0.407123,0.899123,-0.160712
-0.409386,0.899219,-0.154302
-0.416971,0.896803,-0.147914
-0.414732,0.896856,-0.153773
-0.417348,0.89432,-0.161285
-0.423206,0.89186,-0.159632
-0.420935,0.89288,-0.159937
-0.431821,0.888686,-0.154169
-0.437788,0.885334,-0.156609
-0.442088,0.882171,-0.162272
-0.449293,0.878945,-0.159976
-0.461657,0.873131,-0.156575
-0.460558,0.872343,-0.164025
-0.454026,0.872764,-0.179287
-0.453362,0.87302,-0.17972
-0.464689,0.867926,-0.175413
-0.473335,0.864627,-0.168448
-0.478792,0.861565,-0.168712
-0.480601,0.860714,-0.167911
-0.480976,0.860742,-0.166688
-0.478585,0.862454,-0.164712
-0.48161,0.860675,-0.165197
-0.481253,0.860846,-0.165346
-0.476009,0.862149,-0.173536
-0.470134,0.866233,-0.169155
-0.467768,0.868199,-0.165604
-0.462418,0.870912,-0.166379
-0.455646,0.874826,-0.164518
-0.446154,0.879255,-0.166907
-0.441919,0.88146,-0.166542
-0.440161,0.883551,-0.159988
-0.445917,0.883246,-0.145036
-0.443246,0.886261,-0.134439
-0.437,0.889868,-0.131017
-0.432216,0.892125,-0.13154
-0.429955,0.892666,-0.135226
-0.43315,0.89059,-0.138676
-0.4266,0.893158,-0.142411
-0.422462,0.894958,-0.143441
-0.431203,0.893874,-0.122689
-0.435301,0.893225,-0.112529
-0.441914,0.891295,-0.101516
-0.43211,0.893134,-0.124873
-0.437146,0.890185,-0.128352
-0.439513,0.888533,-0.131675
-0.452907,0.881292,-0.134905
-0.470218,0.871008,-0.142268
-0.477922,0.865703,-0.148826
-0.481442,0.861985,-0.158729
-0.489125,0.857434,-0.159889
-0.500144,0.850263,-0.164037
-0.505138,0.847384,-0.163636
-0.50798,0.846959,-0.156896
-0.508325,0.847744,-0.151444
-0.511586,0.846509,-0.147317
-0.512412,0.846467,-0.144661
-0.508292,0.850088,-0.137802
-0.509923,0.850495,-0.128985
-0.512354,0.849727,-0.124323
-0.516649,0.847214,-0.123703
-0.517974,0.847029,-0.119352
-0.515061,0.849564,-0.113808
-0.516025,0.850429,-0.102409
-0.525001,0.845418,-0.0981949
-0.535208,0.84221,-0.0650701
-0.544037,0.837651,-0.048627
-0.551302,0.832961,-0.0473456
-0.573057,0.818651,-0.037619
-0.563884,0.824787,-0.0419648
-0.560683,0.826469,-0.050831
-0.56711,0.82134,-0.061532
-0.573301,0.816374,-0.0697113
-0.587471,0.80652,-0.0663622
-0.601681,0.794288,-0.0841831
-0.604072,0.79118,-0.0955586
-0.614936,0.78204,-0.101328
-0.605962,0.789151,-0.100256
-0.601522,0.792854,-0.0977452
-0.608024,0.789786,-0.0809
-0.613422,0.786548,-0.0711087
-0.619824,0.783079,-0.0510449
-0.610653,0.790875,-0.0402437
-0.608335,0.792954,-0.0339621
-0.60226,0.797395,-0.0380047
-0.591808,0.803696,-0.0619262
-0.570947,0.814373,-0.104005
-0.556938,0.822991,-0.111831
-0.52174,0.842702,-0.132816
-0.502271,0.854113,-0.134959
