x,y,z
-188.079,391.447,1644.38
-184.137,395.718,1642.33
-179.666,400.985,1640.29
-169.72,402.533,1626.77
-159.081,403.106,1613.61
-150.537,402.032,1602.55
-143.109,403.463,1593.02
-138.045,405.436,1584.76
-135.332,405.821,1579.63
-135.131,406.422,1578.56
-137.609,405.861,1581.05
-140.784,405.793,1586.8
-147.474,405.251,1595.67
-160.159,404.355,1613.11
-169.629,404.233,1626.83
-184.2,401.431,1646.69
-197.482,399.293,1666.63
-207.255,398.383,1681.59
-217.798,394.773,1693.55
-227.328,393.02,1706.52
-234.856,391.998,1720.52
-237.943,391.061,1726.51
-240.249,390.728,1730.49
-237.477,389.774,1731.53
-234.546,390.781,1729.53
-226.796,391.307,1724.52
-217.247,392.012,1718.51
-207.345,392.072,1713.53
-193.029,393.744,1705.53
-180.296,393.849,1697.53
-169.238,392.659,1689.52
-158.107,390.659,1682.01
-150.79,388.19,1680.26
-142.501,383.317,1671.38
-135.192,377.628,1665.94
-125.688,368.352,1661.63
-124.693,365.515,1661.08
-149.528,330.673,1667.23
-138.844,333.155,1662.84
-131.18,337.877,1664.2
-125.891,340.848,1665.89
-123.28,344.043,1675.22
-125.829,346.633,1688.39
-131.897,349.315,1701.99
-137.807,350.355,1714.79
-150.522,350.831,1735.25
-159.655,352.167,1747.42
-167.566,354.192,1758.97
-171.445,354.841,1764.73
-172.891,357.354,1770.12
-170.507,357.529,1771.83
-167.875,358.035,1774.19
-164.838,358.747,1775.36
-146.018,356.536,1768.38
-128.749,353.606,1763.4
-117.414,352.249,1760.43
-100.17,351.084,1753.46
-90.1284,351.016,1749.48
-81.964,351.115,1745.99
-75.3214,352.936,1743.77
-71.6776,353.875,1745.64
-75.246,354.626,1759.82
-80.5576,357.378,1771.69
-88.4207,359.658,1787.6
-93.9957,360.52,1797.55
-101.717,362.723,1808.56
-110.676,365.844,1823.06
-116.555,367.797,1830.31
-120.389,370.483,1837.92
-119.75,372.822,1846.73
-113.761,376.031,1842.61
-104.136,378.031,1837.06
-96.0072,380.262,1833.29
-84.5109,383.289,1824.4
-75.1561,383.423,1820.02
-62.9365,384.042,1809.77
-50.4041,385.069,1800.68
-34.6345,385.227,1794.12
-22.2106,386.077,1792.84
-14.8806,385.242,1795.2
-10.531,385.546,1798.38
-5.90927,383.806,1805.48
-4.92012,382.303,1814.03
-7.02015,381.396,1829.8
-9.4312,381.219,1840.7
-15.0668,381.483,1858.6
-18.7632,380.675,1871.54
-45.3586,390.612,1923.8
-31.9788,372.044,1900.76
-29.9857,376.753,1895.71
-26.0857,381.18,1885.63
-23.1928,384.503,1880.09
-20.5381,388.515,1872.3
-14.6352,384.756,1864.97
-11.0547,382.986,1856.31
-9.21081,382.261,1854.46
-8.39542,382.478,1855.48
-9.8958,382.623,1857.97
-11.0536,382.475,1861.66
-9.95122,380.627,1867.06
-13.1464,381.185,1875.76
-20.7726,379.64,1884.05
-28.3776,377.481,1889.84
-33.4394,377.134,1896.2
-40.5746,377.531,1897.36
-44.3288,376.923,1896.46
-47.048,378.639,1891.48
-41.9659,382.212,1861.81
-37.5924,383.211,1859.66
-33.5821,383.844,1861.6
-31.7925,383.671,1860.06
-30.3251,381.23,1859.81
-32.8754,382.442,1864.68
-36.1574,382.404,1872.62
-40.0982,381.022,1878.1
-46.214,380.537,1883.82
-52.5815,380.202,1893.21
-60.1308,379.115,1902.37
-66.0929,378.632,1906.95
-76.6501,378.017,1917.23
-85.8855,375.589,1923.38
-93.9227,374.862,1928.94
-100.825,372.575,1937.73
-105.985,372.144,1943.62
-108.869,371.275,1949.08
-109.05,371.361,1951.81
-106.59,370.933,1952.66
-103.827,370.436,1951.09
-98.3072,373.181,1945.32
-94.1057,375.059,1943.44
-89.5357,376.252,1940
-81.0678,378.092,1931.27
-76.2475,380.117,1924.41
-65.9795,378.85,1910.94
-58.0419,376.498,1900.71
-50.2164,377.308,1890.61
-42.9727,377.654,1877.54
-37.855,378.963,1866.52
-33.6161,381.41,1858.52
-30.5756,382.053,1851.52
-30.0234,382.269,1844.51
-29.9596,384.646,1840.52
-30.6964,384.309,1836.01
-32.1226,384.248,1835.26
-35.6795,385.933,1837.9
-38.9473,387.05,1840.71
-46.0809,387.161,1846.13
-54.6275,386.438,1854.35
-64.8491,385,1862.94
-75.1058,384.45,1872.26
-86.6087,384.031,1879.91
-99.2681,382.194,1887.72
-106.989,380.055,1893.1
-114.315,378.691,1895.81
-119.949,378.181,1901.7
-123.683,377.038,1901.62
-125.279,377.601,1899.08
-124.203,376.856,1898.27
-122.633,376.278,1895.42
-117.425,377.789,1892.97
-112.382,379.14,1892.27
-101.499,379.215,1885.42
-66.4221,386.177,1863.93
-63.5336,384.619,1861.74
